relative_time,cts,e_cts
1325.32894,-3491.6937062484008,1638.1251993802969
1325.34977,-8622.735784831559,1734.573746626086
1325.37061,-3390.4274935386643,1811.5499391662588
1326.84981,-8291.422898074492,1791.328484941253
1326.87064,-7555.191403667607,1798.8910144302677
1326.89148,-8458.085318933046,1764.2213257117664
1326.91231,-8870.314710379464,1740.8578651398568
1326.93314,-3851.3705759377067,1697.6731614437083
1326.95398,-9523.16684627382,1674.926842897096
1326.97481,-6104.5266923502695,1654.1144899976623
1326.99565,-10443.618727290888,1630.930605903278
1327.01648,-7986.388600235169,1621.4369679060912
1327.03731,-9288.29552264497,1613.4041745006803
1327.05815,-11178.732868706496,1637.2153593368278
1327.07898,-12334.181999108605,1605.0566725247556
1327.09981,-10520.04740734154,1599.030437261268
1327.12065,-8158.714188063524,1630.7954738102903
1327.14148,-10669.443290627083,1630.142247177546
1327.16232,-10548.039433103184,1593.983036657246
1327.18315,-5679.994248704057,1578.382422764661
1327.20398,-7355.628392235084,1590.2099200499038
1327.22482,-4699.46139046901,1574.9988294418047
1327.24565,-8445.050627507784,1566.0474129359802
1327.26648,-8265.968540849999,1545.787546064338
1327.28732,-8899.929485276556,1541.081309021626
1327.30815,-10834.983067496203,1530.5615348414294
1327.32899,-7789.4243154585565,1522.233080458878
1327.34982,-9721.011024044321,1514.0177476169722
1327.37065,-7735.915921973994,1514.2273769640426
1327.39149,-9987.947807097675,1516.9045162126724
1327.41232,-9201.543152805907,1513.8131976281345
1327.43316,-6764.150670968719,1513.9552080187295
1327.45399,-11232.358404890307,1508.2339458891424
1327.47482,-9849.891591067091,1506.1647423290133
1327.49566,-14583.995791983953,1512.913304661205
1327.51649,-13242.812943678147,1504.4358557704886
1327.53732,-11803.292873423617,1506.8711964032398
1327.55816,-10830.699052106602,1509.5693938245436
1327.57899,-8034.23837700835,1520.9504366851068
1327.59983,-9089.71420301092,1528.2100036195213
1327.62066,-10065.786749797699,1528.3946594552801
1327.64149,-14770.424641225818,1521.9373136617749
1327.66233,-11408.718061355217,1528.3395272544603
1327.68316,-13177.643296070506,1530.4452387018887
1327.70399,-14275.056420043196,1531.0131744443054
1327.72483,-9433.371729213319,1528.108204814937
1327.74566,-13376.001547222162,1525.049267139134
1327.7665,-10044.322757564969,1519.9648295479972
1327.78733,-8778.32107776382,1522.7997463617367
1327.80816,-11078.081681622798,1507.3627301322365
1327.829,-9573.468259954083,1497.423378450112
1327.8915,-13998.436475438592,1484.065195397391
1327.91233,-14771.741993947517,1471.8172753984122
1327.93317,-7450.58858169867,1471.581508520435
1327.954,-14785.518165854819,1465.833156480272
1327.97483,-8618.875366754588,1606.7943421402247
1327.99567,-12639.778941692184,1607.6970922461599
1328.0165,-7391.327497555453,1598.7740354904693
1328.03734,-11122.836224472801,1449.2713798620732
1328.05817,-9120.174691053793,1598.490437989132
1328.079,-7495.6966690456775,1597.2737200524255
1328.09984,-3420.317506160003,1440.756893984242
1328.12067,-9125.977011275181,1441.2402795760731
1328.1415,-10902.275886845198,1600.8239798172988
1328.16234,528.5077532334607,1595.0256807545127
1328.18317,-10401.41994819174,1591.2034636842525
1328.20401,-2597.0430602951456,1590.6583850538839
1328.22484,-9017.237369485434,1580.2743778864544
1328.24567,-14720.433385857654,1578.3627402515083
1328.26651,1210.592230677959,1585.7583916585795
1328.28734,-5499.2558679824915,1577.7686669781851
1328.30817,-8217.386172471684,1569.568254751088
1328.32901,-6096.065222273994,1566.1916455458022
1328.34984,-5713.81293327862,1562.9777874438955
1328.37068,-10069.458914160161,1568.4082563146487
1328.39151,-2478.731367915491,1566.229846552512
1328.41234,-5746.547809790237,1566.032915601024
1328.43318,-4060.128495611344,1568.4036002362686
1328.45401,-7515.022568922244,1566.6202163967034
1328.47485,-5192.583794572947,1564.3463570277734
1328.49568,-3017.979635772353,1568.8026473174411
1328.51651,-3552.1121433289754,1573.8161855332435
1328.53735,-6847.771087357384,1584.5733138908654
1328.55818,-3454.9286764388626,1586.9366969486503
1328.57901,-9591.019770687955,1590.300078658538
1328.59985,-4487.342734584568,1601.346095515656
1328.62068,-9369.045784172155,1600.9758314644698
1328.64152,-6618.035841461707,1585.5067517861246
1328.66235,-7013.745995915124,1582.8751151216643
1328.68318,-6838.978506616301,1578.4028460175557
1328.70402,-5143.32068637146,1583.0690831141835
1328.72485,-6753.1189398066335,1578.3853857236302
1328.74568,-6466.4784796081385,1578.870781894762
1328.76652,-7123.291245084604,1582.4061210448262
1328.78735,-6081.655612067063,1583.384320784513
1328.80819,-5470.438869787854,1585.1301385371473
1328.82902,-9329.123827400905,1585.365587955235
1328.84985,-8937.440757466476,1577.0487737686342
1328.87069,-10078.60652087773,1571.9822197512758
1328.89152,-3801.0424956267216,1566.7607453078137
1328.91235,-5849.080158359487,1560.1134526803903
1328.93319,-3655.7994109764313,1553.3187528442497
1328.95402,-4202.104917998097,1545.7088160117278
1328.97486,-4233.291225168459,1546.5199260295446
1328.99569,-6010.657929986981,1543.735591158208
1329.01652,-5733.789837568705,1544.6278650877882
1329.03736,-4241.812377703971,1548.251458087149
1329.05819,-4379.248700390213,1550.0234133706902
1329.07902,-2534.021981220024,1557.1958904754033
1329.09986,-6277.395242409729,1558.3465767550822
1329.12069,-2161.6197318578443,1566.4205341261722
1329.14153,-4979.619637182651,1568.4992614829882
1329.16236,-2314.0995263305012,1563.2115437425723
1329.18319,-2743.0196889302383,1558.8514437994402
1329.20403,-5952.105839597108,1554.5882749425862
1329.22486,-3471.646960782613,1559.227210488712
1329.2457,-2733.1655223184785,1562.9384224175906
1329.26653,-4784.867412916467,1564.7337639129958
1329.28736,-4925.378334633066,1564.6209598322398
1329.3082,829.7731672639685,1560.1781086778967
1329.32903,-11.655751484993088,1545.8813025517202
1329.34986,-5295.562915026767,1535.7823743651124
1329.3707,-1349.2230491086405,1540.715595228857
1329.39153,-332.3047372720044,1533.3802612008017
1329.41237,-1917.7830234880314,1524.4890562540297
1329.4332,-1160.6700757457522,1527.1357193532622
1329.45403,-471.26423250833966,1534.4892544149857
1329.47487,-4875.01967235272,1542.1249054985615
1329.4957,-5161.627434182589,1543.9777072339764
1329.51653,-6096.016545090928,1540.737817421126
1329.53737,606.3508229120488,1545.8850062504316
1329.5582,-3140.913120864098,1542.2644820300031
1329.57904,-4817.123454094671,1568.928573073632
1329.59987,-2977.126674964997,1564.80466328833
1329.6207,-3037.6057468844774,1548.7932562986587
1329.64154,-3190.5653290702176,1566.2413809284994
1329.66237,-8318.003391347205,1559.2228718702213
1329.6832,-1295.4652379708496,1539.134750798829
1329.70404,-4872.560416408288,1547.7896597678075
1329.72487,-4226.500334850993,1545.7505090772231
1329.74571,-2775.1393281758947,1543.8237391875416
1329.76654,-2563.141836149298,1542.6195080064904
1329.78737,-8238.065086397542,1539.5815226833981
1329.80821,-883.9300254829316,1545.5289220743127
1329.82904,-5960.791542175374,1542.917602842784
1329.84987,-547.5777804390456,1544.7704045781988
1329.87071,-2396.2377224948264,1534.6047039948212
1329.89154,-1052.1223913692236,1533.4935943813732
1329.91238,-2264.7565240568097,1529.9283081817275
1329.93321,-3221.4642292205667,1529.5102135071818
1329.95404,-1649.2142849624317,1520.1447234854124
1329.97488,-8303.861611467093,1511.6124598537658
1329.99571,-900.1512734595995,1517.7904409444616
1330.01654,-6597.771530151612,1516.722823335883
1330.03738,-5585.909084516052,1516.125998743517
1330.05821,-6783.102179815536,1500.5497234424645
1330.07905,-756.1326316033286,1499.6884547620978
1330.09988,-3377.4555533515713,1514.9666352268566
1330.12071,-4315.3748182317795,1514.2528795751705
1330.14155,-1820.383895512947,1517.026314990299
1330.16238,-663.5891584589738,1501.813002162973
1330.18321,113.3005880230057,1506.7661171797965
1330.20405,-2643.277918610153,1506.816593302236
1330.22488,568.789815339431,1515.4687509521716
1330.24572,-5355.346538148192,1514.7038842582667
1330.26655,-4640.797554198015,1523.2687404385747
1330.28738,-4117.433921014928,1519.0073705210946
1330.30822,-8511.089480293032,1506.5874930819393
1330.32905,-7562.9833508368065,1525.9909589915217
1330.39155,-501.79805378569915,1508.4988132569958
1330.41239,-6919.139562588468,1526.2670432754726
1330.43322,-7862.817444045268,1528.6355056914904
1330.45405,-7171.09107483516,1534.4329581945708
1330.47489,-1450.9059808333993,1524.0324431128845
1330.49572,-3744.8475449168063,1515.9128773376613
1330.51655,-1511.3963754889403,1503.461042269624
1330.53739,-4916.148082524248,1524.7456696647546
1330.55822,-4883.013418191716,1507.4555342399499
1330.57906,-6369.95882134709,1510.0732026692694
1330.59989,-3317.4679093411232,1516.318273616625
1330.62072,-4673.4820604071565,1530.9528570652897
1330.64156,-3504.3262818135577,1521.2441929029098
1330.66239,1126.3737198573701,1538.8331639037503
1330.68322,-2821.21069464778,1538.7261799209696
1330.70406,-2783.4524386637845,1529.030743253988
1330.72489,-3773.4821094949125,1540.163215021029
1330.74573,-380.994407092989,1528.5819607901185
1330.76656,-2678.1832683866683,1529.3539174215568
1330.78739,-2247.2542196058184,1533.9271387705444
1330.80823,-1387.212204252307,1530.6230162400404
1330.82906,-2738.8289009282025,1527.4528617829292
1330.84989,-3416.935394316631,1526.845772654134
1330.87073,2019.160452979075,1526.5682068906983
1330.89156,-5738.870465641166,1527.6760360852875
1330.9124,-3696.0507852930787,1521.9441919593817
1330.93323,-4756.013801014567,1519.879856117559
1330.95406,-6317.472013787119,1517.6791183431903
1330.9749,-5014.117051001085,1536.5269236260856
