relative_time,cts,e_cts
1354.1207,-1363.8216857793589,1339.534837039533
1354.14153,-3779.056217432293,1279.31383011077
1354.16237,1412.1843081543122,1286.578080227077
1354.1832,-135.30361536428754,1305.2550541044247
1354.20403,-2249.346664166406,1299.9652768748483
1354.22487,1019.8687169691503,1285.4471795552304
1354.2457,-1124.502360208106,1289.1904597387513
1354.26654,-1565.9120025810032,1297.1977899303965
1354.28737,5025.529923737537,1303.2276303905421
1354.3082,-4272.990999757423,1292.955482010435
1354.32904,906.4281756456405,1306.8460756181055
1354.34987,-6273.190186299159,1290.9034033927505
1354.3707,-308.777703124364,1310.8475561021987
1354.39154,1248.9613548900902,1315.221252813306
1354.41237,1073.0670294213844,1298.971590625425
1354.43321,-1559.866661780493,1302.917935670637
1354.45404,2846.134527142015,1312.120976682097
1354.47487,4574.574776457336,1316.822157094333
1354.49571,1963.2209920044722,1345.2140993316975
1354.51654,2479.4376696476174,1334.1790013124287
1354.53737,8333.329709177013,1327.293729316583
1354.55821,6402.307085275313,1316.681509710621
1354.57904,5283.710354746176,1330.646588175346
1354.59987,4789.393785514075,1305.5342682892501
1354.62071,156.40706869806277,1300.824037342707
1354.64154,3693.992118005783,1322.452733753674
1354.66237,851.8268223175722,1329.8415067385492
1354.68321,-2823.858457455277,1327.1594277097984
1354.70404,-2036.9811821398853,1335.7123906881088
1354.72488,-1777.0417225726733,1332.6472764028279
1354.74571,1211.331729940988,1330.5179041415797
1354.76654,698.36783513358,1326.473563655941
1354.78738,-414.89761054312584,1318.7844585728578
1354.80821,-906.0546070399371,1321.606560810541
1354.82904,2517.0030045944013,1338.8459561409065
1354.84988,3029.767683617927,1351.84304355131
1354.87071,1596.2009160032746,1368.605049204267
1354.89154,-504.13629492599085,1350.323073933395
1354.91238,3220.190717377507,1311.1470559673671
1354.93321,7049.643014588175,1309.45741483848
1354.95405,5292.221810101629,1298.9541137315912
1354.97488,595.3821173423955,1298.07194670949
1354.99571,1037.8486956757345,1305.4068326050435
1355.01655,-2500.7077776475962,1307.4753478252621
1355.03738,5440.692392445553,1305.0914162829904
1355.05821,729.1918744003896,1299.6757638061563
1355.07905,-1452.2980446978424,1303.7978140518787
1355.09988,-1750.5610035110212,1291.6131941464998
1355.12071,-1193.3673556038987,1304.051229012473
1355.14155,666.8202732678656,1310.1068686968497
1355.16238,1864.7272520451652,1301.458406977232
1355.18322,1421.0274083760942,1290.1625079291418
1355.20405,-1656.6624382805157,1327.060287948942
1355.22488,-3239.47376496603,1290.527338087928
1355.24572,6891.70744588354,1323.14338314751
1355.26655,1990.051352971936,1309.4274544490502
1355.28738,721.5823516017294,1337.8067051325588
1355.30822,1537.7429947691537,1324.340862462534
1355.32905,3065.0085916847793,1337.7487609071684
1355.34988,518.940160265622,1342.4318402507906
1355.37072,2755.3124153719564,1341.3625248238832
1355.39155,3037.799148567724,1331.502123740176
1355.41238,4944.201926484579,1302.7690699856576
1355.43322,3231.601256526819,1322.7607640074998
1355.45405,-1136.8297080797965,1323.3462399509413
1355.47489,-993.7693686979488,1319.6022315635105
1355.49572,3487.457052597265,1294.6622879457661
1355.51655,-1982.9200520837237,1335.1179682394902
1355.53739,4597.200592079014,1348.5349172184315
1355.55822,-1283.1248332578978,1351.2448760540128
1355.57905,7524.6966138538355,1338.3707510752274
1355.59989,120.17549122655647,1342.6557109384748
1355.62072,3191.175224535134,1341.4639532255987
1355.64155,2034.6287714239927,1294.9186157219992
1355.66239,-1538.99217656177,1290.249476281792
1355.68322,-1139.569107159158,1362.841315258571
1355.70405,542.5268929607852,1374.5348136413866
1355.72489,1898.1180020355944,1366.3854836873397
1355.74572,1900.2618343459076,1379.9527547590799
1355.76656,4171.455968183597,1384.58319536294
1355.78739,3720.8039617881127,1390.340687560838
1355.80822,5716.24766471177,1389.7488658404686
1355.82906,3448.128111810189,1363.8056652933442
1355.84989,1316.0955136215293,1367.47591702763
1355.87072,910.3933499633762,1343.8780532155604
1355.89156,-395.97939311338973,1383.2694114806154
1355.91239,4457.684629184196,1348.7821944603575
1355.93322,2634.3779276131777,1370.501188156134
1355.95406,1828.7228741935016,1342.22711092302
1355.97489,5979.82325445864,1329.877500817517
1355.99572,7666.124216040887,1371.1705115783273
1356.01656,1484.3685609998893,1349.0159479153883
1356.03739,3907.3354738539724,1378.267378824521
1356.05822,3707.294114796113,1341.244867877893
1356.07906,677.1774134471542,1373.3031087426043
1356.09989,3894.6556752899614,1338.0599120348927
1356.12073,2577.0058624376284,1348.317600365935
1356.14156,3440.8256830031846,1340.277292940091
1356.16239,2032.1563110921209,1335.2340647485307
1356.18323,4520.892624521635,1329.5696786219512
1356.20406,1854.1557078290189,1341.1129589410978
1356.22489,1284.0479877572045,1315.6845985581688
1356.24573,6734.710948135097,1338.5434394309689
1356.26656,-1223.3827764434923,1302.2967777356178
1356.28739,-1293.733203786051,1284.217971355567
1356.30823,1896.423055421079,1318.4398100652847
1356.32906,3575.0536371636367,1324.890136268748
1356.34989,3363.8281063432696,1311.9504729380849
1356.37073,3204.7515461411817,1298.791620230586
1356.39156,3704.950338498008,1330.9921729450891
1356.4124,4214.814581348986,1342.8572153632163
1356.43323,2595.8021577270456,1336.8345529130384
1356.45406,5012.567269969151,1309.4949693543972
1356.4749,1853.2065460472209,1317.2750999261996
1356.49573,1909.0009054377247,1304.5622200988596
1356.51656,4737.756950302612,1309.911710049036
1356.5374,8772.37799432884,1326.2425149582893
1356.55823,1467.5959443756758,1330.6360812332198
1356.57906,3517.950383259917,1343.1259226059153
1356.5999,3904.494750402025,1329.3741038576177
1356.62073,-947.655960141963,1307.4218768524602
1356.68323,-837.4411540803993,1314.0675697619972
1356.70407,7523.614190756553,1308.1281306157905
1356.7249,3477.245345141667,1344.6323684369345
1356.74573,699.5014405628057,1314.4259501147255
1356.76657,1491.5453226178963,1305.5575708143622
1356.7874,3660.7012359801192,1309.236560995565
1356.80823,-1482.578843847976,1314.8781647426822
1356.82907,4137.163597723763,1320.0958497851932
1356.8499,830.740949906761,1314.9901000865243
1356.87073,3571.621508107841,1341.457503419541
1356.89157,1083.4047161533695,1303.8122741009438
1356.9124,4968.280196818827,1353.5696150213346
1356.93323,2676.2490282492017,1337.68467896311
1356.95407,7125.170555612558,1344.271803472477
1356.9749,4461.999029291223,1358.688888506899
1356.99573,-1639.7896416041463,1342.586947683568
1357.01657,3394.101935541695,1337.0696587467585
1357.0374,1797.4203009288542,1339.106549111468
1357.05823,3019.131225224683,1354.9919012862122
1357.07907,7922.9733862733665,1346.610066226694
1357.0999,3459.2059658018734,1331.4012154841105
1357.12074,2935.950157079664,1329.3060688066205
1357.14157,2843.686721713945,1337.2443236559693
1357.1624,3062.530409750759,1319.6172117582255
1357.18324,3863.971555202954,1336.7164798505285
1357.20407,1436.6831682610061,1336.4483967826093
1357.2249,3930.1786063281475,1331.6141631131482
1357.24574,817.9851060487455,1339.1164318788146
1357.26657,732.9754138572067,1330.4206369050628
1357.2874,239.42189829339793,1341.6386181348096
1357.30824,-35.37666608145608,1334.555274675511
1357.32907,-231.01728085441738,1341.4400265257068
1357.3499,4072.2799011608504,1369.2952824815832
1357.37074,2034.0185365476195,1349.970103095425
1357.39157,6169.933992770066,1356.4198051241083
1357.4124,1594.2699272928692,1375.217244733955
1357.43324,1452.263611055824,1373.2317447594485
1357.45407,1850.139247150211,1375.1996638109913
1357.47491,1617.279714433248,1362.7317725847183
1357.49574,5373.212128798721,1374.1115191115603
1357.51657,5858.993211946345,1351.013931385491
1357.53741,4340.176548879064,1406.2881451261712
1357.55824,-796.2581021099618,1357.8284635729608
