relative_time,cts,e_cts
1354.11607,-2366.4194540043823,1202.8766663795466
1354.13691,60.761818948360485,1198.400065551453
1354.15774,-1714.1447051738944,1198.7597830671887
1354.17857,-683.3346599719674,1197.221572411238
1354.19941,-3887.072967254021,1195.5696138715969
1354.22024,-2299.498169726018,1195.7757310786108
1354.24107,-4050.0892537511795,1193.8683916928499
1354.26191,-4226.055719378303,1194.018506366729
1354.28274,-2192.366485717907,1194.3194328414563
1354.30357,-1411.7223121602262,1196.44323015093
1354.3244,-3877.485612432174,1196.4526413650046
1354.34524,-3840.9716122649643,1195.344558048606
1354.36607,2003.5646345349603,1197.6668041684404
1354.3869,-3811.9395272869647,1195.388244671964
1354.40774,-2817.1906982862197,1194.9296513145323
1354.42857,-2392.89796289684,1197.349611397782
1354.4494,-4660.21721650914,1194.8125339838277
1354.47024,-1056.1636235429146,1193.0758745175165
1354.49107,-5176.590897032806,1196.6854817724768
1354.5119,-3534.7350052310867,1193.9924802932392
1354.53274,-2374.586877379264,1192.3707305888988
1354.55357,-4040.7971322004832,1186.960792937839
1354.5744,-685.3728268521463,1193.9117297527237
1354.59524,-4196.61174854976,1192.4459041136668
1354.61607,-833.1954634469417,1200.0434261918163
1354.6369,-6316.349571498358,1188.7514797442077
1354.65774,-3962.9619766670826,1192.9297102297917
1354.67857,-707.3439451420699,1185.4753315558364
1354.6994,-3413.7835923876596,1192.4974915093342
1354.72024,-2946.328240744849,1200.2684820148072
1354.74107,-5016.567725174817,1188.0889767484955
1354.7619,-1563.5959535688582,1199.403928386064
1354.78274,-2680.1775962768447,1190.7353869086733
1354.80357,-2914.0236094011493,1195.3568739583825
1354.8244,-2966.4338472671207,1195.0515323461882
1354.84523,-3472.8381473902136,1195.8230195246392
1354.86607,-1704.9599411763443,1195.790486932777
1354.8869,-1946.6299264557263,1195.8225547733268
1354.90773,-4976.224871321059,1193.5291232348561
1354.92857,-4879.343858445304,1191.516633864683
1354.9494,-4444.826826560544,1195.1135766463829
1354.97023,-1129.557150784474,1195.85868918786
1354.99107,-6655.904083924621,1192.2933494953977
1355.0119,-1964.6397369350912,1194.724231234487
1355.03273,-3403.192374731202,1194.3356991373876
1355.05357,-3094.2516121865906,1192.9442337083015
1355.0744,-3363.8215482471614,1194.7915039869454
1355.09523,-4636.709746568515,1191.2214005935316
1355.11607,-2667.2895776349014,1193.7805536948213
1355.1369,-4294.838448850336,1190.3002634925137
1355.15773,-876.1604442048082,1192.3361066161312
1355.17857,-4504.97889178714,1192.590557959626
1355.1994,-2911.6920682550685,1192.1677504532433
1355.22023,-755.7588321638555,1191.9627951245102
1355.24107,-5647.180880089386,1190.4352737487425
1355.2619,-2801.51579839995,1192.3799094273172
1355.28273,-2674.046945528205,1192.4045412468702
1355.30357,-2066.7359566620435,1191.7247262647743
1355.3244,-3458.8949108936476,1193.169638094777
1355.34523,-1995.1297467798383,1193.6936451994177
1355.36606,-4552.932629319276,1191.4637684029067
1355.3869,-5062.615749950784,1189.8137850563428
1355.40773,-7776.7340183785245,1188.4026838843115
1355.42856,-4670.591860054057,1188.2723211412058
1355.4494,-6401.670011667984,1187.5191916395913
1355.47023,-3029.401259755924,1188.0246086917393
1355.49106,-1172.375967254616,1189.9137065884918
1355.5119,-2585.997718028294,1189.0140642356685
1355.53273,-8209.402966669846,1186.8167200310197
1355.55356,-1979.6568975265996,1189.7928712472885
1355.5744,-2472.597816883096,1189.6298597244922
1355.59523,-3836.152605907519,1189.9675015528926
1355.61606,-9513.392090435991,1187.985104830192
1355.6369,-7586.41312753126,1189.120957037502
1355.65773,-2537.1400391936954,1190.595380575837
1355.67856,-1594.641225044,1191.5672917577258
1355.6994,-3319.062975987224,1191.0755848692913
1355.72023,-4113.105000376463,1189.366345730407
1355.74106,-2011.4749342463015,1182.5470497247368
1355.7619,-3148.077133986404,1188.5963689937207
1355.78273,1296.0316517966044,1189.9073162579473
1355.80356,-3329.3632593221705,1189.584197908057
1355.8244,-642.3022313585552,1189.5558480780053
1355.84523,-4363.9695094309545,1188.0847939866846
1355.86606,-4820.736742768687,1189.155929573754
1355.8869,-6240.784609937812,1187.6134199681642
1355.90773,-2221.8494956566856,1188.9502771180526
1355.92856,-6573.026841403862,1187.0341074573575
1355.94939,-3787.0746349508813,1183.7498261210208
1355.97023,-3688.413159797629,1192.5788229889902
1355.99106,-1775.1717809337613,1187.738205695522
1356.01189,-5099.612510543667,1186.5462347672496
1356.03273,-7038.919350571169,1188.1206960255613
1356.05356,-1643.9554058551246,1196.1475321284665
1356.07439,-3149.3385852358692,1189.5280791870941
1356.09523,-1782.86074283261,1193.8346972227066
1356.11606,-3158.591202925018,1193.4785815296414
1356.13689,-2946.948335183313,1191.4443650356172
1356.15773,-4698.195531873642,1192.7867992012534
1356.17856,975.7648997707573,1195.4099717958147
1356.19939,-469.1714458635513,1194.1319056869352
1356.22023,-1458.4150631942107,1185.7434930630452
1356.24106,5390.50314543257,1193.7169989528616
1356.26189,-483.95135091012077,1191.8434702250718
1356.28273,1191.2636929629527,1193.5133216902373
1356.30356,-6774.675929301096,1190.0676554606976
1356.32439,-4224.685516321756,1190.5945672610403
1356.34523,-419.98054033801947,1195.7815404700145
1356.36606,-2116.5827424770864,1192.3002045772541
1356.38689,-4940.67906432524,1192.9614295068575
1356.40773,-3774.5242581373386,1192.2666262949394
1356.42856,-4103.306648458823,1190.1521240117115
1356.44939,-7084.7577725052815,1193.7940314828786
1356.47023,-3433.02452909336,1189.5330752637017
1356.49106,-2415.8387847999193,1191.6587315784247
1356.51189,-2668.5796110900737,1195.4763150456486
1356.53273,-2630.428524425217,1192.038201024934
1356.55356,-4720.342907098763,1190.5905006870576
1356.57439,-6694.381426010727,1187.6535047688517
1356.59523,-6136.853087278509,1189.940662164606
1356.61606,-2349.352042998574,1191.765159628946
1356.67856,-775.8592102338632,1190.9362756634234
1356.69939,-3901.065467389693,1189.7942655012253
1356.72022,-5244.328749366917,1186.9135044918105
