relative_time,cts,e_cts
1385.97328,-5648.461214824979,1009.7176234441667
1385.99411,-2285.314538028709,1009.4809498574159
1386.01494,-471.5899895379057,1009.4154000547006
1386.03578,-4081.1232635714614,1010.7167984743407
1386.05661,-5920.665347209905,1009.2754175320796
1386.07744,-1548.381193354248,1011.5377025457285
1386.09828,-1.8580612302380093,1011.7440516910364
1386.11911,-3063.4139756283416,1009.7673473599336
1386.13994,-4155.318799377904,1011.6672706137125
1386.16078,74.77976629107901,1013.5297222512974
1386.18161,-3105.6093638201373,1013.1816548409292
1386.20244,-3138.147081078547,1010.674017528332
1386.22328,-3509.460575221553,1010.9365230466824
1386.24411,-3259.456486535353,1009.8863988707841
1386.26494,-1290.4942814303004,1009.7543803428856
1386.28577,-1859.5078184075444,1011.9164007050291
1386.30661,-2613.4312226948236,1007.7014054469412
1386.32744,-33.05762317028878,1007.3148453954146
1386.34827,-4533.097627800564,1007.848739349306
1386.36911,-1331.3306853944628,1010.8412614175027
1386.38994,-1509.0044466792094,1007.4030619523398
1386.41077,850.9625358275164,1008.8528152993092
1386.43161,-894.3656944497155,1008.9944314618733
1386.45244,-2990.1287856801696,1007.5275248955018
1386.47327,-3555.112745532864,1009.4021267301632
1386.49411,-2978.7220989827465,1009.0029059690779
1386.51494,-3026.9402071321215,1008.5567180596296
1386.53577,-1824.2805171878792,1012.9262964973295
1386.55661,-5160.491228090492,1008.4739129350157
1386.57744,752.5418554079326,1009.4598146406526
1386.59827,-5221.48950571942,1009.4268355343021
1386.61911,-3998.5110105733816,1010.9803250176557
1386.63994,-1653.8210119941818,1009.0301673356278
1386.66077,-4167.815634429831,1009.2344744310067
1386.68161,-2375.703733975727,1007.0868505208613
1386.70244,710.1017275321676,1007.9844335670764
1386.72327,320.13206523941557,1009.4385773213927
1386.7441,-1377.6254888183744,1010.8467749523105
1386.76494,-5038.237272439109,1011.4063987353052
1386.78577,-3600.2007995513363,1011.4957384196912
1386.8066,-3145.894924815999,1009.5535447323856
1386.82744,-2818.233719386509,1014.4931614077171
1386.84827,-1960.0427352209376,1015.9849809832203
1386.8691,-2606.0224613480536,1014.8095770441886
1386.88994,-493.59552798091084,1014.1761331562669
