relative_time,cts,e_cts
1410.93065,-6878.328733543256,1024.385230713922
1410.95148,-5896.289059788994,1019.7689763047393
1410.97232,-5438.173768735272,1009.1066078333126
1410.99315,-5024.029557179397,1021.0508048506805
1411.01398,-6423.513327761114,1014.785765872192
1411.03482,-8620.762715583589,1017.5724766390887
1411.05565,-10064.850977679334,1013.3447283600215
1411.07648,-5750.690496494336,1015.8073819141885
1411.09732,-6957.744502171691,1016.4528781023793
1411.11815,-5044.735181709615,1011.6938290606139
1411.13899,-6754.988107374909,1011.5734908476828
1411.15982,-2354.6930579240197,1026.5106351675818
1411.18065,-9037.979831380126,1022.7682677975754
1411.20149,-7763.421425424408,1018.6921758772314
1411.22232,-5275.376508329078,1021.5028535852811
1411.24316,-7606.355889205337,1015.142148245048
1411.26399,-9084.660081541138,1019.6179241546167
1411.28482,-6060.2807398969235,1014.2530552894259
1411.30566,-5621.877653732779,1013.8460200955619
1411.32649,-5224.582705314489,1011.2844777337815
1411.34732,-6592.598889176914,1012.847061876084
1411.36816,-9361.414306445757,1015.6310537042784
1411.38899,-9917.706345277453,997.1483126152666
1411.40983,-2688.6841649559924,997.7341935548757
1411.43066,-4149.677176679134,1016.8633371449794
1411.45149,-4976.448029189318,1026.173285365641
1411.47233,-11514.978808244152,1020.8209034781938
1411.49316,-8166.422519865733,1020.1510375431164
1411.51399,-5321.686177215125,1019.0591319005962
1411.53483,-3878.3330355833104,1017.9797132358194
1411.55566,-5700.307454626648,1022.6897206795117
1411.5765,-6107.9394051849995,1015.5189730088874
1411.59733,-3608.5614480716977,1016.2080729177471
1411.61816,-4856.057149408567,1008.4035104252082
1411.639,-8182.973807461842,1006.6576496740902
1411.65983,-8659.122107002944,1007.3442320471145
1411.68067,-7283.812722526864,1008.5673516573745
1411.7015,-5970.950613044469,1003.4101291478858
1411.72233,-4866.374212664814,1008.0493434838871
1411.74317,-6689.743950769551,1014.4402592541446
1411.764,-6887.131549345239,1016.6000028965989
1411.78483,-5274.685394391551,1016.6100730399404
1411.80567,-7657.8031438213575,1015.9285257385867
1411.8265,-6792.4428978178985,1018.326730375368
1411.84733,-6745.300830883241,1014.0826684640875
1411.86817,-7245.546580634849,1016.5288069831744
1411.889,-4509.346545023364,1011.7799287861839
1411.90984,-9664.153932034547,1014.5515343380683
1411.93067,-8119.163941372615,1012.0374223514264
1411.9515,-9675.366231033855,1009.236009175251
1411.97234,-7206.830806842637,1010.014934762717
1411.99317,-8455.121143190585,1013.3935685552278
1412.01401,-7158.629763634187,1012.310222534548
1412.03484,-10721.43741473229,1010.7740221678002
1412.05567,-11590.729850307744,1014.4518399189874
1412.07651,-7238.591334031734,1017.4773137845114
1412.09734,-3900.2861494706754,1013.8299078662155
1412.11817,-7285.848200600482,1010.2713206121919
1412.13901,-7759.588930271495,1012.179512073975
1412.15984,-8791.717094200707,1010.0585384833857
1412.18067,-7200.202940599554,1011.0465202466215
1412.20151,-4487.298570385723,1014.3407662379306
1412.22234,-8290.49595036504,1010.1616567512028
1412.24318,-8200.306638882688,1006.4304672403057
1412.26401,-10455.509903038432,1014.3938358933402
1412.28484,-10581.070290903548,1012.9488710252666
1412.30568,-7604.953118237865,1010.92144906632
1412.32651,-6045.455676272416,1008.0025173173492
1412.34735,-10220.62250047902,1011.4006871879426
1412.36818,-7618.09586371574,1014.2694696230726
1412.38901,-10180.406174627487,1008.6700671194579
1412.40985,-5524.840040569597,1017.7787131747228
1412.43068,-5357.933859575766,1012.621692068101
1412.45151,-10621.080682323745,1004.5911555589784
1412.47235,-9092.090034701374,1002.5324154542396
1412.49318,-7550.0725489509905,1024.2540167461823
1412.51402,-5426.3980452160085,1016.9201327534255
1412.53485,-10413.51196742692,1017.3889986274064
1412.55568,-8055.726066378424,1016.9706848729999
1412.57652,-11194.470616132128,1021.0785984463031
1412.59735,-9077.72185348027,1017.0724940221826
1412.61818,-6801.6577838854155,1016.3230739547073
1412.63902,-7152.291917519339,1019.2126008851208
1412.65985,-4491.804355322448,1013.7352485188053
