relative_time,cts,e_cts
1410.93282,-3018.406074295807,1284.2658411470045
1410.95365,-5339.9078747205585,1288.3246430066008
1410.97449,-1768.7348033489407,1287.1514489904923
1410.99532,-3582.3918880134347,1284.5286680878542
1411.01615,-7977.642159787701,1287.3152757124874
1411.03699,-6420.142652902771,1276.0094714306726
1411.05782,-5329.651307067856,1275.4990403859733
1411.07866,-4558.304564237676,1283.812573408589
1411.09949,-9115.49340843567,1290.1163812771204
1411.12032,-6554.110246128597,1290.2182810839745
1411.14116,-5856.664577755272,1285.723505457248
1411.16199,523.281190261381,1286.6836833120772
1411.18282,-3548.5716113659882,1285.3577431424012
1411.20366,-977.302614443344,1288.518086948881
1411.22449,-2586.0726363427857,1287.5673327550514
1411.24532,-970.3635896894026,1288.5627198927368
1411.26616,1669.7052779445296,1288.379528065171
1411.28699,-2549.3545321595657,1288.9900984525816
1411.30783,950.995480973822,1291.1666534733756
1411.32866,-3320.622675443605,1286.6784019196486
1411.34949,-1339.9852561638156,1285.7962022706745
1411.37033,-3979.8956820248955,1298.320661966168
1411.39116,-5656.700808300648,1295.3828615386817
1411.41199,-3404.8625415843026,1292.3596268219123
1411.43283,-582.8826358265079,1295.2875893615417
1411.45366,-573.6881458354892,1295.1469593435456
1411.47449,2806.890967589804,1297.2293813110568
1411.49533,-1480.0960407943198,1283.9558959011563
1411.51616,1039.9273982819548,1286.3618290440866
1411.53699,-3923.513193366532,1289.9107176425548
1411.55783,-3684.9997121231704,1276.9072045867895
1411.57866,-1935.9859387720855,1287.22611338149
1411.59949,-1629.6028367818367,1285.0666452185526
1411.62033,-3934.198900043222,1270.4508576781197
1411.64116,-1223.0250927947823,1280.8499193696753
1411.662,-2528.612847185739,1279.2035747260088
1411.68283,-4053.224916305481,1277.7478779933367
1411.70366,-3419.1232331514598,1273.9572880237324
1411.7245,3002.761865025832,1275.1296535861268
1411.74533,-3561.8001531618897,1273.2737101527523
1411.76616,1706.805299290024,1275.926418945818
1411.787,-3155.567770816968,1270.032281438989
1411.80783,-2982.4440376835655,1281.8327761449323
1411.82866,-2805.506414319844,1291.9247921786393
1411.8495,1254.389211292872,1281.413578565516
1411.87033,-4844.763457956646,1271.3609140832364
1411.89117,-1683.3979609338467,1274.1584987195836
1411.912,46.25194952694308,1273.88759435502
1411.93283,-2184.2848046181634,1275.7348390243951
1411.95367,1114.0837400395162,1277.6709353546246
1411.9745,-4930.439966394587,1279.1634982775813
1411.99533,-2233.5658915945896,1285.6046223492515
1412.01617,-5108.295205803568,1266.7842250955118
1412.037,689.4107029121299,1270.5294572242603
1412.05783,237.204006591257,1273.1956283901832
1412.07867,-2824.2226335190153,1271.4590858483762
1412.0995,-625.1280796345673,1273.6039525145998
1412.12033,-1693.2667086915599,1274.469997316146
1412.14117,-9631.454899461407,1285.9952382755257
1412.162,-6419.071669363659,1289.425347322712
1412.18283,-2052.529182809417,1289.2657664260023
1412.20367,-5327.265360370783,1288.0691685924655
1412.2245,-3984.569921437474,1286.859729726358
1412.24534,-4503.655407862977,1285.8621678976724
1412.26617,218.91879043693064,1277.9075624467605
1412.287,-6694.132903995245,1274.914359177133
1412.30784,-418.13467330100474,1288.0562240031802
1412.32867,-4494.485771483386,1286.8977350404996
1412.3495,-2005.8065680160587,1277.5420072453426
1412.37034,-4312.202343414962,1270.7401951378258
1412.39117,-1440.2383041474768,1278.8081951908773
1412.412,-4716.384095703658,1285.6706915329637
1412.43284,-6524.708630922878,1284.4893165364267
1412.45367,-2083.760852269939,1276.9314368579317
1412.4745,-127.85246569071711,1282.5616083000539
1412.49534,718.0015726017284,1293.6307854897327
1412.51617,-2267.149955376758,1291.9670433180665
1412.537,-3745.7139781399796,1289.5052931061382
1412.55784,-3477.6897329140456,1289.8426808812712
1412.57867,-8224.66748516153,1289.6169272441348
1412.5995,-3923.3714242246792,1290.7610218235302
1412.62034,-1639.1934312049868,1293.414766183739
1412.64117,-572.0529853169652,1286.4219954950847
1412.66201,-401.71182109633867,1285.8509837725298
1412.68284,245.7866835142936,1287.2637044687744
1412.70367,3433.9641529887435,1287.6116550287645
1412.72451,-526.0407695835866,1283.9069135753007
1412.74534,-1821.5222171142655,1282.1686105693511
1412.76617,3101.742925887959,1283.1939255974644
1412.78701,-4676.475409153389,1280.6776009971086
1412.80784,-452.77967562099906,1279.6076530251396
1412.82867,-1403.9351517183877,1277.4651681633447
1412.84951,-4828.673644145113,1277.9023846110463
1412.87034,-2119.1944389691957,1277.4662037304875
1412.89117,-1985.7026888454996,1277.8243028484771
1412.91201,-2402.326676798548,1275.1997614816962
1412.93284,-1434.3914920590748,1277.5411787916282
1412.95367,2154.588570560311,1268.074748868903
1412.97451,-2482.473981590793,1259.3001813543008
1412.99534,-3810.555497004526,1267.3924136784944
1413.01618,-3285.9973488993246,1275.2913056171221
1413.03701,-2886.814900549341,1281.150958738095
1413.05784,-2742.5500418821007,1283.8588632598733
1413.07868,2540.089830716263,1279.7014754082797
1413.09951,1521.3317030814085,1292.6806526361888
1413.12034,-1764.537753275777,1281.1423635308095
1413.14118,-6237.456596329218,1279.9353064691304
1413.16201,-7394.992837238472,1277.28829329535
1413.18284,-2786.954125399383,1271.4497657440907
1413.20368,-7567.779493266885,1267.1404601926445
1413.22451,-5707.314566633178,1269.2536385042974
1413.30784,-19594.031875058205,1290.4897032321094
1413.32868,-18434.32260005644,1293.1231504763189
1413.34951,-25642.87472493161,1302.584816790187
1413.37034,-14491.90253957974,1277.8469817689052
1413.39118,-18566.980822186873,1280.7729767309631
1413.41201,-22682.38771382069,1307.4180157591895
1413.43284,-12715.38948786431,1286.1398034486645
1413.45368,-14689.407044183577,1274.3104164194363
1413.47451,-12226.282841769938,1287.0658075877802
1413.49534,-14715.280378576968,1283.8495431555882
1413.51618,-16876.701517588943,1279.3430656201474
1413.53701,-12257.966018504734,1277.5078335296294
1413.55784,-14023.204954292918,1276.982800988216
