relative_time,cts,e_cts
1438.30717,-8205.832454150694,1191.0708938684938
1438.328,-1545.398553886152,1169.1739864513527
1438.34883,-6629.274189074509,1217.7086199339544
1438.3905,-3173.8516096119365,1209.149414761037
1438.41133,-390.162826981989,1207.1060495534698
1438.43217,-1651.1865849557616,1209.9392831648618
1438.453,-1427.4065045858943,1164.3505739428888
1438.47384,979.5289490817958,1117.5107802552302
1438.49467,1020.8212842241514,1115.1532367340412
1438.5155,264.02913673916606,1135.312456637416
1438.53634,2156.901208983434,1133.849431042432
1438.55717,1106.870876071481,1142.4054197646067
1438.57801,3883.5469919695656,1122.1137510145754
1438.59884,-2734.189788290728,1123.6218069199579
1438.61967,-455.1320304078708,1128.7131038259959
1438.64051,-3243.7966623368397,1102.4004690320335
1438.66134,-3667.4175843110334,1103.408251973679
1438.68218,-1853.7865669311554,1111.6267431143474
1438.70301,-506.79362837862186,1113.2190011052453
1438.72384,-6454.125235709525,1110.0924961100595
1438.74468,-2413.251414194027,1114.9574927316974
1438.76551,-7.308120707231863,1210.5594837920069
1438.78634,-62.890342386903534,1124.6735863128345
1438.80718,-1183.7507114709765,1098.7371613825321
1438.82801,-1022.3580584397372,1116.0776217028572
1438.84885,-3324.8208945183587,1092.5720294213818
1438.86968,-2790.741654996095,1099.8617704100836
1438.89051,-6.079551396744986,1113.952581621072
1438.91135,-606.336345964994,1129.6339277243462
1438.93218,231.87312993156868,1119.9024411289404
1438.95302,-2314.0235641607205,1149.0521003512417
1438.97385,-1040.6703463773333,1175.820552164747
1438.99468,2708.0779519217044,1176.507494144804
1439.01552,-1827.3927167559389,1157.7028594970866
1439.03635,-411.36544053166114,1175.9407095746365
1439.05718,-1160.7694006605684,1138.7262596078733
1439.07802,1633.4159243485944,1135.3331338207624
1439.09885,-2.328021098300335,1152.9119561157727
1439.11969,3229.4615157426438,1144.0128410232917
1439.14052,-502.5689352012714,1107.1159006941336
1439.16135,-3861.4650237614765,1115.3431222011038
1439.18219,-4248.569350706841,1129.3274459178594
1439.20302,401.72849461344344,1113.2123384572783
1439.22386,-1268.2963828495933,1140.128976751431
1439.24469,-2349.24324030078,1133.976710593252
1439.26552,-2267.388934081153,1100.727110533122
1439.28636,-1246.2833385859908,1103.6710819486573
1439.30719,-1643.8094254308012,1088.798443460701
1439.32802,-1998.9372924439574,1097.9165069501698
