relative_time,cts,e_cts
1468.28649,584.782290621255,1848.7666800976965
1468.30733,-2539.3230493560127,1815.4211486054878
1468.32816,-4223.396101938339,1829.1273328562665
1468.349,-2154.633038305593,1814.6914348676453
1468.36983,2023.900991487959,1837.3930678846482
1468.4115,-4536.148898054308,1834.6680078209697
1468.43233,-1498.524809301021,1826.4451010859796
1468.45316,-1879.8122945559342,1834.8675801324039
1468.474,-5875.725099770492,1837.2732491400866
1468.49483,4873.878627372266,1836.7006562087915
1468.51566,1826.626085164505,1846.6369458717763
1468.5365,68.88422327533097,1839.888663748836
1468.55733,-6360.172881803904,1831.3630702482349
1468.57816,-3616.225415143829,1827.573331465849
1468.599,157.42336771696196,1841.9741881235138
1468.61983,-865.859733091115,1824.4541506260346
1468.64066,-2543.379303207539,1850.888627361182
1468.6615,-1246.7638988403662,1828.843108727396
1468.68233,-7557.768769465371,1839.9176764637143
1468.70316,-4442.902660417004,1856.4743913503062
1468.724,-4492.045301169906,1839.349228205973
1468.74483,1935.2773208250599,1836.5151506682075
1468.76566,2806.113802085196,1834.2983782976528
1468.7865,-6982.289261434177,1832.503734648766
1468.80733,-146.52752332813964,1848.3127755454482
1468.82816,-482.6041558788878,1846.7161970539757
1468.849,-4426.199123609665,1836.822610088214
1468.86983,250.06913007360842,1863.4726098481704
1468.89066,-2799.7900350111213,1817.0079305958327
1468.9115,2290.57933564651,1846.9808281805908
1468.93233,1116.2423512008086,1821.0541367538942
1468.95316,884.0034811603884,1812.2807420132303
1468.974,-4003.695874168149,1822.5778694677506
1468.99483,-5176.962904856075,1822.7694036244131
1469.01566,-937.8100100270678,1819.6508507654405
1469.0365,-5434.805809766821,1815.8969068910208
1469.05733,-4165.076902744518,1815.4401136269016
1469.07816,-1815.043983312073,1816.5099417885096
1469.099,295.91474581237856,1832.3876837892537
1469.11983,-3170.3980780751986,1833.6461573956535
1469.14066,-660.4479534079586,1835.8038995671056
1469.1615,-4405.546717674701,1820.1242227237758
1469.18233,-5706.5337478720085,1822.3397391326475
1469.20316,-2648.648234055684,1822.716276445221
1469.224,-2384.3218037447814,1825.3397292087418
1469.24483,1193.4533492423166,1821.5344165014862
1469.26566,494.1630224401837,1826.0401790393696
1469.2865,-2219.6686181956043,1827.9341692573844
1469.30733,-2946.3288619944083,1816.5571659477919
1469.32816,-972.879976910082,1833.8204848772587
1469.349,-7014.228869418399,1839.0087369937028
1469.36983,-565.8690148287868,1843.455594928652
1469.39066,-3659.4355208869215,1853.6988416269703
1469.4115,-7573.233174476229,1840.652414048289
1469.43233,-3930.9566021029145,1857.340376930758
1469.45316,-2359.599077187441,1838.6458896634742
1469.474,-1725.3027579436102,1842.7332913647392
1469.49483,-6816.677902717013,1846.5661096328533
1469.51566,-2723.377326215349,1840.2810261786158
1469.5365,-2940.5578436570363,1841.7649449071203
1469.55733,-5043.199720112606,1844.42846284833
1469.57816,-3474.0574604136677,1846.3098934495144
1469.599,1091.9165085353063,1841.4407811967294
1469.61983,-715.1879129974687,1833.3427170530326
1469.64066,2965.1274684852156,1842.584585501468
1469.6615,3170.807270391531,1833.566906213454
1469.68233,61.16407800205956,1830.8742499611983
1469.70316,-1790.4634316172514,1830.2720163341835
1469.724,-6191.7990353649075,1830.210599807883
1469.74483,4056.5662091962954,1828.8138448201812
1469.76566,-3340.509924291177,1834.7696151211273
1469.7865,2663.2427600048723,1821.6738282483027
1469.80733,2230.837257461981,1835.408774021623
1469.82816,-1514.1604018892756,1836.102190466826
1469.849,5083.815762595561,1823.8855767721252
1469.86983,-626.680293194082,1823.2721650861315
1469.89066,-7272.8720731135745,1839.0480485943815
1469.9115,-2197.9707497556815,1838.9115255594359
1469.93233,-3099.747093500343,1833.4281224474787
1469.95316,-7829.048580442052,1826.2687640656816
1469.974,-8973.121912173374,1834.417569061373
1469.99483,-6914.697925115362,1832.0522164237154
1470.01566,-3225.9350709487617,1839.7703521582941
1470.0365,-4974.809466567213,1844.2336631912915
1470.05733,-264.4085702049728,1840.411520597483
1470.07816,-6153.655730243509,1838.4621424692464
1470.099,-4854.592582152273,1850.643086852149
1470.11983,-7502.812156485537,1827.0112886126913
1470.14066,-9053.929105301913,1822.3543082881704
1470.1615,-838.1069989734551,1821.8445134410272
1470.18233,851.1712612080354,1824.66176109224
1470.20316,-1435.3930161301525,1825.9294032189262
1470.224,-4297.01655672039,1837.8678214008348
1470.24483,-636.2269835429897,1851.444139213588
1470.26566,-586.3683190345902,1853.0174824139244
1470.28649,-3817.8405482553426,1856.646081312377
1470.30733,-583.1045770050587,1861.707732491171
1470.32816,1834.0387710177702,1842.9144010394327
1470.34899,-8551.971835849157,1837.0937722155813
1470.36983,-3008.888439022486,1845.0322036293642
1470.39066,-300.0855433693972,1846.0786709036677
1470.41149,-1683.4117887562086,1837.6069581592687
1470.43233,695.3903145839764,1838.2325526735879
1470.45316,-6804.60811094306,1840.1797956669632
1470.47399,-705.0904834505509,1836.6033191783563
1470.49483,-3509.7493795221203,1837.465536873759
1470.51566,160.31647545383015,1838.3434540901997
1470.53649,-656.4624101991877,1841.7057891118495
1470.55733,-1079.1244131974395,1830.152574378127
1470.57816,-1732.2823882085654,1842.8910401521282
1470.59899,2798.723472349888,1833.2975024324435
1470.61983,-6699.750130757604,1839.0621153652316
1470.64066,-5011.918361646463,1843.7741068114694
1470.66149,1421.181558494289,1832.909410272386
1470.68233,-6626.596893721641,1833.281551719069
1470.70316,-3635.413495352545,1825.5988341039515
1470.72399,-3573.6324889717794,1822.486184264889
1470.74483,-3554.351216406182,1821.8472765567299
1470.76566,-2641.812913788109,1845.47518131497
1470.78649,-5140.996934908384,1836.6212794304238
1470.80733,2193.264158944681,1832.4587712205134
1470.82816,-275.7441267790254,1830.1315998180203
1470.84899,-3646.821646511877,1846.7743480799002
1470.86983,-7501.172121719833,1857.4639635603685
1470.89066,-4674.060901025342,1837.2579264075537
1470.91149,-2461.5108224568366,1842.3355282997225
1470.93233,-3002.745781623105,1835.2153559224357
1470.95316,-3956.4052745130484,1835.644769221865
1470.97399,-306.6682897425135,1835.3790077297351
1470.99483,-658.8720982842563,1848.457964716007
1471.01566,1142.4085545204598,1849.512470145082
1471.03649,-2358.251932686219,1846.9307153094378
1471.05733,1665.317399981078,1819.3729064449851
1471.07816,-8985.118104592702,1833.8787614993516
1471.09899,-3288.9055986395288,1831.1617395904445
1471.11983,-3113.580381073445,1828.2495412359942
1471.14066,230.25369700421686,1837.1840758605913
1471.16149,-1797.5110094092586,1830.7998970295625
1471.18233,871.6993269363801,1829.6707874765152
1471.20316,2168.623823473747,1833.7610778896512
1471.22399,5214.0886298218775,1818.801192686868
1471.24483,814.5348589139414,1821.223817177272
1471.26566,-937.4524377359082,1819.7407776219457
1471.28649,2480.1312079848212,1819.3157601884072
1471.30733,-1664.1562634051131,1819.6032498176535
1471.32816,298.22759925168515,1824.0155688063194
1471.34899,2726.467494340285,1831.8692228064974
1471.36983,-1798.0739314355947,1832.2843181427402
1471.39066,-2138.191495105335,1830.184475804876
1471.41149,-2159.0687181815633,1830.223033828545
1471.43233,2617.995861200404,1833.8452273224143
1471.45316,-1851.5375827628056,1830.1135139697847
1471.47399,2257.224886826352,1826.1646448421584
1471.49482,-2383.3715431353985,1827.5880262175403
1471.53649,-1856.2129001278988,1828.146301185649
1471.55732,3256.140195848713,1839.1834412638125
1471.57816,-2737.8456280153923,1836.273503640392
1471.59899,-1654.801986386046,1828.3836779437422
1471.61982,-9741.554687972868,1829.052728732294
1471.64066,-4823.518457363831,1839.6308148153093
1471.66149,-3527.310738158971,1837.874477997755
1471.68232,-87.86117632512924,1835.2927231621106
1471.70316,-7873.9472010718155,1830.1518208011173
1471.72399,-6949.523230662521,1831.3825376543218
1471.74482,-629.3308747299565,1841.9456777933087
1471.76566,-1796.1634881195314,1843.2982229297677
1471.78649,-1973.831576609146,1833.9970730898933
1471.80732,-12505.1945034574,1837.0707881167816
1471.82816,-4527.737597066864,1835.6887278807715
1471.84899,3053.1202695947263,1836.9519741415668
1471.86982,-184.62360429025517,1833.5653990594344
1471.89066,-2179.2439842731437,1832.0563610972697
1471.91149,-4620.665574013688,1825.042191886031
1471.93232,142.26943643415035,1840.881375863106
1471.95316,-1638.2359773829999,1840.8659275344046
1471.97399,-1504.9364936929082,1830.1407683383065
1471.99482,1213.968478565326,1839.3266208956784
1472.01566,-1238.9307170156214,1829.9756093769877
1472.03649,-856.8358995908541,1837.2034176705101
1472.05732,2705.483137732494,1834.314203414859
1472.07816,4848.5707482668,1833.0999396597022
1472.09899,-3388.068546169437,1833.6717790139876
1472.11982,-4595.325291096799,1829.7904806249085
1472.14066,-6316.8118094665115,1831.1835933237292
1472.16149,-1216.8731411496783,1826.9574078564892
1472.18232,-3504.0072483034587,1826.8526606521243
1472.20315,-2328.5552210755595,1815.2003505416105
1472.22399,-1863.3455065258474,1832.1884882663246
1472.24482,-5480.335927930812,1832.4838904541741
1472.26565,515.665463242226,1824.994967726749
1472.28649,1831.5723134646282,1820.1430621490215
1472.30732,-2226.320693653624,1825.6420391858478
1472.32815,541.2394806283271,1828.8733774039572
1472.34899,-1757.6278205683543,1823.4786451868224
1472.36982,508.99090607007986,1817.126870167216
1472.39065,-5315.5452145773415,1821.465966589761
1472.41149,57.40699422343233,1820.8501685765693
1472.43232,-2193.277346542353,1819.497874632447
1472.45315,-4820.3556946536155,1811.7497214136436
1472.47399,-4434.845917412679,1814.834991288016
1472.49482,895.0737786269841,1812.567478065467
1472.51565,-2342.3028520618777,1818.967105225197
1472.53649,1433.3342437393237,1811.435605396717
1472.55732,-5288.993556617168,1809.7531191261248
1472.57815,372.55478367277976,1816.7492024891278
1472.59899,-2977.6652315822676,1816.5547796205942
1472.61982,-5155.199224023961,1823.9609344731075
1472.64065,-228.20459551834736,1812.6342952270045
1472.66148,-250.7370504966456,1816.4913535556009
1472.68232,-2088.4041692205315,1816.9874584203992
1472.70315,-5667.620035854237,1826.2307084266859
1472.72398,372.70085201651654,1834.4728313754265
1472.74482,1810.9138789135845,1821.929290854632
1472.76565,3269.71324816109,1828.1233170868493
1472.78648,-870.4184972120224,1820.0070414987488
1472.80732,-1564.578471731299,1832.3832879233632
