relative_time,cts,e_cts
1491.86778,28676.90172870417,2121.8961378035
1491.88861,31767.10348137258,2162.653942002186
1491.90945,28374.036378807923,2196.516351531397
1491.93028,32759.631779494062,2160.970798949415
1491.95111,26918.50866220762,2160.562264666594
1491.97195,16506.44599698481,2115.497056004751
1491.99278,19205.0232386122,2121.8633913872877
1492.01361,20969.494631212587,2129.7614176476104
1492.03444,21271.851047223525,2124.4304602721354
1492.05528,18119.583238142797,2092.5523926031524
1492.07611,28114.251099793455,2085.0012736895833
1492.09694,35735.76593939857,2080.940490673529
1492.11778,16517.229346362554,2116.3781392659766
1492.13861,32912.4037032733,2107.4103967427022
1492.15944,22806.905027436274,2120.3941233654064
1492.18028,30457.06365759518,2128.4650916363535
1492.20111,31329.819209550355,2157.0701095237346
1492.22194,33671.725442061696,2167.685633518383
1492.24278,33880.587428700084,2149.295678244048
1492.26361,23819.22751083288,2149.200054160593
1492.28444,27575.69398771981,2124.6793557759197
1492.30528,24750.96788609985,2125.4334329714866
1492.32611,49761.786430343745,2208.6949483860362
1492.34694,26872.141897204154,2085.604694630005
1492.36778,36692.47841330148,2076.3806659187317
1492.38861,21409.105376722764,2062.6130719579337
1492.40944,25060.658248611275,2063.893820680923
1492.43028,26235.498353101117,2049.8273019693493
1492.45111,25682.38375347837,2045.8379243330924
1492.47194,50003.779262476935,2110.6719625380633
1492.49277,20690.935536155957,2067.741410883092
1492.51361,17727.79908832274,2073.9599325813347
1492.53444,29082.715784923235,2085.3933210614646
1492.55527,30185.93129055165,2092.4427830711065
1492.57611,35435.44343968351,2078.565693281097
1492.59694,22173.70008444125,2079.3121523867812
1492.61777,48928.06733538224,2144.0879747407075
1492.63861,24957.006403962558,2091.9846743526296
1492.65944,22157.23204817124,2086.9056824574586
1492.68027,21641.143980544264,2073.1695841816986
1492.70111,31620.67867719692,2107.173212630828
1492.72194,29107.745758301717,2048.7899910141086
1492.74277,23962.590411389814,2059.8281484430036
1492.76361,42683.3134836966,2090.3055108990516
1492.78444,31389.873862827935,2024.1754877913254
1492.80527,25295.292233323307,2028.0792471935263
1492.82611,21671.21758423652,2011.2881811719146
1492.84694,19621.95117834765,2035.0685604039443
1492.86777,30124.584631970505,2033.7094704282792
1492.8886,25436.82338122334,2054.4114591306384
1492.90944,35507.119659631615,2070.3197363485133
1492.93027,20673.69204655757,2008.1022277612117
1492.9511,24822.533814298895,2019.2380559245744
1492.97194,23344.065413896184,2052.374245452567
1492.99277,32186.026905845996,2023.6701923967087
1493.0136,30590.94851730953,2047.1276555799734
1493.03444,28240.70980000888,2049.6177476461544
1493.05527,38241.71545763072,2107.2435946851183
1493.0761,19218.615616505696,2065.4491617481967
1493.09694,23967.771167321484,2074.527537129023
1493.11777,25552.625624423847,2072.429719840391
1493.1386,24345.27515080474,2085.3103179925915
1493.15944,31439.724482667374,2070.897005637098
1493.18027,31285.72309014331,2192.5002537291334
1493.2011,32171.906037179735,2205.773695173053
1493.22193,16466.47126420438,2074.3218487021863
1493.24277,20048.518730652904,2085.1111106272974
1493.2636,25869.409338238867,2131.474350842908
1493.28443,25881.74461759886,2109.595992619238
1493.30527,24680.99675385149,2094.2902267191116
1493.3261,31835.026598173627,2229.2069396526604
1493.34693,28521.045274442222,2231.819375968303
1493.36777,26173.001817759006,2068.3844004097705
1493.3886,20796.75569385043,2075.873437575936
1493.40943,16181.23906351889,2067.4429409436525
1493.43027,18197.716983146358,2050.4913265203313
1493.4511,16459.32629181412,2057.0134347855465
1493.47193,28999.775480014938,2088.63658070054
1493.49277,33923.37244072744,2098.4234384404704
1493.5136,17422.065925545525,2043.3513570547675
1493.53443,22966.06500383936,2061.066599711718
1493.55526,21066.687813777502,2067.1973428220567
1493.5761,19155.773879359334,2066.066795542877
1493.59693,27051.382703727064,2071.538289621265
1493.61776,30105.115750503657,2077.793992146249
1493.6386,23184.69360911322,2069.3297257722465
1493.65943,21536.71065631697,2071.906231992323
1493.68026,34696.83426396105,2115.7386745271547
1493.7011,20087.119478386405,2100.596981816594
1493.72193,16138.83597931118,2103.1199340018225
1493.74276,41504.589290394855,2136.053846188
1493.7636,24457.820035214747,2064.536127990597
1493.78443,16827.557468070292,2090.2757207565246
1493.80526,26797.63117930547,2074.086824944159
1493.8261,25033.642000424385,2073.3543512870665
1493.84693,32143.43939564142,2130.9649621462645
1493.86776,22306.274860101414,2089.755189182142
1493.8886,27115.873018264632,2133.2266252187947
1493.90943,41625.2751840216,2135.9774378835036
1493.93026,21832.618529796335,2081.360850051094
1493.9511,25971.030109162555,2075.743475236591
1493.97193,25818.81055375123,2098.3201962671324
1493.99276,26147.401283559146,2133.5049697566033
1494.01359,19525.032133315683,2106.469733196423
1494.03443,23665.21895503027,2130.6276058375724
1494.05526,24452.33205422542,2101.930374951759
1494.07609,17132.809440453715,2104.758732949305
1494.09693,28961.803054142514,2141.1463687204255
1494.11776,32665.453086466066,2142.4836277519485
1494.13859,23910.269028965988,2138.283899872658
1494.15943,21991.772479949217,2125.2358174458686
1494.18026,24338.17565954811,2139.165892756556
1494.20109,29893.28009364577,2134.6291496770755
1494.22193,23071.382595007235,2121.8887471192857
1494.24276,26178.419189288372,2127.6783817274077
1494.26359,22769.707031566722,2150.1561812923064
1494.28442,28120.66007373877,2160.5939877573
1494.30526,24031.089433045432,2178.146066847357
1494.32609,26320.796627382402,2170.7876742375406
1494.34692,28975.078883345956,2180.0198895528665
1494.36776,28623.808872551166,2159.726207727661
1494.38859,26859.38534884393,2150.2523738899313
1494.40942,21293.40614828993,2130.3522175734497
1494.43026,24528.83461837138,2142.3389977470088
1494.45109,27955.897731295285,2148.784129193557
1494.47192,31486.36311114711,2163.5725471986552
1494.49276,30248.82760505836,2137.1232213424487
1494.51359,27944.084575349352,2156.4689626399945
1494.53442,29006.31919181863,2122.7786992015685
1494.55525,26961.91164913816,2146.029791740992
1494.57609,28870.362325358987,2130.523567744396
1494.59692,23708.315512822985,2108.2163224306064
1494.61775,23845.085240843408,2118.8350301046084
1494.63859,26975.47685205431,2131.2136302443805
1494.65942,29637.716373454736,2099.972753257538
1494.68025,20506.971513905683,2105.722932982237
1494.70109,24566.922111511878,2120.394691879577
1494.72192,32025.33410153678,2125.5439521262047
1494.74275,27225.211596456636,2121.146949829799
1494.76359,28551.337187575897,2126.8706367941586
1494.78442,23840.714617604506,2085.1429474208376
1494.82609,28274.428602858654,2123.7433540458373
1494.84692,24324.556220380106,2092.268476626474
1494.86775,24607.59497969351,2100.8480376742255
1494.88858,19113.06709488182,2063.8410625659135
1494.90942,30819.910436143862,2087.1938054389975
1494.93025,29381.258721582224,2077.4169535484657
1494.95108,29097.06724293699,2092.802197729609
1494.97192,20425.999291352346,2114.537858896518
1494.99275,18203.16312149275,2102.220658287145
1495.01358,29973.352244564598,2105.6248074364325
1495.03442,25829.687139452908,2119.0473132958214
1495.05525,36135.799002424894,2116.983947965913
1495.07608,23754.714228322828,2045.027677937494
1495.09691,18089.428223221345,2038.542523093352
1495.11775,30618.891898405443,2136.2752256059384
1495.13858,17637.654117036294,2128.3860681666733
1495.15941,34655.30464492468,2121.0016376078543
