relative_time,cts,e_cts
1491.84716,6827569.634718897,56367.24782759811
1491.868,6915222.872489966,56305.5330979174
1491.88883,7034124.398637179,56187.64750410359
1491.90967,7246360.843308971,56117.07448537366
1491.9305,7226877.330864382,56023.65327493077
1491.95133,7366665.12946909,55986.33114345853
1491.97217,7312499.062894487,55979.18544328546
1491.993,7344143.59511246,55973.43647727366
1492.01384,7280352.299118802,55963.729072302616
1492.03467,7370265.288682434,55947.02569049737
1492.0555,7433130.043329023,55947.25540301728
1492.07634,7347801.996704624,55991.146902358174
1492.09717,7287629.035927448,55983.41461485746
1492.11801,7364709.494491845,55993.628617975104
1492.13884,7326442.705148531,55962.58256070768
1492.15967,7241814.615133364,55952.046549861225
1492.18051,7482395.043567902,55985.75891316338
1492.20134,7232991.398263526,55939.672838855455
1492.22218,7369793.104342725,55987.28075860782
1492.24301,7373133.378706863,55944.084549840605
1492.26384,7033228.072690499,55949.263336561904
1492.28468,7359914.643533523,55971.541348984356
1492.30551,7154840.860843188,55955.84501045839
1492.32635,7159986.296177998,55974.966526736665
1492.34718,7197451.017594969,55951.42304445003
1492.36801,6984560.062474805,55980.04891623978
1492.38885,7026432.411326684,55929.27834732931
1492.40968,6975538.062235054,55973.69490385856
1492.43052,6922929.011732491,55973.80155609995
1492.45135,6956620.138932579,55989.72350513655
1492.47218,7085034.903492375,55931.02580328437
1492.49302,7125886.82420869,55924.49745550858
1492.51385,6911738.738609226,55969.194999673804
1492.53469,7171589.264251325,55955.914744616224
1492.55552,7214543.216554229,55977.39286522826
1492.57635,7206401.03987781,56000.09133360236
1492.59719,6943385.221332612,55976.01048809949
1492.61802,7332967.508788305,56009.26342636182
1492.63886,7341638.879529465,56023.18359486773
1492.65969,7464609.621447649,56013.95202297365
1492.68052,7397430.797993904,56008.502503639604
1492.70136,7379564.757034185,56037.805206961246
1492.72219,7203120.72048137,55979.16698424368
1492.74303,7491322.156128891,55982.883404655164
1492.76386,7459398.947757184,56052.3899009712
1492.78469,7355580.126210086,56055.60792725465
1492.80553,7407911.989588284,56003.37089002507
1492.82636,7152308.507972641,56000.98146961703
1492.8472,7362651.061110934,55958.69385590627
1492.86803,7336513.859894862,55979.65102133922
1492.88886,7206683.573971277,55995.42529804159
1492.9097,7126231.177633077,55974.591192887165
1492.93053,7015354.555818859,55976.4104340047
1492.95137,6872023.521583645,55949.168990348364
1492.9722,7185418.224580807,55934.381246878846
1492.99303,6927115.684437307,55926.85816185163
1493.01387,6744058.452097657,55949.199755418
1493.0347,6620691.981139808,55919.59145240468
1493.05554,6798157.15342479,55908.881106163644
1493.07637,6732249.835941879,55904.178152519315
1493.0972,6778810.83268071,55956.462362855666
1493.11804,6777994.502068086,55887.263517235944
1493.13887,6324462.663100552,55892.26796856266
1493.15971,6486557.536863498,55815.13583698731
1493.18054,6634063.9037988605,55825.34984010496
1493.20137,6276781.782960057,55868.1337969391
1493.22221,6241859.759681047,55851.044826261146
1493.24304,6051726.6228563,55881.77707981834
1493.26388,6114966.664179289,55823.47522186208
1493.28471,6033126.9108730415,55806.76568704291
1493.30554,6110714.396244009,55823.63520022416
1493.32638,6052139.186542068,55812.760773611764
1493.34721,6202589.315318132,55785.0209358274
1493.36805,6158558.013347832,55810.95383852207
1493.38888,5880794.6161570195,55784.951201669566
1493.40971,6092615.734439792,55796.914711746926
1493.43055,6172666.423059797,55786.41356797938
1493.45138,6039048.146917744,55788.10154479983
1493.47222,5902751.1356528355,55767.16694041794
1493.49305,5981217.804673683,55767.37204088215
1493.51388,6292617.556985615,55775.15355249427
1493.53472,6142039.24862344,55763.425907950754
1493.55555,6088450.808537196,55793.747960579516
1493.57639,5871128.29075795,55764.131453547634
1493.59722,5939562.985374144,55748.178739441406
