relative_time,cts,e_cts
1491.92965,-2998.90497167281,1296.4591572758145
1491.95049,-1152.5781129040136,1288.1863664743894
1491.97132,2048.0422811772496,1280.7574781074484
1491.99215,2500.3894496460243,1278.115706460615
1492.01299,1153.9373165825127,1280.7516792629106
1492.03382,5920.6291417944185,1281.0513999335249
1492.05465,1296.492927017534,1281.6960950027144
1492.07548,2343.1959637582167,1287.177481227667
1492.09632,-792.6190452322618,1279.6136275966821
1492.11715,4234.142429782128,1286.0033857630374
1492.13798,1746.1660322345983,1287.3690705030785
1492.15882,4728.576929688395,1290.236201167043
1492.17965,8595.179496445508,1287.2228486584618
1492.20048,1642.02606131921,1258.4728596576385
1492.22132,3287.2254550345406,1261.188538146619
1492.24215,1286.4857131851716,1253.9130349028412
1492.26298,-2241.9510944039744,1270.2591817347286
1492.28382,-680.3183945098433,1257.1310525127526
1492.30465,803.2648141807734,1267.8576641762895
1492.32548,7088.414326538583,1259.0110151713022
1492.34632,1498.5727670091885,1249.6520211959858
1492.36715,-267.91992087249656,1271.1132037214447
1492.38798,-184.10592338719,1284.0681635271287
1492.40882,1342.207833673265,1284.614960456182
1492.42965,-1607.7187326002738,1271.228725800862
1492.45048,1803.8543021294684,1284.9258240045351
1492.47132,2411.2580254224977,1281.5855758479963
1492.49215,2239.794265344459,1280.93621896261
1492.51298,2546.3100447285924,1278.7127600423282
1492.53382,3553.1515967115815,1275.2086661018911
1492.55465,817.8523192780658,1274.3408860722523
1492.57548,2228.315964244871,1280.9313297407448
1492.59632,6734.146654226316,1276.9324010664257
1492.61715,5271.761064891778,1282.3429504257513
1492.63798,-397.89829231662173,1282.975479291695
1492.65881,441.9938432094966,1282.980595919228
1492.67965,4158.793039779325,1257.7302664483132
1492.70048,1424.8908290680556,1284.4837473856624
1492.72131,455.85001167803676,1286.8984544728537
1492.74215,-401.32188465053554,1285.9626801484396
1492.76298,3992.113099039206,1282.785027044624
1492.78381,3655.648902783129,1287.4284233824642
1492.80465,-2802.3346025061237,1276.3790093729963
1492.82548,342.20960046174565,1290.7112516077968
1492.84631,3147.073408808971,1287.0717375919799
1492.86715,-3148.4907146356813,1289.2509661098075
1492.88798,1496.9949127807686,1283.709885896967
1492.90881,-12.164725108882118,1286.8542240703998
1492.92965,1195.1505006316575,1285.2280461374992
1492.95048,-1189.3093586397003,1287.96328151394
1492.97131,-3835.392958049641,1283.853037765064
1492.99215,-3940.1820584447482,1284.788357278142
1493.01298,1029.5240166492172,1286.3019694053112
1493.03381,-857.010665709858,1285.41542840805
1493.05465,-1870.5712592666748,1277.5986996740887
1493.07548,-1851.0713369261273,1275.183082964225
1493.09631,2896.682712756883,1277.1467309086518
1493.11715,813.4531566278126,1273.6836836913149
1493.13798,1800.34486415583,1284.9683488644782
1493.15881,729.4779285237917,1284.3661786552318
1493.17965,3827.1433626263665,1285.7549450705897
1493.20048,1570.1814474738492,1283.9403615416315
1493.22131,357.0815900498867,1279.665589791853
1493.24214,1100.463442232529,1269.9077262746114
1493.26298,-797.1845551287628,1265.9578035217771
1493.28381,246.6315666548273,1267.319736068294
1493.30464,-1766.1109874677047,1269.2451798604725
1493.32548,1153.2818197440865,1273.4388814895574
1493.34631,4383.348177873529,1288.120873641964
1493.36714,-3760.4159448284254,1289.2251555664732
1493.38798,-702.0599682241243,1273.5447388280786
1493.40881,91.4065042304775,1273.710744965824
1493.42964,3137.387178077195,1289.1496568846492
1493.45048,-185.55631673861492,1282.6820122769545
1493.47131,-1156.0756120800743,1288.4478829927555
1493.49214,-3013.733981589672,1283.8283642500703
1493.51298,-343.6364573265176,1282.4649535667106
1493.53381,-1904.7241795369407,1289.9271568640347
1493.55464,405.6678343744431,1289.421747766584
1493.57548,-4705.223504598305,1288.729297507084
1493.59631,-632.4639416253756,1289.2286803543293
1493.61714,-3244.1792675973174,1287.0519532988512
1493.63798,1635.9169217473448,1290.0741746284903
1493.65881,-646.8653151832921,1284.6702200335408
1493.67964,-1810.3291100157096,1281.9272528643833
1493.70048,2395.528716465452,1288.6843848876258
1493.72131,-694.7052141049984,1268.1090611424231
1493.74214,1448.3090647735653,1280.438541657876
1493.76297,2944.3651332534,1285.5353848979962
1493.78381,1396.572114916868,1283.0545027613748
1493.80464,3220.6560841759597,1279.048183402841
1493.82547,4984.064241574934,1275.5289669854724
1493.84631,2000.154285956731,1274.7924000263529
1493.86714,-82.1716737499678,1281.2226364016378
1493.88797,-857.9785042334805,1281.5263366714448
1493.90881,-1670.4039009441146,1279.3444929884333
1493.92964,2174.7964950584237,1281.0092161820844
1493.95047,2773.274545876786,1277.9192279633382
1493.97131,2089.3700776831397,1283.4641740725372
1493.99214,-1849.4196895583946,1285.659434689969
