relative_time,cts,e_cts
1518.12006,-4609.1372625710665,1327.2169325082034
1518.1409,-10758.727550394335,1301.4748450558398
1518.16173,-7647.07549002976,1294.1608673001715
1518.18256,-10213.031693636713,1255.8074712338548
1518.2034,-8358.292211992168,1230.968451238171
1518.22423,-9981.698862581976,1276.082252537726
1518.24507,-12554.009997244077,1308.8804057123516
1518.2659,-17114.686607517426,1287.12249616648
1518.28673,-8701.99683342238,1252.7830907073985
1518.30757,-6929.416329228727,1250.7463899429686
1518.3284,-13566.161911462834,1248.2174578964866
1518.34924,-9525.756607929638,1252.6874326891873
1518.37007,-10774.66072310259,1269.4487121425416
1518.39091,-14473.251937944422,1340.849165262709
1518.41174,-7863.380038911744,1325.6653851903973
1518.43257,-7515.1128946286135,1220.0408095366836
1518.45341,-9441.38409106854,1184.1120010642483
1518.47424,-10642.889336497938,1208.16656096664
1518.49508,-10750.520692975404,1227.180951364638
1518.51591,-10237.762079582566,1280.7518008415157
1518.53675,-13341.628092016397,1244.4943019813918
1518.55758,-7687.959641221381,1257.7329641901174
1518.57841,-10133.395106596527,1299.2470427348483
1518.59925,-13119.667387467905,1136.541654671454
1518.62008,-9811.322066073788,1205.3731752509768
1518.64092,-12026.813350257224,1308.1037741340028
1518.66175,-6990.128285692935,1271.5205876042512
1518.68258,-14502.290688107365,1300.6621808607654
1518.70342,-6652.616126822817,1163.2520114583815
1518.72425,-9949.159372120272,1186.6446865083058
1518.74509,-10225.762038573777,1133.1648837326181
1518.76592,-10581.199888065119,1180.2817124583537
1518.78676,-7143.480206998033,1180.1668584925417
1518.80759,-9505.03914019171,1273.1531010697583
1518.82842,-6770.77812277821,1245.0389735895712
1518.84926,-5132.777190015317,1236.410770482803
1518.87009,-7421.603213949502,1280.724240179318
1518.89093,-11625.100183776587,1290.5523508710273
1518.91176,-11154.927619276059,1254.3211257939327
1518.93259,-9581.337777147985,1239.7320983774514
1518.95343,-11132.432113486624,1223.3848722966468
1518.97426,-12474.007078600516,1150.925639340379
1518.9951,-11917.55891742815,1179.8190793971833
1519.01593,-12047.654465635282,1216.3765283435598
1519.03677,-12560.254900130294,1185.2054193979743
1519.0576,-7567.213377415248,1183.8324265648343
1519.07843,-7022.174686953142,1177.5404453490257
1519.09927,-11235.069091910122,1220.9641453402714
1519.1201,-9017.026462534683,1226.7389083701678
1519.14094,-5924.37924821427,1158.257955124202
1519.16177,-7313.030505360081,1184.146317842082
1519.18261,-5076.6428772342615,1134.8615266767022
1519.20344,-7669.054742792658,1257.2109202073223
1519.22427,-12577.429803996474,1189.9086410400134
