relative_time,cts,e_cts
1518.26626,-2174.338728340112,1246.1185598939162
1518.28709,-9734.758224645624,1247.8249113541567
1518.30792,-5627.420237302463,1252.468481059127
1518.39126,-3294.9466918161233,1261.5015533639678
1518.41209,-4231.601598851977,1313.480748742239
1518.43293,-6866.60221762419,1310.068562428316
1518.45376,-2867.754603726066,1278.452757700718
1518.47459,-2034.985659207359,1238.7900825870197
1518.49543,-3081.8496897058785,1184.2830280003775
1518.51626,-973.2662971768713,1257.4480516692568
1518.5371,-6067.065126467027,1261.636800960786
1518.55793,1119.6491417048312,1245.6847137067195
1518.57876,-848.5040570185195,1263.2884954472167
1518.5996,-777.0847502295808,1187.1863568549193
1518.62043,-2003.5328955093864,1256.6110457243938
1518.64126,-1106.1887512000933,1272.702410106429
1518.6621,-3162.8732290099033,1205.0631135005303
1518.68293,-4067.652581540924,1260.808370684782
1518.70376,-1398.3101285571909,1191.6215274744943
1518.7246,-2680.3973167129748,1239.6835019679884
1518.74543,-453.66114832543855,1282.1205609394146
1518.76626,-4163.079938245446,1202.748199515263
1518.7871,910.4216260334284,1283.9849940063261
1518.80793,-8210.891934972136,1219.510739137124
1518.82877,-2615.589747292714,1209.1259141132807
1518.8496,-2933.622663088071,1240.1229275060084
1518.87043,-4376.605827119932,1226.5679980012028
1518.89127,525.7502871771525,1275.9793488235337
1518.9121,-2876.5336089258067,1192.0738681764583
1518.93293,-1432.2479764405527,1230.9724821912478
1518.95377,-2205.134265175319,1172.4303171033503
1518.9746,-2246.689890037916,1236.1967176671264
1518.99544,-3944.9477786594584,1161.921919790894
1519.01627,-254.86588215987987,1242.593546707781
1519.0371,1590.2289481538821,1232.3796151332408
1519.05794,-2019.7616772357824,1190.9343374313785
1519.07877,-6584.729694444937,1223.4041961202447
1519.0996,-3015.6763158682447,1165.950624370833
1519.12044,-2462.843239865107,1195.6278113298272
1519.14127,-2698.175608148679,1188.9976827676942
1519.1621,-6.440327312816743,1198.73922930583
1519.18294,-1683.7765802373829,1183.5294023539352
1519.20377,-2470.134624821157,1180.1259983514938
1519.2246,-785.4192671470352,1196.6254819141495
1519.24544,-135.41818030370106,1221.993963538905
1519.26627,-3233.0283995520335,1197.3869599802697
1519.28711,-2349.9064337775335,1173.241389399014
1519.30794,-1969.6485680654068,1201.8432081474007
1519.32877,-421.55591054503054,1184.6692430629498
1519.34961,-1393.381288711032,1182.3453401235774
1519.37044,-633.8848220252157,1195.705818920047
1519.39127,-3691.179168828234,1157.9270012798313
1519.41211,-2356.2771225263655,1202.8705319481378
1519.43294,665.8431369006004,1234.9853786105198
1519.45377,-5552.24458091083,1150.3945677039362
1519.47461,-4452.638223826934,1210.408648196168
1519.49544,-5910.5499742006505,1223.852300648435
1519.51628,-2408.827168150948,1209.8200266842705
1519.53711,-2343.832277192848,1198.5181216991136
1519.55794,-2557.7960417856816,1210.0633483729696
1519.57878,-5715.528312296816,1196.6241387370994
1519.59961,-3123.4132703094656,1225.3494264527878
1519.62044,-5905.797297190684,1211.5774188724163
1519.64128,-261.5255606171163,1197.3198011277623
1519.66211,-4078.408846679788,1215.734965127858
1519.68294,-1298.638745659461,1177.049502978795
1519.70378,216.67873869642037,1217.5531102471948
1519.72461,825.2709169395578,1210.184130986171
1519.74545,-5603.820306567501,1170.8185046431777
1519.76628,-734.6271303171565,1202.2848034329634
1519.78711,-1784.2586221455306,1177.99933579587
1519.80795,-1471.064140048726,1210.7054903242501
1519.82878,-2214.0178315423473,1217.6917674472945
1519.84961,-3447.988698194762,1221.321755085964
1519.87045,-599.2707361577619,1225.2200681707277
1519.89128,-576.6925498727128,1210.2196735173443
1519.91211,-3231.134313268708,1248.7476739876054
1519.93295,-7419.09536651233,1177.570862316874
1519.95378,1908.937275362839,1209.8472001892083
1519.97461,-5013.967721242724,1246.6973658812167
1519.99545,-841.4062962003129,1236.4687626804364
1520.01628,-3630.961028745692,1222.1063771258712
1520.03712,-1170.7164231873667,1220.3622100656034
1520.05795,-2758.622294972369,1212.3120333975335
1520.07878,-5256.699858538162,1179.2386749279065
1520.09962,-5384.595214147942,1211.9079437480632
1520.12045,-3839.1316707212545,1200.707810254783
1520.14128,-3115.806652031878,1208.4740599587146
1520.16212,1249.3863030142932,1200.5032340579148
1520.18295,-3653.1981513813157,1188.998819302121
1520.20378,-2918.2194186409565,1225.5429472693202
1520.22462,-1110.1481271799832,1183.9724441378596
1520.24545,-1684.2005075786706,1225.15621560019
1520.26628,-738.8186692840977,1220.6687643969708
1520.28712,-2752.0478565971616,1184.8262914565048
1520.30795,-3821.94747682696,1203.8991989259248
1520.32879,-4665.590989386255,1177.5560873693223
1520.34962,-2111.359326206409,1212.8953855225423
1520.37045,517.7794612763525,1206.8298046067155
1520.39129,-3017.979141260061,1209.732926818634
1520.41212,-2714.457187065277,1190.4367419949558
1520.43295,-5285.38516090628,1192.7586818294083
1520.45379,-2007.809467915733,1174.9226337805478
1520.47462,282.47354324853694,1152.812079751572
1520.49545,9.185677881999277,1192.6820174162385
1520.55795,704.7611753219613,1145.2566055232012
1520.57879,-3051.246743795401,1200.943382845116
1520.59962,1619.5167170896461,1203.4524375747847
1520.62046,827.7670565052829,1181.5215593065932
1520.64129,134.57776475555713,1192.3485995438684
1520.66212,-3912.43318184269,1168.39221028406
1520.68296,-2626.8914456352477,1188.5233346263701
1520.70379,-2164.589329382299,1216.0676597510474
1520.72462,-2351.5079141065507,1183.7733439705037
1520.74546,-307.9810953586384,1211.298348009921
1520.76629,-2340.9174796727243,1188.4697108656758
1520.78712,-1932.9209414488964,1135.181434470072
1520.80796,-3986.7760684632344,1209.614417274287
1520.82879,-833.5498469913983,1123.985537150565
1520.84962,-8533.822797541497,1173.5052720287115
1520.87046,1435.6514837643058,1201.728934776827
1520.89129,-2208.905906332123,1221.272677462978
1520.91213,-83.00947823331819,1201.5293180029132
1520.93296,-4514.795808248572,1206.7184242328651
1520.95379,-534.6691894327307,1195.9552365661277
1520.97463,-3764.251719923276,1203.713633850382
1520.99546,-643.4037111369621,1197.7191379969013
1521.01629,-4481.796427838014,1181.306960942505
1521.03713,-1057.2297410797262,1190.7002113394071
1521.05796,-2201.620617333454,1170.4926292265504
1521.07879,-1363.6184483847633,1195.9720779399104
1521.09963,-2986.705433395003,1195.5111615690878
1521.12046,-3057.229047734119,1181.8191246838558
1521.14129,-222.0705613396324,1187.208674258214
1521.16213,-1305.6357681989066,1178.8142309800608
1521.18296,-5757.671732100818,1180.9501924537244
1521.20379,735.4629997275921,1183.69709284258
1521.22463,-1679.401645942441,1176.9516576967576
1521.24546,-4174.369547994527,1180.283046745049
1521.26629,-5135.244933562511,1193.9451204499317
1521.28713,-408.44908556841506,1162.788682273483
1521.30796,-3270.7744643364886,1172.1859622015356
1521.3288,-3228.6631774603775,1179.094954983541
1521.34963,-3344.0877540874403,1190.7297612345103
1521.37046,-2082.795013094115,1152.0192953280525
1521.3913,-920.5649891521801,1219.227225458232
1521.41213,-1965.0957144719773,1152.5500569054825
1521.43296,-2955.5243014250946,1199.2310387488055
1521.4538,-3919.5491272117297,1217.4411099454753
1521.47463,678.42281654569,1216.1270695051885
1521.49546,-594.5024576297513,1196.4656438451823
1521.5163,-2601.3512439906967,1198.0901648266756
1521.53713,-2975.1791145211614,1206.92010743301
1521.55796,-3157.7127427832515,1204.0996422703308
1521.5788,1681.7891948097279,1225.3514928790187
1521.59963,-6686.677452478725,1199.7487818409802
1521.62046,-2007.1191782332703,1230.346045079323
1521.6413,529.8620620915775,1232.9488122385671
1521.66213,-2532.823694069406,1226.4470087453785
1521.68297,-2042.8305364293801,1216.8215953614244
1521.7038,-4221.063238359172,1226.7224633619694
1521.72463,-3013.262936673071,1219.2991370910704
1521.74547,-3953.3067827277496,1195.5558996969887
1521.7663,-6395.9516360767275,1220.804115315101
1521.78713,-3534.495706145344,1221.8088117486086
1521.80797,-2497.834138555782,1230.7840241189815
1521.8288,-2840.798590149352,1235.5023984535137
1521.84963,-1223.153022011868,1224.5475497538519
1521.87047,548.6193229542135,1232.7076602974105
1521.8913,-2880.7091330894577,1246.7811594648833
1521.91213,-1779.0463719417914,1238.168914861984
1521.93297,-3017.119611269281,1239.3722981776011
1521.9538,-1686.1661955309005,1235.8836540931316
1521.97463,-1537.5194777455788,1232.9288712254381
1521.99547,-5234.914043391386,1229.4584116918008
1522.0163,-1995.8306016973036,1245.0034129783621
1522.03713,-7364.108694397473,1222.877257431342
1522.05797,264.6506170062434,1245.3079008834986
1522.0788,-8852.058843035364,1221.6615788796503
1522.09963,3031.772536351923,1191.298235090656
1522.12047,-1080.1675888502791,1217.075765787836
1522.1413,-1131.1302058442152,1192.9075678393513
1522.16214,-1478.8508473723446,1223.305317625092
1522.18297,3319.8231573552803,1224.0773344649901
1522.2038,-295.1992159068463,1214.4861204351587
1522.22464,-1873.964974508243,1221.6647818403085
1522.24547,-1437.7299985887478,1215.0735020913178
1522.2663,-1252.8947847905806,1217.2591611158364
1522.28714,-582.6534662999399,1197.0738964062743
1522.30797,526.2289748135615,1217.9853032934066
1522.3288,804.6567654657536,1214.039979011888
1522.34964,-232.45900260938006,1216.8401931975034
1522.37047,-2509.674450895423,1221.8464207060126
1522.3913,-5933.010477511844,1127.0003497002688
1522.41214,3231.6599087805607,1230.7178984795896
1522.43297,1866.4101202077413,1223.3499524316812
1522.4538,-3077.399434174818,1212.8138650077296
1522.47464,-1421.1638727801428,1221.4465672303158
1522.49547,-2818.0345288248254,1226.5188170569052
1522.5163,-3278.6005370798075,1220.8575324331719
1522.53714,-1613.820096577363,1185.3956952044543
1522.55797,-1763.2342850648743,1138.6858867152089
1522.57881,-773.0951011054076,1128.0764411600571
1522.59964,-608.1009887280309,1158.7800220279844
1522.62047,-1511.761578097593,1228.5580697829582
1522.64131,-1730.3846172347519,1237.0888971923569
1522.66214,-5834.923836890662,1256.5127871571103
1522.68297,-4353.640909165752,1163.3825731722698
1522.70381,262.7461985917626,1259.5322491658337
1522.72464,-2131.2582875616667,1254.7783323001283
1522.74547,-4054.1336078525374,1266.253403803442
1522.76631,-2359.7688662501814,1263.7169689262128
1522.78714,-2069.942358543911,1256.4262038980319
1522.80797,-2978.073661064221,1254.611468381976
1522.82881,796.9367003880843,1221.9545981192048
1522.84964,-1143.1152713413371,1247.0289239699791
1522.87047,-723.0548334596745,1236.704851877327
1522.89131,-3124.05034951648,1268.078058165407
1522.91214,-4691.623413759027,1254.685549762357
1522.93297,-5412.086742082417,1239.8978936894537
1522.95381,-3436.9376573540476,1258.1107545615355
1522.97464,2442.942315404929,1232.882583277864
1522.99547,-2173.4246446968336,1258.0959796139837
1523.01631,1397.426318058196,1153.5175576668323
1523.03714,-2294.7831708888098,1167.60872477858
1523.05797,-230.20174191595726,1277.4717218475553
1523.07881,-3518.5036335437076,1221.0394812628108
1523.09964,-4882.709773548565,1184.390688807012
1523.12047,-3233.693685477101,1221.5686930205675
1523.14131,-447.20511617326633,1258.51515417494
1523.16214,2059.8080877005755,1266.5173897544512
1523.18297,-1093.0977343841453,1267.4900565813784
1523.20381,-3521.674461273851,1253.6113180861764
1523.22464,-3619.774017058978,1246.6736019795603
1523.24548,-5732.320091849845,1237.1736206678272
1523.26631,-2797.4472408920237,1233.1378902387028
1523.28714,-5925.680140421341,1230.3882001744353
1523.30798,-1035.5496236346657,1198.0703271348582
1523.32881,-2440.105112189779,1239.609937194165
1523.34964,-5430.979663827118,1251.0433702089244
1523.37048,-2039.6224097057675,1236.7297523134105
1523.39131,-2342.6509013165905,1257.7746503350647
1523.41214,-1569.453822076684,1241.8060316711505
1523.43298,-456.9027511539935,1265.3312610978626
1523.45381,-2853.8265809652553,1267.9737036407416
1523.47464,-3573.8001662719,1215.245738717671
1523.49548,-4155.615696735173,1251.5027367600737
1523.51631,-1230.0959041840617,1242.4961147109896
1523.53714,-1666.0163700311998,1255.3954704940136
1523.55798,-1976.146445348757,1248.6373268268705
1523.57881,-4751.993746133482,1251.349924540292
1523.59964,-4182.56788742336,1243.4151577772227
1523.62048,-4140.729472131052,1245.0182912472253
1523.66214,-5733.902251093603,1227.2989962804158
1523.68298,-2217.0652936265005,1240.0343811420107
1523.70381,-3368.7402190231583,1214.8560107305061
1523.72464,-3478.7455928594495,1214.6592869533156
1523.74548,-4997.898880906608,1223.632846182704
1523.76631,-1792.8409035680804,1209.0033750377831
1523.78714,-1798.811118913347,1208.3426352504239
1523.80798,-4059.9177415157033,1172.715897208473
1523.82881,15.535805689833253,1224.6388857932618
1523.84964,-1646.880849846981,1190.8854664510156
1523.87048,-5272.718278074243,1209.1281871821348
1523.89131,-5850.007301878531,1208.438930712788
1523.91214,-2588.1491567648327,1198.2956709153477
1523.93298,-6859.704693507766,1206.133109002937
1523.95381,-2943.99984233486,1172.2612834376553
1523.97464,-7194.4713222790615,1208.8399207229115
1523.99548,3385.2856805694537,1202.1634008918927
1524.01631,-2266.7424901834484,1206.5962984426137
1524.03714,-1019.4496835837718,1204.899659185659
1524.05798,-2272.5171182859517,1174.8731428723156
1524.07881,-999.7114901892846,1220.6860190559999
1524.09964,-0.22224414114304267,1221.5491652926844
1524.12048,-5191.887639658881,1223.9753563304907
1524.14131,-3057.847115819808,1233.6232937603625
1524.16214,-5189.120798256897,1181.1950639620966
1524.18298,-986.7603704291743,1242.624749743869
1524.20381,-4888.911635274325,1207.6027513384176
1524.22464,-5229.835904250039,1238.0848113143827
1524.24548,-838.3672031423953,1240.596242434217
1524.26631,-4020.163110434726,1194.664753384874
1524.28715,-1173.6602539960356,1241.3843773987167
1524.30798,-2087.3641914547693,1243.4392316428139
1524.32881,-4356.734969161415,1242.4094281305997
1524.34965,-3049.323934187464,1219.6745034159298
1524.37048,-3812.142387682221,1247.1458836946533
1524.39131,-4581.2830722306935,1226.0542844401787
1524.41215,-5202.909233925803,1266.4059060592892
1524.43298,-7598.276114893326,1267.9202865226705
1524.45381,1172.2290471884517,1245.8379392117477
1524.47465,-3998.833148914506,1266.2590864755773
1524.49548,-6535.176483461848,1266.7850952726758
1524.51631,-5921.873783303856,1273.6146339661
1524.53715,-3962.5876195376854,1248.5880425612615
1524.55798,-2047.6381803770914,1198.267360875983
1524.57881,-2006.068193852189,1224.6297935178452
1524.59965,-685.3154845604707,1223.958721599331
1524.62048,-3328.916259342131,1226.8153492210524
