relative_time,cts,e_cts
1571.30584,22214.526048328036,4106.011588148445
1571.32667,35731.22234811582,4070.95346415722
1571.34751,35598.027292006176,4032.0606694719127
1571.36834,34103.62803800986,3997.124528717119
1571.38918,53029.31670949868,3963.775765746868
1571.41001,53459.06560175826,3934.064514518794
1571.43084,68946.29665567182,3912.0374979810067
1571.45168,65094.104523546506,3895.7917421849393
1571.47251,77850.27417315362,3884.9277874915238
1571.49334,69041.75953085441,3870.349195027085
1571.51418,63834.04960543373,3870.179163161188
1571.53501,52685.89506997933,3863.1640632591143
1571.55585,40316.18710731431,3856.5677488286246
1571.57668,36760.55164815839,3851.9364637722115
1571.59751,31640.329589236186,3847.1030553298506
1571.61835,45845.59413159062,3844.131841556435
1571.63918,71800.96253872597,3837.7474020787586
1571.66001,55936.343187585946,3824.569843821118
1571.68085,62331.803886134716,3821.773271745209
1571.70168,53036.144579316926,3811.266756302731
1571.72251,47375.18679040577,3796.5347982866747
1571.74335,53585.47587224508,3786.4217142419297
1571.76418,61243.00385770531,3767.3233591857793
1571.78502,76108.28157262619,3750.6636050509524
1571.80585,63751.35614111013,3740.3265895707245
1571.82668,76670.05958820069,3725.073011377953
1571.84752,61785.92748469653,3715.3971521312296
1571.86835,79730.93228150121,3707.7810011077886
1571.88919,83641.22212139866,3702.5616079187566
1571.91002,75404.94006086022,3699.6719527045825
1571.93085,88934.15187616606,3699.508480983668
1571.95169,75901.10013759688,3694.8601750105436
1571.97252,74278.78763070788,3691.65315062019
1571.99335,78830.66532353054,3687.893832942799
1572.01419,73174.13350486798,3683.74002006038
1572.03502,78356.64219008545,3677.7816354041324
1572.05585,90153.51261924158,3667.4260032962525
1572.07669,69895.77143845728,3659.579715294777
1572.09752,61537.22636016945,3649.179935184176
1572.11836,84889.22942190173,3643.716398221066
1572.13919,66359.52776786956,3636.66140554545
1572.16002,93799.12915459178,3632.436849477951
1572.18086,86243.72064115797,3630.642561174635
1572.20169,73571.9523984857,3628.3521840696717
1572.22252,70964.00824918607,3625.1967543330998
1572.24336,85578.8643085823,3620.39206868769
1572.26419,70116.41854621982,3614.172696641869
1572.28503,78087.85975256214,3610.1110803916367
1572.30586,60746.12145581572,3606.081378360238
1572.32669,71299.61303270575,3601.724378284578
1572.34753,80231.78162079185,3595.404653750647
1572.36836,81618.98012721977,3589.9306560158084
1572.38919,74274.81696998133,3583.067857858058
1572.41003,88654.43225854724,3577.6853475505422
1572.43086,68973.68933890163,3570.1597974483457
1572.4517,67899.9108013736,3566.9063201394683
1572.47253,56770.7909698389,3563.733692184969
1572.49336,47498.791446454685,3562.0943651442126
1572.5142,37909.356081634,3561.0211608853224
1572.53503,44868.76354422823,3559.4353788117205
1572.55586,33069.073493838136,3558.4460380278765
1572.5767,41625.47804113519,3557.6019069397257
1572.59753,59574.98026057842,3557.4191093862946
1572.6392,49282.953545435565,3556.4178894209963
1572.66003,44402.39308585701,3553.740109159635
1572.68087,52562.20743696145,3553.785675572081
1572.7017,56773.82477094148,3548.566814286696
1572.72253,57096.57521631982,3547.4803124366254
1572.74337,52718.977171921106,3543.080760069187
1572.7642,49446.285375691055,3542.3901718338693
1572.78504,46011.841680339,3538.7290790299994
1572.80587,38063.00496059415,3534.2639252127365
1572.8267,25524.312982216972,3528.2466765528625
1572.84754,51036.179419088796,3528.851450999761
1572.86837,38269.39190887573,3525.7672963519176
1572.8892,29731.02421425617,3522.759735829275
1572.91004,30281.58828253738,3518.2163921758697
1572.93087,39176.46085068715,3519.7456151616498
1572.9517,44817.91160523987,3518.3215317968047
1572.97254,23471.87481798495,3515.0336580520734
1572.99337,19245.972147751323,3513.216320590711
1573.01421,31265.21322978824,3514.6891617898855
1573.03504,22004.318436148416,3512.843988037652
1573.05587,35889.38194730567,3516.1042027927274
1573.07671,23704.74578076565,3513.5308529474387
1573.09754,18290.66787829347,3507.4850587918304
1573.11837,31197.746393872632,3510.5518379205305
1573.13921,34507.150357135564,3504.7338758271517
1573.16004,26576.099608847937,3504.774655106772
1573.18088,34681.01015628065,3510.2672694692637
1573.20171,12629.153718167314,3503.4718457734953
1573.22254,35706.63155599839,3509.5080656634536
1573.24338,21486.974587456047,3503.3947197446473
1573.26421,30879.872263830857,3507.60916964285
1573.28504,22162.93405406516,3500.5912329213243
1573.30588,22695.87863673073,3503.2764598337467
1573.32671,22441.544475278293,3495.930338561882
1573.34754,23294.07308091026,3498.2625587537605
1573.36838,23259.05609080109,3494.0271873121
1573.38921,9668.018986963354,3492.428639550965
1573.41005,14701.780108028659,3490.459354947711
1573.43088,29706.796889631027,3489.3678886635994
1573.45171,30754.06268986298,3490.501198034626
1573.47255,18824.36475001743,3489.2207286545326
1573.49338,18709.14165434033,3487.2074733497752
1573.51422,8561.441852137517,3485.747752440566
1573.53505,13464.368860082006,3484.195480296739
1573.55588,19776.67014671222,3488.9046005868636
1573.57672,16751.286419357162,3484.938726993132
1573.59755,36377.459925423915,3490.2792169125164
1573.61838,26029.9569009837,3487.8691614869267
1573.63922,18653.069967560496,3485.7200934509096
1573.66005,19388.51168713547,3486.6062449271917
1573.68089,12951.996005575413,3481.0439511869135
1573.70172,14963.69797438205,3480.731014541128
1573.72255,17149.06453369524,3485.6192090591526
1573.74339,14386.988714225,3485.1546798739064
1573.76422,16555.336129839056,3484.9330533542284
1573.78505,8865.18347957366,3485.3107049437604
1573.80589,13646.972800585088,3484.825608817488
1573.82672,14530.260507630162,3484.3438814143155
1573.84755,14647.486752442728,3483.75524137805
1573.86839,12427.643971728383,3485.0089382745664
1573.88922,13185.546918518496,3485.2607060009204
1573.91006,15073.298139303097,3485.0523770724235
1573.93089,13330.249000831052,3485.9697335626756
1573.95172,14546.366550068225,3487.5257290320333
1573.97256,12035.884169857469,3486.3651152737816
1573.99339,14279.4049960306,3487.5152682603043
1574.01422,2857.681599432716,3487.392221216579
1574.03506,-1771.8263668955865,3484.965676777925
1574.05589,-19.437709583082064,3487.5218284052867
1574.07673,9577.74128583516,3487.404632301681
1574.09756,-838.859036500636,3483.12014842326
1574.11839,-6215.7309880540915,3482.211302391363
1574.13923,5348.370603821609,3483.2719182639357
1574.16006,-8679.050181070008,3482.1593531351505
1574.18089,-11397.872482453751,3484.052752818066
1574.20173,-250.99841637945187,3486.0431362659933
1574.22256,-1793.572538307638,3485.042802806773
1574.24339,-2883.2088965716953,3485.2500679279765
1574.26423,-7124.564786167016,3486.3386973926363
1574.28506,-15019.891644398313,3487.015101530694
1574.3059,-6478.718335340845,3489.4799430319486
1574.32673,1509.7565534003008,3491.8368080928158
1574.34756,-24723.69551303622,3487.656045425604
1574.3684,-13485.184554713842,3488.6787188380076
1574.38923,-7954.894747684351,3489.289344225025
1574.41006,-16579.781889562,3486.6470242068126
1574.4309,-10069.662799708272,3489.0272930281576
1574.45173,2460.4699624789328,3486.9019833550506
1574.47257,-19356.663424354047,3486.5734442022795
1574.4934,-25065.857604718927,3487.753029190615
1574.51423,-21912.685267225872,3483.369433932594
1574.53507,-18078.728033236042,3482.849232165605
1574.5559,-22706.417243693257,3487.3587112868036
1574.57673,-25190.081219311993,3487.5156228627357
1574.59757,-7402.174873920928,3487.61083361559
1574.6184,-1360.3973000538306,3489.5613242899744
1574.63924,-7240.7963711592665,3487.865438161396
1574.66007,-12387.855805903573,3489.933656843034
1574.6809,-48.28869531237221,3489.5863237613944
1574.70174,-2660.4783222229566,3489.736143288697
1574.72257,-6592.110618664193,3493.228090732748
1574.7434,-12377.31702163983,3492.3392797382303
1574.76424,-5541.193299894016,3491.8446093463085
1574.78507,-1988.6992636786192,3491.7148248563844
1574.8059,-27690.263639996614,3491.0306194648338
1574.82674,-12384.677681611387,3492.0889304216016
1574.84757,-17969.62218410449,3491.4696172750123
1574.86841,-25369.802242047095,3491.7456752679236
1574.88924,-11740.780303049876,3493.6578688797085
1574.91007,-23004.68841941888,3492.1729711978633
1574.93091,-22238.743621386326,3492.626153105302
1574.95174,-9960.636026918939,3494.9239768613265
1574.97257,-29678.923897407767,3490.513077216081
1574.99341,-10507.523222588077,3490.714845999596
1575.01424,-16261.109017543307,3489.748377072583
1575.03507,-10928.664318124565,3491.414299295701
1575.05591,-23766.90492748679,3490.1820558462896
1575.07674,-10349.009730171598,3492.422434008414
1575.09758,-10932.92699395345,3492.2681819507175
1575.11841,-11151.202520654224,3490.9038490955777
1575.13924,-14582.294513823883,3490.5657356771567
1575.16008,-654.2111675824766,3489.4242704502053
1575.18091,1179.2089324572432,3488.6742863076142
1575.20174,-11668.301339066438,3489.30122340648
1575.22258,-16875.686803262317,3488.752830746188
1575.24341,-3399.6490409674266,3489.2409409931274
1575.26424,3293.2959705114936,3489.005484978621
1575.28508,-8941.020351282048,3482.085773130617
1575.30591,-1256.634068456253,3483.5805996805434
1575.32675,4727.284445075116,3483.673328216377
1575.34758,-1429.756649146275,3482.397645969109
1575.36841,-2818.8267472075786,3483.078659938776
1575.38925,-15406.152449062967,3483.5632241614007
1575.41008,-12732.156327549357,3487.9095861641163
1575.43091,-11192.782492565326,3488.797865254987
1575.45175,-18434.998514559044,3487.9918539282207
1575.47258,4435.735290341947,3488.621273244107
1575.49342,-7856.573245000347,3489.6716056461664
1575.51425,-28950.20047549972,3483.456843431955
1575.53508,-11563.896631670303,3484.6541585418654
1575.55592,-21181.81561410126,3487.162793443408
1575.57675,-15520.567937702364,3485.275422001828
1575.59758,5192.172310680299,3491.1057951803086
1575.61842,401.5870763558801,3486.4979138843732
1575.63925,-10216.724761202364,3486.2328485668377
1575.66008,-13340.80711092731,3485.2818048455943
1575.68092,-2508.8139757706176,3487.94398259997
1575.70175,-7246.733834272054,3489.1459075414896
1575.72259,-17263.17009980952,3485.495275509348
1575.76425,-18054.535814251605,3486.0676038337656
1575.78509,-22198.839855168855,3490.88877849224
1575.80592,-32404.57743733286,3488.948216685936
1575.82675,-13579.442845436672,3490.398008727064
