relative_time,cts,e_cts
1601.26621,9992.212850735368,1576.9308980880091
1601.28705,-137.04985903205824,1573.883043486208
1601.30788,9972.290509708908,1563.6927031835157
1601.32871,4453.380237744384,1555.8276483534423
1601.34955,5687.24390648183,1537.5907930590465
1601.37038,-1124.076672282208,1526.7717761747456
1601.39121,12070.563431396971,1512.5099234954798
1601.41205,2702.93645699216,1502.042485674337
1601.43288,7686.332492252397,1483.1056347203844
1601.45371,5890.743844209452,1481.3702038236413
1601.47455,4245.4709489498455,1472.2344916598458
1601.49538,3043.601520212683,1474.2170311661162
1601.51621,8038.37403891146,1463.9693302594476
1601.53705,3263.380855361349,1464.3769613196478
1601.55788,-173.81800618118683,1462.6740274951198
1601.57871,4444.337327622384,1465.0085822668598
1601.59955,5621.776373493169,1468.0793374900209
1601.62038,7549.442392316968,1470.7855366312533
1601.64121,-422.8260586745248,1473.0954459723876
1601.66205,8322.274350512846,1477.9311847989031
1601.68288,4941.296732509183,1485.024924891471
1601.70371,3947.1668008167653,1478.8158030868494
1601.72455,6333.556038498509,1480.1653039883947
1601.74538,1602.0671653451504,1472.8961015159814
1601.76621,4140.780104101155,1485.98740529204
1601.78705,6158.52091881735,1461.141321622698
1601.80788,3136.427989337298,1459.1535476886881
1601.82871,3092.1014375831583,1446.7032432095414
1601.84955,7951.905545630305,1446.2693309600668
1601.87038,-1534.1447947973224,1446.5117503947442
1601.89121,4402.735186455986,1440.6331608917455
1601.91205,1465.987747405848,1437.3820360127336
1601.93288,4517.424006387949,1427.8300777930835
1601.95371,-656.6577603423051,1420.3136576605648
1601.97455,4640.904047708111,1415.1832641725562
1601.99538,3593.4054174935995,1402.061317184107
1602.01621,6831.622088649864,1402.7782156832393
1602.03705,5813.972782618868,1389.228136125944
1602.05788,2405.658038594832,1389.8927993982609
1602.07871,-1868.6603868793377,1373.581886360204
1602.09955,-968.1580098568079,1371.2937871346505
1602.12038,5617.367458628563,1365.4151976316516
1602.14121,2577.8459567375303,1356.4686882205174
1602.16205,-1470.1289431017012,1350.8989299541388
1602.18288,-1019.1847381678651,1348.807339869966
1602.20371,7050.767076586871,1348.943980244078
1602.22455,-431.70386622158037,1345.502234954892
1602.24538,1226.0816013971555,1343.9970098281017
