relative_time,cts,e_cts
1601.32846,5683.6973609822235,1537.031064081078
1601.3493,7204.637634419366,1528.3909576048259
1601.37013,11555.801824977658,1533.5991006259303
1601.39096,4105.006646071176,1525.2359499840604
1601.4118,10646.350964938598,1520.0049180510237
1601.43263,11220.037623611885,1513.1635367189813
1601.45346,5273.115944293808,1505.343883290947
1601.4743,9445.409353661855,1498.5242464252403
1601.49513,13035.33720117464,1493.2549900092765
1601.51597,9154.673020961465,1476.4729542249815
1601.5368,3278.65626969398,1483.4784490555794
1601.55763,8188.9548064971605,1466.6881732629888
1601.57847,7216.281452808509,1467.0988003430564
1601.5993,7156.323719112401,1453.0010617056369
1601.62013,5806.5356279836515,1478.4966773734868
1601.64097,7158.599334736722,1461.5695258875405
1601.6618,4628.568304280843,1457.3592249821304
1601.68263,5884.402676376729,1460.8771363015846
1601.70347,10571.298794934974,1463.1839952906942
1601.7243,11703.23708896447,1471.493242544963
1601.74513,11196.455864315263,1475.641514499036
1601.76597,8357.304699317667,1465.494516505713
1601.7868,8769.384996403976,1480.5731594639967
1601.80763,5350.1309529402,1468.070091320909
1601.82847,9560.380701632108,1463.8125248123583
1601.8493,11039.758487670437,1470.536028247949
1601.87013,6935.801527100481,1462.9066961226326
1601.89097,4273.532325735323,1444.2051961836846
1601.9118,11166.827770042573,1435.5825997250606
1601.93263,13099.162016541732,1438.6596706006962
1601.95347,9060.320119304499,1424.5287430409746
1601.9743,3681.2971794993578,1420.3596421770428
1601.99514,4690.6829745929035,1416.7367851963784
1602.01597,5088.979454468948,1418.5475270193526
1602.0368,4601.505942591218,1431.3895799481595
1602.05764,67912.90046946093,1421.652522367546
1602.07847,7968.644108031496,1409.2069053934085
1602.0993,5374.697736561831,1400.0718261966178
1602.12014,1688.995814850198,1422.2319551731152
1602.14097,5016.868166314959,1432.7130168360925
1602.1618,2086.304752620917,1404.659794148913
1602.18264,195.99786732192257,1393.7804654183117
1602.20347,1618.167106876343,1408.8564761517232
1602.2243,6617.181120772092,1416.44151823245
1602.24514,6358.846904026043,1403.7267276539876
1602.26597,3075.7900121239345,1412.4485475458387
1602.2868,2473.634010344538,1412.910102454956
1602.30764,580.8776681350956,1395.7148073657208
1602.32847,2202.307932741085,1395.3942481541073
1602.34931,3069.764734946843,1397.3681879191597
1602.37014,3257.422111649709,1391.696544431424
1602.39097,-631.852648343324,1385.7117806284525
1602.41181,3487.5492922203925,1390.5976477695483
1602.43264,4397.638752902368,1384.1633457362238
1602.45347,4965.811701580251,1378.6138145936477
1602.47431,1321.5250915637084,1381.4289218722167
1602.49514,3054.7055475637017,1382.3954061785632
1602.51597,2713.7031042576314,1379.910013676381
1602.53681,3796.631087834621,1377.784549314336
1602.55764,5007.510378005066,1396.4710570159684
1602.57847,4404.6434466210485,1387.0608530977497
1602.59931,1835.89582163147,1393.6633886337772
1602.62014,3701.475472036186,1381.7061065957184
1602.64097,-2846.858204978922,1396.3009924003104
1602.66181,1747.5727749339833,1384.9931832383338
1602.68264,-1086.7357829660687,1385.617478311291
1602.70347,4017.614834755659,1375.837160687125
1602.72431,-818.698040895387,1377.9699495009884
1602.74514,6210.100448719182,1389.898505954572
1602.76597,340.1857669283217,1382.239074910065
1602.78681,2353.4693971459365,1375.1292066410551
1602.80764,2279.953187577536,1381.8266167170427
1602.82847,1729.4992322939013,1384.1720435227583
1602.84931,-2657.645526710248,1381.9202323668462
1602.87014,3459.4665428368207,1380.2269106620854
1602.89098,4473.447973668159,1377.9012827651911
1602.91181,-4117.624730996723,1371.109227038363
1602.93264,-3418.7779540955835,1372.9686077991937
1602.95348,540.9574601674306,1364.6649683283483
1602.97431,-408.63448583944296,1367.7981170382184
1602.99514,-150.11486890674124,1362.641130735283
1603.01598,-2520.6138454195216,1354.3632412903617
1603.03681,577.3412167969761,1364.7139505998837
1603.05764,2855.3851257856686,1366.0545541717659
1603.09931,-1409.2927388131552,1363.2608480258536
1603.12014,-632.2963499011341,1365.2769033888617
1603.14098,2772.374709992257,1344.4069079334356
1603.16181,-2349.9970347612275,1349.745288863435
1603.18264,1220.9997370259262,1350.6545508899505
1603.20348,-1441.3451121931682,1354.3797213069531
1603.22431,954.5235909718341,1361.2482259996355
1603.24514,2995.807799379184,1354.6748738263218
1603.26598,-811.5748970574563,1354.514880331914
1603.28681,-595.5718918174744,1345.8778638587726
1603.30765,-3881.788483567294,1350.5074896307851
1603.32848,-1341.2658625489487,1339.052848098762
1603.34931,-2893.2153472047835,1346.5624712146716
1603.37015,2464.733885828734,1354.6870049496458
1603.39098,-1609.4807647979874,1353.7155995272337
1603.41181,-1111.8060082056547,1349.6932165887888
1603.43265,2010.0688825367051,1348.8554824120622
1603.45348,3352.268956026176,1351.7852631394126
1603.47431,-723.36000046885,1345.3221210770535
1603.49515,1614.6760900284094,1342.9403009013654
1603.51598,1080.653283509146,1364.8289673823442
1603.53681,571.0235337699476,1335.0221107074617
1603.55765,4505.197068965067,1334.7214648492293
1603.57848,-176.12308175731818,1337.345335268603
1603.59931,2617.8663144400866,1339.2049449185529
