relative_time,cts,e_cts
1624.97358,-61610.903328099586,2186.383419957184
1624.99441,-54077.11685885124,2415.858336795483
1625.01525,-54242.40157117712,2580.815643583584
1625.03608,-59276.34171786057,2794.0885170412007
1627.36948,-40576.35862129758,2750.228336437145
1627.39031,-35953.69038357899,2764.522103913907
1627.41114,-37016.02513507671,2749.3853804458477
1627.43198,-47331.90761182273,2722.503311192397
1627.45281,-37413.97559708942,2707.3577647054753
1627.47365,-35730.883403630825,2707.2671499171606
1627.49448,-40138.67727073833,2702.036649721654
1627.51531,-42561.1295026035,2681.2655941001644
1627.53615,-32505.75548078387,2680.1426861049677
1627.55698,-46200.44999211869,2648.0537241929665
1627.57782,-33088.40856964845,2651.746753736736
1627.59865,-32124.041400387414,2632.930235253201
1627.61948,-34974.185417780034,2634.615908775826
1627.64032,-38185.14428771416,2646.6738755809038
1627.66115,-46239.014811415596,2631.993564493988
1627.68199,-38987.731748507314,2618.3082276287664
1627.70282,-32183.675469497368,2617.20594642091
1627.72365,-25779.185218791794,2625.755570928402
1627.74449,-48666.50701396084,2619.9090094023395
1627.76532,-29344.00723701385,2620.2966260823546
1627.78615,-43712.75702034656,2612.5444117120333
1627.80699,-42879.85378597274,2631.74020077666
1627.82782,-39050.00401948706,2621.3509768363915
1627.84866,-50517.28008474632,2612.614399713008
1627.86949,-40688.913872923134,2608.779367257551
1627.89032,-43627.0276806517,2614.0639978660765
1627.91116,-35784.85357155117,2606.978279109808
1627.93199,-45136.203268587524,2593.238573371598
1627.95283,-33731.71049402211,2576.3396307307835
1627.97366,-36506.46515367649,2576.5003527500576
1627.99449,-35860.856725250254,2567.5852883396906
1628.01533,-46528.841323411325,2549.0940292542123
1628.03616,-42420.73965337733,2526.638969329881
1628.057,-43201.972427774264,2528.244877992793
1628.07783,-33086.6167814395,2518.696821594053
1628.09866,-34839.17451008023,2495.459493740598
1628.14033,-40220.35732169537,2499.988444706572
1628.16117,-45398.00870728667,2475.4380370324443
1628.182,-45900.35730152683,2472.05321699893
1628.20283,-40924.13579425033,2453.809121671579
1628.22367,-43744.177102044814,2446.1893718141755
1628.2445,-41462.2358570702,2423.812526759759
1628.26533,-38686.196136641534,2414.2972586067904
1628.28617,-41897.76236411733,2417.634148186485
1628.307,-37015.99532758055,2414.079067734927
1628.32784,-43269.59192510446,2374.6634232677306
1628.34867,-34420.758459666635,2360.810210584157
1628.3695,-37839.250352368545,2336.0431620279664
1628.39034,-45466.35753443281,2327.583079238928
1628.41117,-35839.42883164346,2305.4745016499164
1628.43201,-43167.04471915832,2281.2766570403246
1628.45284,-39759.86703661741,2273.1750988150525
1628.47367,-31385.44920308181,2259.7985676100093
1628.49451,-31436.70438502225,2250.7344657188614
1628.51534,-42535.73542355816,2240.447898795355
1628.53618,-39457.20458216693,2255.6115682399395
1628.55701,-36789.30908085264,2234.6663176109128
1628.57784,-39750.44965628182,2225.274452492031
1628.59868,-41048.87372724488,2238.849024701536
1628.61951,-41140.24717595191,2243.9490872938627
1628.64034,-44236.770060483,2231.125425527525
1628.66118,-34622.88941029105,2238.2680169864593
1628.68201,-39019.65545766062,2240.3335572400997
1628.70285,-37017.25833080768,2245.069252999413
1628.72368,-42922.08409268698,2241.665356168359
