relative_time,cts,e_cts
1653.93057,2972.108990525183,1208.2689798883623
1653.9514,-2771.919343992013,1200.5536905018375
1653.97224,-732.6198622773874,1201.0978933611484
1653.99307,1785.4067677542885,1198.6078961443538
1654.01391,-262.37937849383104,1192.0424192988885
1654.03474,4088.6054193552704,1205.4311937630941
1654.05557,3078.4126587069236,1225.5895486078077
1654.07641,2806.4404140661027,1248.641603840081
1654.09724,-83.5405216131714,1277.5099507138425
1654.11807,2823.246989007043,1339.2975174205808
1654.13891,-1683.1863786366266,1353.9527664033567
1654.15974,-4262.970256443033,1425.0739504181718
1654.18058,-5409.629408870996,1462.052391901786
1654.20141,-5257.198231918485,1503.949311145349
1654.22224,-3925.322261767797,1532.0072856951024
1654.24308,-525.3118577944105,1567.357402797698
1654.26391,-1520.735893167356,1599.9878238181736
1654.28474,2931.5241340494053,1602.4580478184412
1654.30558,4247.637664942995,1616.731893424647
1654.97226,4145.547888905617,1611.8141846231185
1654.99309,1085.6893180758295,1609.9786808733754
1655.01392,6057.116126795146,1607.6239104873864
1655.03476,3338.3922278215646,1601.786966819747
1655.05559,813.7373959075509,1606.9138323116526
1655.07643,-543.3002119764618,1606.4009370451765
1655.09726,5099.005359372341,1613.682753584943
1655.11809,1703.320456365493,1603.0907907473131
1655.13893,-2464.4567022624574,1609.4015226531858
1655.15976,2214.7118598735206,1610.045799958365
1655.18059,-2612.1184695373936,1597.9949032946333
1655.20143,4478.565655377389,1600.7841351882068
1655.22226,-188.37394129490852,1587.9453856970672
1655.24309,1326.015847879231,1589.902055323641
1655.26393,-3445.765846719835,1582.277173477127
1655.28476,930.4417759826217,1580.475943302698
1655.3056,1143.1403986957373,1572.3465148811304
1655.32643,-417.4555527104695,1565.0616225076817
1655.34726,-4054.3323932973954,1562.91600881207
1655.3681,-2115.478324963502,1556.3818395594392
1655.38893,-5672.361958982244,1529.2191523135582
1655.40976,-877.6810121741794,1555.2698158321878
1655.4306,-1148.5544152320997,1551.8588261300351
1655.45143,-1858.940503887833,1547.036468172649
1655.47227,-3233.4952042933323,1540.2876496694948
1655.4931,359.611094932872,1542.4411726517174
1655.51393,-1406.1222011864315,1544.4502413020884
1655.53477,-2307.8445885264637,1544.7777077380201
1655.5556,2429.9695762100732,1551.4439181365717
1655.57643,909.7777760508252,1560.5830988154637
1655.59727,-570.1901386854703,1552.95821696895
1655.6181,1949.3027852029036,1560.3464793243547
1655.63893,-1033.451555844533,1550.322337354665
1655.65977,-1476.9860038327847,1552.6691984540432
1655.6806,5036.333710184429,1553.8270301329164
1655.70144,259.0214469226934,1537.2170888452197
1655.72227,-1761.4423982816888,1541.891696934666
1655.7431,-4029.3598094843123,1538.7522594061543
1655.76394,1551.708769386834,1541.8704956525005
1655.78477,990.5769608949006,1534.302187175495
1655.8056,150.87128987091677,1520.8437670486321
1655.82644,410.1582471510894,1534.1398270975656
1655.84727,5228.514984321659,1520.7040363185063
1655.86811,-191.4729535807427,1516.5767069220528
1655.88894,822.1784721918284,1512.0837927222512
1655.90977,-3616.409034903561,1498.8244229750958
1655.93061,896.9407841789327,1494.2950381759217
1655.95144,-1909.8041374216898,1484.5314632595805
1655.97227,-5145.866893881084,1461.6523138207178
1655.99311,-4991.8079418035695,1457.5047718029255
1656.01394,-5389.326709545633,1460.7304425257366
1656.03478,-4491.179429604931,1454.6528148724794
1656.05561,-2417.639437788496,1457.86684136778
1656.07644,-6508.538769963332,1450.4320021023332
1656.09728,-3797.6410002400307,1451.6871619470016
1656.11811,-8239.265893096412,1449.5402300369547
1656.13894,-4834.999743670349,1448.8956231781663
1656.15978,-2061.449658570851,1455.7941688709132
1656.18061,-5035.473904819102,1448.7201908070886
1656.20145,-2220.909554891579,1456.18633766537
1656.22228,-1992.7778268277468,1448.1188653222544
1656.24311,-5353.345826835818,1444.839697063617
1656.26395,-8862.014998930545,1444.6718444255412
1656.28478,-2619.774768827945,1435.0237231234782
1656.30561,-4219.640328257258,1426.4042484856436
1656.32645,-7345.283182109956,1426.6048367821923
1656.34728,-7534.83912234838,1423.5462497390365
1656.36812,-4896.2961656487905,1418.6633637688365
1656.38895,-7703.682947828126,1418.3797279628734
1656.40978,-4899.709352375001,1409.871642444809
1656.43062,-1911.4422385597695,1419.5638140792466
1656.45145,-2532.5918010280498,1417.727870924692
1656.47228,-7116.67920372473,1415.3988057201884
1656.49312,-4534.210452667534,1422.2798850716692
1656.51395,-3217.4366061931373,1418.2051744014188
1656.53478,-6214.848283396205,1426.129620478321
1656.55562,-7242.466410811591,1427.950953422886
1656.57645,-6653.26069934548,1427.2856945379472
1656.59729,-3629.4512288225255,1435.6961223366077
1656.61812,-6431.754317032708,1431.4877227523923
1656.63895,-1631.7466853946107,1433.635533472063
1656.65979,-6666.89608976026,1431.5266100782292
1656.68062,1306.9943431336312,1424.2963137526367
1656.70145,-2199.1057388781906,1433.0346473920404
1656.72229,-9081.94875142218,1421.178407059899
1656.74312,-2874.1678550176266,1431.5929602047984
1656.76396,-5214.469519366343,1420.7948066592705
1656.78479,-1009.1971791962002,1415.8845677395411
1656.80562,-2970.0946490170727,1430.8189486289598
1656.82646,-5063.3939062579775,1427.0678596025386
1656.84729,-396.255259205973,1426.0759032400886
1656.86812,-6724.232595575513,1411.1666782761406
1656.88896,-8565.909433667019,1405.9247985747684
1656.90979,-1044.625620206484,1417.0877679652237
1656.93063,-7654.104243814933,1398.0804340248017
1656.95146,-5827.727261564992,1394.1251316121352
1656.97229,-2931.9780392199095,1390.4139185723773
1656.99313,-3299.5455469297344,1396.709381161043
1657.01396,419.40475245524453,1393.635634651883
1657.03479,-6162.4244332271455,1384.9852918260253
