relative_time,cts,e_cts
1653.92782,-35157715.93500325,13878567.699756857
1653.94866,-20554057.17804475,13759852.574272377
1653.96949,-6868298.064475265,13661974.11267214
1653.99032,-15101796.537795704,13991008.060365517
1654.01116,-1582323.3231193644,13926925.519423928
1654.03199,19494587.203118395,13917678.497501666
1654.05282,-21603350.336204354,13911402.189397886
1654.07366,-16955733.382760044,13502652.029937908
1654.09449,-24543704.23107763,13865918.631801944
1654.11532,-10608490.805907119,14256940.960098369
1654.13616,-41480625.66503387,13829123.4476076
1654.15699,-19035631.208512057,13964120.39965931
1654.17782,1050891.9423237334,14578128.365241053
1654.19866,18537824.45007178,14724843.047175229
1654.21949,9498865.922357004,15129552.26422809
1654.24032,5501608.440650955,15073209.011494137
1654.26116,20924090.06288912,15001530.702544976
1654.28199,16045935.686148709,15681917.532269295
1654.30282,7168603.2805089485,15375447.892158763
1654.32366,20184452.538958628,15402650.371368332
1654.34449,8663428.664885236,15547605.001816805
1654.36532,13205494.99893784,15721965.840998378
1654.38616,-14241311.918957232,15885267.137021422
1654.40699,-21968292.112016425,15538368.010876266
1654.42782,-33033042.121673886,15601921.996242357
1654.44866,-55230590.00616757,15632788.870237377
1654.46949,-19566915.211037733,15991355.571356377
1654.49032,-37844474.26605114,15787454.262609389
1654.53199,27642688.070946123,15584246.634829367
1654.55282,-54571364.68981258,16161421.6071318
1654.57366,-34340418.55055973,16652915.01999732
1654.59449,-33674156.88633182,16732056.379349694
1654.61532,-25752857.286914703,17129657.488429602
1654.63616,-76453067.05273902,16751159.226623515
1654.65699,-5459116.430450929,16977227.46175425
1654.67782,-62344880.150320865,17043751.389324848
1654.69866,-14970401.479797155,17177368.695582412
1654.71949,-45099937.36054267,17314496.845443644
1654.78199,-5120593.945659921,17094552.138848882
1654.82366,13069568.252041642,17071335.045839954
1654.84449,-4618020.156058445,17115067.811317936
1654.86533,-22697996.64919748,16863945.270294692
1654.88616,-45144218.7435596,16937615.886537183
1654.90699,19141323.03326189,16429396.96906661
1654.92783,-39009515.69394664,15954354.366229683
1654.94866,30907422.309606466,17023942.515260395
1654.96949,22038282.90119389,17001956.918161675
1654.99033,-10352199.994453685,17181961.34198439
1655.01116,-59162342.86236905,16810720.881263155
1655.03199,18933581.401742287,16871582.70545712
1655.05283,10618967.008897651,16720590.195624324
1655.07366,-55317070.95768656,17089949.461465176
1655.09449,-1200538.7573774564,16461699.816676227
1655.11533,11470277.137527874,17078036.51324607
1655.13616,-25338931.912498735,17339713.190271713
1655.15699,25106424.558714695,16971185.72430003
1655.17783,-32079067.981546737,16693217.189725433
1655.19866,4856972.801407632,16775979.733480448
1655.21949,25981099.930237778,16254169.607386813
1655.24033,-11765863.16246705,16711640.245083908
1655.26116,-23073842.102144353,15991858.663670572
1655.28199,4963333.615477114,15395070.035640335
1655.30283,-20327864.713063423,16225007.228671024
1655.32366,18783775.63420893,16214943.83915916
1655.34449,-5004316.348734554,16007674.43539459
1655.36533,20495525.628066845,16025947.026027195
1655.38616,20733343.229253177,15299447.001700211
1655.40699,29234753.02054818,16344367.423441801
1655.42783,-24201575.222549576,15828748.727914277
1655.44866,20105436.952684805,16729632.7398422
1655.4695,-20330997.465817466,16701666.36279359
1655.49033,6485843.7377997385,16120835.483459475
1655.51116,-34174758.43060341,16736519.394603232
1655.532,35524665.45038823,16862631.211688746
1655.55283,24075411.707327485,16741189.202403093
1655.57366,-48065665.00949569,16640384.008981165
1655.5945,-41284580.15820532,16701889.35923347
1655.61533,-7009667.0047641285,16635454.167270439
1655.63616,46595526.642758004,16524022.306132106
1655.65699,68117430.80865522,16085346.641731283
1655.67783,61001105.91843977,17031309.88553024
1655.69866,15707565.209311528,17152311.303233985
1655.7195,33753647.01520263,16462192.878008695
1655.74033,33025445.582052328,16744592.791663699
1655.76116,-29422507.535174236,16619504.906328084
1655.782,7777644.366908984,17016592.12049809
1655.80283,13441971.53502897,16680098.980471393
1655.82366,36667793.04128504,16475199.974849783
1655.8445,26405557.83546474,16521329.373346003
1655.86533,-340851.9873930874,16285471.67166589
1655.88616,-53518274.419263184,16017347.388233166
1655.907,-50551579.93799468,15661788.438403634
1655.92783,22154794.29715484,16317750.599242164
1655.94866,-22914219.089958377,15872199.854289986
1655.9695,62075644.742758624,16429302.060547212
1655.99033,25566546.462043036,15341043.939684799
1656.01116,-4857400.275551901,15563960.903326003
1656.032,29549340.03971598,15725063.87112337
1656.05283,68471.48125315848,15693542.668474305
1656.07366,-19091753.77964806,16267021.609818159
1656.0945,24274718.826444533,15352736.206305966
1656.11533,47073653.386668295,15353954.584778534
1656.13616,23071264.139841095,15107795.836481081
1656.157,22024604.500191227,15110857.600749068
1656.17783,35400828.3513123,15489374.381290643
1656.19866,3643457.811748241,15395468.960067388
1656.2195,18068549.661726587,15345002.319396183
1656.24033,5149936.8820467545,15454143.258631377
1656.26116,11400536.351279547,15410271.602637205
1656.282,25004501.29663745,15392221.236830506
1656.30283,26489031.035694245,15547563.334661948
1656.32366,26558251.75412084,15642069.843174709
1656.3445,28311156.551153485,15514660.171376806
1656.36533,-1372420.4008450613,15292884.424810288
1656.38617,42535222.12606995,15296521.813106477
1656.407,-9309244.101902194,15449780.55319509
1656.42783,11695085.327031178,15064037.6077418
1656.44867,-11796484.663216807,15011016.924800675
1656.4695,30011962.743949696,15193505.174021235
1656.49033,2198719.4339655777,15187826.866751047
1656.51117,-3242596.6336077917,15136661.143815024
1656.532,6592126.618857355,15251262.023564398
1656.55283,9789433.369977893,15442762.724057658
1656.57367,27711661.101285517,15531235.211255988
1656.5945,-56925966.35139478,15550483.893571809
1656.61533,49532490.83742229,15570865.305208547
1656.63617,34736842.94832192,15284283.243788302
1656.657,-21071358.7636601,15380518.939227613
1656.67783,-19240695.33952514,15294458.517327094
1656.69867,40933903.21001982,15398835.51185701
1656.7195,42489662.178690106,15232801.15912096
1656.74033,-12012778.092463749,15076438.215995528
1656.76117,25584026.605119392,15151203.752473978
1656.782,28976664.348524082,15288358.137210488
1656.80283,77309474.46331337,15337913.501772698
1656.82367,-13520288.810651964,15212131.93547012
1656.8445,1023592.2397528318,15485871.253826767
1656.86533,14964767.926137736,15652692.65282122
1656.88617,31691754.80164654,15497794.233027603
1656.907,32903194.92131687,15396894.13108628
1656.92783,51817317.76174109,15617405.97395548
1656.94867,16859334.10515722,15391938.054500276
1656.9695,16384124.833700871,15280185.201946752
1656.99033,25296530.952748213,14924061.430684717
1657.01117,-11702847.76365818,15245072.907840226
1657.032,-12001406.045643797,15222355.0490756
1657.05283,52493930.62749496,15001557.709034234
1657.07367,-11303310.675105397,15229943.872557363
1657.0945,18949610.138924457,14909584.409213962
1657.11533,27961302.915083397,15207453.639916493
1657.13617,19664737.344817508,14989175.619515996
1657.157,-18895838.67558194,15413319.477853574
1657.17783,-44414683.1898399,15609428.257028388
1657.19867,3285622.6006811694,15544965.310395239
1657.2195,-9647253.463397274,15225271.749915566
1657.24033,37665275.40722232,15102770.314636981
1657.26117,10544550.241937637,14909944.752942076
1657.282,-7615367.002635838,14687219.149567623
1657.30284,21830435.558559187,14746180.488531735
1657.32367,-24850058.12909134,14855157.845603418
1657.36534,-6710769.212627825,13939765.176031612
1657.38617,-1929508.7180506608,14820402.80876909
1657.407,-35618487.53730178,14182979.445385858
1657.42784,-29121480.86007035,15003185.81452956
1657.44867,7309489.19044707,14611127.208659569
1657.4695,-10990526.146192143,15270817.03662981
1657.49034,-43398097.97662881,15154001.624761203
1657.51117,-24975287.991399057,14601035.26943049
1657.532,-24230385.74529103,15230497.119780183
1657.55284,-13368390.42600802,15394543.023292797
1657.57367,10322826.965121679,14662860.83948401
1657.5945,-78663393.1041741,14971320.472045938
1657.61534,-54733889.742172934,14436262.505549822
1657.63617,-366326.05129008635,15862360.232831983
1657.657,28522355.78491222,15793531.494306631
1657.67784,-9430692.284099678,14433280.989135636
1657.69867,-48156366.68947886,14617920.498129163
1657.7195,-44154025.8148803,14710395.347035673
1657.74034,-37148090.335317776,15182145.473024942
1657.76117,-39974609.563122645,15059107.766031073
1657.782,-18420797.61597297,14446548.119887589
1657.80284,-20414929.004750397,14306081.96795395
1657.82367,-14127203.328926347,14301188.39210023
1657.8445,-19125997.236414433,14094841.83865434
1657.86534,-2883213.5648991927,14472592.406514937
1657.88617,-47591718.0985087,14254205.588543428
1657.907,-40505933.68957522,14242073.50195433
1657.92784,-42887077.32880111,14461150.91443689
1657.94867,-31366940.810803376,14551227.587097203
1657.9695,-29744978.134363703,13983632.973955886
1657.99034,-45951805.366079584,14661882.432958856
1658.01117,-18021124.723359913,14310575.07615266
1658.032,-15363369.818548184,14391898.55983716
1658.05284,-17463651.37077887,14266917.157230627
1658.07367,-33489592.223894242,14476778.412350073
1658.0945,-18053038.6775242,14669081.591381313
