relative_time,cts,e_cts
1468.28465,-7676.329564274969,1145.081317171006
1468.30548,-6209.902448992407,1146.4257229754912
1468.32632,107.38159640864185,1142.7026885464772
1468.34715,-9743.852936738158,1142.5212330729828
1468.36798,-6361.492615811955,1146.8222833777033
1468.40965,-6526.814171382799,1147.0057305635005
1468.43048,-6666.351962922431,1146.3160739718664
1468.45132,-6651.143981565912,1146.0487652154188
1468.47215,-4784.494963069815,1151.2259592795072
1468.49298,-5177.967162942609,1147.717505644394
1468.51381,-5123.604109422563,1145.9788456308893
1468.53465,-5641.1260218325,1146.7035144282702
1468.55548,-4968.2524366784655,1142.5998532954673
1468.57631,-7499.74959284434,1139.0419213336706
1468.59715,-8265.838773065827,1134.4566851314094
1468.61798,-8458.962640673431,1136.0222758284847
1468.63881,-3391.2042573400086,1138.099631760453
1468.65965,-3385.081209585949,1140.6240746909493
1468.68048,-6288.858327413467,1143.5593344906688
1468.70131,-3884.7696445162383,1146.493650847718
1468.72215,-4051.2822440442405,1150.7342159946072
1468.74298,-1430.9536708975406,1148.8383155361335
1468.76381,-5582.177417629304,1149.8453881726787
1468.78465,-2038.9499532843017,1150.6159711799903
1468.80548,-5662.553701403252,1152.3032659814717
1468.82631,-9047.497797321186,1150.6558054260493
1468.84715,-6185.121983827061,1149.8931892679493
1468.86798,-5822.036080636686,1142.427098459928
1468.88881,-5587.217707679305,1138.2030959732424
1468.90965,-6980.43021249448,1142.109263107164
1468.93048,-6702.943911005998,1143.3899341179551
1468.95131,-6651.345144508509,1142.5947167742652
1468.97215,-8050.902196451224,1147.0867618061416
1468.99298,-7638.908120430707,1149.5516630214765
1469.01381,-5804.360891871641,1148.6439663461517
1469.03465,-3657.1800341219373,1148.751728464437
1469.05548,-814.7373821826133,1152.1838680702588
1469.07631,-7632.4563353197,1154.3898466862113
1469.09715,-6795.483057679195,1149.9138401797218
1469.11798,-1586.5922550402258,1150.5481481347272
1469.13881,-5210.869306744532,1151.9907768038365
1469.15965,-3612.0869337945983,1148.706443216286
1469.18048,-5832.651697557439,1152.1630075045596
1469.20131,-4949.36439994789,1151.553753193786
1469.22215,-5820.432542578893,1145.6400448854627
1469.24298,-4545.399021047495,1144.3889350783254
1469.26381,-8364.022851713411,1147.39935581074
1469.28465,-3894.8345005717442,1146.498263234104
1469.30548,-6654.693841851535,1142.4752140360886
1469.32631,-7597.601789326077,1142.6500654108943
1469.34715,-6000.198729559411,1136.753129416701
1469.36798,-4521.777103480682,1134.5179040779842
1469.38881,-4995.746767097013,1133.1653217703602
1469.40965,-3283.647914383524,1134.9034576490483
1469.43048,-3871.3828219933507,1131.8095946538367
1469.45131,-6398.912172770877,1130.6703352165541
1469.47215,-6378.709396266435,1135.0621656715036
1469.49298,-5090.517574992172,1130.6884702812074
1469.51381,-6378.596183146056,1135.2569341693386
1469.53465,-2220.4076281448347,1138.0355824858686
1469.55548,-4567.285213755777,1139.4281038665147
1469.57631,-4135.954022293854,1145.4438088101413
1469.59714,-8561.971799615336,1144.1657584734326
1469.61798,-6762.336562225789,1149.5278673008047
1469.63881,-3931.6122020343028,1149.997387269482
1469.65964,-2919.868790484762,1151.2481825957293
1469.68048,-5808.388553456041,1147.21391691264
1469.70131,-4659.075371776102,1146.09405046357
1469.72214,-4343.040317279894,1146.0370245955278
1469.74298,-3294.35860936,1150.519635200706
1469.76381,-6739.198945229481,1147.6382564601295
1469.78464,-6857.431180610621,1146.7023613316737
1469.80548,-6603.543105795243,1143.329763441014
1469.82631,-5795.186226388586,1140.4698742279165
1469.84714,-7041.983452255108,1132.1816255466335
1469.86798,-1314.6518240458038,1133.935695123745
1469.88881,-5053.526550659273,1141.6281073455586
1469.90964,-5486.672192029175,1143.182586384523
1469.93048,-1361.380225000821,1141.1772465763506
1469.95131,-3246.2016265489574,1138.2703948836893
1469.97214,-4272.485376525677,1138.3275255786946
1469.99298,-7312.180610849639,1142.8865550401276
1470.01381,-5250.2587719980265,1139.53743838925
1470.03464,-2839.5395740173417,1144.5751077651687
1470.05548,586.044677653373,1145.5854300375768
1470.07631,-5584.8766071076425,1147.4591071798282
1470.09714,-3433.6545650952703,1143.9839885190486
1470.11798,-5004.293623896788,1151.0601230235463
1470.13881,-5482.311285528403,1135.3268537538684
1470.15964,-2832.047800603309,1144.6150468381911
1470.18048,-1295.21952572171,1141.3935046016647
1470.20131,1132.5652922323582,1143.3798707294773
