relative_time,cts,e_cts
1656.97452,-9800.645738489167,2351.765178962414
1657.01619,-9766.854326021581,2332.8326457223457
1657.22452,-24376.250344346226,2354.429716329899
1657.24536,-20012.92498004553,2290.6342963368015
1657.26619,-21529.18466314693,2266.0432773571993
1657.28702,-14589.604737873145,2249.1671802254405
1657.30786,-10023.094240215487,2225.3787103045142
1657.32869,-17170.675250486627,2149.7746671567625
1657.37036,-19492.152802006392,2139.874699782797
1657.39119,-9025.851337102953,2174.7361776619514
1657.41203,-11963.138934954199,2207.904042594458
1657.43286,-13014.597937845941,2171.629723436331
1657.45369,-2156.4446100978753,2202.1834431071397
1657.47453,-14669.025544841994,2154.796021402267
1657.49536,-19374.715423595884,2148.5463048041906
1657.51619,-17258.253772545904,2136.1954187720526
1657.53703,-23160.799763853473,2134.9272904751315
1657.55786,-17903.369676641636,2156.0793768789795
1657.57869,-23822.379426197964,2161.7231831790023
1657.59953,-17853.07923145124,2156.314247911167
1657.62036,-21470.633527693415,2159.3341591725016
1657.64119,-19515.076828216974,2163.634249016924
1657.66203,-20419.35429316166,2175.296406420629
1657.68286,-15812.052262254345,2172.051154807984
1657.70369,-17804.470129825215,2171.5274055519735
1657.72453,-27829.210000938798,2155.070329734635
1657.74536,-17134.53677091801,2149.70083176698
1657.76619,-17792.583837098817,2103.8603381616945
1657.78703,-19774.563089504085,2123.6588487848967
1657.80786,-14659.278287458172,2147.5696838844387
1657.82869,-13522.269044765055,2134.6124493620227
1657.84953,-17567.255097882637,2117.987874566972
1657.87036,-20082.257944724275,2119.7771229665577
1657.8912,-18469.143538820823,2141.3619241918327
1657.91203,-12951.92407085076,2149.7953717393575
1657.93286,-10454.162335263662,2151.9851278318893
1657.9537,-11814.520126511667,2144.3166543598136
1657.97453,-11030.734130232317,2121.8855944014954
1657.99536,-17700.645631052623,2047.154211068297
1658.0162,-8650.956308307403,2135.96208141265
1658.03703,-12160.713016879894,2046.387155579783
1658.05786,-11328.039009623797,2042.6795016225192
1658.0787,2036.648223848222,2101.5146951853926
1658.09953,4066.571182987022,2100.159804828075
1658.12036,3997.0240518586857,2099.510403951766
1658.1412,-5731.632729332625,2065.898759844171
1658.16203,-7118.188171350372,2104.3247123713218
1658.18286,-6908.670503064957,2087.5200405721125
1658.2037,-3442.7765074936915,2116.5306663252964
1658.22453,-13580.724106573409,2078.4755339678995
1658.24536,-9389.710166087114,2104.8693853060395
1658.2662,-17914.413216172783,2084.7938276490677
1658.28703,-17344.68916064022,2080.094654236428
1658.30786,-22775.694746685313,2072.509218190844
1658.3287,-18387.44489912237,2071.987988540123
1658.34953,-15783.82775335143,2063.079321525421
1658.37036,-21913.8431624386,2063.8381609097305
1658.3912,-12654.040558627185,2086.9475424311568
1658.41203,-16972.49679193566,2060.2495856894016
1658.43286,-23085.954998282257,2060.9451062973103
1658.4537,-19761.53826383108,2061.2127321982584
1658.47453,-19716.603294457167,2099.695211522335
1658.49536,-11826.082156992135,2077.385859454296
1658.5162,-16139.05101862464,2077.4760175044316
1658.53703,-16788.218776669768,2071.1378956251174
1658.55786,-14242.007879618486,2087.2061853915084
1658.5787,-19061.147368446287,2092.0334204816786
1658.59953,-17729.134369866744,2090.039207669209
1658.62036,-9533.010087763887,2153.943299333916
1658.6412,-2578.7633210048552,2139.198678728867
1658.66203,-8284.611614835188,2164.982895135047
1658.68286,-5774.096951850222,2142.7426678903807
1658.7037,-11616.946701874307,2122.261563329884
1658.72453,-10394.539491177735,2137.1932920146796
1658.74536,-9432.803303994537,2158.0644972027962
1658.7662,-3213.938944041991,2164.5126053303925
1658.78703,-7169.979972649033,2162.505027655084
1658.80787,-9531.135172784467,2163.6996492063904
1658.8287,-7892.930318313845,2170.2796531934796
1658.84953,-3913.5157878222226,2171.172031658123
1658.87037,-7132.054983382233,2167.4452067910497
1658.8912,-10836.257738687758,2174.0707827694587
1658.91203,-4114.296450896775,2179.649517524183
1658.93287,-6774.1976351011235,2184.1760432004758
1658.9537,-506.8669146395963,2177.5995447511805
1658.97453,-8509.127945667648,2190.361016897422
1658.99537,-10846.87436944445,2171.4487500477244
1659.0162,-6872.30230122279,2159.7835252984496
1659.03703,-10563.279538816612,2156.565112959538
1659.05787,-13091.435820749068,2170.5966852677097
1659.0787,385.07007133827824,2171.746063471864
1659.09953,-7324.297470967671,2169.0152495304646
1659.12037,-3250.3874446092495,2162.4951683300387
1659.1412,-4738.885130700411,2179.4042394266703
1659.16203,-4717.422804201807,2174.7908421419243
1659.18287,-9725.664804684271,2180.427199174135
1659.2037,-4100.821273165319,2183.805332578778
1659.22453,-5479.708460807103,2180.8389903168545
1659.24537,-589.1433107856936,2197.8148857276815
1659.2662,-4112.273646041675,2181.7636854580355
1659.28703,-6924.1474524247515,2165.9684989953957
1659.30787,-7408.84392193139,2189.2953334080953
1659.3287,-15988.146489992472,2187.3132804298484
1659.34953,-7570.137769103932,2166.848936721929
1659.37037,-9047.526953666702,2172.908806538858
1659.3912,-486.47268168755363,2188.531673909319
1659.41203,-8759.91663904408,2169.646574977524
1659.43287,-1648.9665268535346,2175.7722831761425
1659.4537,-8000.190791864679,2173.1183719700953
1659.47453,-7801.973991494093,2179.0543429356235
1659.49537,-11054.234488765811,2194.0905804658973
1659.5162,-8614.306239316998,2195.078156191255
1659.53703,-9034.627889162053,2182.243505943567
1659.55787,-10695.379157694018,2188.2831093701247
1659.5787,-10288.251366172466,2178.30810157776
1659.59953,-14403.755803483387,2191.978384397054
1659.62037,-13749.95010938896,2210.906426166824
1659.6412,-11108.080097019438,2194.0225511230856
1659.66203,-9703.552200924913,2207.153967054633
1659.68287,-14461.21704532719,2186.643174970945
1659.7037,-4858.811221848435,2206.5976820259734
1659.72453,-7613.61333927505,2209.7821344675067
1659.74537,-13120.373816141087,2189.409263386395
1659.7662,-14702.732933950583,2206.3870211141752
1659.78703,-14212.055250131265,2213.765959074091
1659.80787,-11568.640391075225,2220.2612824138478
1659.8287,-11638.455257652564,2230.08215609134
1659.84954,-7273.507924833879,2216.5602013399475
1659.87037,-10950.370881337205,2229.99407945427
1659.8912,-15383.60718586041,2225.8537106755794
1659.91204,-15753.951040667058,2223.4609620351735
1659.93287,-16882.50218750004,2228.7916799909835
1659.9537,-13871.35696161071,2221.3137105883916
1659.97454,-12005.166827564515,2226.2699932885976
1659.99537,-19448.642395553452,2201.316479791501
1660.0162,-12730.893668710101,2210.293504793183
1660.03704,-11859.974463219349,2205.133572256766
1660.05787,-12795.880423812825,2198.545242617416
1660.0787,-15190.940747298031,2205.4520284557248
1660.09954,-9165.443714370522,2195.5356288733506
1660.12037,-8255.476652038378,2201.1993729195756
1660.1412,-5122.018392407593,2203.7081329513467
1660.16204,-12498.104487780298,2209.244691704489
1660.18287,-10822.862531037223,2210.6294886811106
1660.2037,-17554.147125235082,2206.6787475874557
1660.22454,-9368.01866505524,2205.402731830499
1660.24537,-14719.144985516881,2216.2528094946506
1660.2662,-5305.675598839811,2176.659622430208
1660.28704,-16407.058037259954,2205.8884679110574
1660.30787,-12689.976922032374,2201.2057267068267
1660.3287,-10712.422315611266,2201.5803810585435
1660.34954,-13890.783994775826,2182.4716945443347
1660.37037,-7304.325436223673,2202.8054569694336
1660.3912,-8790.852571882473,2142.3471994080132
1660.41204,-11149.70441459124,2195.89658971806
1660.43287,-14296.628321272607,2197.5152717943643
1660.4537,-12849.696344543261,2176.1814451655173
1660.47454,-11125.57787936932,2207.797890528139
