relative_time,cts,e_cts
1653.93023,-1178.3630309613575,1273.2054385566398
1653.95106,1839.844043901183,1251.2805713711784
1653.9719,464.31194183893933,1235.9722874524718
1653.99273,-1571.460452385314,1251.394660638104
1654.01356,-521.8156657581472,1289.7225933328127
1654.0344,-1139.183707112216,1254.4174319967015
1654.05523,-476.74790961980653,1255.0680973471367
1654.07606,7237.141529235537,1273.9785121830473
1654.0969,-809.8430521788836,1303.2942246915354
1654.11773,5013.517710571617,1325.1855781548377
1654.13856,-3912.457050845589,1353.1795189687975
1654.1594,2336.87892666815,1393.6802579835078
1654.18023,1283.9609665100818,1433.0573365619869
1654.20107,-3301.2098986620804,1476.2094626028543
1654.2219,2271.989111145371,1519.0301355547053
1654.24273,-2475.832998576339,1474.586186251878
1654.26357,2523.1946620378035,1510.2785380376183
1654.2844,-4486.958189326104,1601.622683485793
1654.30523,-2003.6239402923907,1551.7665057401941
1654.32607,533.1898902986878,1575.8820056936142
1654.3469,-1627.3898632639346,1594.8048990430952
1654.36774,-3045.2381498008426,1594.8428099557507
1654.38857,-993.2347747116219,1629.5511418142573
1654.4094,149.1395100559616,1645.2790603178744
1654.43024,4029.5696833447555,1647.9089367634967
1654.45107,1109.6413610287,1653.2386881737198
1654.4719,2363.8590179652947,1640.0647054474273
1654.49274,6456.363787392837,1659.3673021383952
1654.5344,4363.643616739666,1672.29492335392
1654.74274,7854.943347489897,1651.7773948131808
1654.80524,3294.516780512096,1619.0039456159411
1654.82608,7298.538787074555,1606.1134034121671
1654.84691,2613.7429160061856,1595.6047123414385
1654.86774,7670.976424903074,1578.5994694201995
1654.88858,4877.01620137337,1552.4567458050942
1654.90941,4809.163749043102,1541.7872601737924
1654.93024,4440.410124949403,1643.5835274311787
1654.95108,-374.6434824987348,1640.7895288213645
1654.97191,-3486.641798742018,1635.8102453779786
1654.99274,-851.7571908306217,1605.3955917744265
1655.01358,-5357.396190342948,1603.528806144356
1655.03441,-1856.2248857719771,1594.6681107657707
1655.05524,5582.500731508496,1582.310935884874
1655.07608,1453.192903744498,1598.049669100252
1655.09691,2508.411069903969,1593.9543397895673
1655.11775,3286.7815282145384,1588.6786619381476
1655.13858,-5351.6658192256355,1622.445044286599
1655.15941,823.2253666603018,1576.125871501668
1655.18025,-2491.4470654990037,1566.4331563754304
1655.20108,-3602.6475276660344,1549.2639101329858
1655.22191,5397.710227026055,1557.7766332474475
1655.24275,4025.9523405252944,1528.3417212236195
1655.26358,4432.4613118053185,1525.0217235560835
1655.28441,-1433.627069838697,1522.1371665906472
1655.30525,2794.0939218893836,1561.5774696378808
1655.32608,2908.0622066548844,1516.9379047794703
1655.34692,1442.9276031098773,1558.8573913655953
1655.36775,7968.825352247286,1556.4592587434156
1655.38858,724.8101823654514,1553.8573103995927
1655.40942,2785.618040100699,1552.585452759345
1655.43025,5909.497683907411,1548.8344115802051
1655.45108,1637.3777843683422,1564.6915124100187
1655.47192,2863.3489591449174,1526.9113270395396
1655.49275,-374.09276409984574,1567.3652419176158
1655.51358,-3909.5780795005116,1583.0567944674003
1655.53442,-401.67562702391444,1592.3181095530754
1655.55525,3995.53578543396,1590.309781926225
1655.57609,6813.083489528595,1595.0822785733083
1655.59692,-1957.846929211329,1607.378011630246
1655.61775,3892.6826474986888,1566.9771007240956
1655.63859,1392.6586836725778,1623.7166642408747
1655.65942,-914.2084671158516,1604.6459302163362
1655.68025,3853.422866947768,1615.09139681831
1655.70109,3905.0745245316084,1628.3658018680942
1655.72192,3597.797070019885,1571.3132059251882
1655.74275,-1796.113271359627,1555.2332744959108
1655.76359,-2641.437491337452,1570.5257522974287
1655.78442,941.2893372654473,1587.2201019662953
1655.80526,1586.9543690487476,1560.9653094150328
1655.82609,-6829.2551677433585,1608.3691621366622
1655.84692,1732.161958900298,1551.0166064961309
1655.86776,-2676.03316004487,1607.0282567213271
1655.88859,-617.4011985472695,1570.9026034072424
1655.90942,638.4465087905261,1570.1964383821671
1655.93026,-1560.683770380297,1575.7773050226128
1655.95109,-1381.9162284476379,1554.3030904415075
1655.97193,-6492.541137405998,1560.3063250555508
1655.99276,-2679.16847571157,1547.8597802488957
1656.01359,-6170.330705126557,1543.8273188780065
1656.03443,-4836.434886813894,1547.516918233187
1656.05526,-2658.6774491567935,1540.2882935865703
1656.07609,-7064.3035392653655,1524.623124179762
1656.09693,-6803.758118073261,1533.4638539366354
1656.11776,-302.0771231136696,1509.000144033119
1656.13859,-2373.610560369791,1518.7116363512046
1656.15943,-1896.459416497194,1518.9171158746572
1656.18026,-8720.044228831362,1529.7314711063575
1656.20109,-7042.370234227871,1516.7150741800062
1656.22193,2725.957553664651,1463.6547706785925
1656.24276,-4534.876632178763,1509.2064554574763
1656.2636,-5957.668549263143,1507.5474073675991
1656.28443,-1570.5087577503757,1483.2077695418648
1656.30526,-9042.710423963574,1492.4474552040183
1656.3261,-4744.526950238327,1438.8520017349317
1656.34693,-7650.760876390729,1449.8256065683822
1656.36776,-4707.942206467854,1439.4439586500948
1656.3886,-3044.6757847892886,1437.4976670621354
1656.40943,-9692.967311054656,1436.1796983431716
1656.43026,-5528.882816714983,1437.0997807437323
1656.4511,-7609.090841233017,1424.8085637202769
1656.47193,-1770.592928464199,1429.540772594977
1656.49277,747.6903094754424,1420.1576434482615
1656.5136,-15.941835879102884,1416.2023111755334
1656.53443,1706.290434980114,1426.334983037353
1656.55527,-1495.6896107154746,1434.21902675386
1656.5761,1323.945926963899,1429.6987149238769
1656.59693,-971.4380202654787,1450.2032895791008
1656.61777,-1002.6718585741543,1429.0292723815935
1656.6386,-5042.316456089347,1406.5063872886635
1656.65943,-7866.466006920427,1425.5341001521322
1656.68027,-138.16970819807497,1421.2593179320122
1656.7011,-2702.9275655488336,1472.1827056953111
1656.72194,-3576.1811945990144,1465.538313169743
1656.74277,-821.5728549346758,1416.887440992019
1656.7636,-1712.6190616908677,1441.6694124130631
1656.78444,-364.04946216378454,1426.4737916454458
1656.80527,2428.812414485788,1425.2664657468024
1656.8261,-438.56472768250984,1444.7816725404055
1656.84694,-3605.843809784748,1419.63295166339
1656.86777,-1722.5096503894301,1410.9875997761271
1656.8886,-1259.140608804436,1418.8768725840348
1656.90944,-1167.7590278155512,1419.7432379547513
1656.93027,-3331.8511858406605,1418.6111396664871
1656.95111,-5197.48819844803,1424.989561588535
1656.97194,-2020.9184470424811,1418.9453261441902
1656.99277,-632.726714699001,1412.3580970950713
1657.01361,-1388.4468882352394,1399.2668290872998
1657.03444,-2768.7705018223874,1403.4279974124397
1657.05527,-1747.1109804711753,1398.8601483879045
1657.07611,902.8788086952042,1390.6152973647452
1657.09694,-1085.0430020216143,1389.562467348397
1657.11777,514.9271697385528,1385.8201017072633
1657.13861,1304.1878051061333,1388.3704721949966
1657.15944,1564.543434048988,1423.6519837768183
1657.18027,1516.0406402322947,1404.6804836459075
1657.20111,-178.46449231738737,1400.7079191401542
1657.22194,-1222.176042849489,1439.101690849318
1657.24278,218.62617229195283,1445.2322063017752
1657.26361,-1445.8354533006448,1413.549616876526
1657.28444,3494.677604952135,1442.200759405172
1657.30528,-4788.849085480115,1438.6059967531235
1657.32611,-1631.280663795058,1444.2071855442402
1657.36778,-2052.60531481524,1394.8792648731046
1657.38861,2039.0994036279858,1400.3693354719553
1657.40945,4261.509716557971,1393.0985215651733
1657.43028,-532.290248891785,1378.9420638704705
1657.45111,1714.6342822109286,1386.4384417654028
1657.47195,-585.848742192107,1383.7692282912885
1657.49278,-2201.598172626008,1380.5616560888689
