relative_time,cts,e_cts
1653.92944,-700.7115178139929,1017.6794249129932
1653.95027,-1138.8315202282774,1067.329790872773
1653.97111,-2657.753829569563,1060.288666036868
1653.99194,-3005.044555662027,1072.6117880787915
1654.01278,-880.8047441148557,1025.7198175149872
1654.03361,-2032.1108003474653,1064.8351626770818
1654.05444,-4663.140548445425,1122.8238129182655
1654.07528,-436.4472590790396,1064.0856045428322
1654.09611,-2056.572257157557,1061.3910584081134
1654.11694,1022.2933120339956,1121.0658656948897
1654.13778,-841.056593753381,1336.6281614465129
1654.15861,3546.5652710460186,1374.2559797858485
1654.17945,-698.8562407083317,1429.853448365545
1654.20028,-983.2160618092896,1496.8499953087075
1654.22111,-1933.2443507141347,1569.9264942590744
1656.15866,-4771.263209386699,1549.874714243646
1656.1795,-579.9667700545588,1500.7057395208376
1656.20033,-162.0527516698642,1429.0907984499956
1656.28366,6398.411304274413,1595.8907158668803
1656.3045,2169.715508917586,1556.5036625879757
1656.32533,-4714.017356769749,1582.7639516105842
1656.34617,-3988.987425952816,1573.4795178560694
1656.367,306.41153167444094,1567.1156244282174
1656.38783,-4558.976756321438,1579.0375155662095
1656.40867,-4576.205647821537,1578.4293915938697
1656.4295,-4636.403053263474,1557.6022991203233
1656.45033,-3282.395874070646,1532.4015859055291
1656.47117,-2640.3823235010427,1577.114740670077
1656.492,-6075.32803297289,1529.9595394544021
1656.51284,-1797.2194552939673,1535.6749604691875
1656.53367,5730.3010046387635,1555.7722397901166
1656.5545,-4873.867469890779,1539.04984999276
1656.57534,552.5187774628916,1573.4531196741043
1656.59617,-2845.7743440667655,1561.174745769902
1656.61701,4493.8309794772595,1564.1871431850286
1656.63784,-5872.196920113754,1556.0422309520022
1656.65867,-639.4501368672477,1517.3026842990191
1656.67951,5619.1781795862025,1547.923824210624
1656.70034,-1048.7152094388773,1522.185704104445
1656.72117,-1264.1358564092247,1537.239642953868
1656.74201,60.849311764852764,1540.3332737988624
1656.76284,-996.4469164578869,1529.6278452249153
1656.78368,2266.323948205765,1526.1354515986939
1656.80451,-5492.129095272861,1518.9633016401094
1656.82534,-5187.149933244228,1488.1211037819683
1656.84618,-2498.246785504395,1544.3132826236567
1656.86701,-411.2124213851199,1547.2875851013948
1656.88785,-2931.4531848536603,1522.1554427738997
1656.90868,-6667.80131731725,1480.4228144486913
1656.92951,-1545.5632258087307,1445.2296381923702
1656.95035,-1306.381854256874,1458.6150187841772
1656.97118,1019.681716284069,1473.4560552229561
1656.99201,-2057.277818321865,1433.349168591933
1657.01285,-2753.691797959704,1464.0574439659588
1657.03368,-3289.862481798792,1451.9520532704053
1657.05452,-2630.635063084678,1415.4493769550647
1657.07535,973.3820951692353,1423.8465742523174
1657.09618,-1603.024878197759,1392.5036694143039
1657.11702,-2918.620985676607,1384.2550960277079
1657.13785,2789.6209040205617,1392.8578986771756
1657.15869,-3109.507097942887,1421.6681876917921
1657.17952,-2187.6066084701483,1408.2049002702834
1657.20035,-4119.080456728022,1408.2854898420544
1657.22119,-1411.2016304717233,1416.4766525483608
1657.24202,-906.1682461184341,1404.3755542401184
1657.26285,-4980.918750959131,1388.804811958405
1657.28369,-2330.7692074407264,1398.8238878012623
1657.30452,-467.85562282355136,1393.378565258046
1657.32536,-4896.371490777198,1386.1506142644132
1657.36702,648.3177798138274,1396.7712681889607
1657.38786,-3946.209279388238,1373.4137060856729
1657.40869,-45.31247934289926,1340.203720076892
1657.42952,-3742.0937074992376,1388.829815114494
1657.45036,-1593.3930830000713,1347.4122480179408
1657.47119,209.28950824445516,1376.3184718889665
1657.49203,-3218.9054563931018,1382.7475022942685
