relative_time,cts,e_cts
1683.36704,27.63585347592331,1205.7669961388792
1683.38787,-2816.473173354986,1197.6233080690995
1683.4087,-7251.551918850142,1215.8340826598803
1683.42954,915.9702606705589,1229.123454823166
1683.45037,-1340.8206453519565,1209.279502913095
1683.4712,-3445.740495190459,1203.3979868690367
1683.49204,708.6874171767479,1220.508458132955
1683.51287,-6828.971798268228,1223.6762863058716
1683.5337,-5444.571180321562,1231.1061222470726
1683.55454,-3001.2333698189855,1240.9002653071466
1683.57537,-565.553066846413,1225.4844273821661
1683.5962,-4253.062746207425,1232.388278528872
1683.61704,137.83415136892475,1204.8232853745355
1683.63787,-2115.178631025772,1208.6342147067924
1683.6587,-251.69334717255154,1204.9114233671266
1683.67954,524.8443588564974,1202.1742247411378
1683.70037,-4720.895164843969,1207.4499287765675
1683.7212,1189.2914246081914,1190.841275438208
1683.74204,-2100.7757239015004,1186.7360789371392
1683.76287,-5373.401063532447,1208.8885682685377
1683.7837,938.8659085598345,1199.317503998645
1683.80454,-6057.78514004247,1259.1215377233477
1683.82537,-2016.7536443416113,1236.0725778419967
1683.8462,-3255.504589246304,1242.0480275530967
1683.86704,-3576.393040448433,1275.3157456623023
1683.88787,-674.4432919511088,1199.4136247126492
1683.9087,231.17829990201986,1232.3919965087084
1683.92954,-2962.968468105032,1262.6895954904126
1683.95037,19.926622285255437,1177.960115590484
1683.9712,-1322.8407135680732,1217.17813237072
1683.99204,-1462.7890832357025,1166.3008588807409
1684.01287,-2329.66899713704,1198.7287509563241
1684.0337,-6913.864759928606,1192.202602820052
1684.05454,-3003.394390922689,1208.737333971077
1684.07537,-4832.42056283385,1210.7272186499602
1684.0962,-1438.6204646618698,1204.9969369033627
1684.11704,-6783.590136385764,1209.8681466030673
1684.13787,-1281.3749592720683,1211.9110671707926
1684.1587,-3040.6017460778976,1257.8475828676578
1684.17954,-3136.0501618460175,1280.096411617757
1684.20037,-3604.5326801921815,1241.7441373776494
1684.2212,-1261.7522271622602,1195.9733998405459
1684.24204,-5118.687513856951,1255.7499861258689
1684.26287,-5153.422849830381,1205.7059775286239
1684.2837,-6571.9483989432265,1252.1643226307556
1684.30454,-2444.173809204014,1256.711193265913
1684.32537,-7818.152690543967,1295.0766991401442
1684.3462,-4131.773714462598,1322.1567146305335
1684.36704,-2696.655258749523,1308.4521316014063
1684.38787,-4800.006121097087,1336.0492743460923
1684.4087,-2595.041448241605,1268.612446722063
1684.42954,-9019.058428046821,1355.7219804789947
1684.45037,1407.4495778280173,1359.9834414855386
1684.4712,-155.04435197433563,1340.5668385519514
1684.49204,-725.7128123138226,1326.293404607863
1684.51287,-2044.5668673261976,1322.506095382802
1684.5337,-5345.762694952516,1336.2431560593232
1684.55454,-751.9789182770958,1322.8543826115892
1684.57537,-5148.601832858467,1373.7090201655062
1684.5962,-7724.585244515995,1376.0094655130724
1684.61704,-4154.096793457075,1378.2870562198802
1684.63787,-4762.863830589014,1394.4836699104937
1684.6587,-7285.839566310336,1371.7572994561197
1684.67954,-3998.6410579490835,1350.8473808564981
1684.70037,-6539.442757348124,1360.5083327565526
1684.7212,-3261.248211979373,1365.8611301974124
1684.74204,-1538.7153710542923,1384.5982176397326
1684.76287,-2810.0582365567607,1289.235424760197
1684.7837,-3383.560891055026,1298.3697357516673
1684.80454,-5368.213934899,1351.1450379481025
1684.82537,-6805.4456247396465,1279.8478537304625
1684.8462,-275.6363718521964,1406.7800134004299
1684.86704,-2158.915414887697,1292.1286691869645
1684.88787,-6347.88084483057,1310.3608768379786
1684.9087,-3042.9768790792355,1258.787466299817
1684.92954,-1959.7056178467753,1345.4139907350682
1684.95037,-6008.485055469539,1373.2886697393026
1684.9712,-2681.6176705967173,1296.8833092835648
1684.99204,-5180.788712358776,1250.691455853821
1685.01287,-1089.9578292634362,1273.1430238573494
1685.0337,-6019.351288950657,1250.7224025683413
1685.05454,-3215.303494856398,1368.2221567458414
1685.07537,-4576.366900132048,1284.64295419587
1685.0962,-567.5665716324918,1282.8282519786878
1685.11704,-3998.8972705007473,1273.8140098654621
1685.13787,231.78487737708514,1280.0275196384366
1685.1587,-6688.996637275307,1382.8527354589155
1685.17954,-10388.476243367093,1403.130706838706
1685.20037,-1231.6833932928398,1301.1469573370712
1685.2212,-3925.980249950289,1299.6458776543197
1685.24204,-2252.0231436441395,1294.023964084717
1685.26287,-3745.612627958238,1294.533546026993
1685.2837,-6566.108108734413,1291.7051475426651
1685.30454,-3775.914819738564,1274.930716044544
1685.32537,-2200.5474941052044,1311.6137266904798
1685.34621,-4440.097471512485,1305.8223169812788
1685.36704,-2014.6019181874988,1305.4722801149214
1685.38787,-2890.15041142963,1283.213937710535
1685.40871,-5139.907227658818,1287.9681403977431
1685.42954,-4139.026946361572,1324.0019261528435
1685.45037,-6441.82052625157,1285.771579780898
1685.47121,-3741.919252400219,1334.2924195210699
1685.49204,-6574.302754998421,1309.7193066115121
1685.51287,-2450.867703842314,1301.937028052295
1685.53371,2554.5857815852573,1292.0328765300044
1685.55454,-5275.8666423714385,1282.6048451314628
1685.57537,-4507.245608937456,1324.2861329056275
1685.59621,-2164.7966028747105,1270.4122770198999
1685.61704,-3973.6473759086257,1364.2794578340906
1685.63787,426.8233197463203,1249.3022436232043
1685.65871,-7757.1108975908055,1231.5257072068391
1685.67954,-3413.221731313581,1265.0897701794713
1685.70037,-659.1101244013128,1282.9382604409045
1685.72121,-78.87311489593974,1213.6713119186072
1685.74204,-2580.933026990841,1313.28484927457
1685.76287,-2615.5595573778837,1501.5656445865466
1685.78371,20.276987208657495,1398.1894022838515
1685.80454,1609.3394915692052,1399.7753393887501
1685.82537,-4713.312673024781,1371.2877404732585
1685.8462,-1653.6205220677618,1307.775459271191
1685.86704,-7971.590437819608,1306.2993119238126
1685.88787,-7258.660696297239,1372.9262760576069
1685.9087,-3502.90738768771,1310.6290087955883
1685.92954,-5233.720279060687,1514.135040889758
1685.95037,-2747.1340522829246,1200.8953490297822
1685.9712,-577.9122879365228,1474.394757294863
