relative_time,cts,e_cts
1683.36677,5678.288415313975,1459.844317183019
1683.38761,11525.632558333287,1462.786930436035
1683.40844,20372.388477667588,1465.9751637621089
1683.42927,26077.29758741935,1468.320682388818
1683.45011,1514.2230235493369,1462.5984176186976
1683.47094,24090.501425559578,1464.1447879060754
1683.49178,7670.179133118618,1472.073629938471
1683.51261,19201.04283382283,1442.0832541724074
1683.53344,10388.72223644728,1451.4560266726407
1683.55428,9220.385615117864,1446.7704057774977
1683.57511,13879.149497756714,1419.2603688604108
1683.59594,11405.928096793235,1454.5230984190518
1683.61678,7515.479698513756,1445.6011788717137
1683.63761,10295.45890529353,1449.3870955586897
1683.65844,6087.216753466485,1442.407058199689
1683.67928,1523.5074858603116,1461.3837404021751
1683.70011,1683.8109673286056,1448.054671423156
1683.72094,-8260.002298442312,1443.9350599677011
1683.74178,-6858.065798282224,1433.5365940559586
1683.76261,-104.90367382030867,1446.0521495715275
1683.78345,2354.3702513455005,1442.1635575711732
1683.80428,-4295.101816790357,1435.7412873675296
1683.82511,14206.996718743318,1457.700734522415
1683.84595,-10749.380107404111,1474.2088525678253
1683.86678,1198.3923466355304,1452.9941546756877
1683.88761,-247.48153410061352,1435.7383436945543
1683.90845,11184.24432391344,1432.074177321836
1683.92928,-7097.128898661191,1429.0685694671488
1683.95011,13048.16203828429,1460.0358914202507
1683.97095,13785.986604724876,1447.0951517801311
1683.99178,-2137.879824075629,1457.83473051625
1684.01261,15412.16857973477,1453.437236331928
1684.03345,7002.831043077005,1436.7074008380189
1684.05428,11830.816794323913,1431.2475939503754
1684.07512,22134.461936414795,1436.471906999996
1684.09595,10486.704746368094,1436.225580445424
1684.11678,4354.844837293,1419.8137793797648
1684.13762,5496.138876973804,1452.9517657848437
1684.15845,-4733.3712741975,1463.1591284470303
1684.17928,-795.0016460841316,1463.207522430744
1684.20012,5638.2911998888,1465.5526878166959
1684.22095,-11214.940239218222,1474.2930416149184
1684.24178,19437.553180997627,1482.6507179263538
1684.26262,7983.422203740228,1451.888393359251
1684.28345,13507.042622876717,1453.1096644032382
1684.30428,9624.80377528456,1454.1962329718758
1684.32512,8773.942284339862,1436.7766360263977
1684.34595,9899.875767447942,1445.308224537213
1684.36679,15661.38605666237,1467.5676908417395
1684.38762,16862.649661917996,1471.7250990581972
1684.40845,3187.505767861449,1477.5956071993528
1684.42929,19649.865005605618,1480.7374482393363
1684.45012,9847.06627427129,1480.5886161337057
1684.47095,6734.8744972294835,1500.21349512535
1684.49179,22878.554524595125,1495.5948722271246
1684.51262,16691.904383671765,1534.891140243423
1684.53345,12403.990427552464,1520.0093426433993
1684.55429,28848.768284084435,1549.3410421445128
1684.57512,12088.955719811174,1546.8866076177183
1684.59595,11283.49956028185,1602.1203921098975
1684.61679,22825.944847940034,1648.1576712396034
1684.63762,-5244.00351364618,1625.7244104826161
1684.65846,7272.728764631349,1642.482858477845
1684.67929,-892.9683779177976,1620.1919537459426
1684.70012,-10309.578409339874,1642.5564503022272
1684.72096,4598.078415796436,1655.8045094009665
1684.74179,-9875.667825127615,1646.695489999319
1684.76262,7870.425430935503,1673.3313737896642
1684.78346,4932.339782449271,1662.7980876556537
1684.80429,-2794.259082129809,1684.4752954456685
1684.82512,10126.705316182375,1682.5715632590907
1684.84596,10647.406801157244,1664.685099779732
1684.86679,8184.608357464662,1679.6337776297541
1684.88763,8380.066712313783,1672.3247553790352
1684.90846,9404.44524397824,1668.3708138386294
1684.92929,1365.9718812172205,1683.917410543392
1684.95013,26638.01689353022,1696.4009388969898
1684.97096,7137.696951149733,1673.3675220938007
1684.99179,17129.15662544557,1660.9398057798144
1685.01263,20633.778748829507,1678.5613386913974
1685.03346,8232.497206895823,1662.269992723887
1685.05429,7508.221896172808,1672.3055626312364
1685.07513,9282.035193733142,1658.054417529438
1685.09596,169.25966536906475,1619.8550798106505
1685.11679,14962.17788752771,1653.8865298371884
1685.13763,32128.650042317968,1674.9917230946453
1685.15846,16548.21887812432,1688.3963855956697
1685.17929,15889.230230597925,1647.137511933288
1685.20013,8582.009272245947,1700.62711131415
1685.22096,18647.82200475537,1679.5526500025553
1685.2418,30232.37712305963,1679.870331190048
1685.26263,17057.289911173826,1662.7374479923628
1685.28346,17261.69302847257,1601.942358768352
1685.3043,7495.715289423083,1636.924968406665
1685.32513,8221.93236458752,1606.050431025744
1685.34596,12553.86506440391,1627.5298239918193
1685.3668,3916.9645334531892,1603.64003384666
1685.38763,24841.787408516153,1670.7693185788933
1685.40846,19727.795568459536,1596.0304037117044
1685.4293,13577.293260685028,1687.3131139407642
1685.45013,12914.625963914878,1683.2353026415583
1685.47096,35619.95546014938,1693.0610475392289
1685.4918,12103.636758914285,1614.6305312671918
1685.51263,4011.8760859792637,1616.2980631342325
1685.53347,2465.013145492267,1692.8519290110646
1685.5543,-75.87458390105483,1628.1856743307133
1685.57513,5970.29029498667,1739.4512141852126
1685.59597,19710.99849947487,1726.9597967880409
1685.6168,-7372.4722974728975,1739.528220670246
1685.63763,10502.135480104549,1762.368650273175
1685.65847,8725.693247083445,1678.8671274400704
1685.6793,10952.880341327878,1685.0966459372921
1685.70013,27425.15481162817,1756.4768299396783
1685.72097,1294.7942219155339,1641.4060629034848
1685.7418,16080.222091568181,1741.372961650399
1685.76263,14802.1263844661,1694.0083215026764
1685.78347,24511.996656884345,1744.2800153338735
1685.8043,11528.472025285248,1661.7285923902725
1685.82513,14857.397259237767,1669.3673060142237
1685.84597,19236.317102579535,1690.9367753733427
1685.8668,16563.53810552847,1682.9870921362824
1685.88764,1035.089497899257,1686.8700322845239
1685.90847,18408.57651439885,1782.7167308413882
1685.9293,3576.7098486226682,1674.8000311104945
1685.95014,-1056.5393363886606,1658.16733682477
1685.97097,1132.5270750788852,1650.2589827562826
1685.9918,-1838.1120641064513,1633.9650463565538
1686.01264,-5711.861123344044,1643.0240233176216
1686.03347,-11754.091135692244,1656.4395185351955
1686.0543,18814.712484367003,1659.2665043137422
1686.07514,9543.235068127027,1653.7445270528606
1686.09597,-2607.7388959028503,1656.1198356500793
1686.11681,7658.1085432099935,1647.6734959086284
1686.13764,31589.955415155113,1660.893413493724
1686.15847,2181.7417288765982,1680.7740387934614
1686.17931,21133.045702414445,1676.146349382472
1686.20014,14004.484263723136,1676.7303741007688
1686.22097,-3616.1053772916935,1684.2857229060598
1686.24181,2559.219158479625,1676.3863176034174
1686.26264,13480.200093243506,1682.402360936471
1686.28347,8549.208866257673,1666.1090132713377
1686.30431,-11355.574215612569,1663.9757923396066
1686.32514,5286.733870555449,1656.301754639952
1686.34597,10050.72958767789,1662.8424782441211
1686.36681,1848.9331237105257,1648.532812923574
1686.38764,15820.775586545298,1663.917978602372
1686.40847,13123.64028605595,1641.7888581371913
1686.42931,7979.164239654934,1645.5646485891325
1686.45014,12564.110930308612,1656.354034271993
