relative_time,cts,e_cts
1683.36876,48397.430913323646,3540.3711352237915
1683.3896,45785.26337894393,3513.002392863192
1683.41043,50118.866353873855,3556.5604763091765
1683.43126,53472.10619367635,3503.6111884035467
1683.4521,49794.21002124738,3452.288845088741
1683.47293,54105.01995945701,3558.6291268863156
1683.49376,45731.30122550162,3472.47421786858
1683.5146,59466.40847216951,3556.2294574641996
1683.53543,46227.04564729268,3517.447428597237
1683.55626,38085.00535218652,3466.659580803245
1683.5771,41449.78376174326,3527.0440211276245
1683.59793,39062.5149484834,3481.8918343305545
1683.61876,42457.8659457885,3448.936779714226
1683.6396,29228.422044128376,3606.727294522094
1683.66043,51485.83256664253,3636.660607556192
1683.68127,38374.55335695417,3642.980200402894
1683.7021,33918.79713017447,3544.757439005289
1683.72293,50148.92825165613,3626.0125740646736
1683.74377,43659.77191387147,3634.628621008601
1683.7646,41670.52780539152,3547.341471154188
1683.78543,34453.74252384312,3559.6682306621487
1683.80627,32103.400470049783,3565.2223967308337
1683.8271,32815.64094719348,3557.0428428780247
1683.84793,24941.261447556644,3532.132849418436
1683.86877,35605.087405073136,3473.3315653652294
1683.8896,42308.935093893415,3575.1194257877114
1683.91043,21338.026792816196,3550.6603477626186
1683.93127,33598.23726435657,3581.4829807172373
1683.9521,34773.80473193293,3498.857201747523
1683.97293,41300.06263493639,3524.361986549032
1683.99377,41006.1389259408,3564.531688117299
1684.0146,42285.063509156964,3509.970399253742
1684.03543,43067.15834580215,3596.595511418201
1684.05627,39213.6242692811,3591.7560332809553
1684.0771,38547.89967231788,3623.836711609659
1684.09793,40603.865711575745,3570.3086185740462
1684.11877,34986.14298207684,3447.0500591794444
1684.1396,47447.58076517616,3450.7237601875822
1684.16043,15491.195581799931,3471.2173888367065
1684.18127,32446.924008024078,3525.732804222535
1684.2021,45875.40962805044,3666.22658524211
1684.22293,23910.26719901746,3536.9346209470937
1684.24377,31440.481453281307,3495.4161696283218
1684.2646,37278.87767858014,3542.73309803732
1684.28543,41512.59654241335,3582.3762971907418
1684.30627,40158.46273998669,3534.359103193682
1684.3271,37568.79128106424,3584.8006409834547
1684.34793,44955.34405166078,3584.981007157253
1684.36877,38304.37805687175,3570.3623113945696
