relative_time,cts,e_cts
1683.36795,-1168.9805254273615,2283.812240268415
1683.38878,4666.158047995836,2283.5778038388685
1683.40961,-1732.2321252069057,2284.412065356544
1683.43045,-54.39870576679397,2285.031437460326
1683.45128,-3082.20319560768,2283.9746210324215
1683.47211,-6010.84963555489,2283.9918683991727
1683.49295,-3489.9656958592445,2283.5214624408145
1683.51378,8453.771772544615,2285.287081763062
1683.53461,9293.19178597813,2286.026418884469
1683.55545,4776.063251507947,2285.263574240971
1683.57628,3843.246319708791,2289.7855782866263
1683.59711,-1060.3780730172007,2286.040344536142
1683.61795,7385.208738058593,2287.5087981171782
1683.63878,15380.217419109678,2290.298399991366
1683.65961,-1358.3354044838097,2286.7487641556695
1683.68045,1404.4595902329465,2285.3088006693415
1683.70128,2124.7544689221745,2285.197906489044
1683.72211,2028.259284696632,2285.684921022793
1683.74295,-3766.4532496772504,2285.060821862939
1683.76378,4037.340519631961,2284.714469186918
1683.78462,3599.887635705019,2284.2431689206533
1683.80545,-6188.754562737353,2282.4218469917128
1683.82628,457.49815684015874,2283.122984389722
1683.84712,-1961.7746463766823,2282.4964578226964
1683.86795,2813.2822532208925,2283.690742151522
1683.88878,5698.944422475613,2288.0038614220775
1683.90962,-5343.709097060914,2284.464574006432
1683.93045,-3538.707137573328,2282.4353893685693
1683.95128,-5457.472344877892,2282.2350643977093
1683.97212,6981.338776845397,2283.990846332995
1683.99295,-5262.321073010273,2281.617225393195
1684.01378,-6109.939462531195,2280.1743234666055
1684.03462,-888.3311181331225,2282.2225440870307
1684.05545,1524.458847075845,2283.9957011473402
1684.07628,3029.0830946293845,2284.055747535289
1684.09712,-3604.643565147131,2284.581472825524
1684.11795,6267.2543555276425,2286.1895661981093
1684.13878,3582.1753566010325,2285.0467684529935
1684.15962,4303.314206436626,2286.853014905811
1684.18045,2611.1736491223305,2288.3560909786215
1684.20128,2470.2694339523664,2290.797679319249
1684.22212,2326.4717494328897,2293.5966075473098
1684.24295,535.8922935393125,2295.2623199006716
1684.26378,-754.208439811511,2297.4500525543745
1684.28462,-7903.889820437614,2300.847911562659
1684.30545,5543.470909456844,2304.402402212701
1684.32628,5548.343865476322,2305.7560011069995
1684.34712,-1961.9586182886967,2307.4532697536033
1684.36795,337.291037288339,2309.344858732272
1684.38878,-4928.966651364222,2311.878816303723
1684.40962,-5452.444034799381,2313.683146382457
1684.43045,-1588.278575595306,2317.709065057035
1684.45128,-10719.732221675766,2320.136599987717
1684.47212,-3560.6712119771987,2320.700397243077
1684.49295,-4133.744612209402,2324.3553058950934
1684.51379,8167.0498868129125,2329.036241231405
1684.53462,1542.1773863351702,2331.7470162516256
1684.55545,-7779.003043132207,2333.636177823121
1684.57629,946.6502142416307,2339.4314208098417
1684.59712,10274.176524849048,2344.3412989699937
1684.61795,-4284.643868049172,2344.8212867987695
1684.63879,3212.128120378562,2348.1803072922958
1684.65962,8416.696194184586,2350.807656160749
1684.68045,9246.823837445572,2352.406678696006
1684.70129,-1181.9076184448936,2350.3901421270944
1684.72212,894.8253266272251,2352.749837415221
1684.74295,-8106.98075789137,2352.740255544804
1684.76379,-10575.565571266083,2355.4846309906216
1684.78462,10620.76542591562,2358.5693544736655
1684.80545,812.6181165350315,2358.2890528243884
1684.82629,5218.033923457561,2361.0161809034544
1684.84712,2683.0993844983736,2363.3500690205906
1684.86795,-6324.962000545247,2362.8539836495133
1684.88879,-4713.955611594669,2365.6437132819733
1684.90962,-690.069571128014,2365.523364989531
1684.93045,657.9266119005963,2364.4008808096996
1684.95129,493.72209855748656,2362.7885714141307
1684.97212,-4391.609864750312,2361.085809161821
1684.99295,-2215.0339576870815,2360.716971029887
1685.01379,-6249.3851892653565,2358.900887190108
1685.03462,997.1970081006269,2360.9438697213714
1685.05546,-144.93026160281414,2359.895485339435
1685.07629,568.281953990411,2361.424368583236
1685.09712,365.4059059505512,2363.836828037795
1685.11796,-3598.6893908697534,2366.607138412876
1685.13879,2270.160630089054,2369.376043446962
1685.15962,-2769.211398423069,2370.784195123504
1685.18046,3677.624200576994,2376.3255824232992
1685.20129,-622.5231338075429,2376.974466687966
1685.22212,1848.2842902291934,2375.2940621332973
1685.24296,6902.16953070861,2377.1778578573594
1685.26379,-6014.320189020074,2374.023378357677
1685.28462,3050.953777736253,2374.4879074355126
1685.30546,-1571.3277357938236,2372.0179567584496
1685.32629,2178.4492266089705,2372.9058767504625
1685.34712,-1763.9225646340774,2371.454159503089
1685.36796,4401.148552871705,2372.7331475664046
1685.38879,4438.586581450055,2372.7891056896424
1685.40962,-7865.4538719948605,2373.443866834832
1685.43046,-6410.55186641133,2374.2930760703584
1685.45129,3892.981593022569,2376.582759825302
1685.47212,2011.435947650838,2378.8969731685147
1685.49296,2030.6367383846,2382.6050292617792
1685.51379,2168.2694474775167,2386.1079055698387
1685.53462,-6003.604336178335,2387.2438043682546
1685.55546,-602.6803577558145,2392.9813006159256
1685.57629,2040.2031500510673,2398.284163221463
1685.59712,6775.457854242638,2400.9156003546277
1685.61796,-1893.7252247384333,2403.692681918137
1685.63879,-7377.7319406927545,2404.771728285409
1685.65962,-507.58438212775815,2407.777624914486
1685.68046,-8091.0215777989515,2409.5848934334813
1685.70129,-2374.881147397443,2410.7328015094868
1685.72212,2149.1478668725385,2413.2896278116677
1685.74296,-1801.873542675439,2416.20711571636
1685.76379,9579.885692648211,2415.3594395800997
1685.78462,5839.953910461895,2414.9771868295816
1685.80546,4002.2809668077566,2418.2327231225995
1685.82629,7876.879294280577,2421.260977449317
1685.84713,3342.167644319636,2419.308320016522
1685.86796,-2690.3187489456654,2419.6026750757446
1685.88879,-279.6725675447519,2419.796356616448
1685.90963,10027.960654845076,2419.555021240202
1685.93046,4264.586330341822,2420.460571873783
1685.95129,8956.222060744454,2416.8713309736945
1685.97213,3653.8274337579546,2413.3036812216133
1685.99296,1171.2099072778115,2411.740303244309
1686.01379,10822.5974333548,2410.4438122976976
1686.03463,-1562.961102061888,2407.2429565451944
1686.05546,-7355.355590344391,2408.419354715908
1686.07629,-10569.203720342013,2409.346879772313
1686.09713,-3966.602297396315,2413.544122289954
1686.11796,5610.957172631095,2418.7995865764938
1686.13879,7233.25560423118,2421.8163426587103
1686.15963,3646.962342999563,2424.7486505229813
1686.18046,6354.268215096024,2427.088032245823
1686.20129,2879.3419675273985,2428.941549259366
1686.22213,12752.439282861887,2430.315972752039
1686.24296,7051.380972013922,2429.519144408128
1686.26379,4814.158979671747,2427.1254654195873
1686.28463,8485.974650401708,2425.9301590245836
1686.30546,986.6666602701686,2424.4744812707713
1686.32629,11915.493819403237,2425.149300464701
1686.34713,8674.746440703691,2423.457014390715
1686.36796,18960.501058973772,2423.469279184849
1686.38879,1697.6954869909468,2422.093450351181
1686.40963,-1475.4813080746762,2421.4974580112184
1686.43046,411.3679664522264,2425.768672568482
1686.4513,4784.098863556529,2428.206555919215
1686.47213,56.7946844042346,2434.150126259997
1686.49296,2502.4770388655343,2439.1485409028055
1686.51379,6671.148079779475,2445.1694049982875
