relative_time,cts,e_cts
1683.36923,1623053.4197936933,25554.81260060155
1683.39006,1680597.5276594183,25618.49781944598
1683.41089,2009969.5622542538,25628.98253681132
1683.43173,2665750.1493154434,25681.439523707162
1683.45256,3088527.983799738,25598.8513178898
1683.47339,2651207.2204414704,25482.652477249623
1683.49423,2474284.5853506457,25406.60923281253
1683.51506,2720650.8784112525,25470.971166101874
1683.53589,2581344.9361699577,25485.584422451924
1683.55673,2275715.4453008943,25442.685664046192
1683.57756,2132368.5637432532,25623.407629613877
1683.59839,2094119.7774890477,25564.507333722184
1683.61923,2242035.4341778876,25623.213037906542
1683.64006,2494802.8199990857,25726.37713850915
1683.66089,2802547.6882750434,25773.819758498834
1683.68173,2843421.2828607075,25747.34076453214
1683.70256,2741974.539753766,25791.116637797797
1683.72339,2488601.8560964265,25769.80739366775
1683.74423,2528869.3207485746,25748.261444699678
1683.76506,2253160.499121515,25139.430462111515
1683.78589,2159525.6676968774,25173.30829748768
1683.80673,2406213.5235538543,25249.50547267834
1683.82756,2815246.6704868465,25414.511979613384
1683.84839,2786674.8673947775,25419.429050665876
1683.86923,2950209.1907679816,25598.71190890544
1683.89006,3004897.6624242193,25703.326734251532
1683.91089,2789849.603508577,25663.958217939307
1683.93173,2916476.507735895,25660.24064502307
1683.95256,2639175.5251420094,25666.45015353473
1683.97339,2485613.9832043895,25716.948153764948
1683.99423,2284921.298704743,25759.616016040338
1684.01506,1607456.6998591267,25810.250520901074
1684.03589,1249824.6416526793,25724.66356974307
1684.05673,1168128.312073635,25695.18437825881
1684.07756,780985.7999181905,25566.563616241478
1684.09839,563216.4035668374,25470.89855725585
1684.11922,329847.0126219623,25501.46252489965
1684.14006,95053.20021416021,25491.313260402927
1684.16089,2331.1796103287593,25400.899273161493
1684.18172,60672.50791834941,24975.27347867491
1684.20256,-13907.101922435002,24901.91966589441
1684.22339,179879.03059593443,25053.332344677525
1684.24422,431594.2532468672,25275.75937922237
1684.26506,456235.0526241725,25417.32484630821
1684.28589,381130.11633025407,25509.773333415138
1684.30672,487373.3794748223,25519.938571857983
1684.32756,446452.2319037229,25536.915972234456
1684.34839,617503.1798520599,25628.051691405337
1684.36922,699037.6802872708,25742.400458648914
1684.39006,934121.6144089394,25792.933311125227
1684.41089,1223626.177771292,26492.189898370187
1684.43172,1553355.6366715473,26345.364646478632
1684.45256,1557553.4880606744,26229.418484622605
1684.47339,1658104.3294948717,26077.456882963575
1684.49422,1811739.3907934409,26079.092034175956
1684.51506,1891896.3779846078,26149.10729221644
1684.53589,1984223.4747184038,26240.089080633752
1684.55672,2077014.1310122015,26369.64214023399
1684.57756,2323650.5507626585,26258.35601411555
1684.59839,2349342.6420040764,26359.17194463786
1684.61922,2277906.013524374,26388.430405230214
1684.64006,2055383.825086822,26262.4017790158
1684.66089,1675428.2613976852,26208.560867514803
1684.68172,1266832.129682767,26140.909753500742
1684.70256,973148.7108575833,26255.434234151693
1684.72339,755296.6217436744,26243.8211753192
1684.74422,353162.9677599499,26198.392724718116
1684.76506,224275.02116320576,26168.337018996463
1684.78589,-56196.455735695476,26448.734956203938
1684.80672,-87581.03258326944,26390.598505372378
1684.82756,-49968.45084660151,26335.29379953561
1684.84839,42822.42617808793,26404.980865592086
1684.86922,280687.6421465653,26400.593839115536
1684.89006,370841.73473673407,26227.57712428753
1684.91089,620071.3329531451,26239.711514634448
1684.93172,987455.8236258058,26234.406712344204
1684.95256,1264729.4123542642,26131.334098887583
1684.97339,1165359.2793391498,26041.791417798388
1684.99422,908320.400785014,26169.369516786872
1685.01506,1083237.2368350038,26092.058521898263
1685.03589,1297514.4613629938,26172.90266323422
1685.05672,1637213.3384570864,26053.834320999318
1685.07756,2055980.7366012475,26237.67411041512
1685.09839,2270003.85195082,26265.085401964712
1685.11922,2604159.191773306,26361.464931995182
1685.14006,2673049.746049821,26365.802584456433
1685.16089,2418271.298498629,26343.658338597153
1685.18172,2167074.656939035,26351.3897285214
1685.20255,1985764.3956225936,26289.418078443046
1685.22339,2220966.3321886375,26296.448066914738
1685.24422,3230796.44828057,26656.35269051447
1685.26505,3207091.738120105,26706.067967384595
1685.28589,2877452.555250284,26664.16685452318
1685.30672,2968428.5088207335,26738.612704347826
1685.32755,2249685.390376967,26708.526502910845
1685.34839,1856458.2961337955,26730.852270885174
1685.36922,1789977.0413250425,26716.34066691955
1685.39005,1775162.2750968074,26686.55070957433
1685.41089,1850103.8763394263,26177.222889572433
1685.43172,1687615.3439841599,27017.350803335277
1685.45255,1741076.193193724,26499.30992181094
1685.47339,2253569.8982910933,26610.122638253328
1685.49422,2846952.451443091,26510.35517946755
1685.51505,3129877.2578139813,26780.846365724014
1685.53589,3052287.7092528543,26959.485909587835
1685.55672,2853118.5514822453,27052.35407582476
1685.57755,2292790.8908543265,27036.900009037792
1685.59839,2039312.9113006662,27052.265493032613
1685.61922,2442402.2196808793,26987.700254974414
1685.64005,1746241.2917076957,26995.915219813156
1685.66089,1506625.4924356143,26806.695114907252
1685.68172,1377237.9490564119,26737.180857904306
