relative_time,cts,e_cts
1683.36925,15904.970585200741,23691.701216512367
1683.39008,93629.34899568328,23758.691908819015
1683.41091,98364.27626987394,23738.257628888907
1683.43175,21279.093470093972,23703.844575553092
1683.45258,42993.821573708374,23594.516991894237
1683.47341,37772.91521597344,23540.74901107593
1683.49425,50096.40890653168,23488.52664235445
1683.51508,-41920.6837747314,23510.120131357176
1683.53591,75626.71617700397,23554.5500390905
1683.55675,55157.64709461418,23543.281238894564
1683.57758,91189.92487938495,23731.525200197153
1683.59841,7388.770292651307,23670.946222072165
1683.61925,55773.38546572726,23713.298569545343
1683.64008,17344.31541031885,23783.14478020087
1683.66091,75228.62832534566,23800.581860673225
1683.68175,19174.305964849045,23750.45894838326
1683.70258,133847.15464273747,23809.501330481984
1683.72341,79495.91777954105,23819.95997233717
1683.74425,17482.289626182275,23802.39666687691
1683.76508,102625.61640550663,23254.689700215677
1683.78591,135119.00534895287,23307.161942892813
1683.80675,90013.31994261626,23347.523026781244
1683.82758,125359.15275488452,23468.539301922334
1683.84841,143766.38174015985,23485.484362543863
1683.86924,117107.58830152328,23629.328040344986
1683.89008,33084.67315516737,23731.56126447941
1683.91091,93681.06517644304,23740.615975346645
1683.93174,120923.70972062512,23701.356140077205
1683.95258,143522.09517223647,23740.202524110744
1683.97341,89119.90076621779,23817.70724270605
1683.99424,100902.62213638923,23873.461335068776
1684.01508,52595.886492842066,23998.702283274524
1684.03591,109201.10364494962,23974.154099146697
1684.05674,140470.44895234535,23969.235188648552
1684.07758,206036.76053499282,23907.153102759406
1684.09841,96823.08848767586,23848.567964239322
1684.11924,60480.36549718716,23904.414793327862
1684.14008,51425.565757257034,23908.207983015487
1684.16091,141681.92547403858,23852.4976829955
1684.18174,169315.89066491503,23428.075177227453
1684.20258,99510.9117880852,23348.59207514821
1684.22341,87946.26082865483,23467.859232599734
1684.24424,66097.58998072955,23635.382975734297
1684.26508,101132.64141664885,23765.729595899895
1684.28591,48624.34604934395,23858.515266092476
1684.30674,122929.92581439501,23853.121079874552
1684.32758,151678.780939024,23852.109991961217
1684.34841,130048.63388138819,23907.40941676546
1684.36924,141440.53564078663,23981.324451265886
1684.39008,104746.71655842346,23993.855501340895
1684.41091,120767.83216464012,24631.79401420471
1684.43174,46820.268969627105,24467.508328412994
1684.45258,73647.02149880552,24356.852806360952
1684.47341,36686.06526167745,24177.192144236065
1684.49424,40511.589154368325,24155.294684854296
1684.51508,102487.88562354846,24220.529819420964
1684.53591,26962.519095763542,24274.10459872717
1684.55674,115066.3705338107,24376.032564472473
1684.57758,170462.62020786217,24228.972725499872
1684.59841,186735.81999503073,24320.00927800288
1684.61924,96774.24199337585,24334.227621283593
1684.64008,143914.6394285075,24234.86794763918
1684.66091,159934.84956363743,24220.155008487483
1684.68174,136702.73224008584,24189.93700398447
1684.70258,136471.5679188645,24316.06023909549
1684.72341,36776.948540980855,24331.86669880569
1684.74424,65488.821032163076,24333.809018007367
1684.76508,61048.26202186318,24330.87621905364
1684.78591,40765.59375835051,24637.273209087954
1684.80674,78081.4057887786,24582.12705748331
1684.82758,12374.882716757525,24510.67083422692
1684.84841,59070.76726488255,24581.16491395304
1684.86924,66189.18037756726,24545.53211507081
1684.89008,108225.35744021377,24367.739067562925
1684.91091,123522.89345529162,24352.362803219672
1684.93174,46658.52066369435,24301.610054000255
1684.95258,91664.81162011436,24183.57037015563
1684.97341,55587.38006594491,24112.24809994763
1684.99424,60391.72979547456,24263.14749697076
1685.01508,167168.87832519494,24186.758195105333
1685.03591,64740.43050283997,24206.508541682597
1685.05674,131095.18328826956,24068.59743831312
1685.07758,97673.17127689949,24180.092742937773
1685.09841,106244.82297944269,24176.24803284692
1685.11924,165645.66858770308,24224.012598679146
1685.14008,101682.35252699564,24209.429748545597
1685.16091,44216.10578798867,24216.5125159793
1685.18174,135778.58114316216,24259.39809962588
1685.20258,68259.21608282514,24203.76636822081
1685.22341,-7575.616763016356,24179.97166999019
1685.24424,67428.09151397915,24408.9373580038
1685.26507,45327.099491247136,24450.36877826928
1685.28591,63878.19662651511,24437.42814098861
1685.30674,28784.234185525333,24505.048670224714
1685.32757,12557.277824283712,24564.942426986774
1685.34841,86614.99808144756,24631.444963472844
1685.36924,67424.81868036411,24612.513791306897
1685.39007,114041.06814122037,24566.144140392058
1685.41091,46769.125953353236,24078.971071502983
1685.43174,71429.49962323833,24892.326253275813
1685.45257,85718.93204433328,24380.771153559323
1685.47341,131177.11618552226,24444.100033206574
1685.49424,58953.98725489683,24348.88904003206
1685.51507,127935.15746013896,24551.648874944
1685.53591,88808.15080628815,24716.037601542168
1685.55674,198388.4536350628,24849.734335927635
1685.57757,157356.0498765079,24897.46412548768
