relative_time,cts,e_cts
1683.36614,1872.6695769410476,1065.7900504887684
1683.38697,5802.347722446521,1066.632342263058
1683.40781,2556.301845940754,1064.029507799189
1683.42864,-1830.3337316478678,1059.9927188383444
1683.44948,1428.6282083025776,1070.700429760606
1683.47031,3225.150732644449,1064.761412042105
1683.49114,3564.9951797109607,1060.4020073952383
1683.51198,2993.069314270312,1068.955295581404
1683.53281,2936.561973073677,1071.4341396883317
1683.55364,2021.4418744863178,1070.4808584877317
1683.57448,-1971.0168020030972,1066.2147475560394
1683.59531,-210.53658911824226,1065.178765991149
1683.61615,3393.989003586367,1075.0397311165902
1683.63698,577.6120872857738,1062.2115443326575
1683.65781,2556.591598163237,1070.7560448527488
1683.67865,4809.096244032975,1068.532043061981
1683.69948,963.8174918445396,1059.6419344692893
1683.72031,929.9002306507127,1061.562821969981
1683.74115,360.8497377012299,1075.996984823772
1683.76198,446.59388468563844,1060.799739569349
1683.78281,565.4097508569264,1067.1605652594255
1683.80365,-2295.0920832464203,1058.8925752732118
1683.82448,1125.088017369494,1065.1034087450855
1683.84532,586.2943013673612,1063.7324124584793
1683.86615,-65.48135394349008,1069.221333143385
1683.88698,-874.9373518614146,1072.1847026742823
1683.90782,670.028841537422,1069.2915140929936
1683.92865,1350.7126680006584,1064.9915766658637
1683.94948,3403.4925634984497,1071.7405042110654
1683.97032,37.06757929203478,1065.155171709634
1683.99115,2843.4756708945456,1059.8190119596395
1684.01199,3523.910914748963,1073.736989715795
1684.03282,489.0403582681669,1076.9913152590489
1684.05365,-333.5117900594683,1057.3875971737166
1684.07449,-143.55760019348347,1063.8384663463096
1684.09532,1137.1676876102606,1067.3246418191447
1684.11615,3681.333887081143,1088.032235218217
1684.13699,-1069.4150229339855,1074.97725442217
1684.15782,925.3602575228635,1095.947514771578
1684.17866,3373.4312820265104,1113.005217275057
1684.19949,4817.005023121021,1122.5365847332116
1684.22032,-406.871948723161,1127.0045712266422
1684.24116,4327.3919016311775,1143.2471876069665
1684.26199,2061.206785747269,1170.1334732882972
1684.28282,4408.628216677352,1183.9391374492818
1684.30366,10373.81271565287,1195.6072319323955
1684.32449,-1312.3297075141602,1199.4313112226428
