relative_time,cts,e_cts
1711.38615,2555.5065042243127,967.7461090929366
1711.40699,-1282.615587502729,967.4386386087766
1711.42782,-186.06933732763582,969.1567079285977
1711.44865,-1341.7611308608723,969.2722966901758
1711.46949,2319.724367021262,969.808974434511
1711.49032,2523.324447603479,969.2315779218927
1711.51115,826.6990322362194,969.2117658330237
1711.53199,3787.1485424616103,969.9366036920868
1711.55282,1554.7811482164382,970.050112731629
1711.57365,-2261.558153823952,965.771577208364
1711.59448,1621.5030094925694,968.2515910067322
1711.61532,1126.6005322350195,969.5323714037269
1711.63615,3758.2849559968054,970.6108714679596
1711.65698,784.27631485121,969.76081245052
1711.67782,1378.9362717129086,968.9348344250759
1711.69865,2258.8447733213375,969.8896457576957
1711.71948,1245.3862644187031,969.7428611655779
1711.74032,-143.69719002581704,968.579201956925
1711.76115,3903.431821740748,970.0833882842046
1711.78198,1058.8425315487568,969.1321891003842
1711.80281,669.9582634370103,968.4427065159325
1711.82365,-140.17249901106428,968.8973994284285
1711.84448,206.6561773845492,968.4329646600798
1711.86531,-458.0535243879973,969.0538164173444
1711.88615,3.1187073815203097,968.6314139259332
1711.90698,-1671.4538828115756,968.879557602541
1711.92781,1696.4172242455536,968.3114651095573
1711.94864,575.1552290178172,968.7084731003188
1711.96948,-2037.8671921608736,966.8166922609668
1711.99031,2855.194559066789,967.7562887850075
1712.01114,-1105.1776439196458,969.4184245279665
1712.03198,353.61229184073284,969.0394772812016
1712.05281,-546.8904930403168,969.6961221492959
1712.07364,-1040.531783071632,967.700902503418
1712.09447,3752.568456874248,968.5412196650047
1712.11531,-45.19750441721266,968.1305292924278
1712.13614,-598.0247281977905,967.3389214101045
1712.15697,-1815.3510545300092,967.9237611384305
1712.17781,3365.2101574416315,969.6501493463954
1712.19864,-704.3691253260776,969.8383094611236
1712.21947,2047.5499401241364,969.0402434945834
1712.24031,-769.8849667394543,966.2418133066026
1712.26114,-1623.3103974008827,968.7590431835092
1712.28197,36.36350196273495,968.7453608016936
1712.30281,1050.3658034482482,968.6586692305099
1712.32364,2245.3531786377753,971.4708912593608
1712.34447,633.9894708248916,972.9890883456196
1712.3653,3178.309040758662,974.8863421376979
1712.38614,109.18310824833299,976.9078319566617
1712.40697,-1385.2889468603637,977.83648257525
1712.4278,659.1996424268234,980.6348033041762
1712.44864,4361.3780762553115,983.574873508712
1712.46947,-155.8900530274424,984.3932988593939
1712.4903,-3916.8355208035273,985.8160476501072
1712.51113,2374.146095422333,989.3000198965767
1712.53197,3216.078544276768,991.2464208041365
1712.5528,-2440.844532460796,993.396962848385
1712.57363,-538.6535897282719,995.3392043118729
1712.59447,-973.0709637184041,997.9241893435303
