relative_time,cts,e_cts
1711.38481,8027.896008176159,2129.8340951932246
1711.40564,4248.911646138803,2135.575862888826
1711.42647,4604.090272111142,2108.643661244263
1711.44731,14691.671475028446,2134.073936789225
1711.46814,12277.373057053479,2149.1278760984037
1711.48897,12535.74915641479,2144.20919607683
1711.50981,16167.572022859147,2167.752219325556
1711.53064,16230.87143419645,2203.676027092377
1711.55147,22907.365172403737,2134.1771361067304
1711.57231,22011.066565542013,2152.4348501795885
1711.59314,10386.32985714246,2164.0909415146366
1711.61397,9651.700501750489,2133.588022593847
1711.63481,17856.047914648745,2148.856090041573
1711.65564,20709.40856011835,2167.1708353162103
1711.67647,24978.14189136342,2145.889945285306
1711.69731,26797.69815108831,2130.13147217393
1711.71814,27501.328959258317,2149.5163358775544
1711.73897,23704.589196425313,2142.329882189632
1711.75981,24267.610307778137,2135.8608099922208
1711.78064,24160.389454925622,2142.757093939223
1711.80147,26915.331585281037,2131.0561923742057
1711.82231,25068.275945476307,2137.2954685204922
1711.84314,18733.209419731058,2133.7424037591027
1711.86397,20635.562659014682,2172.2126651306367
1711.88481,27635.367637993586,2134.034453649532
1711.90564,28626.098216293485,2142.0318784924234
1711.92647,28376.078859236826,2147.1506899839765
1711.94731,29644.653127180067,2142.8634268392434
1711.96814,34345.07024807641,2134.960009471812
1711.98897,29276.277209538886,2104.8775128718303
1712.00981,28305.063523219258,2127.244189244299
1712.03064,27135.17036460499,2132.968408877815
1712.05148,31168.517855781764,2159.795322149863
1712.07231,28234.200479311934,2120.0954429993108
1712.09314,31785.786607565344,2091.8427496827844
1712.11398,38784.11243114426,2125.905940604749
1712.13481,38792.80948051007,2122.3778400507317
1712.15564,45974.28891954765,2113.6941606369815
1712.17648,37121.27655602265,2177.8605298035286
1712.19731,38201.013307635425,2151.262681413352
1712.21814,41861.61186231811,2134.5344689662293
1712.23898,37754.30649668912,2127.056696557131
1712.25981,39302.838369040546,2135.760117540728
1712.28064,35653.00011890451,2147.043312556451
1712.30148,42556.52285042268,2137.264654959092
1712.32231,41949.548961729495,2153.2441500905497
1712.34314,40420.71207329796,2128.2037966632456
1712.36398,38889.25853901337,2140.769253644244
1712.38481,38660.02423478093,2153.45880049285
1712.40564,38435.33195395173,2155.273040316479
1712.42648,45598.65990736372,2111.1187736203765
1712.44731,32935.79373817903,2175.5036579409934
1712.46814,41609.483290870376,2147.0987769669723
1712.48898,41934.171636704734,2162.7619891698823
1712.50981,47589.665851852486,2143.327823768016
1712.53064,41539.96434495663,2216.528729137281
1712.55148,41529.68086721605,2159.5785826925517
1712.57231,52554.893361541624,2175.2392880294497
1712.59314,38318.63326742333,2089.848642222775
1712.61398,31509.415492798707,2177.099695968805
1712.63481,44917.948748427385,2176.428169235768
1712.65564,40165.49838541113,2143.1784563347856
1712.67648,35137.892215380445,2141.6455077682826
1712.69731,42553.49298948861,2127.5195266946466
1712.71814,34445.340188193404,2145.58828574183
1712.73898,38684.197212568,2193.7304539997003
1712.75981,33502.34660593214,2099.6588445507887
1712.78064,31242.143152676355,2131.9552171978557
1712.80148,32221.571630012688,2144.198541896278
1712.82231,35892.01610986407,2145.083152240358
1712.84314,30395.031450483115,2207.4578433773854
1712.86398,30196.686644801113,2154.862958817972
1712.88481,30120.936465602874,2155.5244580869603
1712.90564,30758.19193783852,2163.3968529874896
1712.92648,33969.00911486361,2124.3848996518045
1712.94731,39400.957000308015,2187.7116776097428
1712.96814,24869.297842767955,2124.225818112776
1712.98898,29441.189823364763,2198.645791533257
1713.00981,21216.66892849652,2152.224482340059
1713.03064,26982.71008543131,2258.9835495825664
1713.05148,28033.54141848961,2157.5359047035545
1713.07231,24457.07140702916,2250.8351905151862
1713.09314,17672.162712125515,2157.7476304288407
1713.11398,22431.72797869559,2227.1950262084847
