relative_time,cts,e_cts
1711.38666,-7493.469331256891,2504.921702817514
1711.4075,-8528.115947831311,2506.8958675674066
1711.42833,-2777.768116637538,2504.805588415382
1711.44916,-4763.169573900221,2500.928950762367
1711.47,-486.45491023848183,2495.6906078479815
1711.49083,-2876.1374672123106,2495.209656716421
1711.51167,4664.456498305497,2499.6206845156134
1711.5325,1532.4627053033746,2502.3269417744054
1711.55333,-1738.640539726276,2507.0713586524475
1711.57417,-4564.4545088643745,2498.057098532352
1711.595,-844.5389714239288,2496.382895987968
1711.61583,-4121.7659316842255,2498.4569015306033
1711.63667,-2371.7996195635837,2499.6050706471447
1711.6575,4123.035713043909,2502.7241058089726
1711.67833,-1049.414697182007,2503.576930906453
1711.69917,-4963.576434571681,2502.625584498072
1711.72,-5625.883308135208,2500.9982235590937
1711.74084,1634.0034304863916,2503.75022285509
1711.76167,-1656.3437974739547,2504.0132395690116
1711.7825,-6501.255051598119,2500.559275932851
1711.80334,-5147.395209347585,2495.9219569976844
1711.82417,-319.6985750804819,2504.981739241344
1711.845,5549.417136230876,2504.4363534131458
1711.86584,2202.7038430989815,2504.8838776713646
1711.88667,-278.98134464633006,2501.5585635148395
1711.9075,-6261.941069666659,2500.7681938912333
1711.92834,6198.572294443777,2501.146885180006
1711.94917,-3247.4614291181856,2497.2880605318646
1711.97001,-4090.3998690672656,2500.8581385701577
1711.99084,-10665.218892257326,2496.994475821927
1712.01167,-1119.1332588578703,2498.851646515126
1712.03251,-2789.4508088702764,2497.8094757732583
1712.05334,-542.6166756380971,2491.982863870796
1712.07417,-951.7721611887632,2495.838609727972
1712.09501,4234.843546356395,2497.3397402373594
1712.11584,3887.786834755288,2497.3173090460377
1712.13668,4811.447655205047,2500.181244384999
1712.15751,13661.033582490283,2497.2044933485117
1712.17834,14443.246169346836,2503.4762104591487
1712.19918,19115.70004709921,2507.424979786215
1712.22001,16733.57922065062,2508.125184817256
1712.24084,22932.198576613442,2505.9231895359067
1712.26168,27965.87974121353,2508.121446285369
1712.28251,23142.341673886436,2513.2911761439495
1712.30334,39480.75917366612,2518.598352027782
1712.32418,30658.29387616987,2518.994416494147
1712.34501,34442.1556820529,2523.9435729714037
1712.36585,40472.445220760645,2531.9497489638943
1712.38668,35364.48844402827,2529.637796862344
1712.40751,45440.29017909254,2534.333612825857
1712.42835,46635.06823240784,2541.065609185857
1712.44918,49651.36347997147,2546.846918878396
1712.47001,48678.630250147755,2554.817468861142
1712.49085,47668.45892218191,2560.620769917722
1712.51168,58089.212135567715,2568.7522966852425
1712.53251,59818.4177203798,2576.382200439005
1712.55335,64198.29189353156,2582.385402994711
1712.57418,51986.82544924952,2584.5906969806665
1712.59502,61140.251979005814,2601.8462207748435
1712.61585,58548.4124886102,2608.388431663176
1712.63668,63976.620043574105,2616.956926834176
1712.65752,63676.14038126931,2613.017173966366
1712.67835,59202.89439502093,2615.2407207844753
1712.69918,59833.97067276998,2617.1062481960093
1712.72002,62518.49958423606,2615.89364438283
1712.74085,59829.2832135248,2628.5863999659373
1712.76168,63575.55606050842,2635.6882910690942
1712.78252,65743.79943615633,2647.269823027248
1712.80335,64227.19778225334,2646.6175591698143
1712.82419,69465.35706874965,2656.278365392693
1712.84502,60004.90756623203,2662.91601880096
1712.86585,58523.16222433283,2663.551569221723
1712.88669,66799.20502073018,2676.0446432193453
1712.90752,71045.97580328744,2674.135133079731
1712.92835,71045.3840156811,2675.775029096212
1712.94919,66600.29137367706,2658.156867709011
1712.97002,64691.939739120324,2667.442941088644
1712.99085,72463.52681415768,2673.7535829136327
1713.01169,66144.12055094475,2676.2918261511577
1713.03252,60029.65048974099,2680.443355854675
1713.05336,69504.22900382719,2695.7735357271285
1713.07419,61485.71057818211,2703.719235468509
1713.09502,65418.9841304046,2711.83470854028
1713.11586,54225.909166052996,2716.7299861756387
1713.13669,61893.65565905601,2727.4842030185987
1713.15752,67149.54196419152,2740.0940511592744
1713.17836,66658.09787319324,2724.9310056535264
1713.19919,52151.30171978383,2718.935719988875
1713.22003,62262.49943492542,2717.819878177473
1713.24086,57869.81045412013,2709.793909957346
1713.26169,56752.81233679693,2709.3743147314576
1713.28253,60977.76944553539,2701.800488955998
1713.30336,62009.63613378148,2698.3854500341886
1713.32419,60242.555482423806,2696.092630419353
1713.34503,57425.50463202847,2703.825013929543
1713.36586,55940.90986909057,2710.7967161575807
1713.38669,60908.92306135736,2725.237125440967
1713.40753,62155.262286715064,2732.312406993634
1713.42836,63050.25494508832,2744.761278349535
1713.4492,53148.051938189536,2744.008074131157
1713.47003,53535.28599223761,2753.959606186648
1713.49086,59564.59163731818,2757.9915028697865
1713.5117,57560.511595094285,2759.10272649474
1713.53253,53211.56607632872,2763.533986348849
1713.55336,56207.94704418571,2766.9237352020123
1713.5742,62352.91956714057,2777.8765340622554
1713.59503,54134.52449261104,2782.368270167475
1713.61586,53900.47480340353,2786.702768019807
1713.6367,46677.24151105509,2789.8002516448755
1713.65753,58888.178403291044,2800.8126471016685
1713.67837,59018.66878001027,2806.2992725160684
1713.6992,61887.093216112764,2807.8463649763
1713.72003,59762.29971779463,2812.9477016927153
1713.74087,60857.393117051906,2826.3162518927793
1713.7617,68976.60779950085,2820.0322196182797
1713.78253,61006.77737418632,2825.2841971783705
1713.80337,54096.12955021954,2832.3964242226257
1713.8242,47379.67470710101,2856.496100333408
1713.84503,56671.519720226686,2868.0600392003294
1713.86587,51967.566732104904,2853.020585160488
1713.8867,54472.71120744016,2855.6879177049286
1713.90754,59223.570675491574,2852.4587058092593
1713.92837,53088.14108504834,2854.123891894387
1713.9492,51254.00524611371,2844.251968576721
1713.97004,61247.512877889334,2835.095424331285
1713.99087,48585.335186911616,2808.728218674313
1714.0117,58913.96217806002,2808.6019882447226
1714.03254,53172.76363396156,2828.0962328981964
1714.05337,61103.268882185694,2841.165700547313
1714.0742,62460.475150302234,2853.906617217669
1714.09504,71770.64446751444,2866.3979319061677
1714.11587,72960.48875830731,2878.3596945485774
1714.13671,68956.90881524817,2886.450977119904
1714.15754,60693.602317334735,2888.7567716395242
1714.17837,65639.78468251879,2872.0195842957755
1714.19921,89149.59325297207,2884.8640802907607
