relative_time,cts,e_cts
1711.38486,-4430.051173105354,867.4609652460479
1711.40569,-743.5853546961062,868.2997527175895
1711.42652,-2045.5344692904682,872.8660201971784
1711.44736,-2047.8721884647973,875.534281600921
1711.46819,-3857.735062730788,875.3764278371273
1711.48902,178.47107417901657,871.0108467111106
1711.50986,-3597.592373407965,875.7215958289038
1711.53069,-2512.0509488200346,861.8931464537586
1711.55152,-2474.8610826310023,871.3522537925652
1711.57236,-1678.1579886531822,862.3611708493878
1711.59319,-2282.161126597277,869.333794116683
1711.61402,-304.7963954550989,864.9675861722793
1711.63486,-931.4076189816335,865.9694508941731
1711.65569,-2751.2449497702787,878.1159375975258
1711.67652,-436.91550355198507,870.3009748878292
1711.69736,-666.530361442311,858.8960143363016
1711.71819,-2377.5070982627567,862.0525672635198
1711.73902,-76.55573240854687,861.5457845976275
1711.75986,-166.9487941193882,852.1451803082746
1711.78069,759.736793013486,849.3812246307829
1711.80152,-3200.5190135798857,857.4277967344773
1711.82235,-261.1874911042268,863.1472011066901
1711.84319,-1565.0757728485153,867.5556148224854
1711.86402,301.716836719751,865.7113061884589
1711.88485,-2434.864846053625,864.4611169155804
1711.90569,-32.34403770883984,863.6729972636549
1711.92652,1605.9198857640463,864.0087629796263
1711.94735,-1165.1896699784893,860.2387637909942
1711.96819,46.42467701502272,870.9306139575742
1711.98902,-3839.6450840818684,862.9894518126276
1712.00985,1211.015839903655,871.1438366788865
1712.03069,-1775.7736696980019,872.9636993958198
1712.05152,1980.134537124615,870.7243907082501
1712.07235,-315.9088407593582,869.922272112348
1712.09319,-2367.9277462633772,868.331198106671
1712.11402,-5884.301067402951,872.8012489638547
1712.13485,-3394.5250501926644,872.3839968575727
1712.15568,-4412.6966613638515,863.3703484524634
1712.17652,-2041.4488670439798,869.934181661701
1712.19735,-1512.4264758413549,872.9923241021596
1712.21818,1019.6249940711857,868.7471965761789
1712.23902,-824.14959068954,867.4421606944377
1712.25985,314.1982533812258,864.6006884764199
1712.28068,-1968.466939668933,873.9556394932528
1712.30152,-2987.7720474232847,873.086869208866
1712.32235,-3082.011893575166,868.5332425667484
1712.34318,-3197.8123073150737,872.0846910777786
1712.36402,-1941.9470894726667,873.7248658571043
1712.38485,-3343.439978470271,873.7849359525254
1712.40568,-1874.306072633814,883.22774601327
1712.42652,-83.00778300543561,877.770665136018
1712.44735,2700.5728468951893,883.2476997319229
1712.46818,-5349.297993030464,883.9694811045574
1712.48902,-2290.2923191832165,890.1623422984202
1712.50985,-4365.436853317877,883.3340961995982
1712.53068,502.8370530855563,893.5057915746966
1712.55152,1863.1800462645028,894.4718231788
1712.57235,-3968.8670375940255,893.8460494891082
1712.59318,418.4124515860306,893.0667052946006
1712.61402,-5630.435128468119,882.9924801786814
1712.63485,-2249.997403644432,900.3572299538376
1712.65568,-6305.003913375093,896.76932150663
1712.67651,-2408.2179606642594,898.482834037235
1712.69735,-5946.399024775801,887.6033562334786
1712.71818,-2770.482632885801,895.714908509959
1712.73901,-3632.8472512363173,902.438893817076
1712.75985,-1226.4428851051211,900.436835888987
1712.78068,-1670.5494581322723,904.6794561414198
1712.80151,-2428.649628337292,903.9711513641059
1712.82235,-1965.5730236458692,904.8891268918725
1712.84318,-1116.861241052406,901.6713547021903
1712.86401,-3023.8787714395753,897.3856929205166
1712.88485,-2859.7813741626655,893.0860321948666
1712.90568,486.8402299703039,913.2274829547168
1712.92651,-2068.4645305843655,917.0808489888205
1712.94735,-1046.1243682001434,898.8943403083027
1712.96818,-1020.7579683056945,901.3290073931553
1712.98901,-5017.077666325578,917.1254575640289
1713.00985,-4354.980791334543,899.321725978508
1713.03068,-3742.7641386563478,912.762801590485
1713.05151,-5009.144026001276,934.7958857725806
1713.07234,-2712.5848810545294,898.6955344098916
1713.09318,-3040.459893761246,912.8000972845117
1713.11401,-3882.041617202545,912.5365201527768
1713.13484,-6354.460197518858,926.0430982861958
1713.15568,-909.9490138512267,935.6499258248728
1713.17651,-1685.8797643626776,910.7330591836367
1713.19734,-2314.695403686572,931.1699503432279
1713.21818,-4659.1987378881695,930.9909936937386
1713.23901,-3885.9099224082056,908.6674836589981
1713.25984,-3861.809173306848,928.4688854438991
1713.28068,-6960.1022566055035,924.5980729646906
1713.30151,-5029.664597415533,920.7040682051627
1713.32234,-2044.6880555285513,906.1596877623284
1713.34318,-1758.2963015526475,907.3281817054341
1713.36401,-1850.4240831495208,899.048119752581
1713.38484,-6777.243244778,918.780258105718
1713.40568,-5384.703098332236,923.0320716944935
1713.42651,-3561.7697025907178,923.0708299647566
1713.44734,-2827.8485293157,913.4723600045729
1713.46817,-3436.94655157909,928.7778024389606
1713.48901,-4023.7391370712307,921.4837258088638
1713.50984,-4275.951320161686,924.2465323193128
1713.53067,-3692.352896699984,946.5566702284638
1713.55151,-6533.110646226289,931.7823519073304
1713.57234,-4958.820329679628,933.9767386104983
1713.59317,-2667.881760739412,935.1501426309687
1713.61401,-8128.522130671684,966.5590717761305
1713.63484,-5278.702676663934,973.5455895176709
1713.65567,-1305.629687693115,949.4238420003487
1713.67651,-4939.010779255697,957.8005384545314
1713.69734,-6646.277064634277,953.2430464323606
1713.71817,-2924.827780758249,950.537175925398
1713.73901,-5312.435639448641,936.4483879801841
1713.75984,-3320.881516010136,963.4604995497101
1713.78067,-3249.939046726936,943.5867002411104
1713.80151,-2816.71456324682,974.7317388453438
1713.82234,-5298.316241872196,970.5975581738626
1713.84317,-216.06722315255817,956.6066583667523
1713.86401,-5520.521688549216,976.0493110948249
1713.88484,-7329.484973960125,964.7033759414068
1713.90567,-969.9459804605725,963.4867214522332
1713.9265,260.3013788444662,973.1884075068101
1713.94734,-2590.0411551072393,949.8954183668376
1713.96817,-1074.7495968886228,959.623639733131
1713.989,-1916.006941814648,956.0558939440386
1714.00984,-3480.868760653732,947.0983457845659
1714.03067,127.55190038971688,952.1339957662892
1714.0515,-1256.3233176135752,951.9397865360493
1714.07234,-3078.0231347694694,960.8631730934303
1714.09317,-794.4616958956274,969.3296090466857
1714.114,-5888.970759916396,957.2633550968695
1714.13484,-3829.2248552163237,961.9620901955785
1714.15567,-3732.100913196108,963.7521790391291
1714.1765,-1431.6434802308565,944.9840873652033
1714.19734,-3965.790090601956,956.1132478264494
1714.21817,-3894.2221610382585,955.7626474086521
1714.239,-2625.5954431851173,949.9002239744713
1714.25984,-6307.6385355254,937.1585732126589
1714.28067,-190.89461460942474,948.7154327533036
1714.3015,-4867.5310221451045,939.388061745499
1714.32234,-4976.310443132186,940.104619631575
1714.34317,3392.2253580004804,935.811853908182
1714.364,-2426.897984354811,940.4036120021757
1714.38483,-4426.874979868677,927.1909072225302
1714.40567,-4412.244934246285,930.3890391027529
1714.4265,-2992.6995712332505,942.4792166210065
1714.44733,-2038.657958175847,942.7217953367768
1714.46817,-6189.142802721377,942.9583148081393
1714.489,-2083.2110599570087,941.9591662992559
1714.50983,-3204.4171971286605,943.2631574836854
1714.53067,-3029.6488436314044,950.030602198968
1714.5515,-3400.2166656163868,943.585864483261
1714.57233,-3695.016665905286,958.0490719449783
1714.59317,-4904.028149546766,962.2700669630594
1714.614,-1389.8559011731543,945.5667150559229
1714.63483,-588.8179401702803,967.4678539675543
1714.65567,-2487.6198664287267,957.7345135844337
1714.6765,-3786.270140322021,955.0091072377428
1714.69733,-5504.842035537787,957.3865249099157
1714.71817,-3891.315604177723,961.0927975625358
1714.739,562.6134840924082,953.869238000977
1714.75983,270.62528661787525,966.2561095557455
1714.78067,-2737.1525053844734,971.2039004935572
1714.8015,-427.04718827619644,974.1346943317229
1714.82233,-5077.0442322431545,986.0381844403805
1714.84316,-1129.6913776765173,986.7051192041523
1714.864,715.3870937989071,979.3002001892871
1714.88483,-3123.023889348683,988.9602028211283
1714.90566,-2619.5059025553787,984.3652061654684
1714.9265,-2195.2016715407094,977.0440718749994
1714.94733,-658.261477750693,991.8575663453206
1714.96816,98.77435483319539,972.6912360561852
1714.989,-3082.7337794175323,970.3006551978851
1715.00983,-2976.3894433942273,978.2291765053607
1715.03066,-5029.456807120239,973.4379856945686
1715.0515,-1563.0543880201603,962.4971841586171
1715.07233,-1787.142692662008,962.2866776503151
1715.09316,-2855.8386865084135,981.548911152662
1715.114,-3008.965926254914,969.8289743616651
1715.13483,-5734.338738162164,990.797720922629
1715.15566,-2847.3337012243574,995.4232227397896
1715.1765,862.6104356279528,984.1263883600201
1715.19733,-3168.5731100165244,981.6825279388248
1715.21816,-1861.152915600934,992.0941902864143
1715.239,-1397.5844674151756,970.9098182003214
1715.25983,260.32666051940873,966.7427295635226
1715.28066,-2984.2569543787004,989.7775739977807
1715.30149,-882.0593565398955,949.8325275886749
1715.32233,-4160.615587786011,963.8388889159979
1715.34316,-3468.704200686888,970.9067885781175
1715.36399,1481.4995700357988,972.9698568292082
1715.38483,-1926.7132088041287,960.6446224158284
