relative_time,cts,e_cts
1711.38805,-1628.3974034034386,1364.8739066518385
1711.40889,-3288.527601103798,1396.8982652744166
1711.42972,842.2094320662742,1455.9414482657012
1711.45055,-3560.3244038296484,1500.9030409069017
1711.47139,-6300.306822369132,1413.674286837103
1711.49222,-4805.7122399728905,1466.3756092779022
1711.51305,-1117.0003055488028,1523.3094473366082
1711.53389,-7632.87704125216,1497.6604736561353
1711.55472,-760.1244697778302,1541.592475948864
1711.57555,1899.3505905080517,1505.6111379489923
1711.59639,476.69886312088715,1541.181006864858
1711.61722,6130.453289894734,1543.3295043715916
1711.63805,-4273.391884138243,1574.4045354227148
1711.65889,-1245.4953833703728,1549.6312335335685
1711.67972,-2119.1296502674827,1547.7730768345502
1711.70055,739.1171561151797,1542.2589261720516
1711.72139,-2981.6237862996672,1515.464739697557
1711.74222,3330.4625774110536,1522.0502026703605
1711.76305,6525.491996156754,1529.5967389868656
1711.78389,443.9024646766983,1526.8417436361183
1711.80472,2905.7527045849406,1536.246069596259
1711.82555,786.5497655927122,1572.412403509011
1711.84639,-694.3401923314775,1587.482963411882
1711.86722,-5364.61046430983,1636.5307389250859
1711.88805,-1491.5445968695983,1565.6112343229743
1711.90889,-1846.22923435765,1598.7489942730738
1711.92972,-5667.715745310199,1548.2084045184315
1711.95055,3468.705422679177,1575.5783785365875
1711.97139,1607.7669332670264,1549.1074455024568
1711.99222,69.20009483775345,1562.877283480835
1712.01305,-534.5667347767685,1546.0391072066784
1712.03389,2402.0806543145954,1604.6410896279585
1712.05472,64.21083337251507,1578.0437671903849
1712.07555,-4090.2885088109556,1472.6899406746854
1712.09639,-1108.188896383516,1540.5292388569778
1712.11722,-1485.4864701299393,1545.1516896431053
1712.13805,-2886.241019254996,1546.4269623943974
1712.15889,-0.5338208782391443,1545.0780338629772
1712.17972,-435.09900837803633,1568.1871066469644
1712.20055,-140.3765382077545,1572.6074322690185
1712.22138,-2342.526407878799,1547.417155465126
1712.24222,1069.9801439696305,1674.9383130046003
1712.26305,2256.015369433972,1685.5522088025298
1712.28388,3668.863659308207,1668.0605515953737
1712.30472,-2159.529968019672,1670.43283053376
1712.32555,504.23584733817114,1669.1894916007627
1712.34638,378.29498557301184,1672.9804395932817
1712.36722,5651.402580585097,1554.7744135559522
1712.38805,-495.915558274936,1516.6925399526863
1712.40888,3668.9510184892897,1546.3851180807696
1712.42972,1077.3318962297162,1660.135825882894
1712.45055,2353.819233782928,1662.739472064175
1712.47138,-2552.1289795046846,1665.3154667399592
1712.49222,73.55349402836222,1669.099318328413
1712.51305,-2495.7141577571156,1662.2631565292256
1712.53388,-907.945258202111,1671.5994548917724
1712.55472,-1201.1138605856318,1660.898322264555
1712.57555,265.3807969880592,1538.0376669192146
