relative_time,cts,e_cts
1711.38644,2189.006015409361,1328.0081861225233
1711.40728,2273.8935900762326,1327.329150682518
1711.42811,2693.1585561834845,1329.4152294185515
1711.44894,2692.919437137258,1330.5651936351867
1711.46978,-2688.242936873367,1330.9394306053512
1711.49061,-223.91483396339223,1331.9378831468443
1711.51144,335.6852368788038,1329.8230892415042
1711.53228,4898.772903425854,1330.5162212191692
1711.55311,1213.1179583760372,1326.4613260566707
1711.57394,-989.5604455376174,1329.0437073371218
1711.59478,273.610767828732,1328.871311902484
1711.61561,4675.616254350955,1330.9322257083252
1711.63644,1390.9496444480624,1334.864011108596
1711.65728,-2423.1240277496076,1333.3302033924285
1711.67811,1351.68911636517,1334.026990028005
1711.69894,754.4841818929073,1331.0306926343478
1711.71978,324.6853430771856,1331.7990061461976
1711.74061,3376.131106947771,1327.7874447846527
1711.76144,4092.602983062849,1329.7579319118774
1711.78227,2254.924766907416,1325.021704095829
1711.80311,4896.6007836006975,1325.0563711365921
1711.82394,3042.877470605859,1329.6072555871153
1711.84477,2606.107215195255,1330.3837137651683
1711.86561,2008.5271039836502,1330.033701956019
1711.88644,2219.109328209746,1330.271776814271
1711.90727,-1786.2603119008677,1332.7758439966126
1711.92811,4927.944069621144,1331.226686717216
1711.94894,-945.284682611813,1328.3083901652751
1711.96977,2484.9704461459855,1330.6129130256347
1711.99061,3376.166713757711,1335.544090736576
1712.01144,1253.7132719471024,1334.9272888998682
1712.03227,6951.780117921975,1329.755217023143
1712.0531,1825.3226531061453,1331.003439328206
1712.07394,3333.82875487552,1332.2857021612467
1712.09477,4451.976355081326,1328.385555656612
1712.1156,979.4653406161541,1330.5306310132214
1712.13644,4031.543047049082,1328.0050535585988
1712.15727,3042.2557610856693,1327.2980338808693
1712.1781,2407.703355319125,1328.368953067813
1712.19894,1054.3619159026484,1328.7360895597487
1712.21977,932.4215397879813,1331.053560350996
1712.2406,1832.9846956275526,1331.0550222141603
1712.26144,4768.948594845136,1334.5083606843828
1712.28227,5031.753792254359,1332.5630384873507
1712.3031,4239.68730119164,1334.8021951804885
1712.32393,-574.4140700593264,1333.7740877005112
1712.34477,3041.602934763831,1335.2015970808452
1712.3656,4227.2561389329785,1335.6162441256342
1712.38643,1486.2832756147238,1333.0851324747453
1712.40727,5909.215228920898,1339.9719698436693
1712.4281,4925.928160317016,1336.1220487806218
1712.44893,2485.2503929420263,1337.480850592215
1712.46977,1511.9693600253581,1342.1825157862977
1712.4906,5291.466940232635,1344.9262241088536
1712.51143,2860.800847159923,1349.3654848648719
1712.53227,5619.4661182666105,1351.7870611972053
1712.5531,3044.949452804233,1350.6235225368978
1712.57393,3931.8665336764757,1353.9937436443272
1712.59477,4868.965931172713,1350.3103705632584
1712.6156,7252.683557779351,1354.0818731093993
1712.63643,2931.9550527447736,1358.9665844554625
