relative_time,cts,e_cts
1711.38721,5905.512210395274,2032.4705113397856
1711.40805,-7335.113515431027,2048.4404234835106
1711.42888,2264.8560615107444,2055.47712099351
1711.44971,2464.7633754168064,2071.022473070586
1711.47055,-2686.1328907035527,2066.840191113845
1711.49138,1367.273776628029,2083.751360231336
1711.51222,-5282.146210089643,2119.534549022704
1711.53305,1855.3433209333468,2069.8514828293983
1711.55388,-2285.970415876976,2106.606979115659
1711.57472,-157.376826579379,2053.378471065586
1711.59555,4926.907750996086,2063.103372515754
1711.61638,3401.939133627857,2051.1742899547476
1711.63722,-4892.932595490461,2101.4479248832104
1711.65805,1834.5224244334504,2068.3235130675434
1711.67889,-4131.660474797788,2059.9175484592265
1711.69972,-7711.068557509061,2058.286279904865
1711.72055,-6743.455170810434,2032.7152625063145
1711.74139,5298.745859272953,2026.8223606634438
1711.76222,-2257.4418870772424,1999.877205496595
1711.78305,-328.89239633433124,1968.767221607103
1711.80389,-743.098230382693,2002.9039210004203
1711.82472,-1196.7221936400856,2015.2819169779789
1711.84555,859.576649968081,2072.4652061077786
1711.86639,1505.550676767351,2033.0304354429807
1711.88722,-3001.188525401113,2032.8421028703945
1711.90806,-4949.070111186494,2038.137738806885
1711.92889,-3799.0974197992687,2016.167973025297
1711.94972,4208.7930134455255,1968.6271898451585
1711.97056,-3118.403227931913,2014.180739673181
1711.99139,-4351.566759644506,2057.3622732206145
1712.01222,-2274.014341686494,2089.854512661706
1712.03306,-1254.5041692883435,2060.1777234140277
1712.05389,-1860.9496650256874,2074.0236175570126
1712.07473,-4665.613556822319,2052.142741502572
1712.09556,-6776.110780640461,1971.8213346295695
1712.11639,-2519.0120858832483,1983.8803017233938
1712.13723,-4482.4041172775105,2005.044377512345
1712.15806,-1974.4610348145136,1993.3643079541007
1712.17889,-4716.01788806193,1986.0601294843289
1712.19973,3833.3471593250547,2022.795331312337
1712.22056,801.5692028886341,1982.6459927724575
1712.24139,-178.1747903414493,1986.4672363168804
1712.26223,6871.712291021175,1966.8112417206964
1712.28306,304.80632444613934,1999.5246907567434
1712.3039,2575.8970464767317,2009.229094804076
1712.32473,-3367.3326175259867,2016.9493096680303
1712.34556,3969.404251620683,2003.2221381058243
1712.3664,-3147.2217645400797,1985.589095108281
1712.38723,-9726.029213212896,1980.3685486673262
1712.40806,-2301.577666051723,1986.9593769295116
1712.4289,-531.0107914670375,1976.259123815713
1712.44973,-3614.127638945611,1992.4646546197532
1712.47057,-6811.721060647515,2018.6410557079853
1712.4914,-5757.932330592861,2074.3462994432325
1712.51223,-1176.1340745763496,2076.4496170965544
1712.53307,1586.2325132189235,2068.733664068833
1712.5539,-1201.623305308141,2071.095127231131
1712.57473,-4108.736869478317,2069.8204323082714
1712.59557,-8792.738829034348,2103.0767581025816
1712.6164,-291.5006687818441,2086.288979291268
1712.63723,-13514.02515845871,2207.125836731031
1712.65807,-10237.936222292808,2221.5767086745323
1712.6789,-7156.707165320913,2210.6540282982837
1712.69974,-6555.804897910743,2216.331605939092
1712.72057,-8683.235817695037,2235.0114370933156
1712.7414,-2309.4119357710583,2260.9635844178542
1712.76224,-10681.784547954403,2269.9278495727062
1712.78307,-8237.777126771083,2278.1424374396993
1712.8039,-4374.310353119274,2280.4758942496082
1712.82474,-2556.403813435735,2315.951013164699
1712.84557,-7859.7964948148365,2352.1498324610848
1712.86641,-2133.61971482849,2425.1420986806647
1712.88724,434.0755292899482,2385.5565401910485
1712.90807,-1857.5058984047669,2388.9647915100268
1712.92891,-2118.189026440542,2415.8853903823897
1712.94974,-10455.228377971982,2385.6890630034395
1712.97057,365.5523057222218,2359.5895779119855
1712.99141,-6564.8298434957715,2384.2836717694317
1713.01224,-4284.569070503644,2383.8516027532296
1713.03308,-6478.542068841023,2392.232402233313
1713.05391,361.303660886994,2420.8069994532807
1713.07474,-8945.679692928827,2453.8484069346932
1713.09558,-3351.753982537376,2506.2937518407903
1713.11641,-3862.344490110428,2497.48697168198
1713.13724,-4821.482505153514,2514.339895704285
1713.15808,-4681.260381190658,2541.1935228644134
1713.17891,-11875.950654577544,2512.5176562977645
1713.19974,-4494.425133734402,2503.4604425241146
1713.22058,-3337.9531420917124,2452.42251829785
1713.24141,-6349.280372946769,2441.679240932556
1713.26225,-9079.944784560732,2416.2214666110563
1713.28308,-9636.632124609234,2425.9027349759804
1713.30391,-5851.856503998979,2437.1882802657897
1713.32475,-14064.616043248066,2425.6082623867323
1713.34558,559.9671274467406,2387.391970995433
1713.36641,-4084.285294396992,2352.4773850172855
1713.38725,-1787.2842316258616,2388.2240437837986
1713.40808,-3145.5610690212516,2404.7859452747584
1713.42892,-3764.6459533584502,2424.043356710857
1713.44975,6693.448610952578,2425.0686327417898
1713.47058,-5202.481734830285,2497.362160763725
1713.49142,-6896.033981569682,2455.1265519154554
1713.51225,-779.9639255772668,2499.908506440706
1713.53308,7893.366572933734,2495.19998918147
1713.55392,-1477.427428298926,2541.8916522283102
1713.57475,-6356.552689117083,2576.396898983499
1713.59558,27.055151130578718,2541.257856297075
1713.61642,4324.240880440834,2543.255236878317
1713.63725,4254.173451544651,2529.0105566306647
1713.65809,-396.84169262266823,2599.5979295472853
1713.67892,-3817.242086089366,2715.3774079904465
1713.69975,3424.016257093602,2689.9210542810238
1713.72059,-5237.8316369379545,2602.635604058567
1713.74142,-6794.303138907452,2666.2962754289188
1713.76225,-10503.639793411168,2655.0101213053617
1713.78309,-1755.6072205727853,2671.8068296783067
1713.80392,-3149.3908362381403,2711.016331856498
1713.82476,3567.0489605798894,2729.726198808936
1713.84559,-2522.792334622001,2700.486349247441
1713.86642,-6835.046902129556,2729.1575480886922
1713.88726,-6354.698993300271,2744.398483291976
1713.90809,-2114.7028444018733,2735.8407161359273
1713.92892,-8238.862271453861,2700.0934485356665
1713.94976,-8445.57472310126,2673.6950260741487
1713.97059,-5765.210126266903,2707.3497320839615
1713.99143,-8056.809818974047,2652.993055099614
1714.01226,7159.1589388224365,2630.630591550834
1714.03309,-4995.672478617022,2605.6257895375375
1714.05393,4114.451585977728,2632.5254851178997
1714.07476,-3651.0986623785175,2676.8810530752585
1714.09559,-2655.033662876935,2688.3238804165276
1714.11643,-4586.949395410241,2733.3824484077636
1714.13726,-2706.9919407849643,2718.3294398879007
1714.15809,-5413.307061387197,2738.7213115403324
1714.17893,-8012.394585309425,2736.953258337347
1714.19976,-2130.261590821396,2741.3831326847717
1714.22059,-4600.747191687166,2694.1751786199798
1714.24143,-4241.741066418974,2714.453198361613
1714.26226,-4599.223077872381,2721.874678800086
1714.2831,-16983.488013585345,2788.980334458853
1714.30393,-6074.535417732198,2708.616715112685
1714.32476,-10611.128579768887,2727.2772665315683
1714.3456,-2916.159210102622,2710.8377406238733
1714.36643,-8556.340252688478,2739.860033592898
1714.38726,-9381.506025132247,2723.7334482314614
1714.4081,-12235.14003880376,2704.61951861521
1714.42893,-11194.023371426749,2762.9798863236733
1714.44977,-11113.761833205592,2778.4538019076995
1714.4706,-6922.033009092783,2808.94236948549
1714.49143,-6437.440311375339,2872.2809678033695
1714.51227,-8096.477975908751,2858.180581153894
1714.5331,-5325.98223991573,2926.5688465742396
1714.55393,-7804.384100112177,2922.4758602338115
1714.57477,-12539.93337479662,2933.6587155648617
1714.5956,-10752.041527090667,2985.0450956393265
1714.61643,-14357.430981146363,3014.1136599731676
1714.63727,-6383.370192141521,3055.570164569111
1714.6581,-9071.841207380383,2916.8502364061305
1714.67894,-12618.512908317782,2943.6391242444324
1714.69977,-8969.564240846566,2901.0747451724674
1714.7206,-8719.978934361763,2932.2500772175335
1714.74144,-11082.699338348411,2947.4061815853206
1714.76227,-7985.526549083935,2936.4335768417695
1714.7831,-5912.499592371719,2973.226211986633
1714.80394,-7181.9853336868755,2991.271841320456
1714.82477,-3710.7994790545795,3001.5091778415076
1714.84561,-2504.414687951162,3023.362656377307
1714.86644,-2623.499930699123,2981.679462682679
1714.88727,-9250.162523710414,3033.743880607371
1714.90811,-1202.6102248129762,2940.6249913047236
1714.92894,-6358.565290542014,2892.8540689679985
1714.94977,-15030.39501386522,2970.7034078812253
1714.97061,-12178.344373826589,2896.159630328217
1714.99144,-3668.550272919279,2859.000883156473
1715.01227,-16273.372133810548,2922.6990992745928
1715.03311,-7695.1889557045615,2860.315761106673
1715.05394,-16751.918300636145,2957.0139840113698
1715.07478,-8338.032359373752,2875.5193545067714
1715.09561,-8167.405078056524,2848.2766825819367
1715.11644,-5671.111420519809,2917.0450632053576
1715.13728,-8882.700306522021,2945.0747542212366
1715.15811,-11182.713878676199,2874.8392872107197
1715.17894,-13495.176274467241,2888.333884281348
1715.19978,-7291.157951245831,2873.4562198807903
1715.22061,-10891.861617835533,2872.3130330474087
1715.24145,-27123.221990672337,2855.295318024091
1715.26228,-8257.571326627969,2808.0845227351433
1715.28311,-20510.424774483952,2768.3838946672336
1715.30395,-3848.2063557686033,2706.321817773456
1715.32478,-21646.672120810214,2707.321116897825
1715.34561,-10446.545394008515,2693.0121032175107
1715.36645,-17787.44140942952,2679.5469331113486
1715.38728,-5236.887538740035,2701.1270452944823
1715.40812,-13633.464742447766,2732.7876178363736
1715.42895,-13457.385354920922,2721.161125647917
