relative_time,cts,e_cts
1711.38706,1379.1262977927129,977.1548954819693
1711.40789,2938.6123245166445,969.9422005360736
1711.42872,2952.9051833590415,968.2784681713553
1711.44956,744.4601160344308,975.3192195829059
1711.47039,204.37990435932508,974.2582354880334
1711.49122,-1215.329061337252,978.5676491425216
1711.51205,4003.3537429544676,984.5955522408198
1711.53289,-3840.7039878608516,979.804570570214
1711.55372,-1235.444037556525,975.6800277451346
1711.57455,-561.8123609768751,975.7851277050031
1711.59539,-3290.5926156160563,970.4171472547193
1711.61622,-2611.999800530774,985.1926251128326
1711.63705,-429.44453182037023,984.5928196418631
1711.65789,-203.21045710586836,979.2241034918603
1711.67872,-3240.7754448383057,980.3163022748138
1711.69955,-3236.7500112753833,978.3743703163235
1711.72039,3091.6968271626697,976.6616613703064
1711.74122,-555.101938739191,976.6257171840314
1711.76205,-1404.266838793018,975.8728861714933
1711.78288,-1730.4322675496085,979.9620103100971
1711.80372,-4946.263182812763,978.7613483685593
1711.82455,-2500.8757211625293,978.3158296386767
1711.84538,1764.4205435714828,977.8155538297027
1711.86622,-5691.159148380771,978.2470942649227
1711.88705,-3780.4104530834093,973.7583800788989
1711.90788,3872.205703932197,974.9910975081965
1711.92872,-614.3951320986048,976.3144111029009
1711.94955,-6129.580372873469,978.3199285371115
1711.97038,3938.2207754249207,981.607770581678
1711.99121,-1767.3036456705956,977.4690392620163
1712.01205,150.51785652607592,974.134743035188
1712.03288,-1996.4467821742976,980.4837265108843
1712.05371,3981.0064435875884,971.7781917350164
1712.07455,-161.14388286862095,971.5458157237472
1712.09538,551.0427680891496,969.7607980053406
1712.11621,316.5973386100817,968.5298672753606
1712.13705,-495.72413991208293,972.2263379638957
1712.15788,-3067.0912449580956,969.0235217868631
1712.17871,791.6370707203242,971.7964791280336
1712.19955,-483.3938126203103,965.2990945090029
1712.22038,-3825.9841078815084,963.1679826227493
1712.24121,-1741.8496965899633,963.0246262774887
1712.26205,637.2017182901099,961.7891762492345
1712.28288,-3737.4980343691404,963.4728776063279
1712.30371,-757.7679780529404,970.3792061692068
1712.32454,-1534.873192622127,978.6430058137473
1712.34538,2029.9130266955058,982.657088581005
1712.36621,-2505.167793323639,991.4433401260519
1712.38704,-55.50539080575324,990.1273835285384
1712.40788,-1147.115719083919,987.0996638846466
1712.42871,2098.5629541821327,996.6182519500572
1712.44954,-2916.1828369811483,999.0558353192874
1712.47038,4354.856880236076,998.1866586511749
1712.49121,1689.4767049881307,1002.798234690285
1712.51204,-936.7333458165836,1004.1388897783676
1712.53287,-588.9327750211829,1003.6206418762561
1712.55371,341.47849290943105,1003.2174784302005
1712.57454,924.9341937219865,999.5370880355252
1712.59537,5116.894754358595,1006.6600276156933
1712.61621,-2048.0267945789224,1004.9161039815951
1712.63704,-68.92928317995741,1010.5707971224002
1712.65787,345.91949171367463,1010.916996390207
1712.67871,3155.384985543905,1014.2154535307201
1712.69954,2036.2385728801514,1018.304472569364
1712.72037,3208.3944625027,1025.599250583917
1712.7412,558.5436471250047,1027.8271595332094
1712.76204,5989.51975215439,1035.8003577887137
1712.78287,1772.6908594135355,1036.9324945564172
1712.8037,3489.361863717762,1036.2830819043897
1712.82454,4763.727884712268,1037.8755564963171
1712.84537,3026.63700920519,1054.3126647199515
1712.8662,2472.19783081293,1042.7462039365032
1712.88704,4133.001795349496,1043.5769140193038
1712.90787,1237.2000476860076,1043.110585497367
1712.9287,7067.456785853582,1043.3063867226024
1712.94954,4003.71980611469,1036.5903941870451
1712.97037,-840.724742676627,1032.6815164796158
1712.9912,2096.4586427856457,1032.6922366755225
1713.01203,3460.6916456652325,1041.576231183247
1713.03287,6631.376768066914,1044.1239593104192
1713.0537,3095.9480154393905,1054.6564466886814
1713.07453,199.1374132611243,1059.5517926194364
1713.09537,6699.090465111032,1073.2362277941547
1713.1162,3306.001425832337,1072.8864551277125
1713.13703,6525.382302439972,1072.2007829895304
1713.15787,3184.8720404845308,1078.7378953933912
1713.1787,7031.512074078754,1074.956924337122
1713.19953,4104.470414343953,1081.6186852933868
1713.22037,444.97189479138274,1075.547375911663
1713.2412,2272.8953055148527,1063.8043471956357
1713.26203,6610.203435251766,1068.0583731712732
1713.28286,4738.295691323328,1064.1746143542525
1713.3037,887.8346435881242,1063.267811900507
1713.32453,1919.658754595133,1061.9349342094547
1713.34536,3006.402849631427,1070.1595315689642
1713.3662,2097.087350745579,1076.8195058259114
1713.38703,3938.612167675471,1078.907526728619
1713.40786,6812.797375993045,1077.5752796373258
1713.4287,4350.374051647805,1094.70783429541
1713.44953,3934.908445089705,1085.255143904837
1713.47036,3706.2688424937332,1103.3427418982465
1713.4912,3898.078161053026,1102.1165406664607
1713.51203,5220.164503525945,1111.9597825079047
1713.53286,4659.144701346439,1117.66240123041
1713.55369,2984.3527729510556,1114.7085668583059
1713.57453,1137.904022901324,1118.216278018917
1713.59536,1036.1786125442802,1120.2346176482315
1713.61619,2034.011294530618,1117.8065983753495
1713.63703,7393.626944108367,1125.5699120109964
1713.65786,461.9036034261583,1122.9534485100698
1713.67869,3612.368229248859,1118.0004027013472
1713.69953,2821.2179815426457,1118.8616968724693
1713.72036,-1408.4882837810962,1110.1477540998121
1713.74119,288.8445381072451,1106.9424155237425
1713.76202,3016.5178799690916,1108.611613086374
1713.78286,3127.161652520737,1108.7729415247722
1713.80369,5106.930962863181,1120.6055154066075
1713.82452,-686.8487322328328,1117.8234143689285
1713.84536,-425.18640694629784,1129.2065808223663
1713.86619,5331.267457802256,1123.627874952546
1713.88702,398.56322081212807,1126.3425018159896
1713.90786,729.4277738743988,1124.3525391758394
1713.92869,182.85700907765425,1119.399703567036
1713.94952,5542.987648458758,1113.4066936554145
1713.97035,1992.7440054881706,1107.0747363732169
1713.99119,5166.353113873354,1103.5246699287786
1714.01202,-1785.8008182076128,1095.7697642899216
1714.03285,3152.7600089462285,1097.950378257273
1714.05369,-904.6421240703356,1092.904739383906
1714.07452,4596.540649051248,1096.532684898607
1714.09535,4100.321067928345,1099.5959283289342
1714.11619,-984.0506089489015,1096.1484394453278
1714.13702,-1124.7746206146714,1093.4804769640657
1714.15785,821.6050630773091,1100.7401515920226
1714.17869,-1368.653086791817,1101.3587699558086
1714.19952,2324.3584467641035,1109.785579638105
1714.22035,-3118.1963106440735,1101.3212492701355
1714.24118,-818.088418420109,1095.9191113328945
1714.26202,1633.363731314378,1090.2133396115935
1714.28285,705.6502742536287,1090.5028900010311
1714.30368,5167.5827834038155,1101.0529290725913
1714.32452,-733.6970393442173,1096.4266390390997
1714.34535,2051.259143844678,1096.480555318512
1714.36618,1523.2120367748369,1102.128101662046
1714.38702,1517.988884069252,1113.5905134852244
1714.40785,3305.5844942915387,1119.4723276393054
1714.42868,2159.4005914518143,1126.9778310733948
1714.44952,1668.5926072625402,1134.18285372222
1714.47035,-1203.683144984143,1124.0119102059055
1714.49118,1791.1085763808917,1126.7942214435045
1714.51201,539.1568034277011,1134.834158173525
1714.53285,997.0709174772109,1137.5537247350824
1714.55368,2514.908562704212,1131.0380527230348
