relative_time,cts,e_cts
1711.38349,-2396.371680714671,1006.8870789739578
1711.40432,374.53114057647787,1005.783538471261
1711.42516,-919.6250785696966,1007.6004532368651
1711.44599,-1828.4585044065007,1005.750821406362
1711.46682,-1275.3604685732626,1003.7186039683321
1711.48765,-1813.7141831683223,1000.41042099924
1711.50849,351.048314836509,1003.3454058957416
1711.52932,-1317.629595547523,1005.8733579910459
1711.55015,-1698.4657819166862,1007.9006983510783
1711.57099,2312.6046147244842,1011.3035779179525
1711.59182,-2262.8286486543534,995.4752244890667
1711.61265,-2629.4329117924362,1002.8069968059901
1711.63348,-1314.679572993863,1004.5856061881565
1711.65432,-1974.3346506642552,1003.5908854882761
1711.67515,2556.5658103090004,1003.8745688584564
1711.69598,-1795.9916945722075,1000.339500156695
1711.71682,-4243.119735640274,1001.8428594493847
1711.73765,-1171.6605815962357,1001.1844539197396
1711.75848,-1068.0160697756369,996.1250951322164
1711.77931,-1737.419308699067,1005.1652672293025
1711.80015,1180.2760414843838,1005.7095694549674
1711.82098,924.4343855040628,997.7493653169244
1711.84181,-4048.837472594899,998.7824930060342
1711.86265,2957.9725972189517,1004.9516918553343
1711.88348,2297.484352057342,1005.5568559501747
1711.90431,1271.0794101494869,1002.6956368583834
1711.92515,-3535.335213752821,1006.8282492206146
1711.94598,2283.296525739822,1003.0906801761706
1711.96681,-1680.5142738662778,1009.8672784477267
1711.98764,-1516.3822086064458,1006.5645821913816
1712.00848,1496.3532685407408,1004.3591268786536
1712.02931,-3793.920530924038,1006.0828691333496
1712.05014,226.6252154196925,999.4817440639073
1712.07098,221.6533392187471,992.105671621841
1712.09181,129.83604635914918,995.420662178971
1712.11264,-1132.934042152316,985.4932683095299
1712.13348,400.80741434523264,998.1317079107598
1712.15431,1532.6207446160693,1004.1727818568373
1712.17514,-1241.1004181228107,1005.5729096652494
1712.19597,320.1261162462997,1003.1292903769831
1712.21681,115.25388796438334,1006.0493392221176
1712.23764,2031.396564839293,1005.5691502509599
1712.25847,-2055.4486878296634,985.2499224386193
1712.27931,648.7179254439117,990.3524636875776
1712.30014,1802.0218966985824,989.5573983682144
1712.32097,2336.174719839448,1009.1135666855495
1712.3418,-1615.9233705327977,1010.5687648330153
1712.36264,2847.732548647449,1013.6870465775846
1712.38347,-4320.794010336452,1015.6718141109316
1712.4043,-1468.759269260571,1010.6514719473873
1712.42514,-2870.3983622170667,1019.7729286777629
1712.44597,1417.92558689976,1022.1984621351223
1712.4668,2356.4547278162263,1022.6345541927207
1712.48764,128.5300055137697,1025.4003654461883
1712.50847,957.3107682843439,1013.5987511446739
1712.5293,-987.0338153219495,1022.5166914744509
1712.55013,-2841.6691214272173,1037.2721893497067
1712.57097,66.64953827732894,1037.3504258092478
1712.5918,-3010.68893329254,1035.4713282991772
1712.61263,2891.9399077024987,1041.5668629495588
1712.63347,3905.2189054209703,1059.6438541526074
1712.6543,3651.254314834887,1050.702036461802
1712.67513,1610.929852298239,1051.5064495139934
1712.69597,4866.104775088969,1056.0475171585042
1712.7168,2105.915674888547,1071.1008216089745
