relative_time,cts,e_cts
1711.38794,2735.486821607242,1352.8705420582648
1711.40877,2924.74340991202,1360.0012340265077
1711.42961,4181.01120069992,1388.631197572947
1711.45044,1711.295204748478,1371.1164976027947
1711.47127,552.9878280567435,1367.3573834226806
1711.49211,-1436.0405241235503,1388.0499488742676
1711.51294,-593.4667698829567,1387.0241566996942
1711.53377,2409.9644121773586,1380.9442953115065
1711.5546,43.823022079750565,1381.431538211034
1711.57544,1873.0206131045127,1378.3951844320088
1711.59627,3567.4774901666283,1391.303488465126
1711.6171,-1701.9447016442587,1379.307409553148
1711.63794,-3899.4242626172627,1378.236347047235
1711.65877,-4184.544298559124,1396.571390132697
1711.6796,-1056.5526381577463,1392.5710577426312
1711.70044,-1153.8157773726884,1394.238570836266
1711.72127,-3192.9664344046723,1384.4599557097501
1711.7421,-107.8883654268035,1373.7467597429154
1711.76294,240.25959671356384,1370.2209274924446
1711.78377,1343.3405225290307,1375.9060986585098
1711.8046,3148.58049531597,1382.4182078770425
1711.82543,-4272.4242953198445,1372.7764097519084
1711.84627,-1093.383909063958,1371.5466216398174
1711.8671,1195.1770994349356,1358.7752463866775
1711.88793,2903.8897715037424,1368.6913491861503
1711.90877,2514.487682974596,1377.2579489973234
1711.9296,1464.126237686553,1369.7178120322992
1711.95043,2345.6036380013425,1370.0774037753092
1711.97127,-1254.3296617135916,1365.4590475285124
1711.9921,357.6694864963128,1370.9986829627162
1712.01293,4878.609010287101,1362.0342631287353
1712.03377,2501.616154099529,1360.4714865794585
1712.0546,1954.606133572917,1363.8551364559446
1712.07543,1821.2835546564527,1363.129916925746
1712.09626,-264.8901220987043,1372.510041357879
1712.1171,2015.1458682266907,1368.194828663163
1712.13793,688.2394819812483,1344.1730495112931
1712.15876,1632.6818771450519,1348.1761763662566
1712.1796,2885.7928168275466,1347.1965487517896
1712.20043,1492.898271828381,1349.5169606240759
1712.22126,4254.611034720044,1360.4055372078776
1712.2421,-131.04285445308534,1353.544790548733
1712.26293,830.3872046012021,1359.3642078084742
1712.28376,3068.449102601627,1358.8155984597975
1712.3046,372.3043227217002,1359.2038055233577
1712.32543,3302.3524094593427,1364.0210158922603
1712.34626,-1616.2022469729325,1361.5412077422209
1712.36709,2458.5490906638497,1361.4727992415299
1712.38793,-425.8243615529597,1365.7585023869283
1712.40876,-2239.1135110306514,1368.3410350666
1712.42959,-669.0218351025609,1388.1414955443095
1712.45043,2461.646810892024,1394.0843163739241
1712.47126,-1348.5752259536196,1399.634906110526
1712.49209,1220.7562897634784,1408.4888886917577
1712.51293,-1658.0930642439578,1433.25131282006
1712.53376,-4102.759253297038,1417.7234773920284
1712.55459,-1597.4756434660335,1422.6142380770332
1712.57542,4529.460182599046,1430.4603130590351
1712.59626,2390.086936247074,1432.2166901364105
1712.61709,2468.7266435991323,1424.873395278766
1712.63792,-2107.6863617648614,1421.9931961982131
1712.65876,-2835.347136497918,1445.685228492178
1712.67959,-4273.821304211401,1437.8837531699398
1712.70042,-717.6892297500177,1448.4997017583419
1712.72126,-3026.0320317011056,1471.202046364209
1712.74209,-7304.345158788745,1463.1566701457173
1712.76292,-3151.903672972074,1473.0608126354286
1712.78376,-4368.642304663123,1468.1650219136086
1712.80459,-5200.89464691551,1472.2951292535142
1712.82542,-1165.9628691677274,1466.8600068064773
1712.84626,-3000.3949400598863,1469.1690172619815
1712.86709,-248.20113061646447,1479.0795311316592
1712.88792,586.740045760296,1472.8868851402083
1712.90876,-4499.996350727193,1472.5362356848705
1712.92959,-5018.363106054453,1468.0128912445887
1712.95042,1220.005472934819,1455.928283684658
1712.97125,-2443.894022512605,1460.3267714333192
1712.99209,-1143.7126689822753,1460.4691773644959
1713.01292,-941.9457084457833,1467.5957335246903
1713.03375,-3167.577938360734,1460.8541428487752
1713.05459,-2645.753982840885,1470.4833099925725
1713.07542,464.27228629167166,1475.0741687047778
