relative_time,cts,e_cts
1711.39029,-15906.130286227559,1700.373906173078
1711.41112,-2628.4653841352615,1693.1922257191516
1711.43196,-5659.2106604390465,1688.9641159220453
1711.45279,-5200.616415028943,1705.0617769982432
1711.47363,-2623.4244659682367,1697.7295850585685
1711.49446,-6394.35521957871,1719.0417333592595
1711.51529,-4442.165980771597,1715.8955914250612
1711.53613,-1964.6943216484303,1721.7872065346296
1711.55696,-4625.463363763012,1731.7194583204869
1711.57779,-8282.25334400117,1700.0711451936627
1711.59863,-3966.1246849373165,1681.2681009914163
1711.61946,-2411.7252527746937,1690.1657745969455
1711.64029,-500.3413114813843,1704.6020159701839
1711.66113,-4217.557308227683,1708.0216044835706
1711.68196,304.3320227063428,1694.9074078003923
1711.70279,-5023.465091506375,1708.129360974522
1711.72363,-5763.204016645186,1697.2067922766623
1711.74446,2165.416508562665,1701.292269557251
1711.76529,-3884.4694810397973,1676.3551002071986
1711.78613,-6969.840809693062,1691.9401648146127
1711.80696,-8096.107829499993,1685.7863422437292
1711.82779,-5367.652184863841,1690.3261347942325
1711.84863,-5544.839774818311,1686.6678598600286
1711.86946,-5185.687622211581,1674.6242760546904
1711.89029,-2720.69845182679,1686.4017129140982
1711.91113,-5985.182967341106,1681.7122199482087
1711.93196,-3530.5100326249812,1682.4064961780807
1711.9528,-6112.062643553383,1673.68899606011
1711.97363,-5455.210011254412,1676.4691135266569
1711.99446,-787.7503510845968,1669.712549809613
1712.0153,-5102.18816017807,1676.536084765119
1712.03613,-8743.812630920356,1642.1736984726538
1712.05696,-1252.554151186172,1651.623942729094
1712.0778,-8595.417807082498,1643.1131496862388
1712.09863,-6505.278592692168,1630.8192927406262
1712.11946,-3956.744772067981,1635.6758662010877
1712.1403,-228.7006383873979,1645.5073135276682
1712.16113,-4230.178953466739,1659.658405735066
1712.18196,-3616.6315692716453,1654.8638212237004
1712.2028,-8138.582657420378,1674.786605994285
1712.22363,-4952.626090222099,1689.2777684177502
1712.24446,-3386.797981455728,1688.3888353009982
1712.2653,-1445.267945213213,1672.986261525034
1712.28613,-2578.4090180724847,1671.236551019811
1712.30697,-5541.6494874829805,1684.4858488518594
1712.3278,-4550.2109810375105,1670.392226772969
1712.34863,-7298.506101931352,1679.8043507223956
1712.36947,713.5879310584284,1659.4426610187743
1712.3903,-6819.4880620013355,1680.6537731257986
1712.41113,-6865.924157569728,1675.2961899160102
1712.43197,-1028.1343421694103,1660.4307764540793
1712.4528,-4115.429877322922,1672.0674346720828
1712.47363,-5178.028916517605,1666.7551555353716
1712.49447,-4271.820232789376,1657.6228508608353
1712.5153,-7485.428969440905,1677.4594304386587
1712.53613,-4253.844248621981,1685.676963612054
1712.55697,-9005.583852247944,1710.339295976583
1712.5778,1264.0009030722729,1716.51779825991
1712.59863,-6886.074389643257,1683.748470025607
1712.61947,-2414.0934623645394,1718.3347117379844
1712.6403,-10938.639130145115,1706.260654860474
1712.66113,-5581.349991296547,1712.6201417017214
1712.68197,-805.8606253305005,1701.1028266941266
1712.7028,-2422.8466495784382,1723.8917023896304
1712.72363,-5164.073871603422,1746.131135848476
1712.74447,-8979.414435283623,1739.754500662432
1712.7653,-3911.0725889133982,1702.515363663147
1712.78613,-6404.374603494886,1703.2233122219786
1712.80697,-7948.8896370230095,1742.9000632606571
1712.8278,-3657.631871273914,1696.7793581958883
1712.84864,-4356.203877384663,1696.9983471936282
1712.86947,-12757.240677377433,1711.374453492884
1712.8903,-5668.951499619472,1678.872778478041
1712.91114,-13031.188613916918,1695.4466537239277
1712.93197,-11522.77443806861,1699.2408408773638
1712.9528,-4764.378397209814,1689.0398930672952
1712.97364,-7334.491555885374,1678.2307583529207
1712.99447,-10900.054659149662,1706.70917677066
1713.0153,-3869.246849017003,1684.2354598443908
1713.03614,-4498.972769590106,1725.744534698022
1713.05697,-8560.603654598399,1707.8493099652428
1713.0778,-3863.8003956689786,1751.4949758867715
1713.09864,-2367.785284178954,1732.6806925666515
1713.11947,-5576.313591950111,1703.7845729124824
1713.1403,1562.0962581636138,1693.5983402361244
1713.16114,-6263.56027499467,1715.379287206051
1713.18197,-8378.140167806314,1712.3500552711755
1713.2028,-6605.228647276543,1712.9319403223133
1713.22364,-6487.579531119799,1751.2494533014747
1713.24447,-8512.726055262343,1737.0269869022204
1713.2653,-4124.606095664201,1741.1884730624479
1713.28614,-6863.353875592551,1753.9332851293327
1713.30697,890.0124196694501,1752.5921223521682
1713.32781,-5907.4828901302835,1711.778945869133
1713.34864,-1958.0844457997136,1705.8554672810578
1713.36947,-5237.608059700624,1772.7648326614435
1713.39031,-5453.021048214569,1721.515845564943
1713.41114,-3193.024118465554,1770.6745884713748
1713.43197,2114.7801113238634,1729.6216827627711
1713.45281,-7273.279380462063,1731.0953976105254
1713.47364,-6673.120334732505,1740.904598435748
1713.49447,3408.8658155994135,1700.9060841977446
1713.51531,-4029.555137800696,1728.577371738099
1713.53614,-619.0060035985476,1721.2765798081532
1713.55697,-533.4357630636546,1744.738064568144
1713.57781,-6027.489440227779,1727.6715220109395
1713.59864,-1800.3761009950103,1720.6546047076938
1713.61947,-10831.594295502742,1724.7429786681466
1713.64031,-2744.3950311245662,1712.3626847953838
1713.66114,-3441.0474654228506,1727.999889640355
1713.68197,-5488.415927077861,1723.2998527597595
1713.70281,-7301.649926521657,1742.795551051154
1713.72364,2681.3541237693366,1738.4537755361732
1713.74447,-4562.810032173624,1725.1646193891922
1713.76531,-1274.4500384131136,1734.2888133601084
1713.78614,-1487.87995989197,1730.3443464553134
1713.80697,-9236.294786461156,1740.3564307382308
1713.82781,-2074.7917933989825,1728.9676124494156
1713.84864,-786.9623382943164,1730.3290519856298
1713.86947,-7740.067174536286,1727.2414229846904
1713.89031,-2473.565891861358,1714.8935719264075
1713.91114,-5539.297267565986,1715.9757715237047
1713.93197,-2428.062758943655,1730.3192032740913
1713.95281,-5773.086097935794,1743.6126465072714
1713.97364,-6237.969614667234,1735.7621806062787
1713.99448,-5475.460468451247,1716.3445768040256
1714.01531,-4540.7726711021105,1727.3036436681753
1714.03614,-3974.1176674876324,1714.2919894521926
1714.05698,-3017.413133427618,1732.0661329666448
1714.07781,-13287.896786443318,1747.5077539871795
1714.09864,-7045.541598461556,1733.2909650804595
1714.11948,-10478.756905000153,1735.0980298469954
1714.14031,-8711.405735270673,1727.0000716183981
1714.16114,-9469.500688975075,1737.4548844517728
1714.18198,-7410.539019300024,1733.39489795399
1714.20281,-12526.244941599962,1740.1821664775953
1714.22364,-5026.80936634329,1737.2811995271104
1714.24448,-1490.6612360304623,1735.1413641777651
1714.26531,-2962.3197886824314,1738.140238907663
1714.28614,-9637.486453938263,1698.7178163610683
