relative_time,cts,e_cts
1738.67668,-1753.9435230165764,856.4241497990022
1738.69752,1895.7852748147873,884.9086211866432
1738.71835,-1920.4513444797183,879.2349259439717
1738.73918,-4831.340384585851,864.8486926242097
1738.76002,-2052.323699097208,870.7056099007632
1738.78085,-832.042194896399,853.7195534568451
1738.80168,-1888.178046992466,858.2733603893897
1738.82252,-3173.8917368112247,867.556854821634
1738.84335,-1240.4498767146074,840.8998842584883
1738.86418,-891.7674389152141,851.8122404012197
1738.88502,1141.543434530996,891.4463021849642
1738.90585,-2145.76305588746,892.680297863645
1738.92668,-220.69162151846396,863.6934603956979
1738.94752,-2347.950091008614,866.4144177208461
1738.96835,767.206765645243,878.1085351918869
1738.98918,-5044.140139129186,891.6429486151467
1739.01002,1191.4720155933628,900.2109646758153
1739.03085,-857.9133138854876,867.146257075413
1739.05168,504.9913888075534,863.5433798401826
1739.07252,-1999.2203531878802,825.1625064267047
1739.09335,-762.3587756531456,844.9662178003726
1739.11418,-3458.4659700778006,861.2537861242827
1739.13502,1326.2028227199846,868.7513114580861
1739.15585,-1729.3870509620674,867.7506695432219
1739.17668,-2255.04823446086,867.6347792470343
1739.19752,-1878.0136814311004,873.18366955535
1739.21835,2602.2840886807835,871.0582100598422
1739.23918,1221.1021753027705,875.9206732292012
1739.26002,-3267.2832691896565,874.7504434329475
1739.28085,1772.5442826280084,847.712136112392
1739.30168,-3134.96686071329,884.6889015753195
1739.32252,1395.9642712667346,822.2131246082565
1739.34335,-618.4774595201307,877.9969448976393
1739.36418,869.3918019909523,833.9099689097958
1739.38502,-2976.9908723676635,810.6806242833018
1739.40585,-1477.5914178497399,882.9418422505307
1739.42668,-1528.368987100015,821.4673364669086
1739.44752,-2288.3316128916254,823.3866056254892
1739.46835,-3267.9255426501563,859.5907341544679
1739.48918,-2567.9782536911657,865.9440394598498
1739.51002,-329.56106331893443,846.7509283616603
1739.53085,1121.5504181938722,802.33977417878
1739.55168,595.8127785630246,800.2127415118307
1739.57252,-1724.947770910461,821.5849048126338
1739.59335,-1165.731155199627,818.8115084394368
1739.61418,-2436.943350671013,832.176858371788
1739.63502,-1775.5645620394184,856.6957840678942
1739.65585,-2816.4803999517494,854.660414856934
