relative_time,cts,e_cts
1738.68173,-6072.715664739074,2428.785783875535
1738.70256,-9314.198117601785,2437.4177627861363
1738.72339,-8948.503626986365,2436.1268721200972
1738.74423,512.5005829693839,2498.1964605463945
1738.76506,-10971.750066422412,2382.3820330186377
1738.78589,-21689.71653123524,2445.1317617078107
1738.80673,-27314.05478236566,2437.525915257137
1738.82756,-22371.002803535728,2475.2361934312044
1738.84839,-30136.872798824184,2450.936343110488
1738.86923,-22158.416799101546,2517.9479252006167
1738.89006,-12029.12423394643,2523.5561811553816
1738.9109,-8578.014297064778,2590.1737963351056
1738.93173,-1273.8387062030909,2596.1561593438746
1738.95256,-6049.544117464828,2501.618337731755
1738.9734,-11590.851778477321,2485.233238375124
1738.99423,-4597.940434808398,2573.8046087911325
1739.01506,11879.03157463355,2628.332955118902
1739.0359,14358.382826021108,2523.1813562752423
1739.05673,6243.169582007831,2443.916840974389
1739.07756,9685.60088128011,2503.756741787806
1739.0984,16787.589973837865,2483.823547483749
1739.11923,23354.78328222509,2533.8641644534287
1739.14006,45977.40340773278,2594.264687478251
1739.1609,58558.291519665654,2556.051691734332
1739.18173,62259.173726077046,2562.7173055858952
1739.20256,58585.98226101024,2558.6344301679237
1739.2234,76820.81871286532,2640.9726769786826
1739.24423,79700.08478201188,2625.7806046583573
1739.26507,65298.85587109642,2529.586279602126
1739.2859,62439.72003952797,2542.9837865850473
1739.30673,75714.54503265084,2533.711985312817
1739.32757,76626.08324984228,2566.661162009063
1739.3484,80240.56539025823,2572.1649742611917
1739.36923,68952.81210813773,2527.8089420919614
1739.39007,72512.13505269097,2522.1291427990777
1739.4109,74664.37054162279,2539.697219626126
1739.43173,62335.93889041364,2540.190844731601
1739.45257,57431.59676265071,2518.4911999470933
1739.4734,48533.4010232316,2519.551189873053
1739.49423,52833.17658070879,2530.037672603327
1739.51507,41052.76546382994,2524.8233835589667
1739.5359,35979.97610175854,2542.6210451115135
1739.55674,33495.034420431904,2551.2803014152432
1739.57757,32339.898434848274,2535.2464583139863
1739.5984,23190.912668077755,2500.581677155182
1739.61924,11484.597000501915,2538.1778209737904
1739.64007,10602.218196927175,2560.3965736915648
1739.6609,5683.211838328493,2529.1663513131734
1739.68174,1758.0870881526605,2505.3668258085245
1739.70257,-11934.651255961837,2558.2267049232655
1739.7234,-10931.946128688041,2558.639813863936
1739.74424,-20311.857280901808,2529.5686928618193
1739.76507,-25534.96781027239,2569.086935794476
1739.7859,-25235.9659476678,2654.919799505606
1739.80674,-38355.30716792883,2650.987069387531
1739.82757,-48048.594531462106,2583.1460391984538
1739.8484,-61753.660103792296,2570.07370745467
