relative_time,cts,e_cts
1764.69976,395.8698329916223,2196.318442283256
1764.72059,-856.2289144118333,2228.6887213555206
1764.74142,4938.446700871873,2205.2463087256283
1764.76226,1990.5931334957781,2218.41698508551
1764.78309,4649.844753890705,2221.4017841057644
1764.80392,-1512.2293717033192,2220.63323178245
1764.82476,4139.6682738172085,2235.857628688813
1764.84559,-3529.984844771436,2190.5211888110352
1764.86642,-3748.8745628435845,2206.941343667562
1764.88726,501.55256677883307,2187.3577781472814
1764.90809,-4597.578182245155,2217.1919807843637
1764.92892,6251.138664948056,2193.6250622602897
1764.94976,93.93927935526722,2199.259580679544
1764.97059,-4734.259750146067,2259.540279201774
1764.99142,994.6441642184759,2224.773261666507
1765.01226,452.7857388333348,2257.470264259746
1765.03309,4765.658841463211,2228.2274646200276
1765.05393,-1699.7670015224026,2278.4438670617146
1765.07476,-10372.183071362218,2253.9028361474216
1765.09559,-2045.8837778329005,2262.7575867123383
1765.11643,729.329415304486,2306.804471414301
1765.13726,-4807.021120047503,2244.215817994551
1765.15809,3525.0608037785455,2225.575656195958
1765.17893,-5801.012463931551,2313.961053499679
1765.19976,-1556.7525541212806,2266.44701388876
1765.22059,14.595600360242456,2290.2240883348936
1765.24143,-1136.7204304605862,2294.1291028985565
1765.26226,-2706.712598769064,2250.829044659178
1765.28309,-9723.985122707809,2227.9099328093625
1765.30393,-4593.93742935287,2240.5334935033675
1765.32476,-8201.982873921233,2223.8309024573546
1765.34559,-2473.440360893829,2207.7533477123357
1765.36643,5222.40975878223,2262.4703457651904
1765.38726,819.0430147478196,2208.6647893504496
1765.40809,1521.9328931542445,2240.1244623946286
1765.42893,3923.8763710216103,2260.1722092855
1765.44976,-2396.9550949023137,2273.4569464142123
1765.4706,-5824.5988103887785,2254.8736060975284
1765.49143,-6240.322946549774,2244.956377381925
1765.51226,-1292.5399748343102,2339.2606094169505
1765.5331,-5079.138152394969,2300.1770393791967
1765.55393,-3018.269588831255,2351.165545486818
1765.57476,5575.778794526319,2341.069078420194
1765.5956,-277.91428581968773,2280.944847875719
1765.61643,2989.2664003670848,2319.8560733451836
1765.63726,1191.0971263295107,2320.6306838412015
1765.6581,7894.463551514661,2313.932642758725
1765.67893,-7565.762977214144,2216.703357820452
1765.69976,-927.1897536052923,2195.1575710517636
1765.7206,-1414.4830530601796,2282.124729235349
1765.74143,533.9838453831468,2206.314845049019
1765.76226,1503.6606086705085,2295.9810236232593
1765.7831,-961.5661234524385,2226.063025744828
1765.80393,1370.5078219181232,2328.6598516983877
1765.82476,-6458.786294605103,2213.027300404479
1765.8456,1443.7463251455854,2403.953328887373
1765.86643,-71.86622265886926,2340.947706063617
1765.88726,-6671.17433995137,2279.583639139998
1765.9081,-1523.9945519959922,2180.311496585609
1765.92893,-7526.644729360226,2214.7004005831755
1765.94976,-4169.770289468286,2223.650619593799
1765.9706,9347.564739826961,2312.932417555129
1765.99143,-7774.628090682083,2303.637300505421
1766.01227,-276.47849888896206,2314.8401152492056
1766.0331,11936.267685674773,2173.4553163053206
1766.05393,-3712.067821229806,2179.099444239898
1766.07477,-2834.929437085658,2165.173794219658
1766.0956,-4182.330552702665,2197.830269726536
1766.11643,-8076.219804452056,2190.3816419363484
1766.13727,5166.167354623139,2291.8115384857133
1766.1581,1766.6383652385027,2310.416604663127
1766.17893,2074.5623318011667,2301.2756576635975
1766.19977,2793.238345955322,2366.4325585046117
1766.2206,1230.0073072864402,2298.327207679564
1766.24143,591.472352996592,2203.213060624835
1766.26227,2403.4043330989334,2285.675654049619
1766.2831,-2404.7333708485735,2369.710865547225
1766.30393,2197.11080949237,2211.3092861867735
1766.32477,-1025.8351886386315,2364.334132821629
1766.3456,-2329.459739397755,2328.7275361106613
1766.36643,1067.350383858059,2300.0700812956043
1766.38727,8050.102395219816,2317.9047150271404
1766.4081,-4568.091593379749,2282.0576715305965
1766.42894,-1957.0293944009268,2270.626526346643
1766.44977,618.8333588531036,2202.735300591288
1766.4706,6083.142820147851,2144.2747696126935
1766.49144,2110.6529556208916,2234.253048532418
1766.51227,1195.143776792931,2188.7394593286904
1766.5331,8568.670906805186,2295.0910989433683
1766.55394,3909.5245598870565,2222.86347494736
1766.57477,-1666.5993415808548,2190.4198710951327
1766.5956,-2806.0595284209644,2225.237234134591
1766.61644,-475.93150990326353,2293.345927399751
1766.63727,-3924.6137968713792,2228.987869745569
1766.6581,2038.1042484715992,2299.6963547105515
1766.67894,5044.668403127187,2254.2069981976383
1766.69977,1997.5878161382184,2293.100049148992
1766.7206,4757.431842931879,2163.9352112555557
1766.74144,2534.313298023452,2175.1269541664683
1766.76227,-3514.936343775981,2223.058798791421
1766.7831,-45.144667376335775,2309.6330113593076
1766.80394,4606.928240654208,2307.917086166672
1766.82477,-1927.9242615133328,2229.2824222804625
1766.8456,-707.518531254394,2213.0467283376315
1766.86644,3132.02013743945,2257.596650276491
1766.88727,1230.555676367359,2215.115907669632
1766.9081,-525.3336103725995,2238.8829547954283
1766.92894,1746.6773128880432,2317.9308278405174
1766.94977,6395.2673983216055,2322.713024031144
1766.9706,-4543.740245941827,2319.107366760036
1766.99144,-6787.2681479807725,2267.213477187004
1767.01227,5356.488610348219,2354.2934427243786
1767.03311,-10385.518989605152,2344.0064565713556
1767.05394,2808.1813511847336,2325.1135227392724
1767.07477,-9328.03381773845,2321.1525223037293
1767.09561,3577.3990289840012,2325.397421246308
1767.11644,-1762.2434742958856,2331.626476200532
1767.13727,1982.6063728475158,2310.2724619332857
1767.15811,-3834.3248799237213,2331.3459201336086
1767.17894,4023.318978021726,2293.2335378509756
1767.19977,-5304.680997510587,2292.807585639169
1767.22061,-1674.8560042681827,2240.918083018785
1767.24144,4743.092565947746,2231.771077846552
1767.26227,1550.742846799424,2278.3005599419016
1767.28311,-986.7273859100642,2272.6706373778015
1767.30394,-1556.286701530633,2200.60219709214
1767.32477,416.7816006515145,2256.1708906661024
1767.34561,-2686.5967496609046,2199.747576935935
1767.36644,6951.303201247942,2245.761069838953
1767.38727,1387.1899405184483,2256.8379163710065
1767.40811,791.3360663396884,2252.2424790216533
1767.42894,1617.7850927662637,2269.2747182237385
1767.44978,-543.4985189677292,2298.0554255179354
1767.47061,-4160.165370000673,2204.655741338292
1767.49144,-818.3007841403893,2274.492893946508
1767.51228,-2215.69164297897,2301.7387945216537
1767.53311,-1121.6512481169368,2266.330864094859
1767.55394,4298.567667851879,2265.2708927742565
1767.57478,6432.916643746182,2264.34211222806
1767.59561,5427.073216126541,2252.602000236229
1767.61644,-1208.6528752141794,2246.095940557701
1767.63728,-2146.3961745714482,2284.346407397472
1767.65811,-2659.3577428684907,2269.7090265358256
1767.67894,-2280.516388833828,2277.494614069831
1767.69978,5149.177731532485,2303.993897084899
1767.72061,1641.702549697112,2322.294801212096
1767.74144,4669.61904739989,2320.023822058318
1767.76228,-176.59740552661893,2340.726269406179
1767.78311,2278.6130780923986,2357.07957546046
1767.80394,-4996.466238658156,2302.207362844892
1767.82478,2065.4734015258846,2340.197954965934
1767.84561,-4842.222654797365,2308.101547080368
1767.86644,-5637.294106865019,2298.302348281229
1767.88728,3921.862759756476,2319.3824913617764
1767.90811,-6267.824334891001,2256.8404232010903
1767.92894,-2641.0307259279166,2235.435645624639
1767.94978,598.9552407979301,2251.741739712334
1767.97061,-706.1955516774573,2278.0045450894586
1767.99144,1887.056664065657,2236.3454160426963
1768.01228,4890.767837182918,2202.7994336609418
1768.03311,-737.9641915295141,2240.7474096705528
1768.05394,-383.34800781853465,2309.9045846184295
1768.07478,-7378.847250158449,2268.8888752932785
1768.09561,-619.9300970149413,2298.4318678355794
1768.11645,1781.2268629135065,2295.5577871440437
1768.13728,3012.561536729531,2277.4741416241436
1768.15811,1621.4883075081489,2315.935391093494
1768.17895,8095.915759521112,2293.2400138286935
1768.19978,5100.730106617709,2293.5993261407625
1768.22061,13840.30373660824,2307.0668529631143
1768.24145,21974.52323310841,2290.343580568907
1768.26228,34485.61645770313,2289.2025550755816
1768.28311,34575.859833904266,2273.136698870956
1768.30395,38904.0851817748,2297.4182728715346
1768.32478,54645.72177087571,2298.313002309087
1768.34561,71622.36345084093,2299.6363996910377
1768.36645,70438.6199016609,2242.8232738827774
1768.38728,72429.21700430432,2246.279983666382
1768.40811,86662.73939218764,2267.367229432169
1768.42895,91932.14699248594,2269.0524459562725
1768.44978,95094.91340090812,2266.041325220134
1768.47061,85462.7751900453,2244.5910068971525
1768.49145,103407.57658329191,2284.8091264505138
1768.51228,108041.3111936465,2273.0441550603477
1768.53311,102873.7784522375,2272.3075648206063
1768.55395,102949.10159358248,2255.052635546042
1768.57478,114103.84933281978,2268.7163218224828
1768.61645,105448.42497509568,2251.0005536174385
1768.63728,113075.1009987208,2234.4045028500045
1768.65811,115171.24170608174,2302.142603067717
1768.67895,104842.84815153285,2209.483269372941
1768.69978,109586.2839442996,2265.492538334201
1768.72062,109803.42159704541,2275.921369289488
1768.74145,112180.51424158057,2267.023584808126
1768.76228,109352.56423725435,2322.6096172901707
1768.78312,89292.77286343866,2264.904268874442
1768.80395,106617.81838436119,2286.013240500958
1768.82478,114328.34954552287,2362.1352250327714
1768.84562,106504.48919210966,2310.811430401389
1768.86645,104259.82862067767,2316.460363093627
1768.88728,104345.98857957413,2319.781912955192
1768.90812,102242.65306096902,2338.4026468206325
1768.92895,101061.25465133278,2250.391185004471
1768.94978,95018.99258949055,2297.011539690373
1768.97062,107164.36499980881,2307.8581756596936
1768.99145,103770.18913716648,2303.7164745555806
1769.01228,100069.42607510388,2282.736186873387
1769.03312,102728.67936671886,2316.6995564641616
1769.05395,83801.69985745747,2240.6001334031057
1769.07478,92679.28095956094,2259.5542756697446
1769.09562,91749.52086950933,2315.136339004155
1769.11645,88047.16325461067,2282.236492076603
1769.13728,95619.48096578749,2338.851578308211
1769.15812,88359.2514837482,2297.1951649940406
1769.17895,93306.38518647186,2301.5478576302403
1769.19978,83435.92180389409,2233.6933987161196
1769.22062,86999.17499961545,2264.4864638604085
1769.24145,86870.30868340455,2327.295509425062
1769.26229,78706.93245509756,2334.5943541177185
1769.28312,88636.20669815819,2387.786572771858
1769.30395,80358.33998856314,2300.7667711565045
1769.32479,80196.23791019339,2299.987355902826
1769.34562,83110.73977451926,2373.6484689019826
1769.36645,83009.5453110953,2295.1974303194397
1769.38729,91389.2436367607,2366.337716766426
1769.40812,80289.65535108613,2414.812916812129
1769.42895,79946.88059708288,2287.2965286015615
1769.44979,75715.92610574952,2258.3804524828174
1769.47062,77284.06509991824,2300.6134367163545
1769.49145,68655.98002218993,2206.565110252425
1769.51229,62916.30133431849,2199.887123810622
1769.53312,64984.650278853456,2210.108932381456
1769.55395,72516.28464459378,2382.6751462301736
1769.57479,61490.51498440865,2200.3070178497255
1769.59562,62987.674129255785,2219.3278000161026
1769.61645,62839.0993238254,2187.338141311622
1769.63729,67384.60604936656,2194.878686204897
1769.65812,64381.98367611587,2210.099949573654
1769.67895,64678.076240291135,2262.3734150019345
1769.69979,63934.95320135084,2218.641137475539
1769.72062,63760.71994549613,2361.4255832164354
1769.74145,58573.700987135126,2288.204001092042
1769.76229,64619.32157458266,2277.4927339472683
1769.78312,50855.88435104124,2294.5888973165006
1769.80395,60925.646574583145,2320.8358261030917
1769.82479,52479.12075472811,2256.4986586996115
1769.84562,56786.9327763205,2375.2137753870584
1769.86645,54725.69299300181,2271.416386725673
1769.88729,52834.91995333632,2207.8717954338144
1769.90812,48315.33280635326,2222.2501371867593
1769.92896,53406.2392725785,2225.2361896220555
1769.94979,52696.352204699564,2235.7690540258377
1769.97062,42912.82046687918,2223.063812451589
1769.99146,49058.946766185036,2248.3182454273447
1770.01229,49313.31314360879,2253.25523837567
1770.03312,43700.77210370269,2271.399883427619
1770.05396,45599.7959567853,2249.4647023858524
1770.07479,41056.75532533947,2283.6405258262625
1770.09562,40384.018434795835,2294.1167776506422
1770.11646,39338.74841922192,2245.1303931702696
1770.13729,46803.20893041599,2252.0705522583785
1770.15812,38177.34323292223,2292.1280257838434
1770.17896,43213.49990340102,2302.946877719731
1770.19979,38557.081196517,2295.825600158039
1770.22062,36621.61200315774,2294.585345973881
1770.24146,29357.830969596682,2317.166871372358
1770.26229,35468.93267457613,2333.15313572181
1770.28312,45341.54524614609,2291.8000488478274
1770.30396,39556.39495847482,2285.0852955647897
1770.32479,29542.23882205564,2353.6920124066773
1770.34562,39051.23067625218,2318.044888609349
1770.36646,29216.245415343554,2276.456577512465
1770.38729,37477.43752682853,2300.651456972632
1770.40812,35661.042762468795,2307.8719632251564
1770.42896,32665.856691760368,2300.445061295699
1770.44979,31292.70771544604,2266.4484762063094
1770.47063,32275.127531661416,2278.2477076076266
1770.49146,27001.319608955306,2313.651459984281
1770.51229,35333.7723347313,2282.1765370570893
1770.53313,25266.23638520669,2294.849607645257
1770.55396,32273.5281740677,2325.0974372462324
1770.57479,17348.579223947996,2296.050170353082
1770.59563,30530.262448021746,2355.484604819388
1770.61646,28481.412672394217,2315.4490660571596
1770.63729,20657.74806063008,2260.587298566942
1770.65813,24361.047616932876,2329.7923121889257
