relative_time,cts,e_cts
1764.70394,-2677.834110436834,1347.0796164893875
1764.72478,-5484.734732281918,1339.7311263552187
1764.74561,-3511.368535050217,1348.9959178791798
1764.76645,-461.1691356413739,1337.7383503050864
1764.78728,-1984.6752526959242,1329.1478770732888
1764.80811,1890.8533919277863,1309.3241740305898
1764.82895,-1015.4294583159542,1313.817357787114
1764.84978,-5941.5699072219595,1317.1548763794622
1764.87061,-719.0284938317609,1271.1408196109644
1764.89145,-1340.615722921358,1326.5362728310702
1764.91228,1721.8334676249424,1313.2274104073483
1764.93312,-3608.0171458871873,1277.612933934561
1764.95395,-4147.08042838572,1319.5528491447762
1764.97478,-2299.246142171985,1308.3257849005502
1764.99562,-2390.590634982886,1313.0925251153485
1765.01645,-362.46522774482713,1312.821348349475
1765.03728,-4802.7245171038385,1313.4672185006634
1765.05812,-3703.6719106432474,1324.187624599158
1765.07895,296.15964204116875,1349.383158733518
1765.09979,-2084.3188145873414,1347.4607999448867
1765.12062,2142.3462076029105,1328.0846954092412
1765.14145,2802.2975395667695,1326.2858642897872
1765.16229,840.8127138217225,1313.065915827592
1765.18312,-2057.827862444167,1329.4550737286856
1765.20395,-1402.072685358058,1330.483100845901
1765.22479,-3464.861341115538,1322.8409350358863
1765.24562,-2558.665172395529,1332.3416406110518
1765.26646,-2774.804304251444,1370.4207212363804
1765.28729,-10388.39336173335,1333.319477852174
1765.30812,-4092.742207598659,1340.6150739143395
1765.32896,89.47708328316462,1349.9244305869004
1765.34979,-893.871525439757,1339.0406910554307
1765.37062,-1168.5934921511925,1340.214203912614
1765.39146,-1858.47637879867,1357.6645964566999
1765.41229,-1302.4099777595964,1349.6823509690207
1765.43312,-270.71726890412685,1342.4975187713362
1765.45396,-694.7956534414261,1357.4528038330143
1765.47479,-2012.9530293287114,1349.4007900908523
1765.49563,-4591.409129912508,1345.9305495632323
1765.51646,-1096.5834592589204,1348.4239263602576
1765.53729,33.635654073551436,1337.0420739421324
1765.55813,-357.2091362381221,1422.9018084401632
1765.57896,-4219.829463936327,1345.7644037665107
1765.59979,3760.939316440219,1361.5769189317168
1765.62063,-1341.0387673295472,1338.1764300425361
1765.64146,-4694.69773155518,1397.5650071114549
1765.6623,-598.7098398572824,1401.4573185367365
1765.68313,-918.8712757902199,1327.1510988132095
1765.70396,-1616.4590655928284,1358.3101421043787
1765.7248,-2361.377422900848,1360.5651169899625
1765.74563,-2380.5027943917016,1333.2173674146056
1765.76646,-5610.947776165741,1355.406160200351
1765.7873,-3103.159778295747,1405.8298951556667
1765.80813,1738.1126188364096,1341.9062733775338
1765.82896,-2270.6533807995797,1336.9855021636915
1765.8498,-60.665065706361766,1311.4192768539633
1765.87063,-5086.295370008249,1347.0310491308405
1765.89146,3994.46621166294,1410.1668845564186
1765.9123,-250.92493453398598,1292.2665389004987
1765.93313,-6486.785884423177,1347.4540935390296
1765.95397,3425.5853833803626,1324.1797283471
1765.9748,-2225.8978568076814,1421.3630127994325
1765.99563,-1824.7578681624307,1397.28485241516
1766.01647,-3149.3807601352914,1319.5063369751213
1766.0373,1091.447866721973,1327.1953394583
1766.05813,-2848.543400008688,1285.223406568508
1766.07897,-1580.4635138323779,1292.8644907001585
1766.0998,-6056.579791953402,1287.631871613954
1766.12064,-1515.0155909035932,1308.104581675097
1766.14147,-1574.8674508158447,1314.1987575782862
1766.1623,2504.912355939105,1298.0179309301132
1766.18314,-966.693357944266,1282.3279699235566
1766.20397,-6626.615420057464,1293.985217653175
1766.2248,934.9365791891097,1350.389335947779
1766.24564,-1686.5920620199238,1280.3295691459311
1766.26647,-1038.3038188488495,1290.913359267043
1766.2873,-351.9306539892806,1290.570791729141
1766.30814,-791.1822817786184,1352.6589134912779
1766.32897,-2711.957817788256,1271.57781767005
1766.34981,2760.454326402302,1309.467929085175
1766.37064,2601.229756860997,1288.7044638797688
1766.39147,313.1745508758786,1292.4223005849253
1766.41231,-275.5504241704794,1342.8289450220884
1766.43314,-4408.486393596231,1270.5327000346826
1766.45397,-2296.6786704070205,1281.1540243950278
1766.47481,-1476.989728853777,1336.1705656841987
1766.49564,-2981.71141943783,1345.9916643908025
1766.51647,-410.4105130645413,1400.992196840185
1766.53731,-1964.0259045579278,1278.7706542876288
1766.55814,-4886.088603280279,1298.7325958252563
1766.57897,-2099.985952180416,1270.8312432631667
1766.59981,-2780.50507373362,1322.9579726348793
1766.62064,3509.405721490769,1301.7442047265092
1766.64148,3213.0724700721667,1322.9177341997358
1766.66231,2811.721878649431,1302.8220972163083
1766.68314,4027.047770170702,1312.607500536898
1766.70398,-5441.201288505748,1318.964848786066
1766.72481,-2998.5857100852104,1332.5804751938392
1766.74564,-3098.5901198788824,1336.3281662218442
1766.76648,-277.9691651603836,1333.198438043234
1766.78731,-4324.856322710064,1333.8091536475902
1766.80814,3695.940939039543,1315.2284072130476
1766.82898,99.2023452867117,1339.1341480660867
1766.84981,-1939.5619095011905,1353.1173287819718
1766.87065,-1961.703973781608,1349.3379445778996
1766.89148,-2159.666149736289,1334.0141316975821
1766.91231,6316.275948173822,1309.3150879323314
1766.93315,-1294.8411497426662,1365.8989811710446
1766.95398,-2439.7827709528674,1376.0504244500364
1766.97481,-3765.603729881776,1339.3605433476873
1766.99565,-3166.1591059117786,1422.1129404092446
1767.01648,2195.7905293899007,1375.5749186411897
1767.03731,-9300.100318128032,1347.937495599934
1767.05815,1946.4142337697583,1383.1840932611
1767.07898,-2091.1235450078907,1351.567391854091
1767.09981,-2588.982020912431,1360.0475338927536
1767.12065,-2205.6937274843376,1357.046741775141
1767.14148,-4122.659159624363,1339.228470419434
1767.16232,-1675.8057817090576,1345.4503925374202
1767.18315,-1498.769647217903,1343.6742766636116
1767.20398,3419.933830263752,1297.287581698691
1767.22482,-3620.3994426242443,1314.4979498137889
1767.24565,362.4481372266749,1359.6917698788097
1767.26648,-739.3973627699531,1367.9008433194351
1767.28732,-3787.7475248475766,1363.1994364778268
1767.30815,-1493.6725624307164,1365.7474380322378
1767.32898,3862.589499864828,1358.3616299945088
1767.34982,869.6577225886297,1353.6249604382317
1767.37065,-828.8878588648324,1337.7503569349276
1767.39148,-1573.0305446179752,1376.435934618992
1767.41232,3856.020250824138,1365.876482261072
1767.43315,-1140.2100355422351,1355.8711737290662
1767.45399,410.3458286983699,1361.2648547236815
1767.47482,-1416.4756654470398,1346.3547838176219
1767.49565,1208.5979602645714,1344.6336172047086
1767.51649,4178.610054684421,1340.4438442293067
1767.53732,-974.3763030286062,1359.0986856317882
1767.55815,1353.6458368306583,1352.9251145366761
1767.57899,-5709.5890548850075,1348.8205778163635
1767.59982,-416.13583664558143,1352.1731317379724
1767.62065,-5727.269736752804,1369.1176233111812
1767.64149,-4882.449945431373,1363.4208560389527
1767.66232,-915.9245675908112,1364.068673211196
1767.68315,-4029.1995529403534,1364.2110220839081
1767.70399,985.4718351837614,1371.2226775755041
1767.72482,-4160.58442558632,1368.7876032423023
1767.74565,-1334.5759554398817,1305.8145604105173
