relative_time,cts,e_cts
1764.70396,-2580.1346804676896,1433.6706725436056
1764.72479,1616.977596813517,1425.846818849887
1764.74563,-5168.229085548505,1434.8110458093902
1764.76646,2868.1838345453743,1426.071437826481
1764.78729,-163.15595421336872,1430.495377010846
1764.80813,1552.0032480136401,1407.8635004555797
1764.82896,7249.071235391861,1413.690466763974
1764.84979,2450.033394552167,1417.0771419929888
1764.87063,3811.8493316222466,1373.6675613136204
1764.89146,3139.160824429012,1425.1538883806343
1764.9123,-2772.5026579592413,1411.7301556955179
1764.93313,-2259.464949411059,1375.5309339226471
1764.95396,-2251.2401025992854,1418.3862599844463
1764.9748,3303.6116475778804,1408.869012577575
1764.99563,-2755.377873235712,1412.3584605251513
1765.01646,1872.6378613181853,1409.3267775248794
1765.0373,1786.5942076348817,1410.473546036251
1765.05813,365.3700293717309,1420.7540716138358
1765.07897,2087.5142983448973,1434.6240129252833
1765.0998,3004.5665979951564,1432.8442272980556
1765.12063,-4024.4028359359713,1422.2236317314319
1765.14147,1208.4461671701229,1421.734002753482
1765.1623,3305.748108393216,1409.0404500382322
1765.18313,1968.4011663213346,1424.7927253008863
1765.20397,1095.4317432937708,1426.1932840845136
1765.2248,2772.8674113523025,1419.5219209640086
1765.24563,2948.4136490033316,1427.875682463148
1765.26647,2525.15677370457,1456.3748041542797
1765.2873,2359.684057629219,1430.2868022468658
1765.30814,3696.6284358209714,1436.3778809782884
1765.32897,-3175.615295038921,1443.9674667283862
1765.3498,3191.3764338875653,1434.8863301916551
1765.37064,3385.5734516170965,1436.9674777425246
1765.39147,-2160.401473290261,1452.0948140942755
1765.4123,-795.373439975972,1448.1904605645593
1765.43314,3420.56071825252,1440.7423555984199
1765.45397,-1728.4146389756168,1439.1368123641246
1765.47481,-1242.7787626125275,1447.4587098326185
1765.49564,5689.422639574493,1445.946851336313
1765.51647,2206.447241519105,1446.9036698340121
1765.53731,2943.281744912719,1422.8356679538692
1765.55814,200.17724553743986,1508.276822184471
1765.57897,2558.3635815290204,1432.433024226519
1765.59981,3671.1764803562696,1445.5766002759935
1765.62064,2823.557025455883,1436.223273111282
1765.64148,-326.5210441771728,1491.9576140103636
1765.66231,1480.2351288487703,1496.7638093651856
1765.68314,-7572.331153108655,1424.1229074735807
1765.70398,1447.4881055228618,1442.474681771552
1765.72481,1570.7038436893488,1444.5554927305484
1765.74564,-1110.4606826213094,1425.0062367456705
1765.76648,-3044.146436343327,1440.8076544217854
1765.78731,1199.6176989327373,1505.1290149880076
1765.80814,-968.6132379157918,1426.9515133771317
1765.82898,-447.84154570398687,1422.2971209570408
1765.84981,-699.6542285081879,1397.956704054336
1765.87064,495.1902610732831,1433.2308591628623
1765.89148,3157.133820672547,1506.8939905728225
1765.91231,629.0908838541401,1382.6185489927846
1765.93315,1988.3210099584048,1436.7967134656135
1765.95398,3701.049233481188,1411.918198355244
1765.97481,1455.0181145114357,1514.5053425973754
1765.99565,-2286.85533747247,1494.8766509304655
1766.01648,1618.840296238798,1406.6643358093079
1766.03731,2693.3370348064764,1416.0945181183586
1766.05815,-365.94010380733215,1388.0849132078856
1766.07898,-4682.790788614877,1394.6423960780198
1766.09982,5023.147890521614,1391.8179414742358
1766.12065,-1408.1494913503539,1410.902364082476
1766.14148,1961.6381380140774,1415.32843501537
1766.16232,2025.786939146733,1400.7910320197282
1766.18315,2504.7538085324277,1385.6722226620936
1766.20398,3473.6435005732583,1396.5085736193219
1766.22482,4286.909603532405,1454.9521425043242
1766.24565,2413.1577353118214,1382.5968949156204
1766.26648,3951.1953377247864,1392.61252268914
1766.28732,1578.093830458747,1392.123791289518
1766.30815,-4176.34074400811,1456.1398630269132
1766.32898,-119.48618801615766,1378.3027679969496
1766.34982,5883.722317825294,1402.992791658429
1766.37065,2097.446675728491,1394.2473494163878
1766.39149,-2314.144411380103,1384.9715505797615
1766.41232,3932.5849486710467,1451.817462390909
1766.43315,-3418.124690670199,1374.2936221974337
1766.45399,367.60286766004054,1383.624285509362
1766.47482,1967.0447010730727,1440.6346461990543
1766.49565,6942.328329673218,1451.5890287064208
1766.51649,6914.437653891211,1498.989018237707
1766.53732,7619.197083534751,1382.5808507030065
1766.55815,12167.428314678695,1391.894796618575
1766.57899,12295.028161991238,1375.485942808954
1766.59982,7771.804585039613,1417.0227263068507
1766.62066,1730.2655576853415,1395.4488702057706
1766.64149,6618.486332410685,1416.1529729069728
1766.66232,-2014.5342240425816,1394.1465962490645
1766.68316,-4295.76690647358,1405.1678483418705
1766.70399,6804.46714251985,1411.3059377382242
1766.72482,-79.79134744470565,1425.3691949820748
1766.74566,-3627.3641114021907,1425.8656679947762
1766.76649,1609.1201961297877,1426.518095241976
1766.78732,-190.00106344049084,1426.25532918644
1766.80816,-603.5883274111953,1406.231590857898
1766.82899,-1286.947133570969,1430.6857758136832
1766.84982,2014.5677710325922,1444.7092030192264
1766.87066,-3348.824463118297,1441.1532220780837
1766.89149,3678.6470247806105,1427.1870154909534
1766.91232,-1195.6854082775606,1399.8389258082516
1766.93316,-2027.634940726892,1465.9840533397758
1766.95399,757.7332683947117,1464.0193665769705
1766.97483,1300.1352519449729,1430.3098026915222
1766.99566,4785.408450520163,1515.549899376641
1767.01649,2468.9745412197926,1475.4373482907736
1767.03733,2504.3308247453356,1451.2105872438576
1767.05816,1387.282141590738,1482.9568107339928
1767.07899,1247.8409921854252,1441.5690252385516
1767.09983,4417.823534426683,1451.9083421966236
1767.12066,-11.016988595747813,1449.2828133897933
1767.14149,-691.2324754506986,1429.0568955428587
1767.16233,2149.4815353512327,1436.524747232215
1767.18316,5755.699935514822,1433.657433263267
1767.20399,1192.1798039200794,1391.3510885463602
1767.22483,4640.828440792195,1416.801248854405
1767.24566,-448.3993906348684,1459.9875569246715
1767.2665,4590.6893787955805,1469.1050453836883
1767.28733,-2376.729631065299,1455.8785555361605
1767.30816,-204.4847239337407,1455.3631211812792
1767.329,4738.209406337069,1450.5495208052505
1767.34983,475.7801297292528,1445.8931088339214
1767.37066,-1236.831969597339,1438.332582182194
1767.3915,423.7682705511669,1464.138071310855
1767.41233,-3095.7875956719295,1456.8630867647378
1767.43316,3106.9190255045037,1450.2689153804447
1767.454,86.50714069244906,1450.6708060768278
1767.47483,-733.0570450000258,1440.2263602570833
1767.49566,2703.314964290218,1434.2576887701487
1767.5165,-2058.4008964855084,1432.022157746855
1767.53733,-519.5680396738932,1449.6950262369492
1767.55816,6957.506940186959,1444.380689351161
1767.579,-294.0005471818054,1440.877665531373
1767.59983,4663.974854124015,1443.549980608553
1767.62067,4345.394909809661,1461.540367432194
1767.6415,4904.056188180633,1455.3974535523269
1767.66233,2466.094548956961,1455.6021014111218
1767.68317,4383.634327122184,1455.8804628901075
1767.704,3791.8269396611963,1461.4497120210613
1767.72483,-4172.638569996787,1458.5146308883454
1767.74567,865.83311433313,1400.44770830925
1767.7665,2955.1361740885354,1468.3939389532927
1767.78733,3355.335496309954,1462.5148009045806
1767.80817,3251.9165213523042,1516.4435507995036
1767.829,-960.70310450529,1481.604160193625
1767.84983,-1622.685633993445,1453.9357472451013
1767.87067,447.11461945555925,1463.7002774813495
1767.8915,-3707.0234026353824,1461.4631756959818
1767.91233,-1734.551382004478,1427.1559368413446
1767.93317,175.80305725014216,1464.9930146683203
1767.954,-2417.8516211783467,1437.5120833930675
1767.97484,-3266.4828712490257,1540.9364438206856
1767.99567,-2306.9990147050976,1530.2978966875007
1768.0165,-2312.802082990507,1537.9773524676943
1768.03734,-636.5793798450416,1531.0812581733044
1768.05817,3622.263173763896,1539.4517370688036
1768.079,7434.969356097555,1550.0660495871314
1768.09984,-27.181701100139943,1498.4352124093016
1768.12067,2875.8769783950715,1505.5875653163491
1768.1415,3587.4747207281343,1543.3663005520016
1768.16234,-177.54783732257573,1512.646906669153
1768.18317,861.0698905407631,1506.2720809887765
1768.204,5568.332479086114,1529.902401236705
1768.22484,2223.1649744708648,1492.4240181490754
1768.24567,1904.4446713454638,1490.894769072664
1768.2665,-2066.4576717553546,1519.078616376069
1768.28734,3437.508792242716,1516.4435507995036
1768.30817,5784.160910127011,1482.8073639423728
1768.329,2072.922591860409,1464.9084179109018
1768.34984,352.45152108801415,1517.7715179358497
1768.37067,-2057.123866919278,1500.9580806948613
1768.39151,-1263.363150804226,1514.0947005122937
1768.41234,-1673.449410506381,1509.956191236248
1768.43317,542.2018235831067,1500.0206723285066
1768.45401,2553.772019591893,1508.8339939316065
1768.47484,2473.2883026643894,1515.4544194819948
1768.49567,130.66877981343026,1487.7707477018944
1768.51651,6531.9025609684795,1498.8341859761185
1768.53734,-73.33944222540805,1494.2492436791604
1768.55817,4445.383340397513,1523.2069156986336
1768.57901,-811.2283757598964,1527.513159924733
1768.62067,5440.396376492425,1481.2520850944484
1768.64151,2738.4880296395477,1456.963615537479
1768.66234,-115.78143346714103,1477.273793549959
1768.68317,-737.6667828982967,1486.030118929228
1768.70401,3169.5186064429486,1496.6516120741799
1768.72484,2118.8824169643426,1509.0898037551
1768.74567,-1250.383719391493,1515.9236285529817
1768.76651,-1412.8133083428893,1511.5743005671359
1768.78734,1154.4931826603429,1492.9400134904117
1768.80818,-1692.1880410637402,1503.8283117933756
1768.82901,-5113.068185003755,1506.416142310428
1768.84984,1801.7819061291939,1482.2454799090149
1768.87068,566.0419527652163,1535.7974713007395
1768.89151,-833.3661354455726,1529.677557865529
1768.91234,3655.829573906021,1509.9250003893483
1768.93318,3919.76461301696,1507.3625264600632
1768.95401,981.9418272981354,1503.6188394510675
1768.97484,-131.56029948776364,1525.7132909824154
1768.99568,1818.2385559847835,1480.2400655295746
1769.01651,4891.990603703143,1489.232902798284
1769.03734,3801.46266740737,1499.6806023394674
1769.05818,-3514.0945508860905,1476.8266873453003
1769.07901,-1338.2832284653264,1488.7531471819425
1769.09984,4779.773565973971,1491.2588492819784
1769.12068,4284.604173596815,1474.8103898286322
1769.14151,-2601.3342464059733,1481.9203321596797
1769.16234,2931.392983365855,1470.6314895278244
1769.18318,-2086.674389424427,1479.8590435293183
1769.20401,-803.7240599509631,1480.6162630463175
1769.22484,-1674.6518288740917,1479.7818517931062
1769.24568,1355.9216523870814,1482.3270473395764
1769.26651,4476.974619428769,1486.9413853267783
1769.28734,-451.00427514015365,1482.2878904850152
1769.30818,2014.5392729206767,1457.8791454320874
1769.32901,212.95146810492312,1511.2566700362981
1769.34984,-3110.4783723643764,1501.934645915777
1769.37068,556.9484745264745,1500.1735972361475
1769.39151,2345.0866290828894,1497.8006245313716
1769.41235,-1639.2135291288234,1464.7291266398743
1769.43318,2307.1922184402097,1483.5486514440493
1769.45401,3765.9157606844083,1518.2646250298212
1769.47485,677.2128629530495,1472.182504878691
1769.49568,4897.959275190079,1470.0278681022123
1769.51651,274.9958968474706,1493.8170597142055
1769.53735,370.4349516796128,1506.7409534678902
