relative_time,cts,e_cts
1764.7024,-52.480209245310625,1655.970915625233
1764.72323,600.7075870932727,1560.2983867523105
1764.74406,-1215.5653078785674,1638.0642668564358
1764.7649,-182.352479787065,1632.9433651231122
1764.78573,-2443.248272155792,1644.5561841611868
1764.80657,-4062.408953437131,1645.7665460308428
1764.8274,-878.4819967750924,1626.0309666490812
1764.84823,-4495.298281562169,1636.4487613068272
1764.86907,-4139.041159118238,1631.838156040457
1764.8899,178.52954558277762,1625.6116552883086
1764.91073,-1892.3673786754168,1630.8458984681895
1764.93157,-3392.481457305886,1635.4267386069662
1764.9524,1373.771250336206,1633.0700943781503
1764.97323,-5177.1327385818995,1674.181584627398
1764.99407,-2526.699681566457,1669.5507026802218
1765.0149,-105.75224887184397,1624.23349088711
1765.03573,1815.6953995050362,1622.3088959339316
1765.05657,-6894.386152560581,1664.2577091174926
1765.0774,-2907.539679913313,1663.055795864839
1765.09823,-3398.80414231314,1659.3684294687614
1765.11907,-9144.119372188106,1677.281187237545
1765.1399,-8193.428605636991,1655.0978485420628
1765.16073,1122.5663113614178,1639.8763002353958
1765.18157,-915.1116906725779,1637.9832901119348
1765.2024,-1824.9472850164318,1635.0764459481688
1765.22323,5223.492769670571,1637.8483721973403
1765.24407,1507.0345357853334,1639.5049510234535
1765.2649,1110.224961580278,1633.6360217385973
1765.28573,-3843.615508858545,1666.4783956019292
1765.30657,-847.2173046529425,1662.91775846089
1765.3274,1807.9854515859645,1624.3173271635198
1765.34823,-3194.0469700651265,1632.5045569538727
1765.36907,5485.336467132403,1641.661428018671
1765.3899,-4777.811975446243,1628.467027877721
1765.41073,2539.602929367627,1659.111981448054
1765.43157,-2749.3555738811574,1678.5981316601562
1765.4524,-1606.8617045639353,1642.80017161189
1765.47323,-3413.369817982964,1653.7066862685522
1765.49407,-3569.875768720969,1669.5865768078017
1765.5149,-7092.875620801218,1659.2955114050933
1765.53573,-2934.026354173719,1644.0152127155782
1765.55657,-4916.362145458113,1663.7150479484833
1765.5774,-10712.113669157394,1654.2432384375752
