relative_time,cts,e_cts
1764.70315,-43486.686788584135,1164.829446681311
1764.72399,-41298.891940307054,1165.0632852179322
1764.74482,-42163.15445846718,1165.8625995377972
1764.76565,-41655.947318031154,1164.241369005613
1764.78649,-48489.534809200275,1162.334776191451
1764.80732,-42195.63787687843,1165.8225374156277
1764.82816,-45136.518248222135,1165.5845212780316
1764.84899,-43551.231580590196,1165.7487331317377
1764.86982,-44584.11621367,1165.4351988226722
1764.89066,-43111.24311102013,1165.9154086988387
1764.91149,-44726.349708646885,1164.9485618680828
1764.93233,-46639.002186582125,1164.1723850305405
1764.95316,-45226.229336972916,1164.745573307892
1764.97399,-42368.93676253052,1164.9681644572727
1764.99483,-45183.51690189765,1164.7706389137413
1765.01566,-46161.548455879245,1164.7750307506637
1765.0365,-41712.04028767512,1166.2319423111683
1765.05733,-45451.92744318133,1165.47001216413
1765.07816,-46217.26126383448,1165.5540997734965
1765.099,-44754.3642723127,1162.7746025915267
1765.11983,-51067.70440227959,1161.5445668993518
1765.14066,-45594.665463814425,1164.585110583266
1765.1615,-45463.97842946029,1165.0368270784245
1765.18233,-38862.57610898781,1167.5431734274196
1765.20317,-42992.244468603894,1165.361180302835
1765.224,-42825.3984768064,1163.5367469745127
1765.24483,-42844.45476433039,1163.074640035904
1765.26567,-45144.281623367155,1163.9162659553865
1765.2865,-44583.18910760749,1165.1627978155138
1765.30734,-46714.33772190636,1164.0574474447435
1765.32817,-45356.04914421186,1164.9186759534161
1765.349,-43561.68008198235,1166.0722294123584
1765.36984,-48999.04777113849,1166.194772374289
1765.39067,-47549.35082039968,1164.9207111949167
1765.4115,-43239.90154518805,1169.491006661462
1765.43234,-45168.191533398174,1167.0537514055136
1765.45317,-48005.094737133695,1166.999763946761
1765.47401,-46060.008222173085,1165.7781905745094
1765.49484,-46491.36287594371,1166.9705207399365
1765.51567,-40512.833255453355,1170.7258626624546
1765.53651,-44376.171304835305,1169.4045624566738
1765.55734,-42183.59192514425,1173.5845200269998
1765.57817,-44593.1369395905,1170.6515227886962
1765.59901,-45627.99650675169,1170.5992492175228
1765.61984,-40103.442499485245,1171.4408751370054
1765.64068,-47662.82763838885,1168.2458673349934
1765.66151,-42311.5435949216,1173.1275547511295
1765.68234,-41357.070818253174,1169.5866630119901
1765.70318,-47953.00058856651,1167.9418665255887
1765.72401,-43159.14080584904,1171.1942895615125
1765.74485,-42135.848051725596,1170.5778256227798
1765.76568,-45904.81013171944,1169.6157991008408
1765.78651,-46093.235146439896,1167.2295320003807
1765.80735,-46980.56005722299,1169.072389620182
1765.82818,-43771.831835311525,1171.017866258803
1765.84901,-44954.5973297477,1173.6581100749424
1765.86985,-43955.259475204235,1171.97753618532
1765.89068,-46572.667988825146,1173.2744134930938
1765.91151,-44323.32251014329,1172.6189586119285
1765.93235,-46988.76325876809,1171.0592137966573
1765.95318,-44475.53822197276,1169.7284872091896
1765.97402,-47806.56389141899,1170.5944289087056
1765.99485,-48981.32906575228,1168.1152905250342
1766.01568,-41998.172319412326,1171.4468737435334
1766.03652,-39810.859394898995,1171.4993615506542
1766.05735,-47990.97080382741,1170.3195641881516
1766.07819,-43655.54713387735,1172.272431966959
1766.09902,-43779.372405071226,1169.8770598387327
1766.11985,-43074.61819039111,1166.6939421318032
1766.14069,-41876.044118276026,1166.3280271335911
1766.16152,-47902.343534734675,1165.4979699552696
1766.18235,-41323.710639227065,1171.408739744891
1766.20319,-41076.6734543568,1170.410935819731
1766.22402,-44119.75851219762,1170.0521977257579
1766.24485,-46794.85808851235,1170.226050197098
1766.26569,-43374.94131840412,1169.2835191463755
1766.28652,-46562.47185737906,1167.1997532036878
1766.30736,-40710.499016412316,1168.9642004667296
1766.32819,-45114.38092642017,1167.660467608638
1766.34902,-42736.37465697497,1167.0271861480321
1766.36986,-40165.061899629145,1169.3865666370898
1766.39069,-45683.49700688303,1167.5509930395008
1766.41152,-45158.574481717995,1167.2919817790569
1766.43236,-43592.14689742043,1169.317582662017
1766.45319,-45542.78801490807,1167.3550742655752
1766.47403,-45599.61838468309,1167.7668357565376
1766.49486,-46167.011686774684,1168.279823732661
1766.51569,-45136.91661996638,1167.5589197695558
