relative_time,cts,e_cts
1764.70215,-102423.22676340632,1829.9657277648107
1764.72298,-116635.87317711058,1824.1823865668307
1764.74381,-116699.60440575189,1818.9144762409364
1764.76465,-109251.91755127707,1862.498897158147
1764.78548,-119160.24459076171,1861.5833847360134
1764.80631,-104389.3762019297,1860.6058283603595
1764.82715,-90960.32511372812,1864.813020109989
1764.84798,-93635.28739758897,1888.5522601287746
1764.86881,-91166.37453980003,1882.1288175793347
1764.88965,-90784.54585481998,1878.2959285539941
1764.91048,-95992.01532061271,1879.8369780192495
1764.93131,-99664.55509787063,1869.4288863515862
1764.95215,-104804.31596805798,1870.430910765248
1764.97298,-96015.5659528385,1907.2985639630892
1764.99381,-105033.47210623755,1849.3299952019113
1765.01465,-86915.5577348328,1900.7350127674363
1765.03548,-93402.54494412422,1858.4858476386642
1765.05631,-86013.26897645478,1900.6568024316607
1765.07715,-88950.6703384818,1894.0872798695896
1765.09798,-101345.45381900713,1902.4857882727606
1765.11881,-90192.45326986421,1858.6323645805455
1765.13965,-83309.2730352081,1896.4449501033628
1765.16048,-77086.58330982675,1917.8565223635517
1765.18131,-82654.39794065616,1889.5085526142545
1765.20215,-85385.50024436633,1888.5969725553723
1765.22298,-86112.98511556558,1914.1829668714302
1765.24381,-99941.20996047634,1908.3209784084245
1765.26465,-91966.90349532122,1918.582407491123
1765.28548,-103610.95266231793,1897.7089864240277
1765.30631,-91586.60056728267,1897.4421682952732
1765.32715,-83701.55539814092,1911.6091623019192
1765.34798,-106814.91451048461,1850.115157064419
1765.36881,-84259.01464044098,1894.3121527903302
1765.38965,-92420.79841696142,1879.468355375212
1765.41048,-107894.80117295291,1888.8629168256264
1765.43131,-90532.32553231307,1861.8494746493504
1765.45215,-86016.0548373537,1866.7314308042849
1765.47298,-68551.21206219938,1898.7889298872983
1765.49381,-62619.95269023278,1888.380838219635
1765.51465,-64119.19705612063,1872.8761124921334
1765.53548,-63498.95996480305,1870.1684619289954
1765.55631,-59561.789763546425,1893.8328414029227
1765.57715,-62835.6894203527,1877.3496854412672
1765.59798,-72313.26655443574,1844.7582588145788
1765.61881,-79920.01808499757,1792.7980498152046
1765.63965,-58168.510935834165,1876.3080461089255
1765.66048,-64570.18712646278,1868.63731619341
1765.68131,-59776.809492766864,1853.031514166042
1765.70215,-70694.16142635925,1815.1565934035373
1765.72298,-76955.67144175731,1808.0883889239694
1765.74381,-74952.03667771946,1764.1647652655645
1765.76465,-66046.32201302439,1809.4551036184178
1765.78548,-66067.69586372598,1830.4620793929735
1765.80631,-65764.65717399343,1818.9205932504385
1765.82715,-74014.81498886326,1760.605393950814
1765.84798,-68211.2328977273,1807.0218446243696
1765.86881,-76869.76503416964,1629.7679494969886
1765.88965,-86684.21986326417,1709.4239385182786
1765.91048,-77954.27062138432,1779.5171483278493
1765.93131,-68283.18611535472,1753.8677992705207
1765.95215,-66026.94653106987,1769.3803897245248
1765.97298,-78762.18499202069,1811.4919221395023
1765.99381,-68084.83363495333,1782.174260741054
1766.01465,-70225.13637300201,1835.0577012459808
1766.03548,-80073.29607009568,1770.7399679078876
1766.05631,-59797.57542923842,1849.5483141838997
1766.07715,-81932.40206598338,1789.4848153113683
1766.09798,-60294.79144910107,1828.781795140006
1766.11881,-69936.44017719159,1735.2643713010032
1766.13965,-59716.94028176756,1817.0463124104072
1766.16048,-56962.27773338808,1776.0903122189752
1766.18131,-84126.47127855151,1738.7563098681485
1766.20215,-74661.48149359276,1816.9548485540436
1766.22298,-72896.45146276883,1818.5704672779902
1766.24381,-99621.10627066405,1669.5472992177843
1766.26465,-78637.40426083237,1817.7752560427293
1766.28548,-70814.00252673162,1831.7705368540694
1766.30631,-82046.28330574073,1740.40790243369
1766.32715,-75786.91438931142,1835.3334036028211
1766.34798,-76417.67128054162,1822.4205421871698
1766.36881,-79709.30487610964,1822.8794635429033
1766.38965,-74488.9248791906,1842.1222646484644
1766.41048,-77287.0262054039,1627.8585686738622
1766.43131,-95995.88636812588,1539.8445600265811
1766.45215,-112188.0312828039,727.330489530864
1766.47298,-97083.57294592468,1727.3757593327493
1766.49381,-99789.49166715817,1617.3496919924992
1766.51465,-100982.5403838381,1744.8184119277198
1766.53548,-100383.33051268366,1785.3868558742743
1766.55631,-111036.95632018206,1700.2919715472005
