relative_time,cts,e_cts
1764.69761,1743.8240562178976,966.7579957625009
1764.71844,-554.1309751145357,966.1018016717265
1764.73927,-1888.2953253498579,966.380237416387
1764.76011,1912.476326940331,966.5770125284715
1764.78094,517.4962075865851,966.944381481128
1764.80177,-392.1534741127926,965.5004635784078
1764.82261,-432.6120579027673,966.2233575751791
1764.84344,-3971.9583116526396,965.7103293262488
1764.86427,-21.389475462383793,966.2010203792455
1764.8851,124.01496898992701,967.4179300349198
1764.90594,567.596460186902,966.4769626694762
1764.92677,-2530.9682439027847,966.1485539422853
1764.9476,-1522.9396293576733,965.4852950639599
1764.96844,-2246.062088891029,965.3497134793399
1764.98927,708.6147105093354,965.9671551325177
1765.0101,-3702.1743343939784,965.3668559785447
1765.03094,-1298.3611497597083,964.4027202656908
1765.05177,-1590.0401503663936,967.2132589838076
1765.0726,1448.3373429090473,967.967840630624
1765.09344,-3022.694599957445,965.2941302243424
1765.11427,-3103.227879449141,964.7750761272068
1765.1351,-1447.5726835505766,965.1258220503312
1765.15593,-2136.550713167739,964.8228673371112
1765.17677,2968.347890569254,966.4660538063458
1765.1976,1132.1856065436025,965.0396939785687
1765.21843,-3116.4713431833206,965.0006298591686
1765.23927,-112.55276676403133,965.009356949673
1765.2601,-2699.6798380618607,964.5151335029008
1765.28093,1376.9815341280134,966.8540976519824
1765.30177,-1513.787612660982,963.9659501647385
1765.3226,-1510.9358280508393,966.4941051686809
1765.34343,1395.0291572908652,966.177436456097
1765.36427,-3948.9433116898986,964.4980948976305
1765.3851,-2700.9375780338232,966.1042951261564
1765.40593,266.0496136743053,965.7837823379933
1765.42676,165.14075962774092,966.5623634836966
1765.4476,-3944.02112875155,965.3710117359277
1765.46843,-2415.745818595921,965.9181171953984
1765.48926,-4713.872274920402,965.7795226866756
1765.5101,1101.1306705598593,967.0138865233586
1765.53093,-328.01330687584556,967.6393280094986
1765.55176,-1502.9200993165925,967.5311744236062
1765.5726,-4621.131873691909,966.2532790283366
1765.59343,-3229.4914248650693,965.4982818057819
1765.61426,2721.013210799574,967.7322091870084
1765.6351,-989.9347585813744,966.744489551006
1765.65593,288.78482727123605,966.9402257237449
1765.67676,-2452.110358000042,965.4973467603706
1765.69759,-4068.6652794092615,965.8577548194105
1765.71843,-2586.10194984538,966.1818000013492
1765.73926,1084.0266121108154,967.5713813762867
1765.76009,-1530.6381699096635,966.7960209425553
