relative_time,cts,e_cts
1764.70172,-179653.57696446351,3172.4293619129853
1764.72255,-172496.57378727765,3170.121650464247
1764.74339,-184541.6956721708,3169.5489764480512
1764.76422,-184609.27900479958,3170.536045960956
1764.78506,-182322.51172127278,3172.519401653074
1764.80589,-186460.67188666397,3169.048795057242
1764.82672,-188104.74472210172,3170.226401421713
1764.84756,-193345.755048781,3170.782591784704
1764.86839,-188150.9741023556,3174.0289852482283
1764.88922,-195162.59695282203,3172.1842340379008
1764.91006,-189490.5800380925,3174.4151990152636
1764.93089,-184205.43942691106,3172.7235862605203
1764.95172,-183178.8725995161,3177.7087392718267
1764.97256,-177018.0825771874,3157.8487730567986
1764.99339,-186560.55644431897,3177.0485069257015
1765.01422,-187764.55880936654,3169.1595722965244
1765.03506,-188042.2399498524,3163.465090466643
1765.05589,-192508.36295601813,3160.2793143084536
1765.07672,-186687.48482784553,3159.9411335523714
1765.09756,-184748.33545772644,3160.548015580058
1765.11839,-191148.4036079315,3155.9527984510264
1765.13922,-182715.3536893325,3165.966883638604
1765.16006,-183201.34513614236,3167.025027828233
1765.18089,-185098.04892201428,3169.6494735595284
1765.20172,-180190.56741634183,3169.418347927489
1765.22256,-190948.02902854257,3167.048955711918
1765.24339,-186183.59798269294,3170.3428504556473
1765.26422,-189176.46204806177,3168.361267199357
1765.28506,-188736.93465200948,3164.5212849768604
1765.30589,-183325.2063194677,3164.7105811233464
1765.32672,-181625.52720926882,3162.2211950021847
1765.34756,-181952.58593052722,3167.745522992528
1765.36839,-193650.3215593754,3167.360018199824
1765.38922,-177883.57947590886,3169.4163982480777
1765.41006,-190873.5821154114,3164.7405352888486
1765.43089,-170405.94549324035,3167.047715006838
1765.45172,-176720.9883015589,3160.439719750935
1765.47256,-186517.00415114046,3172.5142615891714
1765.49339,-184634.75156630925,3162.5861395392776
1765.51422,-185161.46401730514,3172.969245866354
1765.53506,-183022.96276327013,3159.6385787564423
1765.55589,-179624.32893739553,3159.0510162792866
1765.57672,-173494.73130423872,3151.535711122762
1765.59756,-174488.5422768175,3156.452270867505
