relative_time,cts,e_cts
1764.69928,-5288.167377224726,1114.955234115503
1764.72011,-3496.303408877726,1117.8474865774303
1764.74094,-1383.3928711842366,1121.2295828820365
1764.76178,-3601.500400107615,1121.8435550812183
1764.78261,-5996.937575620767,1117.1495270325547
1764.80344,-5941.684894615697,1123.3811410614267
1764.82428,-3967.4884746240305,1121.290350196862
1764.84511,-3749.8993703651495,1122.3490847958133
1764.86594,-1465.2727520550939,1120.2806493864996
1764.88678,-3428.0828346759336,1121.5484877740678
1764.90761,-6470.766143072783,1115.3439226109415
1764.92845,-6731.456812076885,1114.057928135407
1764.94928,-1661.979143872036,1105.9380809580555
1764.97011,442.32726078753484,1110.919148111708
1764.99095,-1942.2163854567307,1111.5439892615088
1765.01178,-3969.1454955502477,1118.5028348954468
1765.03262,1432.342795938201,1110.0157901022899
1765.05345,-573.4923982411186,1117.932462009544
1765.07428,-3974.061719532592,1117.630231075849
1765.09512,-3170.439053658477,1116.0328658672354
1765.11595,-2664.042169719262,1103.6678288974717
1765.13678,-4278.006118590584,1107.842370510859
1765.15762,-2808.0499604158413,1105.4382327403753
1765.17845,-3234.593775753074,1110.7017690993239
1765.19928,-610.1483047367518,1109.5516365065293
1765.22012,-5814.111327787744,1103.6327518295643
1765.24095,-5744.029445792416,1113.2701762371207
1765.26179,-108.88452974905482,1107.2101187129085
1765.28262,-3771.551555106606,1115.4833663069535
1765.30345,-4261.4084899302625,1113.205333065813
1765.32429,-3923.7913407891983,1108.844907694677
1765.34512,-4762.286293660177,1112.4671089993253
1765.36595,-472.6076631693942,1110.4887129650274
1765.38679,-3422.788544127165,1113.0174731352245
1765.40762,-4076.08658282211,1110.4963706347817
1765.42846,-5251.81876560569,1106.2221558037845
1765.44929,-2262.8741427969785,1099.109415709943
1765.47012,-2855.982279668084,1101.5175058261066
1765.49096,-2382.0587324089524,1102.2546182953718
1765.51179,-3823.52872962962,1096.8408928005942
1765.53262,-2464.487618796881,1100.065636342827
1765.55346,40.16497190519981,1090.9052106544902
1765.57429,-661.6377351007299,1096.6671131014896
1765.59512,-2165.399170449618,1085.8612765023702
1765.61596,-7696.058270463832,1095.8726916198686
1765.63679,-5432.083275884252,1104.438412794212
1765.65763,-1284.933888273432,1099.1599316281618
1765.67846,-7172.694337054046,1101.6958554249034
1765.69929,-578.9213155646027,1101.4926801548058
1765.72013,-4972.205500595179,1103.5434535193635
1765.74096,-1515.2241023956535,1102.1502516672672
1765.76179,-4879.265968426084,1107.2134535045757
1765.78263,-2466.704761212394,1104.6515924393111
1765.80346,-1475.4196585229245,1106.4450928022804
1765.8243,-2921.913828167314,1100.0882388196828
1765.84513,-1598.9603506279475,1103.4311821998995
1765.86596,-6494.030514319152,1093.6096031858294
