relative_time,cts,e_cts
1764.70274,-6857.44950060696,1258.9267754530242
1764.72357,-2137.6666193602,1296.4174202497309
1764.74441,-3632.7612207277148,1257.4078630839147
1764.76524,-7356.071388806036,1254.852535993331
1764.78608,-6834.9428291433405,1238.2737879768313
1764.80691,-3150.0271003734206,1293.790118371931
1764.82774,-10125.456272675585,1275.4261068447404
1764.84858,-7901.924065382949,1243.6777838447858
1764.86941,-3210.548233140711,1286.5875303289863
1764.89025,-4117.553731138632,1287.6132821190213
1764.91108,-4458.525955160658,1302.9757895182083
1764.93191,-8924.201739068076,1291.9589820416102
1764.95275,-4877.176523997063,1300.2331946942195
1764.97358,-1966.9829654370512,1300.2570752177558
1764.99442,-6889.48438988935,1301.9283786486874
1765.01525,-6289.224883148053,1255.8975032743974
1765.03608,-6140.644930737875,1292.559105151687
1765.05692,-5054.449758477589,1243.626135270626
1765.07775,4442.989952981175,1287.510318187309
1765.09859,-1775.2864501016281,1280.2668555738464
1765.11942,-4022.990856534286,1276.346673259013
1765.14025,2107.280596923838,1276.4404181979182
1765.16109,-3474.040820518618,1276.3620012229574
1765.18192,-5129.6000999632,1283.7920651366103
1765.20276,-2437.404954289258,1232.0979513737439
1765.22359,-2567.3013404456697,1231.5064918954617
1765.24443,-1913.8830108072145,1238.9190064011207
1765.26526,-2199.9680173890683,1255.3138188502899
1765.28609,-1777.932301037245,1267.4113588571577
1765.30693,-155.60815709520642,1261.8479743786238
1765.32776,-4769.702061213768,1254.4877748803399
1765.3486,-2413.0935816795113,1264.7705061706536
1765.36943,-1739.3898024829168,1243.5638237650269
1765.39026,-8856.440809070005,1276.3292349232215
1765.4111,-2532.8792873872726,1237.47306846905
1765.43193,1025.646826803385,1234.5625324748896
1765.45277,-4414.581460038021,1286.3742717001974
1765.4736,-1776.3771791301224,1282.9713526323799
1765.49443,-1004.0626099814801,1286.7772416508467
1765.51527,-4438.321255093732,1232.5022541908231
1765.5361,-4780.377432739898,1253.4227035306221
1765.55694,-2200.8051685792675,1260.6937120503032
1765.57777,-4675.996886157082,1273.5835300775627
1765.5986,-5189.6096341658,1260.6280683786292
1765.61944,-3723.6508265233724,1282.2197270381012
1765.64027,-3186.7922215434346,1277.192265936602
1765.66111,-5240.434941160756,1298.5536719203035
1765.68194,-510.66766855958207,1288.294154720311
1765.70277,-2368.5013134719275,1280.0860300281859
1765.72361,-2380.0528225313333,1304.0350851133965
1765.74444,109.03647116697186,1251.7571758542203
1765.76528,-3811.867035477195,1242.4415502310244
1765.78611,-8453.415211247282,1291.6360951489592
1765.80695,-2166.659685305081,1292.9399717340395
1765.82778,-1568.6256212129604,1300.9319499201113
1765.84861,-5663.395333598345,1324.5336822281222
1765.86945,-2279.796942188142,1324.275439357323
1765.89028,-3336.277190259536,1323.048980097381
1765.91111,-2741.069469432085,1334.5013016799596
1765.93195,-7106.426283985295,1330.3594192489475
1765.95278,-4482.195330439988,1306.7655730673134
1765.97362,-2775.412661226711,1323.6227790954665
1765.99445,-5348.8701784956265,1306.0512677330728
1766.01529,-2071.270766730785,1300.3062802034608
1766.03612,-5629.6308279787145,1295.9303686417932
1766.05695,-2872.2304126138943,1294.797098959744
1766.07779,-31.577493952518388,1287.665374981991
1766.09862,-738.5991574425137,1276.4153158801546
1766.11945,-1426.9461404549422,1275.9370389762141
1766.14029,-7872.436505992563,1268.4889813657571
1766.16112,-4272.319960938933,1260.299072514841
1766.18196,-2988.899321247463,1263.3979869644315
1766.20279,-6200.55483317484,1258.3915185092042
1766.22363,-3065.860250705932,1258.18114775768
1766.24446,-1901.9902879417464,1240.097482469585
1766.26529,-2008.7748812753493,1239.5981018471707
1766.28613,-4024.7256932650444,1243.486295367686
1766.30696,-3059.8303629769225,1239.3911743339238
1766.3278,1337.102390517971,1243.7947428740122
1766.34863,-4037.2665224320676,1261.3916897707772
1766.36946,-3799.6995199827556,1266.140026427408
1766.3903,-331.9170627136784,1270.8936945497585
1766.41113,-5217.239177752862,1275.4287725776003
1766.43196,-5557.290391071804,1280.741356022902
1766.4528,-1115.7130543619526,1277.728633602447
1766.47363,-4094.129381138005,1279.1453595452617
1766.49447,-790.2015255661198,1286.216215956048
1766.5153,-4570.348783599401,1291.5233568634276
1766.53614,-1560.3785101777594,1303.1185172984135
1766.55697,-70.25672238811644,1304.0669628355124
1766.5778,-5181.979418143253,1292.54277753792
1766.59864,-1767.637796093467,1288.4901971577135
1766.61947,-4991.333090482413,1280.4642308776788
1766.6403,-1686.463342633377,1283.6197921505413
1766.66114,-2208.6079908044912,1280.4392396321175
1766.68197,1531.7666440318387,1283.4363008720209
1766.70281,-947.9171666314528,1281.501312032368
1766.72364,-3000.0878463491176,1247.3259503357108
1766.74447,-5677.157845920601,1274.4781055964518
1766.76531,-3533.4874407989782,1250.5670372044942
1766.78614,-3001.5284528154684,1247.042605147148
1766.80698,-4938.3992998675085,1256.048006108777
1766.82781,-3712.2314933849348,1255.6073826814825
1766.84864,-2782.5093974606784,1265.5765571441545
1766.86948,-3443.04445632955,1279.4592495895106
1766.89031,-2646.202368065107,1266.8454459854495
1766.91115,-4205.402846463212,1296.3678820474183
1766.93198,-562.0461151229595,1299.64229057695
1766.95281,-2823.2860022959762,1294.9531554042485
1766.97365,-4059.843280455461,1285.8538984315117
1766.99448,-4789.712051709721,1283.0548789286556
1767.01532,-690.7963472218324,1285.709060279459
1767.03615,-6249.588656615764,1276.3658887500446
1767.05698,-3621.4054208891034,1292.368838468814
1767.07782,-3703.8438760135787,1316.1587270878504
1767.09865,-3763.5084199552325,1304.7954854116724
1767.11949,-1153.5284742787526,1297.6906409069227
1767.14032,741.9487618531341,1302.0697735624626
1767.16115,-897.6306708907968,1272.9005471044254
1767.18199,-4971.07863006877,1293.7787890072766
1767.20282,43.44111590093325,1275.0834491000458
1767.22366,-4656.464172915248,1277.272904355613
1767.24449,-131.89890689518094,1295.064449751148
1767.26532,-7523.849060695328,1290.9020189626747
1767.28616,-844.8744847276803,1301.936153702862
1767.30699,-1488.1919082713046,1306.1690042677167
1767.32783,-1697.3423095066798,1305.2290002180077
1767.34866,-2154.3404451820347,1291.9065559620328
1767.36949,-2685.2667948989547,1283.84549086601
1767.39033,-5538.2630563513185,1288.930265223996
1767.41116,-2561.810152898757,1304.2534530635003
1767.432,-1692.3255113366201,1314.2546163204909
1767.45283,-1869.2841893396837,1294.9769248555824
1767.47366,-3928.629577977467,1313.6691547411435
