relative_time,cts,e_cts
1790.68247,-155.7539637778557,1648.7045129611338
1790.70331,-1943.3081956018134,1640.1121336107688
1790.72414,2897.18874521278,1633.5015078439765
1790.74497,7153.12337641687,1632.5040523986795
1790.76581,-4181.658080595051,1635.2707709191523
1790.78664,1696.9418319632123,1645.2330890765916
1790.80748,4517.672413489723,1637.1738438067364
1790.82831,-936.3460696896067,1634.234501418142
1790.84914,6802.260364683128,1640.5440880002836
1790.86998,3763.4895226583776,1646.2121242920584
1790.89081,-2830.360414535518,1653.1161580054295
1790.91164,630.2344800356769,1652.8110400556018
1790.93248,3599.4082992666395,1656.3856172271921
1790.95331,-3806.1477487641455,1653.4806154099238
1790.97415,-6458.456379739469,1679.2384122196966
1790.99498,1107.7889379329222,1683.3277032419664
1791.01581,2506.760658680944,1694.3053707822517
1791.03665,2045.781776169335,1664.3461826943862
1791.05748,163.57887740965867,1692.1788868214433
1791.07832,38.94668136808478,1702.5630282419907
1791.09915,-8713.41749642037,1684.3452893670062
1791.39082,-1873.8441931820123,1682.087758628264
1791.41166,-2890.0266967087177,1588.6690367529113
1791.43249,-5777.50508619352,1643.7709175472964
1791.45332,47.07013429620472,1629.7722007418135
1791.61999,11040.693803952621,1593.2642262301565
1791.66166,11795.366409751308,1569.4077918580551
1791.97417,8672.45603662809,1594.507328597544
1791.995,4122.938729808185,1597.691660042878
1792.01584,1318.2279590187231,1651.816084498639
1792.03667,5236.475568886502,1647.3500997763445
1792.0575,2294.9515672149987,1645.9035854424053
1792.07834,-2525.296672812777,1656.2849638284779
1792.09917,3054.974197194749,1636.4426922555538
1792.12001,9397.657458856334,1630.4174350781464
1792.14084,2530.6443286785798,1637.6842157460987
1792.16167,3715.0495811281685,1625.3768707582246
1792.18251,1049.2228697728567,1649.5467121835773
1792.20334,-2096.1330796905513,1640.0770036010217
1792.22417,2547.6576476688197,1640.7856561571973
1792.24501,4914.818489413647,1627.1054777547042
1792.26584,1547.176942768455,1626.9127232068397
1792.28667,3552.6976225982608,1630.5778226507377
1792.30751,6428.388643868677,1640.8532847152878
1792.32834,-1749.5980325284484,1635.605887528989
1792.34918,-4389.005266103877,1624.3957303736343
1792.37001,5666.635170150253,1635.358398583915
1792.39084,5671.519294089689,1643.5171130948527
1792.41168,-4353.6378985379115,1630.4587490221934
1792.43251,3826.942477792354,1644.5115423595348
1792.45335,-107.16626568979574,1634.5608026322743
1792.47418,961.1139107190847,1626.0303941979805
1792.49501,-441.6343518633068,1624.6042736899244
1792.51585,174.81521760598596,1622.7905389170162
1792.53668,-890.1774740705124,1637.6192186494127
1792.55751,-5570.3474974788705,1633.5878197780373
1792.57835,9081.61065509743,1622.610810103103
1792.59918,609.1910779047638,1636.680181647291
1792.62002,-4190.286116247443,1631.195426642325
1792.64085,50.03776489489519,1632.6636505328497
1792.66168,4621.483171169836,1630.494668470362
1792.68252,-1159.362423703362,1633.6624217088488
1792.70335,268.0930247231387,1592.482155900801
1792.72418,-1029.08469036502,1635.2645869848523
1792.74502,3156.1992808990044,1628.7417204558928
1792.76585,2721.092532195184,1628.8589520614541
1792.78668,-565.2975122427501,1636.4234825873025
1792.80752,-9.93587197032612,1640.189367002985
1792.82835,-731.999539620093,1651.5321498131157
1792.84919,2239.2398452401685,1650.2744428349342
1792.87002,5225.766573555595,1542.5724116032247
1792.89085,3376.1086684327124,1628.8096121601236
1792.91169,-1991.2626325029303,1637.9684135777622
1792.93252,3882.8176135203903,1631.4498889601202
1792.95335,2998.193838743636,1639.6561013494052
1792.97419,-5558.375926966184,1636.515189017242
1792.99502,4671.644220031522,1635.0209136588146
1793.01586,948.2150132075258,1633.7767587068654
1793.03669,-1642.98805777952,1631.9167102132417
1793.05752,-3927.7585008213114,1638.5208888995935
1793.07836,636.0004066916916,1635.948766949968
1793.09919,1942.6928283524194,1651.732272452912
1793.12002,-1169.6539376824783,1631.9635502262379
1793.14086,2232.739609279286,1652.417110283379
1793.16169,-2312.187770986182,1644.6952183655542
1793.18252,-2525.86848937593,1650.9327029052179
1793.20336,7213.006491009784,1633.1869166330932
1793.22419,10.127310787488367,1661.9352377557739
1793.24503,994.7529344347124,1624.371652501785
1793.26586,-2188.628421759138,1643.8127577836249
1793.28669,2375.1475902529937,1646.7727571442429
1793.30753,-4466.855736019157,1651.8984492405932
1793.32836,2725.3560259624182,1665.394425344786
1793.34919,6523.415846527402,1637.6644797855665
1793.37003,1260.7439477881026,1642.8381960525453
1793.39086,-160.0849545301099,1638.3443178393654
1793.4117,4242.1912977278935,1649.5050035203192
1793.43253,599.332702472794,1653.6513972550624
1793.45336,-2536.6848483321323,1650.9632278575077
1793.4742,8188.031227723448,1624.1657406468992
1793.49503,3324.9352963687943,1648.7837199494027
1793.51586,-1630.149289161049,1644.4416770592507
1793.5367,3195.294245117221,1615.0977246477084
1793.55753,2683.886562546039,1655.1690926199879
1793.57836,1708.7516991726047,1635.8349562442324
1793.5992,2709.788958159977,1652.9219561537927
1793.62003,702.2623153016795,1634.2179232112949
1793.64087,-3954.888210034212,1631.736060387837
1793.6617,-5508.4622354765015,1639.1983586381284
1793.68253,4272.942424125381,1628.5838327716353
1793.70337,2882.422036396454,1625.982238454282
1793.7242,-1237.2715752079575,1618.8208478155711
1793.74503,3769.731085963218,1641.2233997618016
1793.76587,2609.7190860122064,1642.5941280072973
1793.7867,-206.06961099704407,1645.280060662658
1793.80754,-4778.784171107275,1650.4382513073517
1793.82837,2921.6515998655004,1648.0804618891057
1793.8492,-1661.3727628806064,1613.3604338285948
1793.87004,-2677.1191016795506,1605.979842454907
1793.89087,-7552.217523218391,1614.0740861614388
1793.9117,-1275.6880171030773,1591.1393211461907
1793.93254,-1604.3429418883668,1625.4577881964067
1793.95337,530.0777696615644,1591.2907617500077
1793.97421,2668.6517167458896,1651.7345091951056
1793.99504,-1801.1352041315088,1644.1802413687344
1794.01587,1280.8638385391796,1650.899020199243
1794.03671,3601.414393868201,1651.2253214133752
1794.05754,-6397.304769176617,1653.3227277256663
1794.07837,-5329.6465386706395,1647.066033517751
1794.09921,842.4718418451711,1642.2391438638583
1794.12004,10713.016203932886,1671.259163376532
1794.14087,1842.1513983209993,1672.4689777571552
1794.16171,458.09282721645184,1651.203085564509
1794.18254,5818.681536382531,1649.0214724872808
1794.20338,3633.8467609568916,1627.7221607348
1794.22421,445.3231344598435,1643.0130566628604
1794.24504,2201.0703659978412,1616.1221525723995
1794.26588,-285.58421710439814,1645.023098456529
1794.28671,2490.4530976393353,1648.7197754372787
1794.30754,9224.046661135093,1680.461647053482
