relative_time,cts,e_cts
1790.68283,4131.386978246415,2054.661756484052
1790.70367,-89211.01380720703,1839.080286533832
1790.7245,-7053.410007224725,2076.507488356858
1790.74533,-85033.36474600047,1798.0695394698619
1790.76617,-83743.19059851811,1839.6824659728984
1790.787,-81120.52661059606,1857.034341474342
1790.80783,-85538.28694693735,1740.817290139918
1790.82867,-82426.34153544504,1832.7652345605209
1790.8495,-85732.71392703905,1772.0295864055192
1790.87034,-28134.324202402975,1898.3371153565886
1790.89117,-62168.64422772794,2100.2342757349757
1790.912,-38406.20585759447,1903.9655127001051
1790.93284,-71617.56163781678,1842.837250711643
1790.95367,-45910.1240709469,1874.5036990291153
1790.9745,-47030.02812190858,1869.3319152662061
1790.99534,-53231.268516898934,2113.364853228782
1791.01617,-46571.403584210835,2097.305839752313
1791.03701,-43345.151939009585,1951.9057988201348
1791.05784,-20537.217769809784,1938.2713911490496
1791.07867,-52573.087844538815,1937.2500804987708
1791.09951,-18147.52874955258,1956.3911517285894
1791.39118,1269.415963760397,1677.1723387937957
1791.45368,-15426.559247922083,1810.2497430960661
1791.47451,448.9732191852097,1776.6785190872765
1791.51618,-7871.412481720751,1730.343373478739
1791.53701,-16393.369749885875,1643.809337738574
1791.62035,-18623.32300962527,1712.1203405799388
1791.64118,-29765.03071078987,1657.7353246772564
1791.66202,-49671.36034376771,1739.8691540257132
1791.68285,-126.0761452498449,1815.4399883244987
1791.70368,-4727.112288966122,1772.231767424916
1791.72452,-7831.317982785084,1862.1195241807968
1791.74535,8002.7416411818085,1834.0749916236412
1791.76618,-19901.773567062053,1662.174467978068
1791.78702,-12483.86004888378,1726.742716375691
1791.80785,-1996.858907930837,1783.8540991293094
1791.82869,1393.656479898884,1803.6000351022708
1791.84952,-16161.701406429394,1864.6142835551684
1791.87035,4531.742207695388,1839.0315035097826
1791.89119,31669.40271139449,1919.5650035165504
1791.91202,-22721.645167456583,1919.0919424484766
1791.93285,9401.804421399582,2044.3524265852045
1791.95369,-11809.473118873688,1969.0943183236154
1791.97452,-68661.2227723869,1885.163349222225
1791.99536,-59931.73547099308,1908.0748111502353
1792.01619,-65588.66920526366,1928.1219487303997
1792.03702,-66106.04103533573,1946.153318050768
1792.05786,-56782.7280520807,1938.9270528942986
1792.07869,-62470.12823940976,1913.886144833937
1792.09952,-62348.61733486464,1987.3787775531564
1792.12036,-54787.31182376476,1990.540387439761
1792.14119,-70600.37527893593,1971.4254979246844
1792.16202,19119.016715553942,2296.5166890655664
1792.18286,11911.951818891748,2162.001416318212
1792.20369,10825.84310294154,2284.1489617047146
1792.22452,9888.308793004479,2304.4908114072314
1792.24536,14889.06352532835,2283.1556229718954
1792.26619,10861.528556359584,2304.051428527779
1792.28703,16156.404867914616,2305.3135214435483
1792.30786,11581.21734934726,2309.092079941638
1792.32869,13422.858408980668,2317.700941034292
1792.34953,7103.075824988992,2269.0395388821585
