relative_time,cts,e_cts
1842.51628,1451.5521177987425,1413.278799533165
1842.53712,-776.2070877527632,1412.4122117410277
1842.55795,-2817.480113630073,1410.7977690937387
1842.57879,-3812.02069928189,1412.8225180730408
1842.59962,1383.8430068960365,1412.121288937436
1842.62045,-5235.408605404265,1412.5928592962955
1842.64129,-3182.424283095825,1411.2438579547065
1842.66212,-1456.9713275929666,1412.5678115260275
1842.68296,-4072.1252034358818,1409.6650894044662
1842.70379,606.8153064792477,1412.3030208117632
1842.72462,-2156.918472773835,1411.1624255933582
1842.74546,-3196.48974463645,1411.956255576621
1842.76629,-1006.3653018565409,1413.001213854002
1842.78713,-3605.934042997319,1412.1285538751329
1842.80796,-140.17426206301033,1411.5836835478694
1842.82879,2268.3775806464823,1412.2106368279167
1842.84963,-1569.7028838816207,1411.7191149983676
1842.87046,28.67850420616147,1411.84804053451
1842.8913,-3266.105630604813,1411.5212267700576
1842.91213,-2279.9253617634786,1412.1389633381016
1842.93296,-1192.0592780260624,1412.3121290918607
1842.9538,512.5634746213475,1412.170517022725
1842.97463,-2233.4766030870187,1411.716729496437
1842.99547,-1126.068595968426,1412.2044562092792
1843.0163,2155.3703904529716,1412.9596844340335
1843.03713,311.66311639707806,1413.5524816637148
1843.05797,4219.6007278842235,1414.0338108941073
1843.0788,-3529.6467755851318,1412.564233273132
1843.09964,-1438.0254543986493,1413.0780920753014
1843.12047,785.5038225027965,1413.061827289413
1843.1413,-2436.440637344816,1412.71907403479
1843.16214,6082.9810194955535,1414.1284719479784
1843.18297,4268.291749943267,1413.4229055361368
1843.2038,1530.9354414207517,1413.488940566844
1843.22464,634.5167307811363,1413.5643007414606
1843.24547,-607.6271361588939,1414.312264028518
1843.26631,751.4234576073588,1414.047148018536
1843.28714,1281.9427136900395,1414.5563442487507
1843.30797,2372.1445291129453,1415.0160955298647
1843.32881,4873.906173064416,1414.4942127666568
1843.34964,896.4534088495107,1414.4961645409635
1843.37048,-2906.567225376951,1413.8334287319615
1843.39131,1063.0014549582872,1415.1659484238505
1843.41214,-5566.204206305752,1413.8605367084424
1843.43298,1313.700141864887,1415.3665474498082
1843.45381,710.1419129757571,1415.9787539906497
1843.47465,3627.6823388002185,1414.9375908299762
1843.49548,3632.914503556725,1414.953313456335
1843.51631,-938.216391143411,1414.7881716636143
1843.53715,2669.7895687122864,1415.4808346786513
1843.55798,500.74114391855335,1414.849435690461
1843.57882,877.3456468196505,1415.733372587546
1843.59965,984.8738812387735,1415.0603357474813
1843.62048,-2492.0937467874633,1415.261151637251
1843.64132,287.0673987446385,1415.467172258505
1843.66215,2651.393662144811,1416.312724260893
1843.68299,1599.5022486993091,1416.1147276006775
