relative_time,cts,e_cts
1842.51635,-13706.793546645496,2814.0617555198946
1842.53718,-5230.428604074246,2799.2564990659453
1842.55801,-1212.8947483517175,2721.1336649768405
1842.57885,-2368.645946748839,2701.6712679790808
1842.59968,-957.6529376360147,2702.68558870884
1842.62051,-8282.901293081013,2698.6576316031815
1842.64135,-10611.44387537727,2692.3861868429794
1842.66218,2029.0774450026504,2680.394068821945
1842.68301,-7780.237217287842,2677.4319099467875
1842.70385,-9270.474867247973,2680.797456083253
1842.72468,-6248.904411418308,2680.050214220418
1842.74551,-6817.906371901116,2685.0135766696153
1842.76635,-2818.2589968272564,2702.2628187210917
1842.78718,-11303.763650086306,2677.511202918589
1842.80802,-3453.5724110090987,2689.7610860289083
1842.82885,-1954.8106407184407,2694.9959325101304
1842.84968,-7382.492972473176,2678.978878068078
1842.87052,-8462.772113414705,2657.920175099907
1842.89135,-6208.525535354181,2673.48475615525
1842.91218,-9714.89523456827,2665.872882586022
1842.93302,-2019.6444761810462,2661.6524826964196
1842.95385,2710.2077227718873,2659.4298881106356
1842.97468,-3677.418610056489,2658.8403511583847
1842.99552,-9418.600305804404,2670.533798985633
1843.01635,-9673.774151115707,2675.7539196292346
1843.03719,-11096.186480924694,2665.409962664933
1843.05802,-5719.760762346658,2670.234751206267
1843.07885,-3134.5867285384115,2674.449235588449
1843.09969,-6100.644929980974,2667.1948097016275
1843.12052,-3876.5965138526967,2657.7244599076025
1843.14135,-11405.549772474471,2648.913500398131
1843.16219,-1675.7061765174324,2657.2414020889128
1843.18302,247.28897736772743,2660.0408215790876
1843.24552,6275.930980340356,2646.878943431191
1843.28719,-739.8468492501428,2654.6617374063026
1843.30802,-5439.009647431237,2652.401510124379
1843.32886,-13865.661672538716,2658.761435772163
1843.34969,-5980.0248388620375,2659.9765061686267
1843.37052,-871.6110011774151,2662.947349512124
1843.39136,727.3203217715383,2671.112637679784
1843.41219,7708.000816529191,2652.0518658772917
1843.43302,10477.288473971812,2656.922342273807
1843.45386,11020.475034211377,2675.1685361183627
1843.47469,-5416.60447428476,2674.9640105958592
1843.49552,12487.024601086026,2581.4569554967934
1843.51636,7346.336761812131,2573.982523078688
1843.53719,-6101.8375969663575,2665.527769365895
1843.55803,-12719.863881754309,2671.545728340053
1843.57886,-8328.110369746457,2661.7028274404206
1843.59969,-2873.451813813674,2655.0101230347896
