relative_time,cts,e_cts
1842.51364,644.4199457745124,1070.5639499718022
1842.53447,-133.3027376970024,1058.480444562804
1842.55531,-4581.598872745046,1053.3347945500223
1842.57614,-1815.6230328125189,1058.1134870664055
1842.59697,1911.6784365782878,1058.0578589817692
1842.61781,1333.842281444393,1058.0885431410245
1842.63864,1336.5670139126748,1057.3222741027541
1842.65947,1877.0605472330233,1051.130440374415
1842.68031,-3160.8438145782616,1064.267226515397
1842.70114,2712.066276950514,1069.9341941318507
1842.72197,1935.8727917831036,1057.7076003475504
1842.74281,-151.14828986899008,1067.7226385719287
1842.76364,-3538.43462457345,1058.634909037966
1842.78448,-2336.171862617004,1061.3612070245772
1842.80531,359.7576776019469,1065.3541137075174
1842.82614,-1460.7465369935828,1053.8926409147123
1842.84698,2611.9192344791677,1052.6657963839486
1842.86781,267.80393185906325,1073.9806415416547
1842.88864,-1770.1670600731948,1061.9482763980818
1842.90948,845.282418238647,1065.6474918424367
1842.93031,-1521.1933914152773,1067.6112780347678
1842.95114,-2299.984488962626,1066.133324363977
1842.97198,-2872.352392940005,1068.772683899365
1842.99281,-1443.7097315905353,1062.380359456981
1843.01364,-1344.1062370831373,1060.1813280436936
1843.03448,6374.749724882919,1055.5999952046966
1843.05531,-1664.4491728108162,1056.4959935285256
1843.07614,-610.7335398352085,1067.963728394648
1843.09698,-3091.8339923666017,1061.7545695967974
1843.11781,-3385.793560793485,1065.3095486190753
1843.13864,1518.8788247492841,1055.5935243956021
1843.15948,-4079.3600322169204,1060.327443087766
1843.18031,1174.4139651314943,1063.327289310458
1843.20114,-2521.0977759599546,1055.2458749585987
1843.22198,-3838.080051204628,1065.326769320698
1843.24281,4876.53762070299,1064.177783234847
1843.26364,-700.1449881791233,1064.8549220962334
1843.28448,4036.837423355236,1057.2675853291155
1843.30531,2930.933671352563,1049.2838593210076
1843.32614,3431.3345933620362,1054.679366059153
1843.34698,1441.9064632109062,1061.7711640910884
1843.36781,91.35780509884597,1053.2716519774053
1843.38864,-1408.864737719627,1069.7170045556263
1843.40948,126.97971353266418,1058.7574369392096
1843.43031,1260.522378536267,1064.7597385818092
1843.45115,2022.273435276021,1055.5694154133303
1843.47198,-2750.5342977070823,1060.0174704585554
1843.49281,3313.7170969104136,1060.0631835937725
1843.51365,1233.5645703764908,1072.6766691411985
1843.53448,1784.1428596708172,1060.1764227529284
1843.55531,792.9138471321529,1066.339555311896
1843.57615,1378.9810801701922,1072.515629489053
1843.59698,4724.589768439259,1063.7322367183153
1843.61781,-3259.6173756353287,1052.7106745760566
1843.63865,988.5258842233279,1059.10529511199
1843.65948,5357.473827116378,1055.906106222028
1843.68031,4400.075143835429,1054.8109739667066
1843.70115,1732.144272729492,1062.8049280278997
1843.72198,2833.945114294615,1062.4098955694615
1843.74281,4116.701297247915,1063.2768796202529
1843.76365,-45.38813361171921,1065.3792663686754
1843.78448,14740.620844541985,1061.2795913356738
1843.80531,-2325.8941304169616,1063.0680394751182
1843.82615,-4416.038003664546,1050.682493396445
1843.84698,5625.425752641509,1053.5148291578969
1843.86781,-219.5942123784202,1047.4263196392947
1843.88865,-1342.0626094560096,1050.7838346162978
1843.90948,-3922.733471874107,1063.8850313072594
1843.93031,3308.690217554885,1060.57270762603
1843.95115,-1661.1783875492588,1046.0159963603314
1843.97198,-735.5613962402429,1045.4864336934584
1843.99281,-762.645280809476,1052.7042037669619
1844.01365,1512.7088039096677,1054.6140317608747
1844.03448,-1536.8933485329528,1082.904513490479
1844.05531,-1567.7364600824994,1062.9262035144795
1844.07615,448.6059568188517,1078.686485271779
1844.09698,132.4996267940482,1073.3397183376205
1844.11781,-695.3075365414454,1082.413358206619
1844.13865,1812.5346826202745,1068.0958581416446
1844.15948,-4844.510037985461,1067.2421288127082
1844.18031,4653.317041666474,1075.3180116664703
1844.20115,-2980.6138300160164,1079.0514597782937
1844.22198,-2699.5810595382054,1076.374110331447
1844.24282,-126.87576311559567,1084.9908275840537
1844.26365,-996.3859342834176,1068.7677786085997
1844.28448,2203.39983563365,1076.782188775963
1844.30532,-782.679949445332,1070.3409157938147
1844.32615,1096.235945743743,1073.4433556510232
1844.34698,3707.6285398569175,1073.4549404866605
1844.36782,5736.304527628408,1070.0301082214953
1844.38865,426.3663078000569,1089.5107921045403
1844.40948,1068.1764301516614,1072.6226065748917
1844.43032,-4316.905938910058,1073.5914536849793
1844.45115,4791.647076190559,1066.354271184192
1844.47198,-1571.680418225675,1067.8265889889972
1844.49282,1341.4089533695637,1072.1101602417527
1844.51365,312.8675857050535,1063.0965319087124
1844.53448,250.8302690286325,1066.8981322518066
1844.55532,409.3906619797422,1063.5597165984213
1844.57615,4376.703207592963,1067.6152440145356
1844.59698,-2193.860297509838,1060.6716483844448
1844.61782,2370.3192615203566,1060.8781924360296
1844.63865,1850.5780304380362,1068.5330552270864
1844.65948,124.11784165873188,1067.2556966382292
1844.68032,-2493.3568955318397,1056.4500716575315
1844.70115,1740.0042184216932,1060.48931768302
1844.72198,4380.413694769289,1056.6379338570528
1844.74282,1986.4832858057423,1057.6170090202254
1844.76365,-1375.3732909962707,1062.9071041908614
1844.78448,-4012.0009968996105,1063.4784140131842
1844.80532,5412.668367543119,1047.4297637796192
1844.82615,918.100833441939,1060.3029166339395
1844.84698,1834.1056465766615,1063.074510284213
1844.86782,4546.083419557623,1055.3865628724625
1844.88865,1597.7910722334987,1060.8843501414585
1844.90948,-874.1852263708023,1045.8859539711073
1844.93032,-3216.2315399668432,1064.744292134293
1844.95115,-6249.182839458543,1052.585954949152
1844.97199,-1046.9671009293534,1057.763124064298
1844.99282,-3138.6457039791385,1068.988934164592
1845.01365,-3252.7837837598468,1057.3824943744896
1845.03449,625.5484572573603,1071.5585759503797
1845.05532,2288.1080494446564,1060.6630902175775
1845.07615,2241.7675588492516,1060.709533928015
1845.09699,-1296.614881779887,1070.8854030687612
1845.11782,2903.615480873371,1059.5859092390992
1845.13865,-3321.2321067307153,1071.6778684470758
1845.15949,-3156.788704633702,1069.4121459529586
1845.18032,-658.9833365850826,1071.6632569426688
1845.20115,-4528.027879193726,1062.564777516178
1845.22199,-1299.492826308667,1064.9029313249998
1845.24282,-4068.006580188841,1067.9042386981328
1845.26365,1051.6447653295493,1052.1842429458418
1845.28449,-4372.954834873067,1062.0030695396088
1845.30532,4517.031574080514,1062.5518358979887
1845.32615,-2848.3760622545233,1060.6492092883907
1845.34699,-2501.5362069632274,1062.1091073144498
1845.36782,827.6033328490126,1062.7543096019174
1845.38865,3261.23330365488,1062.9720210175851
1845.40949,1944.4304368107498,1065.7129305086032
1845.43032,905.3718126418072,1068.3869401830143
1845.45115,1119.4323351975454,1069.0967461935395
1845.47199,2409.1615455255273,1076.0917951927215
1845.49282,1818.9781473280834,1073.820541200507
1845.51365,337.36700824831433,1081.0955048769758
1845.53449,-493.36349964751054,1077.7116891920398
1845.55532,-2937.177584657325,1075.7589659959026
1845.57615,1112.4813294473622,1071.314041987336
1845.59699,2984.5744870213716,1075.7938248707028
1845.61782,3268.236180245708,1069.7440358387796
1845.63865,-298.82426008349177,1063.9537053779734
1845.65949,2278.9815994240143,1073.0903834517
1845.68032,4235.960604955467,1070.4938147506475
1845.70115,-4197.96996292146,1067.0611548938357
1845.72199,1238.4726790747661,1054.0085936389726
1845.74282,-985.0532514651734,1076.8561856089966
1845.76365,492.16546065400667,1070.4082330819765
1845.78449,1078.5083292858992,1061.2256331372557
1845.80532,-1415.6004325155807,1078.52648929852
1845.82615,512.6890928480615,1062.960749285614
1845.84699,-88.06760741000461,1082.0394080616827
1845.86782,4762.963440624512,1074.1828021419176
1845.88865,2020.7149095952132,1078.48328099263
1845.90949,-3048.0802598907194,1066.768716069914
1845.93032,1172.8133791915714,1078.6738567572556
1845.95115,4023.214387221158,1079.0205668832612
1845.97199,-2059.236262342868,1076.5423513679073
1845.99282,614.7458589454325,1075.3076792454967
1846.01365,2687.2072026630576,1079.829104916424
1846.03449,1777.2905859432717,1075.5099442136482
1846.05532,705.1962896205897,1062.353536909605
1846.07615,-5365.583316430278,1082.301475830015
1846.09699,-1622.7332233602983,1072.6170750767947
1846.11782,-268.7053573131004,1052.165665461667
1846.13865,1509.774709456808,1059.285851559308
1846.15949,979.263755947476,1074.9888353457534
1846.18032,2586.9695688643865,1065.9249016903968
1846.20115,-4248.7322078541565,1071.075352626055
1846.22199,-628.130310086117,1058.5813683111026
1846.24282,-1764.38340915726,1057.7654201578475
1846.26365,-3134.028051114901,1069.4935529060845
1846.28449,1244.5576400851553,1063.0069842602738
1846.30532,-3747.905151755436,1065.124713088324
1846.32616,862.5403791976869,1075.3284484553326
1846.34699,872.4338288318191,1076.0514048198245
1846.36782,2851.445521858927,1069.204036383044
1846.38866,-64.47128020699887,1061.478099059835
1846.40949,2675.5695568742576,1057.8658220667028
1846.43032,-1482.9308710314076,1071.3423256851527
1846.45116,-1776.0787703884696,1061.1930703560054
1846.47199,2999.380533172991,1067.0768100771293
1846.49282,-2372.7372567639745,1062.0216470237838
1846.51366,3968.888709467206,1065.5249639411932
1846.53449,17.00935664833986,1062.0881293688365
1846.55532,1561.84781507061,1067.718359488495
1846.57616,-312.9077673421733,1059.1740735505928
1846.59699,-3016.7034109587544,1072.67959144208
1846.61782,2308.688979609565,1075.8620814698622
1846.63866,2114.430385298054,1065.8084271266935
1846.65949,2344.7459977710528,1056.0385490726908
1846.68032,-292.9012780362456,1077.4578664869084
1846.70116,-362.7556452026436,1062.799814001357
1846.72199,-1502.37460868188,1059.1554960664178
1846.74282,-1225.2447797670163,1063.1302427367375
1846.76366,3641.287822028903,1059.966643296796
1846.78449,2604.2741822696407,1066.679272789364
1846.80532,-3368.256102628712,1062.9045993615346
1846.82616,-2248.6120049851506,1062.369296460787
1846.84699,5.656530827591509,1063.1159443359963
