relative_time,cts,e_cts
2174.25357,-6177.24909797628,2748.1500678160496
2174.26052,-16611.28247710741,3002.774917305136
2174.26746,-8864.324692596287,2893.114837615688
2174.2744,1037.4855794300556,2772.6358448979745
2174.28135,1116.2615933135255,2796.286248403744
2174.28829,-222.2085777792755,2778.5888338016075
2174.29524,2863.58666691508,2791.0402483454322
2174.30218,-5127.434140909706,2768.171579307014
2174.30913,-6498.959174759137,2771.5948018395443
2174.31607,-2582.896067068195,2730.921598676971
2174.32302,-4478.650076463667,2739.3423039767304
2174.32996,119.66504304596234,2765.831930250545
2174.3369,6451.261946168336,2778.4639403737133
2174.34385,-2579.592342313561,2783.0331037484575
2174.35079,-5844.207362719763,2793.5890581871163
2174.35774,-1248.184442285738,2800.3141011272223
2174.36468,1177.1751491831576,2834.5201416804744
2174.37163,2807.5458590803723,2788.0896212744883
2174.37857,-539.946662685692,2814.424360654244
2174.38552,-3089.183395501899,2845.7705480129885
2174.39246,-1167.2857162148348,2754.9846107119965
2174.3994,5638.830515109128,2805.7486315442866
2174.40635,3753.9163665595593,2759.3081133162455
2174.41329,-723.1580214091144,2768.736218209742
2174.42024,-5709.18661717078,2759.975904351287
2174.42718,1154.4915192005512,2832.306496921017
2174.43413,-5026.903342321221,2825.954547308711
2174.44107,-4153.790527037883,2798.2367758780074
2174.44801,458.7294345693206,2810.101492832348
2174.45496,1334.1966575988276,2816.349496834399
2174.4619,5507.9093526894785,2830.0288978395242
2174.46885,-11125.348813381688,2793.3908473974852
2174.47579,1622.1921740650114,2809.1569366915282
2174.48274,2410.0789519790806,2776.498178122986
2174.48968,-6730.504766164297,2763.3856377588227
2174.49663,-3232.984450553448,2795.135705389473
2174.50357,-4658.620871276549,2814.9390104466966
2174.51051,-4666.96937008369,2760.9610865626796
2174.51746,-5264.776761609284,2817.4663963839766
2174.5244,1357.3160656665632,2809.348640962044
2174.53135,-6878.570130365703,2794.127512317795
2174.53829,-4189.338338789157,2784.6322791905004
2174.54524,-3703.538134702124,2790.7353941205474
2174.55218,6628.831041949772,2730.9339769328485
2174.55913,8683.995721840894,2771.540210557212
2174.56607,-1599.7177048676206,2740.2565492602084
2174.57301,-9242.604827000418,2759.3995219750345
2174.57996,-687.7490682974934,2783.4260340247797
2174.5869,-6649.171848964145,2799.1481646408984
2174.60079,-7104.813067387574,2785.167718105004
2174.60774,1864.8429653395049,2805.7557728457546
2174.61468,-457.64221109473146,2778.0727557488613
2174.62162,-2343.121474633792,2745.454147164127
2174.62857,-3123.2905687037182,2763.7814245557315
2174.63551,-4035.399333478205,2753.5201678243147
2174.64246,1813.2680100516393,2725.936176774443
2174.6494,-131.25791445775826,2771.7109670100886
2174.65635,2968.9745026752603,2751.2017839766613
2174.66329,-3182.772372976832,2736.416274721954
2174.67024,-8017.049264719364,2770.8546456162944
2174.67718,-4837.756768600042,2757.321561943467
2174.68412,-7572.439452716769,2787.8293605098806
2174.69107,-6005.347815126525,2750.1385235358866
2174.69801,-4089.7157550517986,2786.7548326823458
2174.70496,2326.699813864997,2783.0835689454975
2174.7119,3294.7329039124693,2765.541358628596
2174.71885,964.7571370207698,2766.3003996268385
2174.72579,-7412.775345366802,2747.809348388237
2174.73274,-6260.969590300529,2715.349911478443
2174.73968,1377.4734205810055,2732.0389743133137
2174.74662,2073.038722682899,2729.631720936282
2174.75357,3858.6383156317565,2750.100595290313
2174.76051,8117.801126262178,2825.229943253102
2174.76746,-6574.228016143932,2825.3448388589413
2174.7744,-721.6242285493998,2631.7330473732723
2174.78135,7700.3720598199,2626.5746472796327
2174.78829,-4148.28807490908,2872.0416504618856
2174.79523,-1692.4327457384716,2873.676849802444
2174.80218,1627.4807045409548,2786.3588871898482
2174.80912,-6588.604884259088,2779.1195118484657
2174.81607,-2783.265751480723,2740.8824446599724
2174.82301,-2446.4678503476844,2772.2494211407675
2174.82996,-1469.0709271199257,2761.105975634684
2174.8369,-4378.8078580322735,2781.9739693929755
2174.84385,-2396.1680141108072,2843.6294271373267
2174.85079,-584.8963945584144,2877.1892592555287
2174.85773,-5853.095585222287,2863.270545303435
2174.86468,-3747.557116950198,2875.969683660401
2174.87162,2762.345864265097,2857.061580416075
2174.87857,4619.631428304517,2862.7206650904072
2174.88551,-214.44503091015073,2865.5005357084747
2174.89246,-61.46597521207047,2846.355976037767
2174.8994,6664.497558001001,2819.7074954801888
2174.90634,3401.9035259102106,2851.1550893197773
2174.91329,10293.379257593097,2844.033624800409
2174.92023,5354.775251401749,2793.0356866711486
2174.92718,-3116.160534622589,2830.766991020128
2174.93412,-3219.9763318863043,2806.590829030733
2174.94107,4916.521673792339,2840.0622677063216
2174.94801,14238.62410351566,2871.538902838546
2174.95496,4473.196502576023,2906.8061407899263
2174.9619,7957.463673531584,2851.2555436270923
2174.96884,4667.917417527448,2661.6330418369744
2174.97579,13494.444153627725,2656.6647590579696
2174.98273,2941.614589795892,2654.0716731471844
2174.98968,6798.329038812199,2841.949793032079
2174.99662,-950.6121231599377,2811.515946609755
2175.00357,4343.686143935251,2830.988212670044
2175.01051,7655.963638598445,2860.7547441440915
2175.01746,7387.641138111593,2822.2950270453875
2175.0244,7116.43212357142,2872.4921872367154
2175.03134,2574.189551014131,2857.888701821645
2175.03829,3825.221626934088,2865.2470988541586
2175.04523,-603.4999609690323,2880.1660710985216
2175.05218,12913.697331308918,2853.3225536630757
2175.05912,4333.722758822839,2869.485223231969
2175.06607,2169.431692505301,2795.708755158374
2175.07301,-602.126450653375,2863.361001788695
2175.07995,3631.612691969007,2865.5264030893472
2175.0869,10183.16263247592,2893.070720242175
2175.09384,12132.825850565727,2868.1948694045154
2175.10079,-843.6862097591627,2853.743890449681
2175.10773,2201.213499253587,2850.988300256605
2175.11468,4608.918365233564,2919.4838552424894
2175.12162,9314.11575685722,2904.4364982672923
2175.12857,9984.49162563922,2851.863189034216
2175.13551,10568.254775002475,2854.8734856463134
2175.14245,13980.455264151442,2853.276214551329
2175.1494,4486.725618859146,2864.87733813371
2175.15634,3821.5057697369625,2695.0433827111156
2175.16329,12783.98669883587,2665.601225019299
2175.17023,8107.8156824630105,2690.7776453009624
2175.17718,11592.04048169653,2704.4210224075723
2175.18412,6312.19795442382,2695.8993867137333
2175.19107,11012.676215341908,2899.192402556039
2175.19801,22179.526146769676,2895.5647801059386
2175.20495,7254.245594081111,2914.117881319517
2175.2119,9015.763766306716,2898.2776811857957
2175.21884,1473.0357776948974,2876.449420423455
2175.22579,10117.835117516779,2899.2846046927684
2175.23273,14065.839362326531,2869.9419491347376
2175.23968,20383.41677979832,2873.2745564864194
2175.24662,15962.819612531839,2837.757372983663
2175.25356,7720.974555859175,2856.7897348735305
2175.26051,11958.64442950507,2862.518486911072
2175.26745,12279.626728320554,2892.4870378688665
2175.2744,6950.611262182601,2900.1782195497835
2175.28134,19830.67560270717,2907.5707361337554
2175.28829,13338.757751195371,2900.4178498879287
2175.29523,22403.814430231992,2832.9471510104804
2175.30218,7108.308020325958,2919.9448659261384
2175.30912,21300.76964028406,2895.0796476928863
2175.31606,15096.2077620181,2849.5438530130327
2175.32301,17945.042880534344,2808.326006591842
2175.32995,23137.585377795924,2870.2688620463787
2175.3369,14335.650268734882,2862.405336956703
2175.34384,15625.361855143166,2854.2264837333228
2175.35079,24487.358959547688,2862.004471900972
2175.35773,13559.50839260608,2880.443470986652
2175.36468,21342.63591687854,2785.875817819442
2175.37162,14655.575654933118,2789.275553404923
2175.37856,13849.16814970546,2833.7390419954754
2175.38551,17269.176303097065,2853.9917729584113
2175.39245,13885.943947918035,2858.8503970859874
2175.3994,19113.037648637146,2844.105037815088
2175.40634,26938.194112481957,2779.76794202175
2175.41329,16196.876085533106,2808.3201348550797
2175.42023,16356.140121305283,2821.5929577633
2175.42718,12581.022182861087,2836.868360298705
2175.43412,16886.65137910042,2843.039238244902
2175.44106,26460.34392258016,2884.5954236600833
2175.44801,10727.290606518854,2898.4051137431006
2175.45495,23254.220922063614,2912.640901480369
2175.4619,17649.208595490243,2894.236180641735
2175.46884,19088.977493122704,2881.4413488450987
2175.47579,13717.439702828764,2825.7650647764294
2175.48273,17439.20862800488,2829.938282658676
2175.48967,15806.227058291004,2827.1473033494367
2175.49662,11788.323596017954,2785.8870852062028
2175.50356,15592.726900912849,2829.3763415809476
2175.51051,12479.076930495194,2855.8691417665254
2175.51745,22667.579352122037,2856.5383610618605
2175.5244,17378.478682930767,2901.4885690213473
2175.53134,27639.14490806417,2892.999942009849
2175.53829,24067.336648499033,2915.9792218732255
2175.54523,22320.239461762103,2905.175384925837
2175.55217,18531.20185719228,2896.923690427484
2175.55912,16868.00924966188,2880.0359407162177
2175.56606,8889.197528217774,2868.1666215898204
2175.57301,27251.731049082602,2846.406917321571
2175.57995,16318.526410387141,2854.335348906811
2175.5869,27188.519263705017,2893.2305266994676
2175.59384,23106.98521839719,2883.7889326809764
2175.60079,26254.19581441098,2900.4413368349783
2175.60773,30255.854720191648,2916.526404261254
2175.61467,31926.86133978821,2917.4846082226563
2175.62162,24467.160026389145,2922.046312904756
2175.62856,26229.84254814519,2914.7275897692866
2175.63551,25016.965335099052,2899.5485154559037
2175.64245,28876.90606542296,2879.8710560001036
2175.6494,23970.785141784043,2874.0270909655474
2175.65634,28881.203700646343,2853.356831910122
2175.66329,20319.06143401234,2844.1163052018487
2175.67023,12651.142145887534,2852.135510663524
2175.67717,15514.072765241097,2849.6481160144644
2175.68412,26269.137004037697,2864.163366682509
2175.69106,27636.411693949023,2869.0910233909417
2175.69801,28951.986693840186,2850.345424428907
2175.70495,20756.11416210603,2889.2014044112843
2175.7119,27359.18970357289,2873.811582356805
2175.71884,24774.568456765635,2872.150674330962
2175.72578,22356.21860812204,2850.3067027053917
2175.73273,20673.962693062076,2833.3608704088533
2175.73967,22560.40539751694,2824.806226032674
2175.74662,34659.64777032183,2763.4829181543737
2175.75356,18570.120998018752,2828.068848629971
2175.76051,30384.72553561207,2845.6232785071616
2175.76745,23053.018244508752,2801.1023421136892
2175.7744,30655.41069601567,2876.8406050483077
2175.78134,24567.151894760183,2859.8481162488456
2175.78828,37861.248740053314,2871.259915994534
2175.79523,21902.24575641709,2871.2678507739424
2175.80217,29875.252551941336,2890.3965408858326
2175.80912,23880.51115645051,2858.893086199206
2175.81606,30034.883968000137,2869.4438036834554
2175.82301,24773.88527225854,2816.6994206063255
2175.82995,32534.065890567614,2824.9515911914427
2175.8369,31512.65617421972,2832.744020657616
2175.84384,35578.15609338508,2805.139875268046
2175.85078,33840.120742124134,2822.807296404018
2175.85773,25966.47119131382,2790.0515748311
2175.86467,27912.926536784253,2860.2316834854655
2175.87162,30325.719183321133,2836.1045584328167
2175.87856,28033.524868584274,2852.91343643676
2175.88551,28734.00195783578,2849.34405526752
2175.89245,23595.458490971447,2825.720153924976
2175.89939,24921.591825735086,2831.823427550611
2175.90634,28187.04888493215,2841.289460689681
2175.91328,26066.45496620986,2779.885535452588
2175.92023,30863.118940512195,2772.4909558259706
2175.92717,26478.19543059841,2788.6801275580888
2175.93412,25814.686796003523,2805.8852684457056
2175.94106,25999.305149811702,2819.2555304450657
2175.94801,32027.832201242705,2824.7806760429776
2175.95495,31456.975129283404,2842.6688427421013
2175.96189,26480.247840640284,2834.717241600988
2175.96884,38377.67862091848,2866.1240506744157
2175.97578,32681.611050630978,2851.22443929181
2175.98273,29858.550634763822,2847.4942994917487
2175.98967,29085.021681494327,2745.447481949424
2175.99662,26784.278118031285,2714.5703987493257
2176.00356,30374.741837464368,2789.803851017958
2176.0105,31343.09755564261,2803.5913237186314
2176.01745,23811.230851781096,2807.888800246419
2176.02439,39747.27867728334,2828.3897311092614
2176.03134,28645.236850154615,2841.979786498244
2176.03828,24899.805460608022,2887.422109476662
2176.04523,33725.155945008744,2887.363550804626
2176.05217,29710.142329396363,2895.2688128339914
2176.05912,34948.60799726853,2872.687382810171
2176.06606,25717.048541900705,2855.1740550903173
2176.073,34341.15477050247,2850.8899089919364
2176.07995,27872.875737718503,2784.9853768741905
2176.08689,31793.58751527386,2803.106826087932
2176.09384,26401.070961701083,2816.1065338889025
2176.10078,30467.462908767568,2818.391591663039
2176.10773,26841.009092978966,2840.437424076768
2176.11467,34429.48124357792,2849.2263031410944
2176.12162,33755.29398285471,2902.750833729694
2176.12856,30527.529982369873,2872.876865342452
2176.1355,29205.64191328551,2888.7157959114675
2176.14245,26493.342765794154,2868.8521865307375
