relative_time,cts,e_cts
2174.25358,1332.1510054282303,996.1064334929489
2174.26053,49.14024321593474,1088.7757960625036
2174.26747,-4427.3495358381715,1007.9610244129286
2174.27442,73.49581772049906,994.4984717368033
2174.28136,-256.30364805237105,1019.5232692935105
2174.2883,375.28392000994654,994.9032135302352
2174.29525,-190.49089967245294,996.0836031054108
2174.30219,1199.9089711259546,1010.7729086052504
2174.30914,-2301.980248259369,1012.232882618585
2174.31608,-666.4220562890526,1013.9421176322712
2174.32303,3331.237692325666,1019.3615833181764
2174.32997,426.83411551862207,1022.8177527547147
2174.33691,-1997.49956518735,1006.4062164821283
2174.34386,191.1718306156408,1014.1148090251878
2174.3508,-1465.84505237793,1024.249744908451
2174.35775,-3460.992151017572,1006.7108558071241
2174.36469,23.78364402700718,1029.513963959097
2174.37164,859.9791355473287,1013.0386196803145
2174.37858,2480.5993464120056,1011.4284334248704
2174.38553,2388.2697468405822,1025.1195241341977
2174.39247,4334.1325952044335,1029.5737912823379
2174.39941,3279.878335441027,1032.8251897044959
2174.40636,-2648.338535574174,1019.9575149723763
2174.4133,-230.8351214250514,1027.2844302673625
2174.42025,-1536.81735126255,1035.1894812221603
2174.42719,-534.3808123182017,1019.3810184173113
2174.43414,1310.3548929850538,1024.0374808438019
2174.44108,1831.5549615645882,1019.6161128694987
2174.44802,1657.6808374947434,1033.9136723349666
2174.45497,2820.6615982383532,1025.4681851295234
2174.46191,-246.62297834166097,1022.8436271939246
2174.46886,722.9573547258565,1028.591733381468
2174.4758,1180.091726427235,1031.963606002481
2174.48275,-1144.5951569618949,1028.251033752053
2174.48969,2492.163815791886,1031.799110133296
2174.49663,297.3989310155185,1021.7475344342744
2174.50358,-1543.3042253750448,1036.0047016756364
2174.51052,2620.6456267271797,1021.2994734439751
2174.51747,164.20492809235853,1031.8479320389545
2174.52441,1732.1726455064559,1039.9867895779244
2174.53136,-1852.5490834711698,1029.9461022175747
2174.5383,-25.067882595753126,1023.504771801246
2174.54525,-1003.0000397403531,1026.6949379532377
2174.55219,1737.8955797282524,1045.628471035867
2174.55913,-1076.1795102448114,1032.8201553113463
2174.56608,-2247.1855619842527,1039.020771487786
2174.57302,111.65640071426058,1027.494118595982
2174.57997,2703.948793539498,1030.7477415174385
2174.58691,1557.729635010726,1032.7123256348202
2174.59386,3575.8261904404058,1018.1437284916564
2174.6008,-1848.230510780243,1041.7017614582228
2174.60774,-1549.6979046748195,1036.5952476999555
2174.61469,-2653.5727824237442,1037.4983944151809
2174.62163,1226.2634338686635,1042.9413929620869
2174.62858,2276.7989161993873,1041.0301968278711
2174.63552,-472.1913049800368,1026.7524236982695
2174.64247,721.1487197171969,1032.3329899649564
2174.64941,3577.473959026105,1038.1571974442934
2174.65636,2616.0622215408116,1044.8369005223021
2174.6633,187.41137309083797,1048.3553559392008
2174.67024,804.61649947761,1054.126760829924
2174.67719,-1822.6678527089202,1041.497107522753
2174.68413,2258.6067267777394,1049.5193544669128
2174.69108,1841.8326166396919,1047.2695661236705
2174.69802,-1372.8422490714086,1048.3180077667666
2174.70497,1078.9616563938782,1047.773707912076
2174.71191,-4379.757895370783,1037.2417574434705
2174.71886,-3386.49800142765,1045.1009134653711
2174.7258,-2755.298315795659,1043.8385686528793
2174.73274,1786.3181292231175,1040.6076590400505
2174.73969,-1897.9889306433636,1052.9185064740611
2174.74663,-1803.862169796504,1034.9907983111236
2174.75358,-3451.1280186541835,1042.9252360724445
2174.76052,-3540.112322517267,1044.3737363525547
2174.76747,-2862.890322133584,1044.7568185475532
2174.77441,1410.7977098140582,1044.0761217621862
2174.78135,-1539.2219179254098,1046.0891765484948
2174.7883,-722.5147964443489,1053.2779387291482
2174.79524,-4062.6182892639804,1044.0546963215734
2174.80219,2092.001915178939,1048.7269644009748
2174.80913,-3832.330745903112,1049.8723473819252
2174.81608,-824.355184227417,1040.9587786924956
2174.82302,-562.198878520469,1053.243400450565
2174.82997,-2927.569044186866,1041.3756966926144
2174.83691,-1124.8818783356562,1042.821738315605
2174.84385,846.440832816141,1046.576576052706
2174.8508,1053.572977583487,1050.2393897661916
2174.85774,-1637.223171155852,1039.1291865588646
2174.86469,-145.51562161693178,1034.4661677133888
2174.87163,-147.4998749912695,1041.951607853127
2174.87858,-2036.7626802808368,1047.5812301832932
2174.88552,1129.7329259113176,1043.9086989202399
2174.89246,4266.740101085789,1051.524916202953
2174.89941,-2603.6251630413335,1049.7413360811295
2174.90635,827.914968499705,1048.770517755663
2174.9133,695.3369177244326,1039.5128541484153
2174.92024,2305.6938742199904,1038.1808473842048
2174.92719,-506.38970348628703,1042.266433043332
2174.93413,178.12900583348517,1034.2537865698291
2174.94108,38.73825033793069,1031.9589228460627
2174.94802,-1472.8178039687996,1040.3612079335494
2174.95496,542.0579106343499,1032.6980420077452
2174.96191,325.20868461514334,1030.1509903108656
2174.96885,1070.922433007703,1025.2679801926506
2174.9758,3611.449205129034,1037.9017312616875
2174.98274,1702.351476225269,1029.0876796461419
2174.98969,3277.899116459839,1036.063124051952
2174.99663,-1237.669261324881,1031.2114910817384
2175.00357,3716.3809444636718,1016.8682708411941
2175.01052,3056.4234002152175,1023.9632528145754
2175.01746,-283.33377318729714,1018.498126353594
2175.02441,2657.5897598413467,1029.8227010459584
2175.03135,3515.3925155222864,1021.3615252665146
2175.0383,3436.456860385464,1017.9153075373648
2175.04524,1894.064796801749,1026.0007770931688
2175.05218,4943.648798305102,1019.8631493705522
2175.05913,1487.1472088979103,1014.5759828534575
2175.06607,880.8525490972346,1009.4362186846218
2175.07302,3374.4515181734396,1001.9080447425687
2175.07996,5.414314213845101,1003.4607452529809
2175.08691,492.67379204794366,1012.2294873301818
2175.09385,2983.365106383077,1004.864638468209
2175.1008,3613.3416686375776,1004.2476326101278
2175.10774,-78.61649802693093,998.9249911831663
2175.11468,1726.1778540545909,1008.83197442778
2175.12163,2925.941530252675,1017.5832717473235
2175.12857,1348.4742642023361,1013.3343610081158
2175.13552,1366.9311690405164,1000.8645204137115
2175.14246,-284.1144553621901,1005.3751025177789
2175.14941,1219.9254841302636,1013.8373320074169
2175.15635,1456.4282785313783,1012.2224625955547
2175.16329,2749.2597368312845,1013.9710361231529
2175.17024,648.0670101029662,1011.6679768756547
2175.17718,-241.243202406399,1005.2986499892539
2175.18413,625.9146265352844,1016.3765394172963
2175.19107,3891.0585810959474,1006.0994697367446
2175.19802,1749.695728954872,1008.8569122357062
2175.20496,3730.6672643537363,1013.5514253080935
2175.21191,3664.4449739450583,1013.1643624301397
2175.21885,1947.0408963608174,1011.8874998327519
2175.22579,-278.56514916459395,1015.343318032559
2175.23274,1428.2744300139352,1013.6076231851104
2175.23968,1034.4154725451633,1012.9879245120889
2175.24663,1300.6794918253138,1009.4890212732356
2175.25357,1059.3639346522557,1010.1324869650789
2175.26052,2415.836444622109,1005.575424533562
2175.26746,1853.7580403004954,1002.5272750999485
2175.2744,3485.0785611070073,1020.8083274146297
2175.28135,2000.298336541702,1015.3038624397366
2175.28829,-311.19668061226736,1025.4391495597313
2175.29524,931.3927048454423,1028.6927724811878
2175.30218,3349.1924457169184,1030.265961800929
2175.30913,3245.9818834448324,1018.881325627503
2175.31607,2726.899538197551,1028.209821975574
2175.32301,397.14278674912526,1025.7758685061906
2175.32996,-1784.779361103049,1031.7090764511586
2175.3369,326.3036065856888,1036.096842778162
2175.34385,-59.905297795249844,1032.2205942109226
2175.35079,-149.61525674531336,1029.8618054020494
2175.35774,2012.1729479553687,1028.793343265266
2175.36468,1588.8675907977654,1034.1499375762585
2175.37163,-20.30874196479656,1040.6836432529337
2175.37857,2528.8549413805663,1025.9119142001357
2175.38551,3067.5748151990238,1027.5194076406397
2175.39246,1000.049417039146,1025.9472720310923
2175.3994,-2050.244316819366,1039.105770776774
2175.40635,771.8737430650076,1025.7698974817577
2175.41329,-904.449920577713,1029.2552195669984
2175.42024,300.99852211736015,1036.3418889377376
2175.42718,540.3822772679629,1037.5764860484524
2175.43412,-2681.607678768168,1025.662419041963
2175.44107,779.5590369048872,1039.7251182130644
2175.44801,2196.3110288677944,1031.3461318287577
2175.45496,194.64005917995576,1034.3517816178774
2175.4619,-380.98894115844354,1028.428759538119
2175.46885,-2551.428457789143,1026.8481942470191
2175.47579,2263.1113378573737,1028.0283496643735
2175.48274,55.28091499022332,1035.7601238317025
2175.48968,2811.777650513268,1029.8465851436906
2175.49662,-57.53690851571943,1035.4059601275858
2175.50357,2795.986983702807,1037.902667892971
2175.51051,-600.0597395034735,1030.1502878374026
2175.51746,752.5830022265898,1035.8521478553175
2175.5244,-1740.3826870229807,1035.1421813423376
2175.53135,680.0611639621394,1035.9132630465735
2175.53829,1823.0082011016036,1022.3976736240134
2175.54523,2779.4227765309915,1033.1839194861202
2175.55218,-1357.3755396061683,1027.266400115153
