relative_time,cts,e_cts
2174.2538,-1198.0014946169294,756.9216534575297
2174.26074,561.6486308080569,795.9853787799394
2174.26769,186.68813285706034,769.4179254785646
2174.27463,-356.569183654315,755.2074611598154
2174.28158,-2543.0533035351946,781.2812459500536
2174.28852,-1716.6513172924183,756.506163167952
2174.29547,-1401.5283851925305,754.3397502955311
2174.30241,-1197.0039360168375,770.5426360137204
2174.30935,-685.9550358624176,774.9807103125862
2174.3163,1395.0399297782415,780.6901916370615
2174.32324,-3959.5206931973803,783.1672955451603
2174.33019,-2978.4307398470705,785.525334920425
2174.33713,-2100.7010444249067,765.2104544682911
2174.34408,-3747.1237195757203,772.2546941358463
2174.35102,-1480.8209833836572,789.6601316356574
2174.35797,-317.5490404439237,769.2260743256588
2174.36491,-4576.167253571944,794.2552363278268
2174.37185,-1486.207979544202,771.2788142667326
2174.3788,-2145.8846867349757,769.3774884674135
2174.38574,-4032.770654022159,786.8974974988195
2174.39269,-1608.3507798519165,791.2434652722854
2174.39963,-129.7519225560441,795.987400630497
2174.40658,-1854.5799404783106,777.7983837146021
2174.41352,55.06970526129944,789.5692606855984
2174.42046,659.1666392251144,799.3880409432747
2174.42741,-3256.778793780733,778.9849853418252
2174.43435,-1228.9092994402215,780.2800929489706
2174.4413,-3603.6702774162763,775.4014798786197
2174.44824,-3296.5368001196007,792.4443321784427
2174.45519,-1736.3948003119808,783.5857062855432
2174.46213,-1771.269251279135,776.6769306053444
2174.46907,-3411.6162655044945,784.5326062966652
2174.47602,-3157.0912273903873,789.7187653018266
2174.48296,-1137.270607794474,783.6177189193712
2174.48991,941.4021501558011,789.1008653064313
2174.49685,-2773.573022304474,776.3404048125425
2174.5038,-1256.6998600038867,794.1275227676076
2174.51074,-2375.028648524869,774.46289191979
2174.51769,-2066.873687396504,785.5689170324436
2174.52463,-1794.9290588286829,793.5544404595717
2174.53157,-2578.7523325547395,784.9510170370482
2174.53852,1128.7236838625313,780.2863831507053
2174.54546,-2518.963515767073,779.955585934483
2174.55241,-2301.851698970225,801.2783588895584
2174.55935,-1606.4450733763892,784.2822338026211
2174.5663,-2479.2502147905334,792.8733014717374
2174.57324,634.6475451886054,781.3876177543873
2174.58018,-5522.0941929505225,778.8326725998228
2174.58713,-2442.4025500042358,787.136749814797
2174.59407,-1184.3787148602432,766.9874364583208
2174.60102,-2900.669693453293,789.6691176381354
2174.60796,-4213.798728568373,783.9707564917267
2174.61491,-1297.8982102149514,788.0350130875065
2174.62185,-3983.281817924868,790.9490613660992
2174.62879,-1519.1431388515678,789.2103822116323
2174.63574,84.45033896345106,770.5575752428401
2174.64268,-1475.5810206886586,777.9226151988607
2174.64963,-3050.11455276496,785.7854796921638
2174.65657,76.51715900075737,794.5234685017957
2174.66352,-2224.3230530655346,797.3697847867103
2174.67046,-1833.0730667974667,803.6405542909691
2174.67741,-162.2267738864727,791.2235837418028
2174.68435,-1870.2623120029605,800.2234021986382
2174.69129,-3245.950548469681,796.296968415865
2174.69824,141.82888523644814,800.0327866210731
2174.70518,-3207.751725885782,795.3532135056104
2174.71213,-2540.24147103479,787.3229847161541
2174.71907,356.100788275148,791.9722300732534
2174.72602,-1562.3165000822717,792.1748644291328
2174.73296,655.1077742308214,788.1600308469821
2174.7399,-2228.234547619188,796.9390182929199
2174.74685,-1475.3773754075003,781.5791319322002
2174.75379,-1641.1263252902659,790.2052450109805
2174.76074,-23.847615001338493,790.2636540270878
2174.76768,-2558.3174889695233,789.1169277858608
2174.77463,-552.3202616356187,792.7343554084209
2174.78157,-2920.934027641488,794.4374275280686
2174.78851,-141.17133450511866,796.4718584890936
2174.79546,-1512.152028923664,790.1525645714532
2174.8024,-4038.433183483686,792.9769774753275
2174.80935,-3108.979608497885,792.8903748764457
2174.81629,1742.6859006468464,788.0137836566523
2174.82324,-2472.7140212380796,800.3961580962782
2174.83018,-1267.2597608159379,789.2819332563635
2174.83713,-498.5109555468934,787.6404152536903
2174.84407,-4739.619156571263,793.7409000109906
2174.85101,-4586.771859746324,795.8996747813053
2174.85796,-3714.377715620518,786.2173694362639
2174.8649,-1168.456641719492,780.8751909630779
2174.87185,-5054.375909070172,786.1463800166877
2174.87879,-3136.190571901717,792.0438934430157
2174.88574,-1962.2787527278779,788.351545024795
2174.89268,-3815.885846112911,795.7747693468607
2174.89962,-1648.9835735320203,791.2140361141699
2174.90657,-1891.6606797038821,789.2185819388935
2174.91351,80.85593797224092,778.8463762536018
2174.92046,-1158.427252028737,777.4314178384058
2174.9274,-1236.6104158889202,783.9895147718995
2174.93435,390.55132457540145,776.1774211925973
2174.94129,-1782.0432436002257,771.6566756709337
2174.94823,383.19246249608454,779.3242069353707
2174.95518,-3931.0260793395623,768.7962064321163
2174.96212,-1813.7877575792527,765.9403425195688
2174.96907,-1252.0238812894152,760.214911040695
2174.97601,-3326.440980791129,768.2405345038813
2174.98296,1035.1914168446021,763.2981208159364
2174.9899,375.90975678776897,769.7736588516634
2174.99685,-841.2140634274294,769.5884348755851
2175.00379,-3310.298525939604,746.5263088158571
2175.01073,163.9879180471347,759.3901083382432
2175.01768,-457.6814807375516,753.424975243268
2175.02462,-2442.977878812891,760.256134327063
2175.03157,355.9538671346322,754.6129247708631
2175.03851,-1938.8224781344575,746.1431681352002
2175.04546,999.8555346502011,757.3942048628429
2175.0524,-2896.885800134827,748.4685209264512
2175.05934,-507.87830150507995,742.244253985016
2175.06629,-300.00128712986685,739.0415303768169
2175.07323,-250.48706557557554,729.9026535316341
2175.08018,-2840.682735310987,731.5350732067984
2175.08712,-1440.3366833945024,740.3724696688433
2175.09407,-459.95785981529747,730.7310506350772
2175.10101,-2158.061731017978,731.2676273080461
2175.10795,1189.995865009257,728.7715404697127
2175.1149,-2050.8264841712466,736.5185978560802
2175.12184,-3205.6774195387607,741.8054000889955
2175.12879,-2171.4960293726886,739.6625754730793
2175.13573,-3852.3776652010793,726.1824485057316
2175.14268,-3156.042785551263,733.5885994230891
2175.14962,-1970.2985352894536,737.73013564018
2175.15657,1409.0565210935272,738.0161151690432
2175.16351,-1916.8610250532565,741.0211467227258
2175.17045,-2700.4477422640784,734.5009033246706
2175.1774,-3445.630082084316,731.9083292847295
2175.18434,-2890.703655080008,739.6862760546152
2175.19129,-1277.1303229128941,730.3107303691675
2175.19823,-250.7472103473144,732.3994143201535
2175.20518,-2141.528272733629,735.4535319123723
2175.21212,-554.0096301014876,730.3334200254245
2175.21906,-2632.0025969643,731.4408325058101
2175.22601,-1346.214036013767,738.1928024427673
2175.23295,-1281.016319684516,738.5450537399059
2175.2399,-2787.2849881357547,733.2192747212423
2175.24684,-2982.2499032252626,731.1107092397737
2175.25379,-3334.3722512282957,731.514068426006
2175.26073,-1221.571442141697,728.7913096751644
2175.26767,-1475.0214173843394,721.4512058760204
2175.27462,-2446.8054665684067,742.917867195775
2175.28156,-461.165803198406,735.459372813983
2175.28851,-2876.909242675991,747.9956325460452
2175.29545,-2448.006558124626,748.9234373019013
2175.3024,-2223.713128147339,748.3563082205069
2175.30934,-1072.8879218899804,738.3248966791944
2175.31629,152.48325139954986,753.4126194898607
2175.32323,-1154.9760654520203,749.5326882699114
2175.33017,-930.3382469297634,754.7152528740816
2175.33712,-2883.977856875268,754.2198994874803
2175.34406,1025.3682559107178,751.0688453935298
2175.35101,-1097.7428677691055,748.1070589767727
2175.35795,-2211.0225338227165,746.4938468819053
2175.3649,-2101.7891369999647,754.7094119724708
2175.37184,-1217.6019878720601,761.5054133215704
2175.37878,-2335.770937873965,743.0609692852377
2175.38573,1954.6211060661665,749.0402553341156
2175.39267,1003.8183617430101,747.1452197365311
2175.39962,-2826.259078083446,758.0622018220531
2175.40656,737.0063131405751,747.9307086781414
2175.41351,-1238.249687390974,751.1260188342962
2175.42045,-166.16107042141414,754.2345017415072
2175.4274,-1329.148494057687,756.2960030349972
2175.43434,-4590.9414772211585,743.6360734438312
2175.44128,-3479.6760236229966,754.8082579997291
2175.44823,-2293.619060474951,748.8298705510989
2175.45517,-1370.546221198733,752.055396140586
2175.46212,-2185.1935052749736,745.8193350708984
2175.46906,-1638.9136345050833,744.3046320281962
2175.47601,-1271.3759115760286,745.084280068196
2175.48295,-296.9482927879577,753.6547922566435
2175.48989,132.55813880490038,746.035336105464
2175.49684,-2093.4408037227863,748.3254188369887
2175.50378,272.7401144371885,755.4129036414693
2175.51073,744.4140366083661,745.6637649029976
2175.51767,-2023.6278765208215,752.0579796162984
2175.52462,-1610.5748154652279,754.2277622396488
2175.53156,-1580.0117361619991,751.4358112697262
2175.53851,-3236.6703667355314,737.6203940849172
2175.54545,-2692.3602277088244,747.8825212398531
2175.55239,290.2868568259666,745.4678700489767
2175.55934,-1612.1867919847543,751.1936385029434
2175.56628,-717.2085771310516,755.0525649421004
2175.57323,-905.020746573082,746.3261456106591
2175.58017,-898.421875653344,741.5771556260537
2175.58712,-1301.7298416715814,752.7993248207356
2175.59406,-1101.322104881134,751.1479222153364
2175.601,-1977.6104455058228,739.5104873811388
2175.60795,-1900.5638986340787,738.5734719727427
2175.61489,-2067.1166464385037,763.8455930169102
2175.62184,-2375.053247706652,742.5960559820307
2175.62878,-2467.748693243816,744.1679324654993
2175.63573,450.1908613969007,758.2205801157282
2175.64267,-2074.3855361680094,760.4073238187557
2175.64961,1079.8266883534493,742.7648805035867
2175.65656,-1418.777803224317,760.0577683223605
2175.6635,-212.5021098506527,741.7787790566543
2175.67045,-2957.0053018136837,777.9575482834941
2175.67739,102.13748764094831,767.2390445277055
2175.68434,-1117.2320469185397,747.1256751811413
2175.69128,-611.6538250727414,776.0483597320066
