relative_time,cts,e_cts
2174.25374,-2610.0169424186533,3358.4406746668024
2174.26068,-17312.37172089699,3710.855049174827
2174.26762,-2249.0290940755567,3427.1080616532236
2174.27457,-8354.648017097736,3359.4326003696037
2174.28151,-7300.549380243379,3482.4599383657996
2174.28846,-11246.515911121996,3370.615016164376
2174.2954,-10301.334004108723,3369.930660969508
2174.30235,-13131.119375101225,3425.0978223418774
2174.30929,-9323.714439518233,3449.352201018136
2174.31624,-627.9071385951969,3461.9145745067312
2174.32318,-6507.01054835683,3483.223024689281
2174.33012,-4307.678965158125,3496.521664006994
2174.33707,-9596.890258963364,3413.069695797442
2174.34401,-2764.5691760064947,3450.5002912123073
2174.35096,10847.34649352188,3511.6254956307653
2174.3579,6357.494944057134,3428.788235848461
2174.36485,795.9868508800728,3536.7489448420993
2174.37179,-8456.272600592494,3444.621844472069
2174.37873,-1139.4250115489667,3441.7732484175785
2174.38568,7316.860999290708,3511.1085522313547
2174.39262,-10099.376546734802,3524.3397077245427
2174.39957,12339.55747320238,3548.2064869983988
2174.40651,-8698.70045360526,3477.125255519334
2174.41346,-3227.700714186854,3516.4073302224638
2174.4204,-6608.234987379244,3560.702674428325
2174.42735,-1256.7910622915388,3480.1793311677325
2174.43429,991.7911677408464,3489.293973364864
2174.44123,-5943.332870108265,3469.9974928481365
2174.44818,-6778.244044903758,3541.019459686432
2174.45512,-3296.8076112099284,3501.9034990129035
2174.46207,-11463.174892704246,3480.8230230324375
2174.46901,-2144.4949195310637,3514.1985327351094
2174.47596,-10644.610376634202,3531.0673259233936
2174.4829,-153.90421583694928,3510.1006207496594
2174.48984,6671.14375467282,3537.3381305408416
2174.49679,11879.929037656684,3484.5069477097404
2174.50373,4027.005087184145,3553.5640970416584
2174.51068,-3531.57864567076,3471.704920126356
2174.51762,-1561.545418317039,3523.9715748099834
2174.52457,3516.0807258153045,3559.026393530656
2174.53151,2898.162058427122,3522.281018487896
2174.53845,7330.137576588866,3491.9924611686474
2174.5454,-15411.579060449541,3498.635724586841
2174.55234,-739.1490322620788,3589.721151562914
2174.55929,-3348.9842874608557,3523.6358860418313
2174.56623,-6928.65986611908,3559.334396627208
2174.57318,5651.704550541595,3504.4877834213357
2174.58012,8375.331809314805,3514.2249206408533
2174.58707,-15651.130631736214,3529.685637875096
2174.59401,-4827.2114074515375,3452.093515095176
2174.60095,-2872.7197914037656,3555.847732360057
2174.6079,-2093.2560954055934,3537.0357510963327
2174.61484,141.83585855097024,3539.0749738451354
2174.62179,-8786.339447055725,3565.6640332968063
2174.62873,3022.45861143074,3555.9346826724263
2174.63568,-3728.970995350977,3480.7918766518874
2174.64262,-2768.0558402736465,3510.110570287891
2174.64956,1743.2650823398249,3547.0925713051092
2174.65651,-9199.52041001726,3566.0178907869463
2174.66345,-3017.4219821425954,3591.0353557866865
2174.6704,13664.64086814788,3621.5596739031557
2174.67734,-6740.351012255445,3564.2494685134834
2174.68429,-4419.684810325725,3599.537019911045
2174.69123,-391.4619861797899,3587.688850232011
2174.69818,13440.441434352142,3604.609986643164
2174.70512,-6260.50078913751,3591.1772448536376
2174.71206,4588.541019181264,3548.7563071328345
2174.71901,2524.9496883066763,3574.422222472085
2174.72595,5493.137894571723,3575.9302263970594
2174.7329,-423.1975524287682,3554.658113658485
2174.73984,2485.5901802407902,3601.488427170241
2174.74679,12385.39326547962,3533.3068372026796
2174.75373,161.21150278492988,3568.387611240477
2174.76067,-2672.4641376560207,3564.412554422753
2174.76762,13165.047300470045,3574.3166708491094
2174.77456,9995.520238555895,3578.3782453905837
2174.78151,16284.134096848942,3589.2703942221733
2174.78845,1310.0639181023869,3604.721161918184
2174.7954,6277.3046940329805,3574.760939360569
2174.80234,7123.326907501152,3584.837226057189
2174.80928,-8379.81645552542,3587.1905081432074
2174.81623,7328.441396614734,3561.879315471334
2174.82317,5854.537999868491,3619.9102134998493
2174.83012,6708.885813893187,3565.759202792932
2174.83706,-2505.1358318019193,3564.5998652946737
2174.84401,8636.776258007963,3589.498368424256
2174.85095,-959.4153703361129,3598.823248690102
2174.8579,5910.60710851096,3556.8595571393207
2174.86484,2329.817614159445,3536.6641574728237
2174.87178,3495.681144320756,3560.68017982015
2174.87873,-7127.955605721812,3586.0311706449484
2174.88567,-6976.464369200269,3569.341469144828
2174.89262,-360.33420694016,3606.0271469582003
2174.89956,-11480.170866946444,3586.016462631911
2174.90651,5012.5903386003565,3590.6408349663834
2174.91345,-9096.988255600356,3531.938559401563
2174.92039,-6194.62273356481,3534.165093022286
2174.92734,-7323.135264617105,3556.7072859455197
2174.93428,-11469.23891996193,3520.372870090575
2174.94123,3315.9345169881044,3512.299036110164
2174.94817,-3481.7080993464065,3550.0943037306383
2174.95512,-4165.449883552708,3504.678987590825
2174.96206,4250.832062179138,3503.6161173545474
2174.969,5.136989847695238,3472.61595175745
2174.97595,6624.771985096943,3516.828671537129
2174.98289,6582.9964695953195,3483.7122824170906
2174.98984,-1827.9105625485174,3512.646404771023
2174.99678,838.3433328966815,3507.628376793484
2175.00373,-2749.871545095734,3422.6078422523333
