relative_time,cts,e_cts
2174.27163,-2355.4496850832697,610.0740375420246
2174.27857,-1152.4127092859646,584.9494862807629
2174.28552,-1764.5725442459184,587.9218905511809
2174.29941,-2423.1654614548993,593.1185947790068
2174.30635,-2435.5774279457823,599.4611216212816
2174.31329,-2818.9247143594202,589.7492134286916
2174.34802,-1879.2277630682465,602.6080306203393
2174.36191,652.3023817634064,599.0258127988069
2174.37579,-2793.027598474277,575.6849582328958
2174.38274,-824.1381834096923,603.3985963388011
2174.38968,-1799.422663353893,579.6023140800019
2174.39663,-885.4026851500217,581.1674563093861
2174.40357,-982.7951719359628,593.1308778788382
2174.41052,-1873.9492068044751,584.2956229923218
2174.41746,-739.6651880930146,593.2264954576985
2174.42441,932.4124377583767,589.0835964843773
2174.43135,-2702.5617211053545,592.5178876639742
2174.4383,-379.49420506306325,591.4270213323919
2174.44524,-2090.885268479284,591.6218567090286
2174.45218,-566.4819515729776,590.7759111525337
2174.45913,-1543.6814303141757,595.9123646579105
2174.46607,-1001.4878262147969,592.7169585922769
2174.47302,-1701.4773311867452,589.3651547813756
2174.47996,-2953.718287132985,589.0995856919164
2174.48691,-1807.6175028285083,595.9995111334388
2174.49385,435.80374668690484,589.5649669312199
2174.5008,-1631.8657218894075,599.6860294147469
2174.50774,-2141.7407961115896,599.8767351285093
2174.51469,-1046.5669084849903,596.2999176353509
2174.52163,-1020.8532978757772,597.7104622289257
2174.52857,-1490.114831949246,592.5563252953432
2174.53552,-143.17583540940106,590.4136655962977
2174.54246,-817.2701304944566,593.54289116715
2174.54941,-2653.90052690242,597.7055913445099
2174.55635,-3397.0475502424824,594.4062024854755
2174.5633,-2152.5806317128395,594.7344577395917
2174.57024,-1241.4865725998516,599.4542388498243
2174.57719,1200.588721045557,592.5180994415575
2174.58413,548.5838867866881,593.3801400943833
2174.59107,-1438.761309329809,591.2106905310501
2174.59802,-1667.4651100871008,590.1002347730126
2174.60496,-2252.5052371735164,592.369219800497
2174.61191,-293.6877521931325,590.6941650053795
2174.61885,-2497.7649622829285,589.9407662527871
2174.6258,-2090.1752841312687,596.0834809452175
2174.63274,-2568.0545775132036,591.0205142612461
2174.63969,-3132.7835401404095,602.8812237027973
2174.64663,-2022.0938737620706,596.6212901180099
2174.65358,-903.3621654354685,595.8120879722176
2174.66052,-922.9179192550448,598.0364938184173
2174.66746,-398.0523805765013,596.0720449557193
2174.67441,-1419.9694372531985,595.412463672529
2174.68135,-671.1026190545572,592.3510069283332
2174.6883,-2937.6367445674573,598.9017111349926
2174.69524,-2788.0875686774116,601.7267182074331
2174.70219,-390.3630541932253,593.1686801774574
2174.70913,-1390.040923292342,593.2250130146155
2174.71608,-3333.7530544774236,595.9271890887416
2174.72302,-483.64684408554825,597.9525240066386
2174.72997,-1398.5754540105715,591.5814071906182
2174.73691,-3222.3018187128523,588.6420402231951
2174.74385,-397.7948590352076,594.8415113079502
2174.7508,-767.0959972364217,595.2850794561737
2174.75774,-1321.7248633608467,589.7009281396989
2174.76469,-2124.547633011317,590.5406262574866
2174.77163,-4247.627541481567,590.9317794538431
2174.77858,-1409.8784471865001,575.1761625890157
2174.78552,-1324.0405453454491,580.9073934370929
2174.79247,-3319.4319130730837,599.7438446949881
2174.79941,-569.0821567407445,578.0975284618582
2174.80635,-1261.2456328993965,585.3941133169029
2174.8133,-331.7452428001971,594.8829138254855
2174.82024,-1120.3302055253562,586.4868856467349
2174.82719,-1416.4834723432762,590.4879995280362
2174.83413,-1796.629952362906,589.4897858891482
2174.84108,228.726355069913,583.1565772605386
2174.84802,-3217.2302750367576,594.1350212900588
2174.85497,-630.3185979512866,593.551044604107
2174.86191,-1088.2163586824192,581.411318196557
2174.86886,-2078.4392057974896,587.4649804152095
2174.8758,-1295.8230883688714,580.1776078850384
2174.88274,-1422.7672309061847,593.5333611759014
2174.88969,-2885.2274048064746,594.7788251432933
2174.89663,-2183.2739804157864,593.7121014562072
2174.90358,-1710.5013857887748,589.6304062044599
2174.91052,-2259.038999173512,591.1647347954739
2174.91747,-2845.805537118995,587.9608576265083
2174.92441,-2266.498652767698,591.9527591829361
2174.93136,-797.4716795644175,589.4326059416569
2174.9383,103.17930924963456,585.6934609308986
2174.94524,-624.6568301505324,590.9410976675083
2174.95219,-1012.3935246444532,586.8795212861745
2174.95913,469.15077439740224,592.1994800674814
2174.96608,-150.08899694987974,589.7350243306104
2174.97997,-465.5599795837459,589.3532952367108
2174.98691,-619.4982458877006,597.6936259110533
2174.99386,-1318.4823367829288,596.6366439927992
2175.0008,-1744.7168074795966,590.3478027678912
2175.00774,71.49219423704865,592.5099460046005
2175.01469,-2187.829104455003,588.1516692290622
2175.02163,-1157.5574221170905,589.0216515412618
2175.02858,-1930.253136322359,591.7717952380056
2175.03552,-2439.9061617484504,589.8042756003498
2175.04247,-1121.0510964189118,582.9473410082376
2175.04941,-1473.0541357273273,587.7653869171216
2175.05636,-618.1642588904888,591.851317720535
2175.0633,-2110.689543292864,589.4747496807338
2175.07024,-2231.8521578060668,591.17860622718
2175.07719,-140.91701570591508,590.6277727330148
2175.08413,-800.3317358268945,592.4936391306862
2175.09108,-1821.8625101916514,588.3826126836517
2175.09802,-2608.4684114008646,592.4232230842388
2175.10497,-865.313357709319,590.8556454126465
2175.11191,-2015.9268046475602,590.3469556575579
2175.11886,-789.4034830846165,586.3815262990428
2175.1258,-2347.713026410126,592.0857555052489
2175.13275,-2406.951452011018,589.2357586779789
2175.13969,90.65838319214322,592.4918390212282
2175.14663,-1444.1498840481054,590.750391953746
2175.15358,-1139.622613920098,593.7398443196196
2175.16052,-1181.5031134609083,592.6659201947015
2175.16747,-3363.2387415115977,595.8436428321295
2175.17441,-1426.5966990562213,588.3407866109497
2175.18136,-1009.1335264159128,595.7283299380223
2175.1883,-1768.5232550623944,588.916503971153
2175.19525,-1923.40795538612,583.7232940734515
2175.20219,-1296.5197307291394,583.8183822083536
2175.20913,-838.9772268939939,586.477143877903
2175.21608,-1805.0141209969916,583.7260471820343
2175.22302,-207.29340475195858,581.5571270626596
2175.22997,-1461.9169643991233,577.8466779144385
2175.23691,-1380.075834998916,578.8718931951975
2175.24386,-2587.3235844849905,583.2174633157376
2175.2508,-2541.6280176698087,587.7084187472136
2175.25775,-2854.0804285200975,585.4928016707211
2175.26469,-2765.4275790418124,586.4328823629933
2175.27164,-1870.21990945134,583.1003503121723
2175.27858,-2094.13340716316,574.4708373478325
2175.28552,-545.4298832385897,579.5138969389737
2175.29247,473.7557720574858,583.4758319673646
2175.29941,-1950.4230451335077,585.9214394993218
2175.30636,-2251.9960179744694,585.9040737374911
2175.3133,-1502.0069903619171,587.3523147408935
2175.32025,426.90591152452293,585.0844944901172
2175.32719,136.06063805445353,584.2764571210331
2175.33414,-2670.9627055674214,583.3496125277172
2175.34108,-973.633250127205,583.0966442044645
2175.34802,-1239.3597962195536,582.0894300182861
2175.35497,-585.4788243502231,587.8181195353635
2175.36191,-1416.290542964889,584.040219226861
2175.36886,-963.6209354327027,592.4902506893535
2175.3758,-1124.5191661230454,586.5998689874258
2175.38275,-3318.3113978798397,585.3742062240726
2175.38969,114.30652703142357,591.3428397430299
2175.39664,623.9769182193451,588.3276564007851
2175.40358,-1642.1987737338188,591.9026737844854
2175.41053,-398.02220227088094,588.6524173247769
2175.41747,-1923.361364317794,585.3885012109455
2175.42441,-437.1799833119848,589.701245806074
2175.43136,-2795.758152744565,592.092744165498
2175.4383,-1401.001048560907,588.9754840281023
2175.44525,-287.0160170976167,588.7202920402248
2175.45219,-846.6558585093131,585.9735367848139
2175.45914,-1595.2329649739988,585.7273453442266
2175.46608,-620.6997660065574,592.3870091174942
2175.47303,-2727.7476878657735,586.5673611283892
2175.47997,-1782.6927637170907,584.4926820335832
2175.48691,-1339.275718799315,592.0004091391787
2175.49386,-1600.0942135098767,588.2337330425913
2175.5008,-1017.6156421822753,587.8074247674068
2175.50775,-1452.9533722971269,588.4425457397258
2175.51469,-600.604932348689,588.125726475108
2175.52164,-3026.453086340051,593.1195477781317
2175.52858,-1638.9602709299834,589.7282474479448
2175.53553,-373.775151426026,586.0538004888848
2175.54247,-839.6955764565499,585.2258560269705
2175.54942,-1001.3607596648163,582.0486628335007
2175.55636,-2352.663962752532,586.6706027002482
2175.5633,-2169.7479579479495,582.669171152572
2175.57025,-697.7117311747571,586.9855159666165
2175.57719,-1020.6774165928459,589.9504021328272
2175.58414,-2538.394597527972,594.2519225160408
2175.59108,-931.6068358315005,591.2928602333709
2175.59803,-1648.2726607116765,585.367747007782
2175.60497,-1660.034575910618,586.5545485845994
2175.61192,-2388.593829868965,587.832520411028
2175.61886,-2390.120110911814,586.4991687465663
2175.6258,-1409.5758170199636,587.3535854063933
