relative_time,cts,e_cts
2174.25852,-388.0490550680695,1310.1705491692942
2174.26546,4065.570604985882,1312.770232741522
2174.27241,2125.368102029654,1310.0581345700057
2174.27935,2609.6311127006225,1310.74666028155
2174.2863,3839.8872747999444,1310.2988663216527
2174.29324,2143.674243741684,1310.4063456458503
2174.30019,-701.6801937710824,1310.1351248614208
2174.30713,-2108.395361974354,1309.1473021338197
2174.31408,-1016.3038711312275,1309.7479799487494
2174.32102,-515.0943321993292,1311.422463950638
2174.32796,-2858.793191584777,1311.5316980393127
2174.33491,425.2562036497311,1313.5041629839009
2174.34185,1803.9028173204235,1311.3017142200856
2174.3488,543.4496810510686,1311.242929610116
2174.35574,-3357.7576190415207,1310.4866261206594
2174.36269,3202.5841253854737,1313.8654251205407
2174.36963,-34.155722829464025,1309.3396681895779
2174.37658,-3156.5177193248637,1310.5574747364062
2174.38352,-1254.988251325019,1310.4991288175559
2174.39047,-1388.152392186524,1312.3970162718842
2174.39741,3918.6622713606416,1314.0127156638039
2174.40435,2530.724508804173,1311.7889903807084
2174.4113,1273.650719898599,1311.6024369822794
2174.41824,-624.1644600679754,1311.172848703828
2174.42519,2046.513154012487,1311.3510669709924
2174.43213,-1860.7208846753203,1313.6488213804485
2174.43908,-1280.9862934478745,1313.6588016034098
2174.44602,2595.4416484509256,1314.4283754992216
2174.45297,4245.1644978274535,1314.1482712196287
2174.45991,-3097.167526830092,1313.7271277452212
2174.46686,8280.656575245479,1313.6509051632645
2174.4738,3138.6327210872405,1313.612519690337
2174.48074,1481.8016498339503,1313.8740892701446
2174.48769,4698.843499088496,1315.8290065699657
2174.49463,5970.32401402054,1315.081696248452
2174.50158,1006.7201152689627,1313.2137494630072
2174.50852,2004.8497810422514,1313.2266908510228
2174.51547,3033.0971275657835,1311.3170684092565
2174.52241,885.6680168623047,1311.6057271656734
2174.52936,-1807.683896076588,1308.5959770697973
2174.5363,2122.6637906255028,1311.5653675827093
2174.54325,6883.546549096531,1310.4280608562494
2174.55019,-275.0437581876486,1309.312908031308
2174.55713,1900.4047736430612,1310.0512251848788
2174.56408,3334.2637354996928,1308.9289436292506
2174.57102,302.12832853991955,1311.7603657851823
2174.57797,-1705.592356858989,1310.6769083936013
2174.58491,-104.33851513001049,1308.9243373724994
2174.59186,3143.5938789539846,1311.5505617574372
2174.5988,1972.9404857612997,1311.5492456840798
2174.60575,-1450.4181258593292,1313.2478576975232
2174.61269,877.101805050965,1312.7608008824595
2174.61964,5342.172729061507,1313.3598336056923
